Name,Address,Description,Website,Google Maps URL,Year,Genre,Genre Slug,Release Date
tanpopo 北新地本店,大阪府大阪市北区曽根崎新地1-10-16 永楽ビル6F,食べログ ステーキ・鉄板焼き WEST 百名店 2024,https://tabelog.com/osaka/A2701/A270101/27101683/,https://www.google.com/maps/search/?api=1&query=tanpopo%20%E5%8C%97%E6%96%B0%E5%9C%B0%E6%9C%AC%E5%BA%97%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E5%8C%97%E5%8C%BA%E6%9B%BD%E6%A0%B9%E5%B4%8E%E6%96%B0%E5%9C%B01-10-16%20%E6%B0%B8%E6%A5%BD%E3%83%93%E3%83%AB6F,2024,ステーキ・鉄板焼き WEST,steak_west,発表日：2024年4月23日
多良間牛 ダグズ・グリル 宮古島本店,沖縄県宮古島市平良西里567-1,食べログ ステーキ・鉄板焼き WEST 百名店 2024,https://tabelog.com/okinawa/A4705/A470503/47021184/,https://www.google.com/maps/search/?api=1&query=%E5%A4%9A%E8%89%AF%E9%96%93%E7%89%9B%20%E3%83%80%E3%82%B0%E3%82%BA%E3%83%BB%E3%82%B0%E3%83%AA%E3%83%AB%20%E5%AE%AE%E5%8F%A4%E5%B3%B6%E6%9C%AC%E5%BA%97%20%E6%B2%96%E7%B8%84%E7%9C%8C%E5%AE%AE%E5%8F%A4%E5%B3%B6%E5%B8%82%E5%B9%B3%E8%89%AF%E8%A5%BF%E9%87%8C567-1,2024,ステーキ・鉄板焼き WEST,steak_west,発表日：2024年4月23日
麤皮,兵庫県神戸市中央区中山手通2-15-18,食べログ ステーキ・鉄板焼き WEST 百名店 2024,https://tabelog.com/hyogo/A2801/A280101/28000962/,https://www.google.com/maps/search/?api=1&query=%E9%BA%A4%E7%9A%AE%20%E5%85%B5%E5%BA%AB%E7%9C%8C%E7%A5%9E%E6%88%B8%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E4%B8%AD%E5%B1%B1%E6%89%8B%E9%80%9A2-15-18,2024,ステーキ・鉄板焼き WEST,steak_west,発表日：2024年4月23日
窯焼きステーキ 福田,大阪府大阪市北区曽根崎新地1-2-10 北新地鈴木第3ビル 2F,食べログ ステーキ・鉄板焼き WEST 百名店 2024,https://tabelog.com/osaka/A2701/A270101/27095105/,https://www.google.com/maps/search/?api=1&query=%E7%AA%AF%E7%84%BC%E3%81%8D%E3%82%B9%E3%83%86%E3%83%BC%E3%82%AD%20%E7%A6%8F%E7%94%B0%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E5%8C%97%E5%8C%BA%E6%9B%BD%E6%A0%B9%E5%B4%8E%E6%96%B0%E5%9C%B01-2-10%20%E5%8C%97%E6%96%B0%E5%9C%B0%E9%88%B4%E6%9C%A8%E7%AC%AC3%E3%83%93%E3%83%AB%202F,2024,ステーキ・鉄板焼き WEST,steak_west,発表日：2024年4月23日
Kobe Beef steak モーリヤ 祇園,京都府京都市東山区大和大路通四条下ル大和町7-1 祇園モーリヤビル,食べログ ステーキ・鉄板焼き WEST 百名店 2024,https://tabelog.com/kyoto/A2601/A260301/26030216/,https://www.google.com/maps/search/?api=1&query=Kobe%20Beef%20steak%20%E3%83%A2%E3%83%BC%E3%83%AA%E3%83%A4%20%E7%A5%87%E5%9C%92%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E6%9D%B1%E5%B1%B1%E5%8C%BA%E5%A4%A7%E5%92%8C%E5%A4%A7%E8%B7%AF%E9%80%9A%E5%9B%9B%E6%9D%A1%E4%B8%8B%E3%83%AB%E5%A4%A7%E5%92%8C%E7%94%BA7-1%20%E7%A5%87%E5%9C%92%E3%83%A2%E3%83%BC%E3%83%AA%E3%83%A4%E3%83%93%E3%83%AB,2024,ステーキ・鉄板焼き WEST,steak_west,発表日：2024年4月23日
ゆたか,京都府京都市東山区祇園町南側四条花見小路下ル四筋目東入ル,食べログ ステーキ・鉄板焼き WEST 百名店 2024,https://tabelog.com/kyoto/A2601/A260301/26001272/,https://www.google.com/maps/search/?api=1&query=%E3%82%86%E3%81%9F%E3%81%8B%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E6%9D%B1%E5%B1%B1%E5%8C%BA%E7%A5%87%E5%9C%92%E7%94%BA%E5%8D%97%E5%81%B4%E5%9B%9B%E6%9D%A1%E8%8A%B1%E8%A6%8B%E5%B0%8F%E8%B7%AF%E4%B8%8B%E3%83%AB%E5%9B%9B%E7%AD%8B%E7%9B%AE%E6%9D%B1%E5%85%A5%E3%83%AB,2024,ステーキ・鉄板焼き WEST,steak_west,発表日：2024年4月23日
ステーキハウス蜂,佐賀県唐津市浜玉町浜崎217-2,食べログ ステーキ・鉄板焼き WEST 百名店 2024,https://tabelog.com/saga/A4102/A410201/41000152/,https://www.google.com/maps/search/?api=1&query=%E3%82%B9%E3%83%86%E3%83%BC%E3%82%AD%E3%83%8F%E3%82%A6%E3%82%B9%E8%9C%82%20%E4%BD%90%E8%B3%80%E7%9C%8C%E5%94%90%E6%B4%A5%E5%B8%82%E6%B5%9C%E7%8E%89%E7%94%BA%E6%B5%9C%E5%B4%8E217-2,2024,ステーキ・鉄板焼き WEST,steak_west,発表日：2024年4月23日
ステーキハウス ロイン,大阪府大阪市北区芝田1-1-35 大阪新阪急ホテル B1F,食べログ ステーキ・鉄板焼き WEST 百名店 2024,https://tabelog.com/osaka/A2701/A270101/27012019/,https://www.google.com/maps/search/?api=1&query=%E3%82%B9%E3%83%86%E3%83%BC%E3%82%AD%E3%83%8F%E3%82%A6%E3%82%B9%20%E3%83%AD%E3%82%A4%E3%83%B3%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E5%8C%97%E5%8C%BA%E8%8A%9D%E7%94%B01-1-35%20%E5%A4%A7%E9%98%AA%E6%96%B0%E9%98%AA%E6%80%A5%E3%83%9B%E3%83%86%E3%83%AB%20B1F,2024,ステーキ・鉄板焼き WEST,steak_west,発表日：2024年4月23日
アカミヤコウシ,福岡県福岡市中央区春吉2-17-2 1F,食べログ ステーキ・鉄板焼き WEST 百名店 2024,https://tabelog.com/fukuoka/A4001/A400103/40037316/,https://www.google.com/maps/search/?api=1&query=%E3%82%A2%E3%82%AB%E3%83%9F%E3%83%A4%E3%82%B3%E3%82%A6%E3%82%B7%20%E7%A6%8F%E5%B2%A1%E7%9C%8C%E7%A6%8F%E5%B2%A1%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E6%98%A5%E5%90%892-17-2%201F,2024,ステーキ・鉄板焼き WEST,steak_west,発表日：2024年4月23日
ジャッキー ステーキハウス,沖縄県那覇市西1-7-3,食べログ ステーキ・鉄板焼き WEST 百名店 2024,https://tabelog.com/okinawa/A4701/A470101/47000054/,https://www.google.com/maps/search/?api=1&query=%E3%82%B8%E3%83%A3%E3%83%83%E3%82%AD%E3%83%BC%20%E3%82%B9%E3%83%86%E3%83%BC%E3%82%AD%E3%83%8F%E3%82%A6%E3%82%B9%20%E6%B2%96%E7%B8%84%E7%9C%8C%E9%82%A3%E8%A6%87%E5%B8%82%E8%A5%BF1-7-3,2024,ステーキ・鉄板焼き WEST,steak_west,発表日：2024年4月23日
