Name,Address,Description,Website,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
金谷 本店,三重県伊賀市上野農人町434,食べログ すき焼き・しゃぶしゃぶ 百名店 2024,https://tabelog.com/mie/A2404/A240401/24000003/,https://www.google.com/maps/search/?api=1&query=%E9%87%91%E8%B0%B7%20%E6%9C%AC%E5%BA%97%20%E4%B8%89%E9%87%8D%E7%9C%8C%E4%BC%8A%E8%B3%80%E5%B8%82%E4%B8%8A%E9%87%8E%E8%BE%B2%E4%BA%BA%E7%94%BA434,34.7666549,136.1354464,2024,すき焼き・しゃぶしゃぶ,sukiyaki_shabushabu,発表日：2024年9月10日
ざくろ TBS店,東京都港区赤坂5-3-1 赤坂Bizタワー SHOPS＆DINING 2F,食べログ すき焼き・しゃぶしゃぶ 百名店 2024,https://tabelog.com/tokyo/A1308/A130801/13002758/,https://www.google.com/maps/search/?api=1&query=%E3%81%96%E3%81%8F%E3%82%8D%20TBS%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E8%B5%A4%E5%9D%825-3-1%20%E8%B5%A4%E5%9D%82Biz%E3%82%BF%E3%83%AF%E3%83%BC%20SHOPS%EF%BC%86DINING%202F,35.6731814,139.7361661,2024,すき焼き・しゃぶしゃぶ,sukiyaki_shabushabu,発表日：2024年9月10日
松阪牛 よし田,東京都新宿区西新宿3-20-2 東京オペラシティタワー 53階,食べログ すき焼き・しゃぶしゃぶ 百名店 2024,https://tabelog.com/tokyo/A1318/A131807/13188515/,https://www.google.com/maps/search/?api=1&query=%E6%9D%BE%E9%98%AA%E7%89%9B%20%E3%82%88%E3%81%97%E7%94%B0%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E8%A5%BF%E6%96%B0%E5%AE%BF3-20-2%20%E6%9D%B1%E4%BA%AC%E3%82%AA%E3%83%9A%E3%83%A9%E3%82%B7%E3%83%86%E3%82%A3%E3%82%BF%E3%83%AF%E3%83%BC%2053%E9%9A%8E,35.6827975,139.6871001,2024,すき焼き・しゃぶしゃぶ,sukiyaki_shabushabu,発表日：2024年9月10日
ますだや,東京都新宿区神楽坂2-9,食べログ すき焼き・しゃぶしゃぶ 百名店 2024,https://tabelog.com/tokyo/A1309/A130905/13040653/,https://www.google.com/maps/search/?api=1&query=%E3%81%BE%E3%81%99%E3%81%A0%E3%82%84%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E7%A5%9E%E6%A5%BD%E5%9D%822-9,35.7009482,139.7412392,2024,すき焼き・しゃぶしゃぶ,sukiyaki_shabushabu,発表日：2024年9月10日
しの平,北海道札幌市中央区南三条西5-14 三条美松ビル3F,食べログ すき焼き・しゃぶしゃぶ 百名店 2024,https://tabelog.com/hokkaido/A0101/A010103/1008058/,https://www.google.com/maps/search/?api=1&query=%E3%81%97%E3%81%AE%E5%B9%B3%20%E5%8C%97%E6%B5%B7%E9%81%93%E6%9C%AD%E5%B9%8C%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%8D%97%E4%B8%89%E6%9D%A1%E8%A5%BF5-14%20%E4%B8%89%E6%9D%A1%E7%BE%8E%E6%9D%BE%E3%83%93%E3%83%AB3F,43.0566160,141.3507819,2024,すき焼き・しゃぶしゃぶ,sukiyaki_shabushabu,発表日：2024年9月10日
やんばるダイニング　松の古民家,沖縄県名護市大南2-14-5,食べログ すき焼き・しゃぶしゃぶ 百名店 2024,https://tabelog.com/okinawa/A4702/A470201/47014042/,https://www.google.com/maps/search/?api=1&query=%E3%82%84%E3%82%93%E3%81%B0%E3%82%8B%E3%83%80%E3%82%A4%E3%83%8B%E3%83%B3%E3%82%B0%E3%80%80%E6%9D%BE%E3%81%AE%E5%8F%A4%E6%B0%91%E5%AE%B6%20%E6%B2%96%E7%B8%84%E7%9C%8C%E5%90%8D%E8%AD%B7%E5%B8%82%E5%A4%A7%E5%8D%972-14-5,26.5939193,127.9772981,2024,すき焼き・しゃぶしゃぶ,sukiyaki_shabushabu,発表日：2024年9月10日
たか福 名古屋JRセントラルタワーズ店,愛知県名古屋市中村区名駅1-1-4 JRセントラルタワーズ 13F,食べログ すき焼き・しゃぶしゃぶ 百名店 2024,https://tabelog.com/aichi/A2301/A230101/23063516/,https://www.google.com/maps/search/?api=1&query=%E3%81%9F%E3%81%8B%E7%A6%8F%20%E5%90%8D%E5%8F%A4%E5%B1%8BJR%E3%82%BB%E3%83%B3%E3%83%88%E3%83%A9%E3%83%AB%E3%82%BF%E3%83%AF%E3%83%BC%E3%82%BA%E5%BA%97%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E4%B8%AD%E6%9D%91%E5%8C%BA%E5%90%8D%E9%A7%851-1-4%20JR%E3%82%BB%E3%83%B3%E3%83%88%E3%83%A9%E3%83%AB%E3%82%BF%E3%83%AF%E3%83%BC%E3%82%BA%2013F,35.1708511,136.8829389,2024,すき焼き・しゃぶしゃぶ,sukiyaki_shabushabu,発表日：2024年9月10日
岡半,東京都千代田区紀尾井町4-1 ホテルニューオータニ東京 本館 ロビィ階,食べログ すき焼き・しゃぶしゃぶ 百名店 2024,https://tabelog.com/tokyo/A1308/A130803/13019041/,https://www.google.com/maps/search/?api=1&query=%E5%B2%A1%E5%8D%8A%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%8D%83%E4%BB%A3%E7%94%B0%E5%8C%BA%E7%B4%80%E5%B0%BE%E4%BA%95%E7%94%BA4-1%20%E3%83%9B%E3%83%86%E3%83%AB%E3%83%8B%E3%83%A5%E3%83%BC%E3%82%AA%E3%83%BC%E3%82%BF%E3%83%8B%E6%9D%B1%E4%BA%AC%20%E6%9C%AC%E9%A4%A8%20%E3%83%AD%E3%83%93%E3%82%A3%E9%9A%8E,35.6811157,139.7335588,2024,すき焼き・しゃぶしゃぶ,sukiyaki_shabushabu,発表日：2024年9月10日
赤坂武蔵,東京都港区赤坂3-12-11 セントラル赤坂ビル　Ｂ１Ｆ,食べログ すき焼き・しゃぶしゃぶ 百名店 2024,https://tabelog.com/tokyo/A1308/A130801/13038448/,https://www.google.com/maps/search/?api=1&query=%E8%B5%A4%E5%9D%82%E6%AD%A6%E8%94%B5%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E8%B5%A4%E5%9D%823-12-11%20%E3%82%BB%E3%83%B3%E3%83%88%E3%83%A9%E3%83%AB%E8%B5%A4%E5%9D%82%E3%83%93%E3%83%AB%E3%80%80%EF%BC%A2%EF%BC%91%EF%BC%A6,35.6731607,139.7380077,2024,すき焼き・しゃぶしゃぶ,sukiyaki_shabushabu,発表日：2024年9月10日
東京肉しゃぶ家,東京都新宿区大久保1-12-3 カーサ第二新宿 1F,食べログ すき焼き・しゃぶしゃぶ 百名店 2024,https://tabelog.com/tokyo/A1304/A130401/13196268/,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E8%82%89%E3%81%97%E3%82%83%E3%81%B6%E5%AE%B6%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E5%A4%A7%E4%B9%85%E4%BF%9D1-12-3%20%E3%82%AB%E3%83%BC%E3%82%B5%E7%AC%AC%E4%BA%8C%E6%96%B0%E5%AE%BF%201F,35.6983902,139.7033613,2024,すき焼き・しゃぶしゃぶ,sukiyaki_shabushabu,発表日：2024年9月10日
