Name,Address,Description,Website,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
マルタニ製麺,香川県高松市円座町1023-1,食べログ うどん KAGAWA 百名店 2024,https://tabelog.com/kagawa/A3701/A370101/37000378/,https://www.google.com/maps/search/?api=1&query=%E3%83%9E%E3%83%AB%E3%82%BF%E3%83%8B%E8%A3%BD%E9%BA%BA%20%E9%A6%99%E5%B7%9D%E7%9C%8C%E9%AB%98%E6%9D%BE%E5%B8%82%E5%86%86%E5%BA%A7%E7%94%BA1023-1,34.2893719,134.0114013,2024,うどん KAGAWA,udon_kagawa,発表日：2024年2月27日
手打うどん はりや,香川県高松市郷東町587-174,食べログ うどん KAGAWA 百名店 2024,https://tabelog.com/kagawa/A3701/A370101/37000049/,https://www.google.com/maps/search/?api=1&query=%E6%89%8B%E6%89%93%E3%81%86%E3%81%A9%E3%82%93%20%E3%81%AF%E3%82%8A%E3%82%84%20%E9%A6%99%E5%B7%9D%E7%9C%8C%E9%AB%98%E6%9D%BE%E5%B8%82%E9%83%B7%E6%9D%B1%E7%94%BA587-174,34.3493629,134.0151589,2024,うどん KAGAWA,udon_kagawa,発表日：2024年2月27日
うつ海うどん,香川県高松市下田井町359-2,食べログ うどん KAGAWA 百名店 2024,https://tabelog.com/kagawa/A3701/A370101/37008654/,https://www.google.com/maps/search/?api=1&query=%E3%81%86%E3%81%A4%E6%B5%B7%E3%81%86%E3%81%A9%E3%82%93%20%E9%A6%99%E5%B7%9D%E7%9C%8C%E9%AB%98%E6%9D%BE%E5%B8%82%E4%B8%8B%E7%94%B0%E4%BA%95%E7%94%BA359-2,34.2929472,134.0885540,2024,うどん KAGAWA,udon_kagawa,発表日：2024年2月27日
山越うどん,香川県綾歌郡綾川町羽床上602‐2,食べログ うどん KAGAWA 百名店 2024,https://tabelog.com/kagawa/A3702/A370202/37000080/,https://www.google.com/maps/search/?api=1&query=%E5%B1%B1%E8%B6%8A%E3%81%86%E3%81%A9%E3%82%93%20%E9%A6%99%E5%B7%9D%E7%9C%8C%E7%B6%BE%E6%AD%8C%E9%83%A1%E7%B6%BE%E5%B7%9D%E7%94%BA%E7%BE%BD%E5%BA%8A%E4%B8%8A602%E2%80%902,34.2257890,133.9282184,2024,うどん KAGAWA,udon_kagawa,発表日：2024年2月27日
とらや,香川県坂出市沖の浜1-4,食べログ うどん KAGAWA 百名店 2024,https://tabelog.com/kagawa/A3702/A370201/37001355/,https://www.google.com/maps/search/?api=1&query=%E3%81%A8%E3%82%89%E3%82%84%20%E9%A6%99%E5%B7%9D%E7%9C%8C%E5%9D%82%E5%87%BA%E5%B8%82%E6%B2%96%E3%81%AE%E6%B5%9C1-4,34.3244282,133.8433770,2024,うどん KAGAWA,udon_kagawa,発表日：2024年2月27日
シラカワ,香川県三豊市山本町大野2854-8,食べログ うどん KAGAWA 百名店 2024,https://tabelog.com/kagawa/A3703/A370303/37000147/,https://www.google.com/maps/search/?api=1&query=%E3%82%B7%E3%83%A9%E3%82%AB%E3%83%AF%20%E9%A6%99%E5%B7%9D%E7%9C%8C%E4%B8%89%E8%B1%8A%E5%B8%82%E5%B1%B1%E6%9C%AC%E7%94%BA%E5%A4%A7%E9%87%8E2854-8,34.1230680,133.7188886,2024,うどん KAGAWA,udon_kagawa,発表日：2024年2月27日
手打ちうどん むさし,香川県仲多度郡琴平町五條637-2 小出ビル　１Ｆ,食べログ うどん KAGAWA 百名店 2024,https://tabelog.com/kagawa/A3703/A370302/37000722/,https://www.google.com/maps/search/?api=1&query=%E6%89%8B%E6%89%93%E3%81%A1%E3%81%86%E3%81%A9%E3%82%93%20%E3%82%80%E3%81%95%E3%81%97%20%E9%A6%99%E5%B7%9D%E7%9C%8C%E4%BB%B2%E5%A4%9A%E5%BA%A6%E9%83%A1%E7%90%B4%E5%B9%B3%E7%94%BA%E4%BA%94%E6%A2%9D637-2%20%E5%B0%8F%E5%87%BA%E3%83%93%E3%83%AB%E3%80%80%EF%BC%91%EF%BC%A6,34.1898872,133.8286965,2024,うどん KAGAWA,udon_kagawa,発表日：2024年2月27日
しんぺいうどん,香川県高松市田町13-6,食べログ うどん KAGAWA 百名店 2024,https://tabelog.com/kagawa/A3701/A370101/37006884/,https://www.google.com/maps/search/?api=1&query=%E3%81%97%E3%82%93%E3%81%BA%E3%81%84%E3%81%86%E3%81%A9%E3%82%93%20%E9%A6%99%E5%B7%9D%E7%9C%8C%E9%AB%98%E6%9D%BE%E5%B8%82%E7%94%B0%E7%94%BA13-6,34.3382416,134.0491249,2024,うどん KAGAWA,udon_kagawa,発表日：2024年2月27日
滝音,香川県木田郡三木町大字上高岡266-1,食べログ うどん KAGAWA 百名店 2024,https://tabelog.com/kagawa/A3701/A370102/37001522/,https://www.google.com/maps/search/?api=1&query=%E6%BB%9D%E9%9F%B3%20%E9%A6%99%E5%B7%9D%E7%9C%8C%E6%9C%A8%E7%94%B0%E9%83%A1%E4%B8%89%E6%9C%A8%E7%94%BA%E5%A4%A7%E5%AD%97%E4%B8%8A%E9%AB%98%E5%B2%A1266-1,34.2529296,134.1388137,2024,うどん KAGAWA,udon_kagawa,発表日：2024年2月27日
手打ちセルフうどん 海侍 其の壱 飯山店,香川県丸亀市飯山町東坂元2710-5,食べログ うどん KAGAWA 百名店 2024,https://tabelog.com/kagawa/A3702/A370202/37006447/,https://www.google.com/maps/search/?api=1&query=%E6%89%8B%E6%89%93%E3%81%A1%E3%82%BB%E3%83%AB%E3%83%95%E3%81%86%E3%81%A9%E3%82%93%20%E6%B5%B7%E4%BE%8D%20%E5%85%B6%E3%81%AE%E5%A3%B1%20%E9%A3%AF%E5%B1%B1%E5%BA%97%20%E9%A6%99%E5%B7%9D%E7%9C%8C%E4%B8%B8%E4%BA%80%E5%B8%82%E9%A3%AF%E5%B1%B1%E7%94%BA%E6%9D%B1%E5%9D%82%E5%85%832710-5,34.2690736,133.8708547,2024,うどん KAGAWA,udon_kagawa,発表日：2024年2月27日
宮武うどん,香川県高松市円座町340,食べログ うどん KAGAWA 百名店 2024,https://tabelog.com/kagawa/A3701/A370101/37005339/,https://www.google.com/maps/search/?api=1&query=%E5%AE%AE%E6%AD%A6%E3%81%86%E3%81%A9%E3%82%93%20%E9%A6%99%E5%B7%9D%E7%9C%8C%E9%AB%98%E6%9D%BE%E5%B8%82%E5%86%86%E5%BA%A7%E7%94%BA340,34.2938759,133.9983711,2024,うどん KAGAWA,udon_kagawa,発表日：2024年2月27日
誠うどん,香川県高松市亀岡町17-14,食べログ うどん KAGAWA 百名店 2024,https://tabelog.com/kagawa/A3701/A370101/37002062/,https://www.google.com/maps/search/?api=1&query=%E8%AA%A0%E3%81%86%E3%81%A9%E3%82%93%20%E9%A6%99%E5%B7%9D%E7%9C%8C%E9%AB%98%E6%9D%BE%E5%B8%82%E4%BA%80%E5%B2%A1%E7%94%BA17-14,34.3361745,134.0415145,2024,うどん KAGAWA,udon_kagawa,発表日：2024年2月27日
うどん さか枝,香川県高松市番町5-2-23,食べログ うどん KAGAWA 百名店 2024,https://tabelog.com/kagawa/A3701/A370101/37000026/,https://www.google.com/maps/search/?api=1&query=%E3%81%86%E3%81%A9%E3%82%93%20%E3%81%95%E3%81%8B%E6%9E%9D%20%E9%A6%99%E5%B7%9D%E7%9C%8C%E9%AB%98%E6%9D%BE%E5%B8%82%E7%95%AA%E7%94%BA5-2-23,34.3398156,134.0416289,2024,うどん KAGAWA,udon_kagawa,発表日：2024年2月27日
うどん 一福,香川県高松市国分寺町新居169-1,食べログ うどん KAGAWA 百名店 2024,https://tabelog.com/kagawa/A3701/A370101/37001209/,https://www.google.com/maps/search/?api=1&query=%E3%81%86%E3%81%A9%E3%82%93%20%E4%B8%80%E7%A6%8F%20%E9%A6%99%E5%B7%9D%E7%9C%8C%E9%AB%98%E6%9D%BE%E5%B8%82%E5%9B%BD%E5%88%86%E5%AF%BA%E7%94%BA%E6%96%B0%E5%B1%85169-1,34.3080439,133.9753272,2024,うどん KAGAWA,udon_kagawa,発表日：2024年2月27日
古奈や,香川県高松市勅使町302-7,食べログ うどん KAGAWA 百名店 2024,https://tabelog.com/kagawa/A3701/A370101/37001256/,https://www.google.com/maps/search/?api=1&query=%E5%8F%A4%E5%A5%88%E3%82%84%20%E9%A6%99%E5%B7%9D%E7%9C%8C%E9%AB%98%E6%9D%BE%E5%B8%82%E5%8B%85%E4%BD%BF%E7%94%BA302-7,34.3088349,134.0098386,2024,うどん KAGAWA,udon_kagawa,発表日：2024年2月27日
手打ちうどんますや,香川県高松市春日町1743-2,食べログ うどん KAGAWA 百名店 2024,https://tabelog.com/kagawa/A3701/A370101/37005861/,https://www.google.com/maps/search/?api=1&query=%E6%89%8B%E6%89%93%E3%81%A1%E3%81%86%E3%81%A9%E3%82%93%E3%81%BE%E3%81%99%E3%82%84%20%E9%A6%99%E5%B7%9D%E7%9C%8C%E9%AB%98%E6%9D%BE%E5%B8%82%E6%98%A5%E6%97%A5%E7%94%BA1743-2,34.3373414,134.0944663,2024,うどん KAGAWA,udon_kagawa,発表日：2024年2月27日
元祖しょうゆうどん 小縣家,香川県仲多度郡まんのう町吉野1298-2,食べログ うどん KAGAWA 百名店 2024,https://tabelog.com/kagawa/A3703/A370302/37000004/,https://www.google.com/maps/search/?api=1&query=%E5%85%83%E7%A5%96%E3%81%97%E3%82%87%E3%81%86%E3%82%86%E3%81%86%E3%81%A9%E3%82%93%20%E5%B0%8F%E7%B8%A3%E5%AE%B6%20%E9%A6%99%E5%B7%9D%E7%9C%8C%E4%BB%B2%E5%A4%9A%E5%BA%A6%E9%83%A1%E3%81%BE%E3%82%93%E3%81%AE%E3%81%86%E7%94%BA%E5%90%89%E9%87%8E1298-2,34.1853755,133.8590058,2024,うどん KAGAWA,udon_kagawa,発表日：2024年2月27日
あづま,香川県高松市前田東町340-1,食べログ うどん KAGAWA 百名店 2024,https://tabelog.com/kagawa/A3701/A370101/37001224/,https://www.google.com/maps/search/?api=1&query=%E3%81%82%E3%81%A5%E3%81%BE%20%E9%A6%99%E5%B7%9D%E7%9C%8C%E9%AB%98%E6%9D%BE%E5%B8%82%E5%89%8D%E7%94%B0%E6%9D%B1%E7%94%BA340-1,34.2988403,134.1220450,2024,うどん KAGAWA,udon_kagawa,発表日：2024年2月27日
本格手打うどん 麺むすび,香川県高松市多肥下町949,食べログ うどん KAGAWA 百名店 2024,https://tabelog.com/kagawa/A3701/A370101/37004775/,https://www.google.com/maps/search/?api=1&query=%E6%9C%AC%E6%A0%BC%E6%89%8B%E6%89%93%E3%81%86%E3%81%A9%E3%82%93%20%E9%BA%BA%E3%82%80%E3%81%99%E3%81%B3%20%E9%A6%99%E5%B7%9D%E7%9C%8C%E9%AB%98%E6%9D%BE%E5%B8%82%E5%A4%9A%E8%82%A5%E4%B8%8B%E7%94%BA949,34.3065286,134.0575798,2024,うどん KAGAWA,udon_kagawa,発表日：2024年2月27日
手打うどん 風月,香川県高松市紺屋町4-13 中井ビル１F,食べログ うどん KAGAWA 百名店 2024,https://tabelog.com/kagawa/A3701/A370101/37001023/,https://www.google.com/maps/search/?api=1&query=%E6%89%8B%E6%89%93%E3%81%86%E3%81%A9%E3%82%93%20%E9%A2%A8%E6%9C%88%20%E9%A6%99%E5%B7%9D%E7%9C%8C%E9%AB%98%E6%9D%BE%E5%B8%82%E7%B4%BA%E5%B1%8B%E7%94%BA4-13%20%E4%B8%AD%E4%BA%95%E3%83%93%E3%83%AB%EF%BC%91F,34.3448880,134.0474591,2024,うどん KAGAWA,udon_kagawa,発表日：2024年2月27日
本格手打うどん はゆか,香川県綾歌郡綾川町羽床下2222-5,食べログ うどん KAGAWA 百名店 2024,https://tabelog.com/kagawa/A3702/A370202/37000233/,https://www.google.com/maps/search/?api=1&query=%E6%9C%AC%E6%A0%BC%E6%89%8B%E6%89%93%E3%81%86%E3%81%A9%E3%82%93%20%E3%81%AF%E3%82%86%E3%81%8B%20%E9%A6%99%E5%B7%9D%E7%9C%8C%E7%B6%BE%E6%AD%8C%E9%83%A1%E7%B6%BE%E5%B7%9D%E7%94%BA%E7%BE%BD%E5%BA%8A%E4%B8%8B2222-5,34.2323925,133.9048283,2024,うどん KAGAWA,udon_kagawa,発表日：2024年2月27日
手打うどん　源内,香川県さぬき市志度1597-10,食べログ うどん KAGAWA 百名店 2024,https://tabelog.com/kagawa/A3704/A370401/37000100/,https://www.google.com/maps/search/?api=1&query=%E6%89%8B%E6%89%93%E3%81%86%E3%81%A9%E3%82%93%E3%80%80%E6%BA%90%E5%86%85%20%E9%A6%99%E5%B7%9D%E7%9C%8C%E3%81%95%E3%81%AC%E3%81%8D%E5%B8%82%E5%BF%97%E5%BA%A61597-10,34.3214061,134.1956295,2024,うどん KAGAWA,udon_kagawa,発表日：2024年2月27日
手打ちうどん 歩,香川県丸亀市飯野町東二484,食べログ うどん KAGAWA 百名店 2024,https://tabelog.com/kagawa/A3702/A370202/37001376/,https://www.google.com/maps/search/?api=1&query=%E6%89%8B%E6%89%93%E3%81%A1%E3%81%86%E3%81%A9%E3%82%93%20%E6%AD%A9%20%E9%A6%99%E5%B7%9D%E7%9C%8C%E4%B8%B8%E4%BA%80%E5%B8%82%E9%A3%AF%E9%87%8E%E7%94%BA%E6%9D%B1%E4%BA%8C484,34.2650693,133.8362915,2024,うどん KAGAWA,udon_kagawa,発表日：2024年2月27日
宮川製麺所,香川県善通寺市中村町1-1-20,食べログ うどん KAGAWA 百名店 2024,https://tabelog.com/kagawa/A3703/A370302/37000128/,https://www.google.com/maps/search/?api=1&query=%E5%AE%AE%E5%B7%9D%E8%A3%BD%E9%BA%BA%E6%89%80%20%E9%A6%99%E5%B7%9D%E7%9C%8C%E5%96%84%E9%80%9A%E5%AF%BA%E5%B8%82%E4%B8%AD%E6%9D%91%E7%94%BA1-1-20,34.2314464,133.7719466,2024,うどん KAGAWA,udon_kagawa,発表日：2024年2月27日
手打ちうどん 鶴丸,香川県高松市古馬場町9-34,食べログ うどん KAGAWA 百名店 2024,https://tabelog.com/kagawa/A3701/A370101/37000044/,https://www.google.com/maps/search/?api=1&query=%E6%89%8B%E6%89%93%E3%81%A1%E3%81%86%E3%81%A9%E3%82%93%20%E9%B6%B4%E4%B8%B8%20%E9%A6%99%E5%B7%9D%E7%9C%8C%E9%AB%98%E6%9D%BE%E5%B8%82%E5%8F%A4%E9%A6%AC%E5%A0%B4%E7%94%BA9-34,34.3423885,134.0524050,2024,うどん KAGAWA,udon_kagawa,発表日：2024年2月27日
空海房,香川県高松市香南町岡199,食べログ うどん KAGAWA 百名店 2024,https://tabelog.com/kagawa/A3701/A370101/37005722/,https://www.google.com/maps/search/?api=1&query=%E7%A9%BA%E6%B5%B7%E6%88%BF%20%E9%A6%99%E5%B7%9D%E7%9C%8C%E9%AB%98%E6%9D%BE%E5%B8%82%E9%A6%99%E5%8D%97%E7%94%BA%E5%B2%A1199,34.2287844,134.0295015,2024,うどん KAGAWA,udon_kagawa,発表日：2024年2月27日
