Name,Address,Description,Website,Tabelog Reservation URL,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
桂ちゃん,大阪府大阪市平野区長吉長原東3-1-68,食べログ うどん WEST 百名店 2024,https://tabelog.com/osaka/A2701/A270405/27013633/,,https://www.google.com/maps/search/?api=1&query=%E6%A1%82%E3%81%A1%E3%82%83%E3%82%93%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E5%B9%B3%E9%87%8E%E5%8C%BA%E9%95%B7%E5%90%89%E9%95%B7%E5%8E%9F%E6%9D%B13-1-68,34.6016159,135.5742128,2024,うどん WEST,udon_west,発表日：2024年2月27日
うどん 蔵十,大阪府大阪市旭区中宮1-12-18,食べログ うどん WEST 百名店 2024,https://tabelog.com/osaka/A2701/A270304/27000719/,,https://www.google.com/maps/search/?api=1&query=%E3%81%86%E3%81%A9%E3%82%93%20%E8%94%B5%E5%8D%81%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E6%97%AD%E5%8C%BA%E4%B8%AD%E5%AE%AE1-12-18,34.7217295,135.5435316,2024,うどん WEST,udon_west,発表日：2024年2月27日
釜あげ饂飩 楽,大阪府大阪市西成区玉出西1-5-13,食べログ うどん WEST 百名店 2024,https://tabelog.com/osaka/A2701/A270406/27018449/,,https://www.google.com/maps/search/?api=1&query=%E9%87%9C%E3%81%82%E3%81%92%E9%A5%82%E9%A3%A9%20%E6%A5%BD%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E8%A5%BF%E6%88%90%E5%8C%BA%E7%8E%89%E5%87%BA%E8%A5%BF1-5-13,34.6267438,135.4903734,2024,うどん WEST,udon_west,発表日：2024年2月27日
うどんdining KONA×MIZU×SHIO,大阪府大阪市中央区南本町1-2-6 Fiore Building 1F,食べログ うどん WEST 百名店 2024,https://tabelog.com/osaka/A2701/A270106/27089426/,,https://www.google.com/maps/search/?api=1&query=%E3%81%86%E3%81%A9%E3%82%93dining%20KONA%C3%97MIZU%C3%97SHIO%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%8D%97%E6%9C%AC%E7%94%BA1-2-6%20Fiore%20Building%201F,34.6822522,135.5098775,2024,うどん WEST,udon_west,発表日：2024年2月27日
みやけうどん,福岡県福岡市博多区上呉服町10-24,食べログ うどん WEST 百名店 2024,https://tabelog.com/fukuoka/A4001/A400106/40003615/,,https://www.google.com/maps/search/?api=1&query=%E3%81%BF%E3%82%84%E3%81%91%E3%81%86%E3%81%A9%E3%82%93%20%E7%A6%8F%E5%B2%A1%E7%9C%8C%E7%A6%8F%E5%B2%A1%E5%B8%82%E5%8D%9A%E5%A4%9A%E5%8C%BA%E4%B8%8A%E5%91%89%E6%9C%8D%E7%94%BA10-24,33.5983619,130.4107012,2024,うどん WEST,udon_west,発表日：2024年2月27日
うどん平,福岡県福岡市博多区住吉5-10-7 第3住吉ハイツ 1F,食べログ うどん WEST 百名店 2024,https://tabelog.com/fukuoka/A4001/A400101/40052349/,,https://www.google.com/maps/search/?api=1&query=%E3%81%86%E3%81%A9%E3%82%93%E5%B9%B3%20%E7%A6%8F%E5%B2%A1%E7%9C%8C%E7%A6%8F%E5%B2%A1%E5%B8%82%E5%8D%9A%E5%A4%9A%E5%8C%BA%E4%BD%8F%E5%90%895-10-7%20%E7%AC%AC3%E4%BD%8F%E5%90%89%E3%83%8F%E3%82%A4%E3%83%84%201F,33.5831886,130.4160499,2024,うどん WEST,udon_west,発表日：2024年2月27日
釜喜利うどん,福岡県福岡市中央区大名1-7-8,食べログ うどん WEST 百名店 2024,https://tabelog.com/fukuoka/A4001/A400104/40034851/,,https://www.google.com/maps/search/?api=1&query=%E9%87%9C%E5%96%9C%E5%88%A9%E3%81%86%E3%81%A9%E3%82%93%20%E7%A6%8F%E5%B2%A1%E7%9C%8C%E7%A6%8F%E5%B2%A1%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%A4%A7%E5%90%8D1-7-8,33.5858298,130.3915708,2024,うどん WEST,udon_west,発表日：2024年2月27日
麺くい やまちゃん,大阪府堺市堺区一条通16-24,食べログ うどん WEST 百名店 2024,https://tabelog.com/osaka/A2705/A270501/27017764/,,https://www.google.com/maps/search/?api=1&query=%E9%BA%BA%E3%81%8F%E3%81%84%20%E3%82%84%E3%81%BE%E3%81%A1%E3%82%83%E3%82%93%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A0%BA%E5%B8%82%E5%A0%BA%E5%8C%BA%E4%B8%80%E6%9D%A1%E9%80%9A16-24,34.5703169,135.4820429,2024,うどん WEST,udon_west,発表日：2024年2月27日
極楽うどん Ah-麺,大阪府大阪市生野区生野西2-1-29 宇野ビル 1F,食べログ うどん WEST 百名店 2024,https://tabelog.com/osaka/A2701/A270306/27075334/,,https://www.google.com/maps/search/?api=1&query=%E6%A5%B5%E6%A5%BD%E3%81%86%E3%81%A9%E3%82%93%20Ah-%E9%BA%BA%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E7%94%9F%E9%87%8E%E5%8C%BA%E7%94%9F%E9%87%8E%E8%A5%BF2-1-29%20%E5%AE%87%E9%87%8E%E3%83%93%E3%83%AB%201F,34.6481466,135.5247537,2024,うどん WEST,udon_west,発表日：2024年2月27日
手造りうどん 楽々,大阪府交野市幾野6-6-1,食べログ うどん WEST 百名店 2024,https://tabelog.com/osaka/A2707/A270704/27011240/,,https://www.google.com/maps/search/?api=1&query=%E6%89%8B%E9%80%A0%E3%82%8A%E3%81%86%E3%81%A9%E3%82%93%20%E6%A5%BD%E3%80%85%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E4%BA%A4%E9%87%8E%E5%B8%82%E5%B9%BE%E9%87%8E6-6-1,34.8015616,135.6750204,2024,うどん WEST,udon_west,発表日：2024年2月27日
麺匠 空海,兵庫県西宮市津門稲荷町4-6,食べログ うどん WEST 百名店 2024,https://tabelog.com/hyogo/A2803/A280301/28003941/,,https://www.google.com/maps/search/?api=1&query=%E9%BA%BA%E5%8C%A0%20%E7%A9%BA%E6%B5%B7%20%E5%85%B5%E5%BA%AB%E7%9C%8C%E8%A5%BF%E5%AE%AE%E5%B8%82%E6%B4%A5%E9%96%80%E7%A8%B2%E8%8D%B7%E7%94%BA4-6,34.7371757,135.3510118,2024,うどん WEST,udon_west,発表日：2024年2月27日
活麺富蔵,大阪府四條畷市楠公2-8-26 谷山ビル　１F,食べログ うどん WEST 百名店 2024,https://tabelog.com/osaka/A2707/A270704/27052338/,,https://www.google.com/maps/search/?api=1&query=%E6%B4%BB%E9%BA%BA%E5%AF%8C%E8%94%B5%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%9B%9B%E6%A2%9D%E7%95%B7%E5%B8%82%E6%A5%A0%E5%85%AC2-8-26%20%E8%B0%B7%E5%B1%B1%E3%83%93%E3%83%AB%E3%80%80%EF%BC%91F,34.7324955,135.6398371,2024,うどん WEST,udon_west,発表日：2024年2月27日
讃岐屋 雅次郎,大阪府八尾市美園町4丁目59,食べログ うどん WEST 百名店 2024,https://tabelog.com/osaka/A2707/A270705/27019261/,,https://www.google.com/maps/search/?api=1&query=%E8%AE%83%E5%B2%90%E5%B1%8B%20%E9%9B%85%E6%AC%A1%E9%83%8E%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%85%AB%E5%B0%BE%E5%B8%82%E7%BE%8E%E5%9C%92%E7%94%BA4%E4%B8%81%E7%9B%AE59,34.6402083,135.5908146,2024,うどん WEST,udon_west,発表日：2024年2月27日
き田たけうどん,大阪府大阪市浪速区難波中2-4-17,食べログ うどん WEST 百名店 2024,https://tabelog.com/osaka/A2701/A270202/27103359/,,https://www.google.com/maps/search/?api=1&query=%E3%81%8D%E7%94%B0%E3%81%9F%E3%81%91%E3%81%86%E3%81%A9%E3%82%93%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E6%B5%AA%E9%80%9F%E5%8C%BA%E9%9B%A3%E6%B3%A2%E4%B8%AD2-4-17,34.6627477,135.5043460,2024,うどん WEST,udon_west,発表日：2024年2月27日
鍋焼うどん アサヒ,愛媛県松山市湊町3-10-11,食べログ うどん WEST 百名店 2024,https://tabelog.com/ehime/A3801/A380101/38000348/,,https://www.google.com/maps/search/?api=1&query=%E9%8D%8B%E7%84%BC%E3%81%86%E3%81%A9%E3%82%93%20%E3%82%A2%E3%82%B5%E3%83%92%20%E6%84%9B%E5%AA%9B%E7%9C%8C%E6%9D%BE%E5%B1%B1%E5%B8%82%E6%B9%8A%E7%94%BA3-10-11,33.8364096,132.7694250,2024,うどん WEST,udon_west,発表日：2024年2月27日
