Name,Address,Description,Website,Google Maps URL,Year,Genre,Genre Slug,Release Date
うなぎ 魚政,東京都葛飾区東四ツ木4-14-4,食べログ うなぎ 百名店 2024,https://tabelog.com/tokyo/A1324/A132403/13035339/,https://www.google.com/maps/search/?api=1&query=%E3%81%86%E3%81%AA%E3%81%8E%20%E9%AD%9A%E6%94%BF%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E8%91%9B%E9%A3%BE%E5%8C%BA%E6%9D%B1%E5%9B%9B%E3%83%84%E6%9C%A84-14-4,2024,うなぎ,unagi,発表日：2024年7月9日
吉寅,大阪府大阪市中央区備後町1-6-6,食べログ うなぎ 百名店 2024,https://tabelog.com/osaka/A2701/A270106/27001073/,https://www.google.com/maps/search/?api=1&query=%E5%90%89%E5%AF%85%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%82%99%E5%BE%8C%E7%94%BA1-6-6,2024,うなぎ,unagi,発表日：2024年7月9日
うな善,福岡県福岡市中央区高砂1-14-7-1,食べログ うなぎ 百名店 2024,https://tabelog.com/fukuoka/A4001/A400104/40005813/,https://www.google.com/maps/search/?api=1&query=%E3%81%86%E3%81%AA%E5%96%84%20%E7%A6%8F%E5%B2%A1%E7%9C%8C%E7%A6%8F%E5%B2%A1%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%AB%98%E7%A0%821-14-7-1,2024,うなぎ,unagi,発表日：2024年7月9日
鰻家,大阪府大阪市淀川区西中島4-5-22 第3新大阪ビル 1F,食べログ うなぎ 百名店 2024,https://tabelog.com/osaka/A2701/A270301/27080635/,https://www.google.com/maps/search/?api=1&query=%E9%B0%BB%E5%AE%B6%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E6%B7%80%E5%B7%9D%E5%8C%BA%E8%A5%BF%E4%B8%AD%E5%B3%B64-5-22%20%E7%AC%AC3%E6%96%B0%E5%A4%A7%E9%98%AA%E3%83%93%E3%83%AB%201F,2024,うなぎ,unagi,発表日：2024年7月9日
う嵐,滋賀県大津市浜大津3-3-2,食べログ うなぎ 百名店 2024,https://tabelog.com/shiga/A2501/A250101/25004102/,https://www.google.com/maps/search/?api=1&query=%E3%81%86%E5%B5%90%20%E6%BB%8B%E8%B3%80%E7%9C%8C%E5%A4%A7%E6%B4%A5%E5%B8%82%E6%B5%9C%E5%A4%A7%E6%B4%A53-3-2,2024,うなぎ,unagi,発表日：2024年7月9日
うなぎ家 しば福や,愛知県名古屋市西区那古野1-23-10,食べログ うなぎ 百名店 2024,https://tabelog.com/aichi/A2301/A230101/23067466/,https://www.google.com/maps/search/?api=1&query=%E3%81%86%E3%81%AA%E3%81%8E%E5%AE%B6%20%E3%81%97%E3%81%B0%EF%A8%9B%E3%82%84%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E8%A5%BF%E5%8C%BA%E9%82%A3%E5%8F%A4%E9%87%8E1-23-10,2024,うなぎ,unagi,発表日：2024年7月9日
鰻う おか冨士,愛知県名古屋市中区栄1-6-15 御園座タワー 1F,食べログ うなぎ 百名店 2024,https://tabelog.com/aichi/A2301/A230102/23066002/,https://www.google.com/maps/search/?api=1&query=%E9%B0%BB%E3%81%86%20%E3%81%8A%E3%81%8B%E5%86%A8%E5%A3%AB%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E4%B8%AD%E5%8C%BA%E6%A0%841-6-15%20%E5%BE%A1%E5%9C%92%E5%BA%A7%E3%82%BF%E3%83%AF%E3%83%BC%201F,2024,うなぎ,unagi,発表日：2024年7月9日
炭焼うなぎ あおいや,静岡県浜松市中央区飯田町616-2,食べログ うなぎ 百名店 2024,https://tabelog.com/shizuoka/A2202/A220201/22000099/,https://www.google.com/maps/search/?api=1&query=%E7%82%AD%E7%84%BC%E3%81%86%E3%81%AA%E3%81%8E%20%E3%81%82%E3%81%8A%E3%81%84%E3%82%84%20%E9%9D%99%E5%B2%A1%E7%9C%8C%E6%B5%9C%E6%9D%BE%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%A3%AF%E7%94%B0%E7%94%BA616-2,2024,うなぎ,unagi,発表日：2024年7月9日
うな貴,宮城県仙台市青葉区国分町3-2-18,食べログ うなぎ 百名店 2024,https://tabelog.com/miyagi/A0401/A040101/4000083/,https://www.google.com/maps/search/?api=1&query=%E3%81%86%E3%81%AA%E8%B2%B4%20%E5%AE%AE%E5%9F%8E%E7%9C%8C%E4%BB%99%E5%8F%B0%E5%B8%82%E9%9D%92%E8%91%89%E5%8C%BA%E5%9B%BD%E5%88%86%E7%94%BA3-2-18,2024,うなぎ,unagi,発表日：2024年7月9日
山の茶屋,東京都千代田区永田町2-10-6,食べログ うなぎ 百名店 2024,https://tabelog.com/tokyo/A1308/A130802/13002739/,https://www.google.com/maps/search/?api=1&query=%E5%B1%B1%E3%81%AE%E8%8C%B6%E5%B1%8B%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%8D%83%E4%BB%A3%E7%94%B0%E5%8C%BA%E6%B0%B8%E7%94%B0%E7%94%BA2-10-6,2024,うなぎ,unagi,発表日：2024年7月9日
