Name,Address,Description,Website,Tabelog Reservation URL,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
大阪屋 浜町店,長崎県長崎市浜町11-11,食べログ 焼肉 WEST 百名店 2024,https://tabelog.com/nagasaki/A4201/A420101/42000340/,https://tabelog.com/nagasaki/A4201/A420101/42000340/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E5%A4%A7%E9%98%AA%E5%B1%8B%20%E6%B5%9C%E7%94%BA%E5%BA%97%20%E9%95%B7%E5%B4%8E%E7%9C%8C%E9%95%B7%E5%B4%8E%E5%B8%82%E6%B5%9C%E7%94%BA11-11,32.7435599,129.8805129,2024,焼肉 WEST,yakiniku_west,発表日：2024年10月22日
焼肉たきもと,大阪府堺市北区中長尾町3-1-24,食べログ 焼肉 WEST 百名店 2024,https://tabelog.com/osaka/A2705/A270501/27019731/,https://tabelog.com/osaka/A2705/A270501/27019731/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E7%84%BC%E8%82%89%E3%81%9F%E3%81%8D%E3%82%82%E3%81%A8%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A0%BA%E5%B8%82%E5%8C%97%E5%8C%BA%E4%B8%AD%E9%95%B7%E5%B0%BE%E7%94%BA3-1-24,34.5729523,135.5001902,2024,焼肉 WEST,yakiniku_west,発表日：2024年10月22日
オカダ食品株式会社,兵庫県神戸市中央区楠町1-3-10 2F,食べログ 焼肉 WEST 百名店 2024,https://tabelog.com/hyogo/A2801/A280102/28042651/,,https://www.google.com/maps/search/?api=1&query=%E3%82%AA%E3%82%AB%E3%83%80%E9%A3%9F%E5%93%81%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%20%E5%85%B5%E5%BA%AB%E7%9C%8C%E7%A5%9E%E6%88%B8%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E6%A5%A0%E7%94%BA1-3-10%202F,34.6847014,135.1774121,2024,焼肉 WEST,yakiniku_west,発表日：2024年10月22日
祇園 鹿六,京都府京都市東山区八坂通東大路西入ル小松町566-25,食べログ 焼肉 WEST 百名店 2024,https://tabelog.com/kyoto/A2601/A260301/26002425/,https://tabelog.com/kyoto/A2601/A260301/26002425/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E7%A5%87%E5%9C%92%20%E9%B9%BF%E5%85%AD%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E6%9D%B1%E5%B1%B1%E5%8C%BA%E5%85%AB%E5%9D%82%E9%80%9A%E6%9D%B1%E5%A4%A7%E8%B7%AF%E8%A5%BF%E5%85%A5%E3%83%AB%E5%B0%8F%E6%9D%BE%E7%94%BA566-25,34.9989104,135.7752477,2024,焼肉 WEST,yakiniku_west,発表日：2024年10月22日
奈良きみや 別邸 柘榴,大阪府大阪市北区西天満2-7-19 西宝ビル 1F,食べログ 焼肉 WEST 百名店 2024,https://tabelog.com/osaka/A2701/A270101/27113560/,,https://www.google.com/maps/search/?api=1&query=%E5%A5%88%E8%89%AF%E3%81%8D%E3%81%BF%E3%82%84%20%E5%88%A5%E9%82%B8%20%E6%9F%98%E6%A6%B4%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E5%8C%97%E5%8C%BA%E8%A5%BF%E5%A4%A9%E6%BA%802-7-19%20%E8%A5%BF%E5%AE%9D%E3%83%93%E3%83%AB%201F,34.6963110,135.5016890,2024,焼肉 WEST,yakiniku_west,発表日：2024年10月22日
生ホルモン処 京洛 にくぷく,大阪府大阪市中央区難波千日前12-15,食べログ 焼肉 WEST 百名店 2024,https://tabelog.com/osaka/A2701/A270202/27126961/,,https://www.google.com/maps/search/?api=1&query=%E7%94%9F%E3%83%9B%E3%83%AB%E3%83%A2%E3%83%B3%E5%87%A6%20%E4%BA%AC%E6%B4%9B%20%E3%81%AB%E3%81%8F%E3%81%B7%E3%81%8F%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%9B%A3%E6%B3%A2%E5%8D%83%E6%97%A5%E5%89%8D12-15,34.6644233,135.5028770,2024,焼肉 WEST,yakiniku_west,発表日：2024年10月22日
焼肉 吉田 新館,大阪府大阪市天王寺区東上町3-15,食べログ 焼肉 WEST 百名店 2024,https://tabelog.com/osaka/A2701/A270205/27000572/,,https://www.google.com/maps/search/?api=1&query=%E7%84%BC%E8%82%89%20%E5%90%89%E7%94%B0%20%E6%96%B0%E9%A4%A8%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E5%A4%A9%E7%8E%8B%E5%AF%BA%E5%8C%BA%E6%9D%B1%E4%B8%8A%E7%94%BA3-15,34.6645531,135.5286546,2024,焼肉 WEST,yakiniku_west,発表日：2024年10月22日
肉師じじい,大阪府大阪市都島区御幸町1-2-31 1F,食べログ 焼肉 WEST 百名店 2024,https://tabelog.com/osaka/A2701/A270304/27097694/,https://tabelog.com/osaka/A2701/A270304/27097694/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E8%82%89%E5%B8%AB%E3%81%98%E3%81%98%E3%81%84%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E9%83%BD%E5%B3%B6%E5%8C%BA%E5%BE%A1%E5%B9%B8%E7%94%BA1-2-31%201F,34.7120598,135.5337617,2024,焼肉 WEST,yakiniku_west,発表日：2024年10月22日
焼肉 白雲台 鶴橋駅前店,大阪府大阪市天王寺区下味原町5-26,食べログ 焼肉 WEST 百名店 2024,https://tabelog.com/osaka/A2701/A270205/27006730/,https://tabelog.com/osaka/A2701/A270205/27006730/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E7%84%BC%E8%82%89%20%E7%99%BD%E9%9B%B2%E5%8F%B0%20%E9%B6%B4%E6%A9%8B%E9%A7%85%E5%89%8D%E5%BA%97%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E5%A4%A9%E7%8E%8B%E5%AF%BA%E5%8C%BA%E4%B8%8B%E5%91%B3%E5%8E%9F%E7%94%BA5-26,34.6654853,135.5300533,2024,焼肉 WEST,yakiniku_west,発表日：2024年10月22日
満月,兵庫県神戸市中央区下山手通8-7-3,食べログ 焼肉 WEST 百名店 2024,https://tabelog.com/hyogo/A2801/A280102/28000918/,,https://www.google.com/maps/search/?api=1&query=%E6%BA%80%E6%9C%88%20%E5%85%B5%E5%BA%AB%E7%9C%8C%E7%A5%9E%E6%88%B8%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E4%B8%8B%E5%B1%B1%E6%89%8B%E9%80%9A8-7-3,34.6853072,135.1792549,2024,焼肉 WEST,yakiniku_west,発表日：2024年10月22日
