Name,Address,Description,Website,Tabelog Reservation URL,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
とり澤,東京都目黒区上目黒1-5-13 メゾン中目黒 1F,食べログ 焼き鳥 EAST 百名店 2024,https://tabelog.com/tokyo/A1317/A131701/13248473/,https://tabelog.com/tokyo/A1317/A131701/13248473/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E3%81%A8%E3%82%8A%E6%BE%A4%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E7%9B%AE%E9%BB%92%E5%8C%BA%E4%B8%8A%E7%9B%AE%E9%BB%921-5-13%20%E3%83%A1%E3%82%BE%E3%83%B3%E4%B8%AD%E7%9B%AE%E9%BB%92%201F,35.6448333,139.7002307,2024,焼き鳥 EAST,yakitori_east,発表日：2024年11月6日
炭焼 TORI8,東京都中央区日本橋2-10-11 Ordin日本橋ビル 8F,食べログ 焼き鳥 EAST 百名店 2024,https://tabelog.com/tokyo/A1302/A130202/13293712/,,https://www.google.com/maps/search/?api=1&query=%E7%82%AD%E7%84%BC%20TORI8%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E6%97%A5%E6%9C%AC%E6%A9%8B2-10-11%20Ordin%E6%97%A5%E6%9C%AC%E6%A9%8B%E3%83%93%E3%83%AB%208F,35.6810032,139.7745839,2024,焼き鳥 EAST,yakitori_east,発表日：2024年11月6日
とりアロマ,東京都千代田区神田神保町2-12-3,食べログ 焼き鳥 EAST 百名店 2024,https://tabelog.com/tokyo/A1310/A131003/13280797/,,https://www.google.com/maps/search/?api=1&query=%E3%81%A8%E3%82%8A%E3%82%A2%E3%83%AD%E3%83%9E%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%8D%83%E4%BB%A3%E7%94%B0%E5%8C%BA%E7%A5%9E%E7%94%B0%E7%A5%9E%E4%BF%9D%E7%94%BA2-12-3,35.6965254,139.7567004,2024,焼き鳥 EAST,yakitori_east,発表日：2024年11月6日
鳥よし 中目黒本店,東京都目黒区上目黒2-8-6 谷島ビル　１Ｆ,食べログ 焼き鳥 EAST 百名店 2024,https://tabelog.com/tokyo/A1317/A131701/13003200/,,https://www.google.com/maps/search/?api=1&query=%E9%B3%A5%E3%82%88%E3%81%97%20%E4%B8%AD%E7%9B%AE%E9%BB%92%E6%9C%AC%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E7%9B%AE%E9%BB%92%E5%8C%BA%E4%B8%8A%E7%9B%AE%E9%BB%922-8-6%20%E8%B0%B7%E5%B3%B6%E3%83%93%E3%83%AB%E3%80%80%EF%BC%91%EF%BC%A6,35.6423786,139.6990935,2024,焼き鳥 EAST,yakitori_east,発表日：2024年11月6日
焼鳥 嘉とう,東京都港区三田3-3-2 豊田ビル 2F,食べログ 焼き鳥 EAST 百名店 2024,https://tabelog.com/tokyo/A1314/A131402/13193773/,https://tabelog.com/tokyo/A1314/A131402/13193773/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E7%84%BC%E9%B3%A5%20%E5%98%89%E3%81%A8%E3%81%86%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E4%B8%89%E7%94%B03-3-2%20%E8%B1%8A%E7%94%B0%E3%83%93%E3%83%AB%202F,35.6473116,139.7436289,2024,焼き鳥 EAST,yakitori_east,発表日：2024年11月6日
銀座バードランド,東京都中央区銀座4-2-15 塚本素山ビル　Ｂ１Ｆ,食べログ 焼き鳥 EAST 百名店 2024,https://tabelog.com/tokyo/A1301/A130101/13004097/,,https://www.google.com/maps/search/?api=1&query=%E9%8A%80%E5%BA%A7%E3%83%90%E3%83%BC%E3%83%89%E3%83%A9%E3%83%B3%E3%83%89%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%8A%80%E5%BA%A74-2-15%20%E5%A1%9A%E6%9C%AC%E7%B4%A0%E5%B1%B1%E3%83%93%E3%83%AB%E3%80%80%EF%BC%A2%EF%BC%91%EF%BC%A6,35.6727936,139.7639019,2024,焼き鳥 EAST,yakitori_east,発表日：2024年11月6日
焼鳥 山香,東京都新宿区矢来町64-4 DEAR神楽坂 2F,食べログ 焼き鳥 EAST 百名店 2024,https://tabelog.com/tokyo/A1309/A130905/13245585/,,https://www.google.com/maps/search/?api=1&query=%E7%84%BC%E9%B3%A5%20%E5%B1%B1%E9%A6%99%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E7%9F%A2%E6%9D%A5%E7%94%BA64-4%20DEAR%E7%A5%9E%E6%A5%BD%E5%9D%82%202F,35.7034887,139.7328096,2024,焼き鳥 EAST,yakitori_east,発表日：2024年11月6日
鳥さわ 麻布十番,東京都港区麻布十番3-3-4 サンピア麻布十番 8F,食べログ 焼き鳥 EAST 百名店 2024,https://tabelog.com/tokyo/A1307/A130702/13234334/,,https://www.google.com/maps/search/?api=1&query=%E9%B3%A5%E3%81%95%E3%82%8F%20%E9%BA%BB%E5%B8%83%E5%8D%81%E7%95%AA%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E9%BA%BB%E5%B8%83%E5%8D%81%E7%95%AA3-3-4%20%E3%82%B5%E3%83%B3%E3%83%94%E3%82%A2%E9%BA%BB%E5%B8%83%E5%8D%81%E7%95%AA%208F,35.6537448,139.7358341,2024,焼き鳥 EAST,yakitori_east,発表日：2024年11月6日
地葉 栄,愛知県名古屋市中区栄3-19-20 GL栄ビル 2F,食べログ 焼き鳥 EAST 百名店 2024,https://tabelog.com/aichi/A2301/A230103/23074332/,,https://www.google.com/maps/search/?api=1&query=%E5%9C%B0%E8%91%89%20%E6%A0%84%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E4%B8%AD%E5%8C%BA%E6%A0%843-19-20%20GL%E6%A0%84%E3%83%93%E3%83%AB%202F,35.1652550,136.9041444,2024,焼き鳥 EAST,yakitori_east,発表日：2024年11月6日
酒亭 田中,東京都墨田区墨田3-25-7,食べログ 焼き鳥 EAST 百名店 2024,https://tabelog.com/tokyo/A1312/A131203/13285811/,,https://www.google.com/maps/search/?api=1&query=%E9%85%92%E4%BA%AD%20%E7%94%B0%E4%B8%AD%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%A2%A8%E7%94%B0%E5%8C%BA%E5%A2%A8%E7%94%B03-25-7,35.7307105,139.8195587,2024,焼き鳥 EAST,yakitori_east,発表日：2024年11月6日
