Name,Address,Description,Website,Tabelog Reservation URL,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
yaab thai,愛知県名古屋市中区栄3-13-6 LEXT HOUSE B1F,食べログ アジア・エスニック EAST 百名店 2024,https://tabelog.com/aichi/A2301/A230103/23078088/,https://tabelog.com/aichi/A2301/A230103/23078088/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=yaab%20thai%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E4%B8%AD%E5%8C%BA%E6%A0%843-13-6%20LEXT%20HOUSE%20B1F,35.1665556,136.9054045,2024,アジア・エスニック EAST,asia_ethnic_east,発表日：2024年7月23日
ラオパサ,愛知県名古屋市東区泉2-13-4 カスティロ泉１B,食べログ アジア・エスニック EAST 百名店 2024,https://tabelog.com/aichi/A2301/A230104/23004325/,https://tabelog.com/aichi/A2301/A230104/23004325/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E3%83%A9%E3%82%AA%E3%83%91%E3%82%B5%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E6%9D%B1%E5%8C%BA%E6%B3%892-13-4%20%E3%82%AB%E3%82%B9%E3%83%86%E3%82%A3%E3%83%AD%E6%B3%89%EF%BC%91B,35.1769494,136.9147853,2024,アジア・エスニック EAST,asia_ethnic_east,発表日：2024年7月23日
マーライオン,愛知県名古屋市東区矢田1-5-26,食べログ アジア・エスニック EAST 百名店 2024,https://tabelog.com/aichi/A2301/A230110/23000941/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%83%9E%E3%83%BC%E3%83%A9%E3%82%A4%E3%82%AA%E3%83%B3%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E6%9D%B1%E5%8C%BA%E7%9F%A2%E7%94%B01-5-26,35.1923335,136.9386908,2024,アジア・エスニック EAST,asia_ethnic_east,発表日：2024年7月23日
しみず,愛知県名古屋市北区清水2丁目4-6 清水ビル１F,食べログ アジア・エスニック EAST 百名店 2024,https://tabelog.com/aichi/A2301/A230110/23037011/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%81%97%E3%81%BF%E3%81%9A%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E5%8C%97%E5%8C%BA%E6%B8%85%E6%B0%B42%E4%B8%81%E7%9B%AE4-6%20%E6%B8%85%E6%B0%B4%E3%83%93%E3%83%AB%EF%BC%91F,35.1869178,136.9136911,2024,アジア・エスニック EAST,asia_ethnic_east,発表日：2024年7月23日
グート,長野県上伊那郡箕輪町中箕輪542-1 古民家 箕澤屋,食べログ アジア・エスニック EAST 百名店 2024,https://tabelog.com/nagano/A2006/A200601/20022280/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%82%B0%E3%83%BC%E3%83%88%20%E9%95%B7%E9%87%8E%E7%9C%8C%E4%B8%8A%E4%BC%8A%E9%82%A3%E9%83%A1%E7%AE%95%E8%BC%AA%E7%94%BA%E4%B8%AD%E7%AE%95%E8%BC%AA542-1%20%E5%8F%A4%E6%B0%91%E5%AE%B6%20%E7%AE%95%E6%BE%A4%E5%B1%8B,35.9331844,137.9854764,2024,アジア・エスニック EAST,asia_ethnic_east,発表日：2024年7月23日
ナマステ 蓼科店,長野県茅野市北山鹿山4026-2 東急リゾートタウン内,食べログ アジア・エスニック EAST 百名店 2024,https://tabelog.com/nagano/A2004/A200403/20000030/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%83%8A%E3%83%9E%E3%82%B9%E3%83%86%20%E8%93%BC%E7%A7%91%E5%BA%97%20%E9%95%B7%E9%87%8E%E7%9C%8C%E8%8C%85%E9%87%8E%E5%B8%82%E5%8C%97%E5%B1%B1%E9%B9%BF%E5%B1%B14026-2%20%E6%9D%B1%E6%80%A5%E3%83%AA%E3%82%BE%E3%83%BC%E3%83%88%E3%82%BF%E3%82%A6%E3%83%B3%E5%86%85,36.0692169,138.2544404,2024,アジア・エスニック EAST,asia_ethnic_east,発表日：2024年7月23日
インターナショナルビレッジ,愛知県弥富市稲荷2-72-1,食べログ アジア・エスニック EAST 百名店 2024,https://tabelog.com/aichi/A2302/A230202/23068551/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%82%A4%E3%83%B3%E3%82%BF%E3%83%BC%E3%83%8A%E3%82%B7%E3%83%A7%E3%83%8A%E3%83%AB%E3%83%93%E3%83%AC%E3%83%83%E3%82%B8%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%BC%A5%E5%AF%8C%E5%B8%82%E7%A8%B2%E8%8D%B72-72-1,35.0755576,136.7771602,2024,アジア・エスニック EAST,asia_ethnic_east,発表日：2024年7月23日
ネパールステーション,愛知県名古屋市中区丸の内2-14-15 河合ビル 2F,食べログ アジア・エスニック EAST 百名店 2024,https://tabelog.com/aichi/A2301/A230102/23066065/,https://tabelog.com/aichi/A2301/A230102/23066065/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E3%83%8D%E3%83%91%E3%83%BC%E3%83%AB%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E4%B8%AD%E5%8C%BA%E4%B8%B8%E3%81%AE%E5%86%852-14-15%20%E6%B2%B3%E5%90%88%E3%83%93%E3%83%AB%202F,35.1744906,136.9003291,2024,アジア・エスニック EAST,asia_ethnic_east,発表日：2024年7月23日
円頓寺マッコリ醸造所,愛知県名古屋市西区那古野2-12-22 シャルマンソワレ名駅 1F,食べログ アジア・エスニック EAST 百名店 2024,https://tabelog.com/aichi/A2301/A230101/23086208/,https://tabelog.com/aichi/A2301/A230101/23086208/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E5%86%86%E9%A0%93%E5%AF%BA%E3%83%9E%E3%83%83%E3%82%B3%E3%83%AA%E9%86%B8%E9%80%A0%E6%89%80%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E8%A5%BF%E5%8C%BA%E9%82%A3%E5%8F%A4%E9%87%8E2-12-22%20%E3%82%B7%E3%83%A3%E3%83%AB%E3%83%9E%E3%83%B3%E3%82%BD%E3%83%AF%E3%83%AC%E5%90%8D%E9%A7%85%201F,35.1770292,136.8866348,2024,アジア・エスニック EAST,asia_ethnic_east,発表日：2024年7月23日
ワルン プアン,愛知県名古屋市千種区今池1-14-8,食べログ アジア・エスニック EAST 百名店 2024,https://tabelog.com/aichi/A2301/A230106/23081177/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%83%AF%E3%83%AB%E3%83%B3%20%E3%83%97%E3%82%A2%E3%83%B3%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E5%8D%83%E7%A8%AE%E5%8C%BA%E4%BB%8A%E6%B1%A01-14-8,35.1682181,136.9354579,2024,アジア・エスニック EAST,asia_ethnic_east,発表日：2024年7月23日
スコンター 錦店,愛知県名古屋市中区錦3-18-13 アミューズ錦 1F,食べログ アジア・エスニック EAST 百名店 2024,https://tabelog.com/aichi/A2301/A230103/23003874/,https://tabelog.com/aichi/A2301/A230103/23003874/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E3%82%B9%E3%82%B3%E3%83%B3%E3%82%BF%E3%83%BC%20%E9%8C%A6%E5%BA%97%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E4%B8%AD%E5%8C%BA%E9%8C%A63-18-13%20%E3%82%A2%E3%83%9F%E3%83%A5%E3%83%BC%E3%82%BA%E9%8C%A6%201F,35.1702191,136.9052062,2024,アジア・エスニック EAST,asia_ethnic_east,発表日：2024年7月23日
