Name,Address,Description,Website,Google Maps URL,Year,Genre,Genre Slug,Release Date
think食堂,大阪府大阪市北区中津3-10-4 西田ビル 1F,食べログ アジア・エスニック WEST 百名店 2024,https://tabelog.com/osaka/A2701/A270101/27085129/,https://www.google.com/maps/search/?api=1&query=think%E9%A3%9F%E5%A0%82%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E5%8C%97%E5%8C%BA%E4%B8%AD%E6%B4%A53-10-4%20%E8%A5%BF%E7%94%B0%E3%83%93%E3%83%AB%201F,2024,アジア・エスニック WEST,asia_ethnic_west,発表日：2024年7月23日
majide hamal,兵庫県尼崎市南武庫之荘1-14-20 ジミーズマーケット 1F,食べログ アジア・エスニック WEST 百名店 2024,https://tabelog.com/hyogo/A2803/A280304/28029394/,https://www.google.com/maps/search/?api=1&query=majide%20hamal%20%E5%85%B5%E5%BA%AB%E7%9C%8C%E5%B0%BC%E5%B4%8E%E5%B8%82%E5%8D%97%E6%AD%A6%E5%BA%AB%E4%B9%8B%E8%8D%981-14-20%20%E3%82%B8%E3%83%9F%E3%83%BC%E3%82%BA%E3%83%9E%E3%83%BC%E3%82%B1%E3%83%83%E3%83%88%201F,2024,アジア・エスニック WEST,asia_ethnic_west,発表日：2024年7月23日
スパイスカレーまるせ,大阪府大阪市北区中津1-11-28,食べログ アジア・エスニック WEST 百名店 2024,https://tabelog.com/osaka/A2701/A270101/27076552/,https://www.google.com/maps/search/?api=1&query=%E3%82%B9%E3%83%91%E3%82%A4%E3%82%B9%E3%82%AB%E3%83%AC%E3%83%BC%E3%81%BE%E3%82%8B%E3%81%9B%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E5%8C%97%E5%8C%BA%E4%B8%AD%E6%B4%A51-11-28,2024,アジア・エスニック WEST,asia_ethnic_west,発表日：2024年7月23日
スンドゥブチゲタン,兵庫県尼崎市東難波町5-16-28,食べログ アジア・エスニック WEST 百名店 2024,https://tabelog.com/hyogo/A2803/A280304/28047288/,https://www.google.com/maps/search/?api=1&query=%E3%82%B9%E3%83%B3%E3%83%89%E3%82%A5%E3%83%96%E3%83%81%E3%82%B2%E3%82%BF%E3%83%B3%20%E5%85%B5%E5%BA%AB%E7%9C%8C%E5%B0%BC%E5%B4%8E%E5%B8%82%E6%9D%B1%E9%9B%A3%E6%B3%A2%E7%94%BA5-16-28,2024,アジア・エスニック WEST,asia_ethnic_west,発表日：2024年7月23日
O'KINY,兵庫県西宮市北名次町10-12 夙川サニーガーデン 2F,食べログ アジア・エスニック WEST 百名店 2024,https://tabelog.com/hyogo/A2803/A280301/28013567/,https://www.google.com/maps/search/?api=1&query=O%27KINY%20%E5%85%B5%E5%BA%AB%E7%9C%8C%E8%A5%BF%E5%AE%AE%E5%B8%82%E5%8C%97%E5%90%8D%E6%AC%A1%E7%94%BA10-12%20%E5%A4%99%E5%B7%9D%E3%82%B5%E3%83%8B%E3%83%BC%E3%82%AC%E3%83%BC%E3%83%87%E3%83%B3%202F,2024,アジア・エスニック WEST,asia_ethnic_west,発表日：2024年7月23日
チェディルアン 淀屋橋,大阪府大阪市中央区北浜4-7-28 住友ビル2号館,食べログ アジア・エスニック WEST 百名店 2024,https://tabelog.com/osaka/A2701/A270102/27067234/,https://www.google.com/maps/search/?api=1&query=%E3%83%81%E3%82%A7%E3%83%87%E3%82%A3%E3%83%AB%E3%82%A2%E3%83%B3%20%E6%B7%80%E5%B1%8B%E6%A9%8B%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%8C%97%E6%B5%9C4-7-28%20%E4%BD%8F%E5%8F%8B%E3%83%93%E3%83%AB2%E5%8F%B7%E9%A4%A8,2024,アジア・エスニック WEST,asia_ethnic_west,発表日：2024年7月23日
ビリヤニ専門店 INDIA GATE,京都府京都市中京区天神山町271,食べログ アジア・エスニック WEST 百名店 2024,https://tabelog.com/kyoto/A2601/A260201/26034529/,https://www.google.com/maps/search/?api=1&query=%E3%83%93%E3%83%AA%E3%83%A4%E3%83%8B%E5%B0%82%E9%96%80%E5%BA%97%20INDIA%20GATE%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E4%B8%AD%E4%BA%AC%E5%8C%BA%E5%A4%A9%E7%A5%9E%E5%B1%B1%E7%94%BA271,2024,アジア・エスニック WEST,asia_ethnic_west,発表日：2024年7月23日
レモングラスハウス,大阪府茨木市西駅前町3-21 ステーション・プラザ 1F,食べログ アジア・エスニック WEST 百名店 2024,https://tabelog.com/osaka/A2706/A270604/27093976/,https://www.google.com/maps/search/?api=1&query=%E3%83%AC%E3%83%A2%E3%83%B3%E3%82%B0%E3%83%A9%E3%82%B9%E3%83%8F%E3%82%A6%E3%82%B9%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E8%8C%A8%E6%9C%A8%E5%B8%82%E8%A5%BF%E9%A7%85%E5%89%8D%E7%94%BA3-21%20%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%83%BB%E3%83%97%E3%83%A9%E3%82%B6%201F,2024,アジア・エスニック WEST,asia_ethnic_west,発表日：2024年7月23日
玉一,大阪府大阪市北区池田町17-4,食べログ アジア・エスニック WEST 百名店 2024,https://tabelog.com/osaka/A2701/A270103/27000527/,https://www.google.com/maps/search/?api=1&query=%E7%8E%89%E4%B8%80%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E5%8C%97%E5%8C%BA%E6%B1%A0%E7%94%B0%E7%94%BA17-4,2024,アジア・エスニック WEST,asia_ethnic_west,発表日：2024年7月23日
韓味一 朴邸,大阪府大阪市西区靭本町1-7-17 ラシーヌ四ツ橋 B1F,食べログ アジア・エスニック WEST 百名店 2024,https://tabelog.com/osaka/A2701/A270106/27094202/,https://www.google.com/maps/search/?api=1&query=%E9%9F%93%E5%91%B3%E4%B8%80%20%E6%9C%B4%E9%82%B8%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E8%A5%BF%E5%8C%BA%E9%9D%AD%E6%9C%AC%E7%94%BA1-7-17%20%E3%83%A9%E3%82%B7%E3%83%BC%E3%83%8C%E5%9B%9B%E3%83%84%E6%A9%8B%20B1F,2024,アジア・エスニック WEST,asia_ethnic_west,発表日：2024年7月23日
