Name,Address,Description,Website,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
みち草バザール,北海道札幌市中央区南六条西22-3-56,食べログ アジア・エスニック EAST 百名店 2024,https://tabelog.com/hokkaido/A0101/A010105/1063629/,https://www.google.com/maps/search/?api=1&query=%E3%81%BF%E3%81%A1%E8%8D%89%E3%83%90%E3%82%B6%E3%83%BC%E3%83%AB%20%E5%8C%97%E6%B5%B7%E9%81%93%E6%9C%AD%E5%B9%8C%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%8D%97%E5%85%AD%E6%9D%A1%E8%A5%BF22-3-56,43.0500379,141.3255175,2024,アジア・エスニック EAST,asia_ethnic_east,発表日：2024年7月23日
韓国家庭料理 扶餘,宮城県仙台市若林区新寺1-2-13 渡辺ビル　１Ｆ,食べログ アジア・エスニック EAST 百名店 2024,https://tabelog.com/miyagi/A0401/A040103/4002098/,https://www.google.com/maps/search/?api=1&query=%E9%9F%93%E5%9B%BD%E5%AE%B6%E5%BA%AD%E6%96%99%E7%90%86%20%E6%89%B6%E9%A4%98%20%E5%AE%AE%E5%9F%8E%E7%9C%8C%E4%BB%99%E5%8F%B0%E5%B8%82%E8%8B%A5%E6%9E%97%E5%8C%BA%E6%96%B0%E5%AF%BA1-2-13%20%E6%B8%A1%E8%BE%BA%E3%83%93%E3%83%AB%E3%80%80%EF%BC%91%EF%BC%A6,38.2573372,140.8836343,2024,アジア・エスニック EAST,asia_ethnic_east,発表日：2024年7月23日
ジャド プール,北海道札幌市中央区南6西24-3-21 1F・2F,食べログ アジア・エスニック EAST 百名店 2024,https://tabelog.com/hokkaido/A0101/A010105/1046448/,https://www.google.com/maps/search/?api=1&query=%E3%82%B8%E3%83%A3%E3%83%89%20%E3%83%97%E3%83%BC%E3%83%AB%20%E5%8C%97%E6%B5%B7%E9%81%93%E6%9C%AD%E5%B9%8C%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%8D%976%E8%A5%BF24-3-21%201F%E3%83%BB2F,43.0494259,141.3223567,2024,アジア・エスニック EAST,asia_ethnic_east,発表日：2024年7月23日
SOI maruyama,北海道札幌市中央区南2条西24-2-1 裏参道24ビル 1F,食べログ アジア・エスニック EAST 百名店 2024,https://tabelog.com/hokkaido/A0101/A010105/1053270/,https://www.google.com/maps/search/?api=1&query=SOI%20maruyama%20%E5%8C%97%E6%B5%B7%E9%81%93%E6%9C%AD%E5%B9%8C%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%8D%972%E6%9D%A1%E8%A5%BF24-2-1%20%E8%A3%8F%E5%8F%82%E9%81%9324%E3%83%93%E3%83%AB%201F,43.0548140,141.3208446,2024,アジア・エスニック EAST,asia_ethnic_east,発表日：2024年7月23日
ジャイ,山形県山形市七日町2-3-30,食べログ アジア・エスニック EAST 百名店 2024,https://tabelog.com/yamagata/A0601/A060101/6002608/,https://www.google.com/maps/search/?api=1&query=%E3%82%B8%E3%83%A3%E3%82%A4%20%E5%B1%B1%E5%BD%A2%E7%9C%8C%E5%B1%B1%E5%BD%A2%E5%B8%82%E4%B8%83%E6%97%A5%E7%94%BA2-3-30,38.2514260,140.3405528,2024,アジア・エスニック EAST,asia_ethnic_east,発表日：2024年7月23日
あちゃーる,宮城県仙台市泉区高森5-15-7,食べログ アジア・エスニック EAST 百名店 2024,https://tabelog.com/miyagi/A0401/A040104/4003415/,https://www.google.com/maps/search/?api=1&query=%E3%81%82%E3%81%A1%E3%82%83%E3%83%BC%E3%82%8B%20%E5%AE%AE%E5%9F%8E%E7%9C%8C%E4%BB%99%E5%8F%B0%E5%B8%82%E6%B3%89%E5%8C%BA%E9%AB%98%E6%A3%AE5-15-7,38.3360020,140.8528095,2024,アジア・エスニック EAST,asia_ethnic_east,発表日：2024年7月23日
インドレストラン ラム,北海道札幌市北区北32条西4丁目1-12 パレロワイヤル １Ｆ,食べログ アジア・エスニック EAST 百名店 2024,https://tabelog.com/hokkaido/A0101/A010201/1004045/,https://www.google.com/maps/search/?api=1&query=%E3%82%A4%E3%83%B3%E3%83%89%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%20%E3%83%A9%E3%83%A0%20%E5%8C%97%E6%B5%B7%E9%81%93%E6%9C%AD%E5%B9%8C%E5%B8%82%E5%8C%97%E5%8C%BA%E5%8C%9732%E6%9D%A1%E8%A5%BF4%E4%B8%81%E7%9B%AE1-12%20%E3%83%91%E3%83%AC%E3%83%AD%E3%83%AF%E3%82%A4%E3%83%A4%E3%83%AB%20%EF%BC%91%EF%BC%A6,43.0986463,141.3410393,2024,アジア・エスニック EAST,asia_ethnic_east,発表日：2024年7月23日
ちきゅうや 本町本店,岩手県盛岡市本町通1-17-27 テンロードナカムラ２F,食べログ アジア・エスニック EAST 百名店 2024,https://tabelog.com/iwate/A0301/A030101/3006055/,https://www.google.com/maps/search/?api=1&query=%E3%81%A1%E3%81%8D%E3%82%85%E3%81%86%E3%82%84%20%E6%9C%AC%E7%94%BA%E6%9C%AC%E5%BA%97%20%E5%B2%A9%E6%89%8B%E7%9C%8C%E7%9B%9B%E5%B2%A1%E5%B8%82%E6%9C%AC%E7%94%BA%E9%80%9A1-17-27%20%E3%83%86%E3%83%B3%E3%83%AD%E3%83%BC%E3%83%89%E3%83%8A%E3%82%AB%E3%83%A0%E3%83%A9%EF%BC%92F,39.7056176,141.1524936,2024,アジア・エスニック EAST,asia_ethnic_east,発表日：2024年7月23日
Cao★マンガイ,北海道札幌市中央区南5条西4-1-3 日劇ビル 2F,食べログ アジア・エスニック EAST 百名店 2024,https://tabelog.com/hokkaido/A0101/A010103/1052247/,https://www.google.com/maps/search/?api=1&query=Cao%E2%98%85%E3%83%9E%E3%83%B3%E3%82%AC%E3%82%A4%20%E5%8C%97%E6%B5%B7%E9%81%93%E6%9C%AD%E5%B9%8C%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%8D%975%E6%9D%A1%E8%A5%BF4-1-3%20%E6%97%A5%E5%8A%87%E3%83%93%E3%83%AB%202F,43.0541582,141.3534304,2024,アジア・エスニック EAST,asia_ethnic_east,発表日：2024年7月23日
南インド料理DAL,北海道帯広市西15条南35-1-2,食べログ アジア・エスニック EAST 百名店 2024,https://tabelog.com/hokkaido/A0111/A011101/1049380/,https://www.google.com/maps/search/?api=1&query=%E5%8D%97%E3%82%A4%E3%83%B3%E3%83%89%E6%96%99%E7%90%86DAL%20%E5%8C%97%E6%B5%B7%E9%81%93%E5%B8%AF%E5%BA%83%E5%B8%82%E8%A5%BF15%E6%9D%A1%E5%8D%9735-1-2,42.8903956,143.1836881,2024,アジア・エスニック EAST,asia_ethnic_east,発表日：2024年7月23日
