Name,Address,Description,Website,Google Maps URL,Year,Genre,Genre Slug,Release Date
菓子・茶房 チェカ,京都府京都市左京区岡崎法勝寺町25番地,食べログ カフェ WEST 百名店 2025,https://tabelog.com/kyoto/A2601/A260301/26016994/,https://www.google.com/maps/search/?api=1&query=%E8%8F%93%E5%AD%90%E3%83%BB%E8%8C%B6%E6%88%BF%20%E3%83%81%E3%82%A7%E3%82%AB%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E5%B7%A6%E4%BA%AC%E5%8C%BA%E5%B2%A1%E5%B4%8E%E6%B3%95%E5%8B%9D%E5%AF%BA%E7%94%BA25%E7%95%AA%E5%9C%B0,2025,カフェ WEST,cafe_west,発表日：2025年7月8日
グラン カフェ,大阪府大阪市北区梅田2-2-2 ヒルトンプラザウエスト 6Ｆ,食べログ カフェ WEST 百名店 2025,https://tabelog.com/osaka/A2701/A270101/27007876/,https://www.google.com/maps/search/?api=1&query=%E3%82%B0%E3%83%A9%E3%83%B3%20%E3%82%AB%E3%83%95%E3%82%A7%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E5%8C%97%E5%8C%BA%E6%A2%85%E7%94%B02-2-2%20%E3%83%92%E3%83%AB%E3%83%88%E3%83%B3%E3%83%97%E3%83%A9%E3%82%B6%E3%82%A6%E3%82%A8%E3%82%B9%E3%83%88%206%EF%BC%A6,2025,カフェ WEST,cafe_west,発表日：2025年7月8日
カフェドムッシュ 姫路店,兵庫県姫路市市川台1-7,食べログ カフェ WEST 百名店 2025,https://tabelog.com/hyogo/A2805/A280501/28003539/,https://www.google.com/maps/search/?api=1&query=%E3%82%AB%E3%83%95%E3%82%A7%E3%83%89%E3%83%A0%E3%83%83%E3%82%B7%E3%83%A5%20%E5%A7%AB%E8%B7%AF%E5%BA%97%20%E5%85%B5%E5%BA%AB%E7%9C%8C%E5%A7%AB%E8%B7%AF%E5%B8%82%E5%B8%82%E5%B7%9D%E5%8F%B01-7,2025,カフェ WEST,cafe_west,発表日：2025年7月8日
カフェ フェイト,大阪府大阪市北区本庄東1-6-16 メゾン・コンフォート 1F,食べログ カフェ WEST 百名店 2025,https://tabelog.com/osaka/A2701/A270103/27076635/,https://www.google.com/maps/search/?api=1&query=%E3%82%AB%E3%83%95%E3%82%A7%20%E3%83%95%E3%82%A7%E3%82%A4%E3%83%88%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E5%8C%97%E5%8C%BA%E6%9C%AC%E5%BA%84%E6%9D%B11-6-16%20%E3%83%A1%E3%82%BE%E3%83%B3%E3%83%BB%E3%82%B3%E3%83%B3%E3%83%95%E3%82%A9%E3%83%BC%E3%83%88%201F,2025,カフェ WEST,cafe_west,発表日：2025年7月8日
タワニコ,大阪府大阪市中央区大手通2-2-9 サンマンション大手前,食べログ カフェ WEST 百名店 2025,https://tabelog.com/osaka/A2701/A270104/27092778/,https://www.google.com/maps/search/?api=1&query=%E3%82%BF%E3%83%AF%E3%83%8B%E3%82%B3%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%A4%A7%E6%89%8B%E9%80%9A2-2-9%20%E3%82%B5%E3%83%B3%E3%83%9E%E3%83%B3%E3%82%B7%E3%83%A7%E3%83%B3%E5%A4%A7%E6%89%8B%E5%89%8D,2025,カフェ WEST,cafe_west,発表日：2025年7月8日
SANWA COFFEE WORKS 天満本店,大阪府大阪市北区池田町17-7,食べログ カフェ WEST 百名店 2025,https://tabelog.com/osaka/A2701/A270103/27081385/,https://www.google.com/maps/search/?api=1&query=SANWA%20COFFEE%20WORKS%20%E5%A4%A9%E6%BA%80%E6%9C%AC%E5%BA%97%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E5%8C%97%E5%8C%BA%E6%B1%A0%E7%94%B0%E7%94%BA17-7,2025,カフェ WEST,cafe_west,発表日：2025年7月8日
カナカナ,奈良県奈良市公納堂町13,食べログ カフェ WEST 百名店 2025,https://tabelog.com/nara/A2901/A290101/29000615/,https://www.google.com/maps/search/?api=1&query=%E3%82%AB%E3%83%8A%E3%82%AB%E3%83%8A%20%E5%A5%88%E8%89%AF%E7%9C%8C%E5%A5%88%E8%89%AF%E5%B8%82%E5%85%AC%E7%B4%8D%E5%A0%82%E7%94%BA13,2025,カフェ WEST,cafe_west,発表日：2025年7月8日
ハワイアンパンケーキハウス パニラニ,沖縄県国頭郡恩納村瀬良垣698,食べログ カフェ WEST 百名店 2025,https://tabelog.com/okinawa/A4703/A470303/47011309/,https://www.google.com/maps/search/?api=1&query=%E3%83%8F%E3%83%AF%E3%82%A4%E3%82%A2%E3%83%B3%E3%83%91%E3%83%B3%E3%82%B1%E3%83%BC%E3%82%AD%E3%83%8F%E3%82%A6%E3%82%B9%20%E3%83%91%E3%83%8B%E3%83%A9%E3%83%8B%20%E6%B2%96%E7%B8%84%E7%9C%8C%E5%9B%BD%E9%A0%AD%E9%83%A1%E6%81%A9%E7%B4%8D%E6%9D%91%E7%80%AC%E8%89%AF%E5%9E%A3698,2025,カフェ WEST,cafe_west,発表日：2025年7月8日
おちゃのこ,奈良県奈良市小西町35-2 コトモール 1F,食べログ カフェ WEST 百名店 2025,https://tabelog.com/nara/A2901/A290101/29004169/,https://www.google.com/maps/search/?api=1&query=%E3%81%8A%E3%81%A1%E3%82%83%E3%81%AE%E3%81%93%20%E5%A5%88%E8%89%AF%E7%9C%8C%E5%A5%88%E8%89%AF%E5%B8%82%E5%B0%8F%E8%A5%BF%E7%94%BA35-2%20%E3%82%B3%E3%83%88%E3%83%A2%E3%83%BC%E3%83%AB%201F,2025,カフェ WEST,cafe_west,発表日：2025年7月8日
天文館むじゃき アミュプラザ店,鹿児島県鹿児島市中央町1-1 アミュプラザ鹿児島 B1F,食べログ カフェ WEST 百名店 2025,https://tabelog.com/kagoshima/A4601/A460101/46000962/,https://www.google.com/maps/search/?api=1&query=%E5%A4%A9%E6%96%87%E9%A4%A8%E3%82%80%E3%81%98%E3%82%83%E3%81%8D%20%E3%82%A2%E3%83%9F%E3%83%A5%E3%83%97%E3%83%A9%E3%82%B6%E5%BA%97%20%E9%B9%BF%E5%85%90%E5%B3%B6%E7%9C%8C%E9%B9%BF%E5%85%90%E5%B3%B6%E5%B8%82%E4%B8%AD%E5%A4%AE%E7%94%BA1-1%20%E3%82%A2%E3%83%9F%E3%83%A5%E3%83%97%E3%83%A9%E3%82%B6%E9%B9%BF%E5%85%90%E5%B3%B6%20B1F,2025,カフェ WEST,cafe_west,発表日：2025年7月8日
