Name,Address,Description,Website,Tabelog Reservation URL,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
THE HIRAMATSU HOTELS&RESORTS 仙石原,神奈川県足柄下郡箱根町仙石原1245-337,食べログ イタリアン EAST 百名店 2025,https://tabelog.com/kanagawa/A1410/A141001/14067639/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=THE%20HIRAMATSU%20HOTELS%26RESORTS%20%E4%BB%99%E7%9F%B3%E5%8E%9F%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E8%B6%B3%E6%9F%84%E4%B8%8B%E9%83%A1%E7%AE%B1%E6%A0%B9%E7%94%BA%E4%BB%99%E7%9F%B3%E5%8E%9F1245-337,35.2505689,139.0003460,2025,イタリアン EAST,italian_east,発表日：2025年4月22日
マガーリ,北海道札幌市中央区大通西14丁目1-14 NEOビル1F,食べログ イタリアン EAST 百名店 2025,https://tabelog.com/hokkaido/A0101/A010102/1057726/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%83%9E%E3%82%AC%E3%83%BC%E3%83%AA%20%E5%8C%97%E6%B5%B7%E9%81%93%E6%9C%AD%E5%B9%8C%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%A4%A7%E9%80%9A%E8%A5%BF14%E4%B8%81%E7%9B%AE1-14%20NEO%E3%83%93%E3%83%AB1F,43.0577713,141.3361143,2025,イタリアン EAST,italian_east,発表日：2025年4月22日
ラ・リリアーナ,愛知県名古屋市昭和区滝川町47-24 光洋マテリカビル　１Ｆ,食べログ イタリアン EAST 百名店 2025,https://tabelog.com/aichi/A2301/A230108/23000080/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%83%A9%E3%83%BB%E3%83%AA%E3%83%AA%E3%82%A2%E3%83%BC%E3%83%8A%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E6%98%AD%E5%92%8C%E5%8C%BA%E6%BB%9D%E5%B7%9D%E7%94%BA47-24%20%E5%85%89%E6%B4%8B%E3%83%9E%E3%83%86%E3%83%AA%E3%82%AB%E3%83%93%E3%83%AB%E3%80%80%EF%BC%91%EF%BC%A6,35.1428762,136.9611022,2025,イタリアン EAST,italian_east,発表日：2025年4月22日
トラットリア エ ピッツェリア アミーチ,茨城県つくば市手代木286-1,食べログ イタリアン EAST 百名店 2025,https://tabelog.com/ibaraki/A0802/A080201/8000842/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%83%88%E3%83%A9%E3%83%83%E3%83%88%E3%83%AA%E3%82%A2%20%E3%82%A8%20%E3%83%94%E3%83%83%E3%83%84%E3%82%A7%E3%83%AA%E3%82%A2%20%E3%82%A2%E3%83%9F%E3%83%BC%E3%83%81%20%E8%8C%A8%E5%9F%8E%E7%9C%8C%E3%81%A4%E3%81%8F%E3%81%B0%E5%B8%82%E6%89%8B%E4%BB%A3%E6%9C%A8286-1,36.0600676,140.1087196,2025,イタリアン EAST,italian_east,発表日：2025年4月22日
Vv.lab,千葉県千葉市花見川区幕張町5-417-18,食べログ イタリアン EAST 百名店 2025,https://tabelog.com/chiba/A1201/A120102/12026385/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=Vv.lab%20%E5%8D%83%E8%91%89%E7%9C%8C%E5%8D%83%E8%91%89%E5%B8%82%E8%8A%B1%E8%A6%8B%E5%B7%9D%E5%8C%BA%E5%B9%95%E5%BC%B5%E7%94%BA5-417-18,35.6538763,140.0516651,2025,イタリアン EAST,italian_east,発表日：2025年4月22日
ヴェンティノーヴェ,群馬県利根郡川場村谷地2593-1 土田酒造敷地,食べログ イタリアン EAST 百名店 2025,https://tabelog.com/gunma/A1003/A100301/10023510/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%83%B4%E3%82%A7%E3%83%B3%E3%83%86%E3%82%A3%E3%83%8E%E3%83%BC%E3%83%B4%E3%82%A7%20%E7%BE%A4%E9%A6%AC%E7%9C%8C%E5%88%A9%E6%A0%B9%E9%83%A1%E5%B7%9D%E5%A0%B4%E6%9D%91%E8%B0%B7%E5%9C%B02593-1%20%E5%9C%9F%E7%94%B0%E9%85%92%E9%80%A0%E6%95%B7%E5%9C%B0,36.7028867,139.1120708,2025,イタリアン EAST,italian_east,発表日：2025年4月22日
ＧＩＴＡ,愛知県豊川市山道町1-83,食べログ イタリアン EAST 百名店 2025,https://tabelog.com/aichi/A2306/A230602/23038400/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%EF%BC%A7%EF%BC%A9%EF%BC%B4%EF%BC%A1%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E8%B1%8A%E5%B7%9D%E5%B8%82%E5%B1%B1%E9%81%93%E7%94%BA1-83,34.8193002,137.3810293,2025,イタリアン EAST,italian_east,発表日：2025年4月22日
zoe's,千葉県柏市柏4-6-23 ＡＫビル 1F,食べログ イタリアン EAST 百名店 2025,https://tabelog.com/chiba/A1203/A120301/12000870/,https://tabelog.com/chiba/A1203/A120301/12000870/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=zoe%27s%20%E5%8D%83%E8%91%89%E7%9C%8C%E6%9F%8F%E5%B8%82%E6%9F%8F4-6-23%20%EF%BC%A1%EF%BC%AB%E3%83%93%E3%83%AB%201F,35.8638589,139.9742496,2025,イタリアン EAST,italian_east,発表日：2025年4月22日
ソラメントゥーノ,愛知県名古屋市東区代官町10-7 山本ビル 1Ｆ,食べログ イタリアン EAST 百名店 2025,https://tabelog.com/aichi/A2301/A230106/23032828/,https://tabelog.com/aichi/A2301/A230106/23032828/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E3%82%BD%E3%83%A9%E3%83%A1%E3%83%B3%E3%83%88%E3%82%A5%E3%83%BC%E3%83%8E%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E6%9D%B1%E5%8C%BA%E4%BB%A3%E5%AE%98%E7%94%BA10-7%20%E5%B1%B1%E6%9C%AC%E3%83%93%E3%83%AB%201%EF%BC%A6,35.1783825,136.9250022,2025,イタリアン EAST,italian_east,発表日：2025年4月22日
バローレ,北海道上川郡美瑛町美沢共生,食べログ イタリアン EAST 百名店 2025,https://tabelog.com/hokkaido/A0104/A010403/1005335/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%83%90%E3%83%AD%E3%83%BC%E3%83%AC%20%E5%8C%97%E6%B5%B7%E9%81%93%E4%B8%8A%E5%B7%9D%E9%83%A1%E7%BE%8E%E7%91%9B%E7%94%BA%E7%BE%8E%E6%B2%A2%E5%85%B1%E7%94%9F,43.5516563,142.5148118,2025,イタリアン EAST,italian_east,発表日：2025年4月22日
