Name,Address,Description,Website,Google Maps URL,Year,Genre,Genre Slug,Release Date
リストランテ ハナタニ,兵庫県神戸市中央区中山手通1-27-12 富士産業ビル1F,食べログ イタリアン WEST 百名店 2025,https://tabelog.com/hyogo/A2801/A280101/28032418/,https://www.google.com/maps/search/?api=1&query=%E3%83%AA%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%E3%83%86%20%E3%83%8F%E3%83%8A%E3%82%BF%E3%83%8B%20%E5%85%B5%E5%BA%AB%E7%9C%8C%E7%A5%9E%E6%88%B8%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E4%B8%AD%E5%B1%B1%E6%89%8B%E9%80%9A1-27-12%20%E5%AF%8C%E5%A3%AB%E7%94%A3%E6%A5%AD%E3%83%93%E3%83%AB1F,2025,イタリアン WEST,italian_west,発表日：2025年4月22日
リストランテ野呂,京都府京都市中京区西ノ京職司町67-14,食べログ イタリアン WEST 百名店 2025,https://tabelog.com/kyoto/A2601/A260203/26029064/,https://www.google.com/maps/search/?api=1&query=%E3%83%AA%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%E3%83%86%E9%87%8E%E5%91%82%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E4%B8%AD%E4%BA%AC%E5%8C%BA%E8%A5%BF%E3%83%8E%E4%BA%AC%E8%81%B7%E5%8F%B8%E7%94%BA67-14,2025,イタリアン WEST,italian_west,発表日：2025年4月22日
monk,京都府京都市左京区浄土寺下南田町147,食べログ イタリアン WEST 百名店 2025,https://tabelog.com/kyoto/A2601/A260302/26026737/,https://www.google.com/maps/search/?api=1&query=monk%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E5%B7%A6%E4%BA%AC%E5%8C%BA%E6%B5%84%E5%9C%9F%E5%AF%BA%E4%B8%8B%E5%8D%97%E7%94%B0%E7%94%BA147,2025,イタリアン WEST,italian_west,発表日：2025年4月22日
ラ・セーラ,愛媛県松山市千舟町3-2-4 鴻池ビル 2F,食べログ イタリアン WEST 百名店 2025,https://tabelog.com/ehime/A3801/A380101/38000678/,https://www.google.com/maps/search/?api=1&query=%E3%83%A9%E3%83%BB%E3%82%BB%E3%83%BC%E3%83%A9%20%E6%84%9B%E5%AA%9B%E7%9C%8C%E6%9D%BE%E5%B1%B1%E5%B8%82%E5%8D%83%E8%88%9F%E7%94%BA3-2-4%20%E9%B4%BB%E6%B1%A0%E3%83%93%E3%83%AB%202F,2025,イタリアン WEST,italian_west,発表日：2025年4月22日
クッカーニャ,福岡県福岡市中央区春吉3-25-21,食べログ イタリアン WEST 百名店 2025,https://tabelog.com/fukuoka/A4001/A400103/40039583/,https://www.google.com/maps/search/?api=1&query=%E3%82%AF%E3%83%83%E3%82%AB%E3%83%BC%E3%83%8B%E3%83%A3%20%E7%A6%8F%E5%B2%A1%E7%9C%8C%E7%A6%8F%E5%B2%A1%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E6%98%A5%E5%90%893-25-21,2025,イタリアン WEST,italian_west,発表日：2025年4月22日
il Sorriso,宮崎県宮崎市橘通東3-5-28 長ビル 1F,食べログ イタリアン WEST 百名店 2025,https://tabelog.com/miyazaki/A4501/A450101/45008051/,https://www.google.com/maps/search/?api=1&query=il%20Sorriso%20%E5%AE%AE%E5%B4%8E%E7%9C%8C%E5%AE%AE%E5%B4%8E%E5%B8%82%E6%A9%98%E9%80%9A%E6%9D%B13-5-28%20%E9%95%B7%E3%83%93%E3%83%AB%201F,2025,イタリアン WEST,italian_west,発表日：2025年4月22日
京都 ネーゼ,京都府京都市中京区三条木屋町上ル三軒目 三条木屋町ビルⅡ　３Ｆ,食べログ イタリアン WEST 百名店 2025,https://tabelog.com/kyoto/A2601/A260202/26005142/,https://www.google.com/maps/search/?api=1&query=%E4%BA%AC%E9%83%BD%20%E3%83%8D%E3%83%BC%E3%82%BC%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E4%B8%AD%E4%BA%AC%E5%8C%BA%E4%B8%89%E6%9D%A1%E6%9C%A8%E5%B1%8B%E7%94%BA%E4%B8%8A%E3%83%AB%E4%B8%89%E8%BB%92%E7%9B%AE%20%E4%B8%89%E6%9D%A1%E6%9C%A8%E5%B1%8B%E7%94%BA%E3%83%93%E3%83%AB%E2%85%A1%E3%80%80%EF%BC%93%EF%BC%A6,2025,イタリアン WEST,italian_west,発表日：2025年4月22日
ラ・バルカッチャ,大阪府大阪市北区豊崎3-5-17 1階,食べログ イタリアン WEST 百名店 2025,https://tabelog.com/osaka/A2701/A270101/27054558/,https://www.google.com/maps/search/?api=1&query=%E3%83%A9%E3%83%BB%E3%83%90%E3%83%AB%E3%82%AB%E3%83%83%E3%83%81%E3%83%A3%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E5%8C%97%E5%8C%BA%E8%B1%8A%E5%B4%8E3-5-17%201%E9%9A%8E,2025,イタリアン WEST,italian_west,発表日：2025年4月22日
グシテ,大阪府大阪市北区天満2-7-1 末澤ビル 1F,食べログ イタリアン WEST 百名店 2025,https://tabelog.com/osaka/A2701/A270104/27093817/,https://www.google.com/maps/search/?api=1&query=%E3%82%B0%E3%82%B7%E3%83%86%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E5%8C%97%E5%8C%BA%E5%A4%A9%E6%BA%802-7-1%20%E6%9C%AB%E6%BE%A4%E3%83%93%E3%83%AB%201F,2025,イタリアン WEST,italian_west,発表日：2025年4月22日
トラットリア ダ ジャコモ,大阪府大阪市福島区福島5-6-11 シュエット吉本　２Ｆ,食べログ イタリアン WEST 百名店 2025,https://tabelog.com/osaka/A2701/A270108/27001173/,https://www.google.com/maps/search/?api=1&query=%E3%83%88%E3%83%A9%E3%83%83%E3%83%88%E3%83%AA%E3%82%A2%20%E3%83%80%20%E3%82%B8%E3%83%A3%E3%82%B3%E3%83%A2%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E7%A6%8F%E5%B3%B6%E5%8C%BA%E7%A6%8F%E5%B3%B65-6-11%20%E3%82%B7%E3%83%A5%E3%82%A8%E3%83%83%E3%83%88%E5%90%89%E6%9C%AC%E3%80%80%EF%BC%92%EF%BC%A6,2025,イタリアン WEST,italian_west,発表日：2025年4月22日
