Name,Address,Description,Website,Tabelog Reservation URL,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
多け乃,東京都中央区築地6-21-2,食べログ 居酒屋 EAST 百名店 2025,https://tabelog.com/tokyo/A1313/A131301/13007634/,https://tabelog.com/tokyo/A1313/A131301/13007634/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E5%A4%9A%E3%81%91%E4%B9%83%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E7%AF%89%E5%9C%B06-21-2,35.6646018,139.7722398,2025,居酒屋 EAST,izakaya_east,発表日：2025年10月1日
ススキノデパート,北海道札幌市中央区南五条西2-2 サイバーシティビル 2F,食べログ 居酒屋 EAST 百名店 2025,https://tabelog.com/hokkaido/A0101/A010103/1079840/,https://tabelog.com/hokkaido/A0101/A010103/1079840/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E3%82%B9%E3%82%B9%E3%82%AD%E3%83%8E%E3%83%87%E3%83%91%E3%83%BC%E3%83%88%20%E5%8C%97%E6%B5%B7%E9%81%93%E6%9C%AD%E5%B9%8C%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%8D%97%E4%BA%94%E6%9D%A1%E8%A5%BF2-2%20%E3%82%B5%E3%82%A4%E3%83%90%E3%83%BC%E3%82%B7%E3%83%86%E3%82%A3%E3%83%93%E3%83%AB%202F,43.0544189,141.3559963,2025,居酒屋 EAST,izakaya_east,発表日：2025年10月1日
食堂とだか,東京都品川区西五反田1-9-3 リバーライトビル B1F,食べログ 居酒屋 EAST 百名店 2025,https://tabelog.com/tokyo/A1316/A131603/13187669/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E9%A3%9F%E5%A0%82%E3%81%A8%E3%81%A0%E3%81%8B%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%93%81%E5%B7%9D%E5%8C%BA%E8%A5%BF%E4%BA%94%E5%8F%8D%E7%94%B01-9-3%20%E3%83%AA%E3%83%90%E3%83%BC%E3%83%A9%E3%82%A4%E3%83%88%E3%83%93%E3%83%AB%20B1F,35.6248832,139.7242860,2025,居酒屋 EAST,izakaya_east,発表日：2025年10月1日
陸蒸気,東京都中野区中野5-59-3,食べログ 居酒屋 EAST 百名店 2025,https://tabelog.com/tokyo/A1319/A131902/13000216/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E9%99%B8%E8%92%B8%E6%B0%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E9%87%8E%E5%8C%BA%E4%B8%AD%E9%87%8E5-59-3,35.7076022,139.6661086,2025,居酒屋 EAST,izakaya_east,発表日：2025年10月1日
酒肴遊善 じねん,静岡県浜松市中央区田町323-4,食べログ 居酒屋 EAST 百名店 2025,https://tabelog.com/shizuoka/A2202/A220201/22000724/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E9%85%92%E8%82%B4%E9%81%8A%E5%96%84%20%E3%81%98%E3%81%AD%E3%82%93%20%E9%9D%99%E5%B2%A1%E7%9C%8C%E6%B5%9C%E6%9D%BE%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E7%94%B0%E7%94%BA323-4,34.7074728,137.7303156,2025,居酒屋 EAST,izakaya_east,発表日：2025年10月1日
丸千葉,東京都台東区日本堤1-1-3,食べログ 居酒屋 EAST 百名店 2025,https://tabelog.com/tokyo/A1324/A132401/13050828/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E4%B8%B8%E5%8D%83%E8%91%89%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%8F%B0%E6%9D%B1%E5%8C%BA%E6%97%A5%E6%9C%AC%E5%A0%A41-1-3,35.7260163,139.8002536,2025,居酒屋 EAST,izakaya_east,発表日：2025年10月1日
岸田屋,東京都中央区月島3-15-12,食べログ 居酒屋 EAST 百名店 2025,https://tabelog.com/tokyo/A1313/A131302/13002239/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E5%B2%B8%E7%94%B0%E5%B1%8B%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E6%9C%88%E5%B3%B63-15-12,35.6623952,139.7798961,2025,居酒屋 EAST,izakaya_east,発表日：2025年10月1日
萬屋 おかげさん,東京都新宿区四谷2-10 松本館　Ｂ１Ｆ,食べログ 居酒屋 EAST 百名店 2025,https://tabelog.com/tokyo/A1309/A130903/13025617/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E8%90%AC%E5%B1%8B%20%E3%81%8A%E3%81%8B%E3%81%92%E3%81%95%E3%82%93%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E5%9B%9B%E8%B0%B72-10%20%E6%9D%BE%E6%9C%AC%E9%A4%A8%E3%80%80%EF%BC%A2%EF%BC%91%EF%BC%A6,35.6877008,139.7250620,2025,居酒屋 EAST,izakaya_east,発表日：2025年10月1日
わたや,埼玉県さいたま市浦和区常盤4-3-15,食べログ 居酒屋 EAST 百名店 2025,https://tabelog.com/saitama/A1101/A110102/11028872/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%82%8F%E3%81%9F%E3%82%84%20%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E6%B5%A6%E5%92%8C%E5%8C%BA%E5%B8%B8%E7%9B%A44-3-15,35.8622873,139.6501623,2025,居酒屋 EAST,izakaya_east,発表日：2025年10月1日
ニュー新みかん,東京都港区新橋2-16-1 ニュー新橋ビル B1F-61,食べログ 居酒屋 EAST 百名店 2025,https://tabelog.com/tokyo/A1301/A130103/13281580/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%83%8B%E3%83%A5%E3%83%BC%E6%96%B0%E3%81%BF%E3%81%8B%E3%82%93%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E6%96%B0%E6%A9%8B2-16-1%20%E3%83%8B%E3%83%A5%E3%83%BC%E6%96%B0%E6%A9%8B%E3%83%93%E3%83%AB%20B1F-61,35.6662904,139.7573904,2025,居酒屋 EAST,izakaya_east,発表日：2025年10月1日
めしや 浮世ばなれ,愛知県名古屋市中区栄3-11-18 ミドリヤビル 2F,食べログ 居酒屋 EAST 百名店 2025,https://tabelog.com/aichi/A2301/A230103/23078839/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%82%81%E3%81%97%E3%82%84%20%E6%B5%AE%E4%B8%96%E3%81%B0%E3%81%AA%E3%82%8C%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E4%B8%AD%E5%8C%BA%E6%A0%843-11-18%20%E3%83%9F%E3%83%89%E3%83%AA%E3%83%A4%E3%83%93%E3%83%AB%202F,35.1658962,136.9035096,2025,居酒屋 EAST,izakaya_east,発表日：2025年10月1日
酔亭よっちゃん,宮城県仙台市青葉区国分町2-8-31,食べログ 居酒屋 EAST 百名店 2025,https://tabelog.com/miyagi/A0401/A040101/4005415/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E9%85%94%E4%BA%AD%E3%82%88%E3%81%A3%E3%81%A1%E3%82%83%E3%82%93%20%E5%AE%AE%E5%9F%8E%E7%9C%8C%E4%BB%99%E5%8F%B0%E5%B8%82%E9%9D%92%E8%91%89%E5%8C%BA%E5%9B%BD%E5%88%86%E7%94%BA2-8-31,38.2634292,140.8678195,2025,居酒屋 EAST,izakaya_east,発表日：2025年10月1日
