Name,Address,Description,Website,Tabelog Reservation URL,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
綾小路 唐津,京都府京都市下京区綾小路通新町西入ル矢田町113-1,食べログ 日本料理 WEST 百名店 2025,https://tabelog.com/kyoto/A2601/A260201/26029825/,https://tabelog.com/kyoto/A2601/A260201/26029825/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E7%B6%BE%E5%B0%8F%E8%B7%AF%20%E5%94%90%E6%B4%A5%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E4%B8%8B%E4%BA%AC%E5%8C%BA%E7%B6%BE%E5%B0%8F%E8%B7%AF%E9%80%9A%E6%96%B0%E7%94%BA%E8%A5%BF%E5%85%A5%E3%83%AB%E7%9F%A2%E7%94%B0%E7%94%BA113-1,35.0024531,135.7555748,2025,日本料理 WEST,japanese_west,発表日：2025年3月25日
日本料理 研野,京都府京都市左京区岡崎徳成町28-22,食べログ 日本料理 WEST 百名店 2025,https://tabelog.com/kyoto/A2601/A260302/26035592/,,https://www.google.com/maps/search/?api=1&query=%E6%97%A5%E6%9C%AC%E6%96%99%E7%90%86%20%E7%A0%94%E9%87%8E%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E5%B7%A6%E4%BA%AC%E5%8C%BA%E5%B2%A1%E5%B4%8E%E5%BE%B3%E6%88%90%E7%94%BA28-22,35.0159958,135.7782513,2025,日本料理 WEST,japanese_west,発表日：2025年3月25日
喜泉,宮崎県宮崎市橘通東3-5-5,食べログ 日本料理 WEST 百名店 2025,https://tabelog.com/miyazaki/A4501/A450101/45007417/,https://tabelog.com/miyazaki/A4501/A450101/45007417/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E5%96%9C%E6%B3%89%20%E5%AE%AE%E5%B4%8E%E7%9C%8C%E5%AE%AE%E5%B4%8E%E5%B8%82%E6%A9%98%E9%80%9A%E6%9D%B13-5-5,31.9156636,131.4242092,2025,日本料理 WEST,japanese_west,発表日：2025年3月25日
祇園 大渡,京都府京都市東山区祇園町南側570-265,食べログ 日本料理 WEST 百名店 2025,https://tabelog.com/kyoto/A2601/A260301/26014312/,,https://www.google.com/maps/search/?api=1&query=%E7%A5%87%E5%9C%92%20%E5%A4%A7%E6%B8%A1%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E6%9D%B1%E5%B1%B1%E5%8C%BA%E7%A5%87%E5%9C%92%E7%94%BA%E5%8D%97%E5%81%B4570-265,35.0014173,135.7770726,2025,日本料理 WEST,japanese_west,発表日：2025年3月25日
料理屋 みや﨑,福井県福井市順化1-12-4 福ビル 1F,食べログ 日本料理 WEST 百名店 2025,https://tabelog.com/fukui/A1801/A180101/18007783/,,https://www.google.com/maps/search/?api=1&query=%E6%96%99%E7%90%86%E5%B1%8B%20%E3%81%BF%E3%82%84%EF%A8%91%20%E7%A6%8F%E4%BA%95%E7%9C%8C%E7%A6%8F%E4%BA%95%E5%B8%82%E9%A0%86%E5%8C%961-12-4%20%E7%A6%8F%E3%83%93%E3%83%AB%201F,36.0644129,136.2171054,2025,日本料理 WEST,japanese_west,発表日：2025年3月25日
小魚料理 とみ助,広島県広島市中区堀川町1-31 ABプラザビル　1F,食べログ 日本料理 WEST 百名店 2025,https://tabelog.com/hiroshima/A3401/A340109/34006208/,,https://www.google.com/maps/search/?api=1&query=%E5%B0%8F%E9%AD%9A%E6%96%99%E7%90%86%20%E3%81%A8%E3%81%BF%E5%8A%A9%20%E5%BA%83%E5%B3%B6%E7%9C%8C%E5%BA%83%E5%B3%B6%E5%B8%82%E4%B8%AD%E5%8C%BA%E5%A0%80%E5%B7%9D%E7%94%BA1-31%20AB%E3%83%97%E3%83%A9%E3%82%B6%E3%83%93%E3%83%AB%E3%80%801F,34.3922392,132.4652263,2025,日本料理 WEST,japanese_west,発表日：2025年3月25日
八寸,京都府京都市東山区祇園末吉町95,食べログ 日本料理 WEST 百名店 2025,https://tabelog.com/kyoto/A2601/A260301/26002259/,https://tabelog.com/kyoto/A2601/A260301/26002259/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E5%85%AB%E5%AF%B8%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E6%9D%B1%E5%B1%B1%E5%8C%BA%E7%A5%87%E5%9C%92%E6%9C%AB%E5%90%89%E7%94%BA95,35.0048759,135.7737640,2025,日本料理 WEST,japanese_west,発表日：2025年3月25日
日本料理 別府 廣門,大分県別府市堀田町23-14,食べログ 日本料理 WEST 百名店 2025,https://tabelog.com/oita/A4402/A440202/44012162/,https://tabelog.com/oita/A4402/A440202/44012162/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E6%97%A5%E6%9C%AC%E6%96%99%E7%90%86%20%E5%88%A5%E5%BA%9C%20%E5%BB%A3%E9%96%80%20%E5%A4%A7%E5%88%86%E7%9C%8C%E5%88%A5%E5%BA%9C%E5%B8%82%E5%A0%80%E7%94%B0%E7%94%BA23-14,33.2919171,131.4578228,2025,日本料理 WEST,japanese_west,発表日：2025年3月25日
是しん,大阪府大阪市北区西天満2-9-3 西天満ロイヤービル B1F,食べログ 日本料理 WEST 百名店 2025,https://tabelog.com/osaka/A2701/A270101/27077650/,https://tabelog.com/osaka/A2701/A270101/27077650/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E6%98%AF%E3%81%97%E3%82%93%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E5%8C%97%E5%8C%BA%E8%A5%BF%E5%A4%A9%E6%BA%802-9-3%20%E8%A5%BF%E5%A4%A9%E6%BA%80%E3%83%AD%E3%82%A4%E3%83%A4%E3%83%BC%E3%83%93%E3%83%AB%20B1F,34.6964574,135.5024061,2025,日本料理 WEST,japanese_west,発表日：2025年3月25日
高台寺 和久傳,京都府京都市東山区高台寺北門前鷲尾町512,食べログ 日本料理 WEST 百名店 2025,https://tabelog.com/kyoto/A2601/A260301/26000535/,,https://www.google.com/maps/search/?api=1&query=%E9%AB%98%E5%8F%B0%E5%AF%BA%20%E5%92%8C%E4%B9%85%E5%82%B3%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E6%9D%B1%E5%B1%B1%E5%8C%BA%E9%AB%98%E5%8F%B0%E5%AF%BA%E5%8C%97%E9%96%80%E5%89%8D%E9%B7%B2%E5%B0%BE%E7%94%BA512,35.0016301,135.7797887,2025,日本料理 WEST,japanese_west,発表日：2025年3月25日
