Name,Address,Description,Website,Tabelog Reservation URL,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
Bosco,千葉県四街道市物井1777,食べログ ピザ 百名店 2025,https://tabelog.com/chiba/A1204/A120402/12045538/,,https://www.google.com/maps/search/?api=1&query=Bosco%20%E5%8D%83%E8%91%89%E7%9C%8C%E5%9B%9B%E8%A1%97%E9%81%93%E5%B8%82%E7%89%A9%E4%BA%951777,35.6877137,140.1820834,2025,ピザ,pizza,発表日：2025年4月9日
Duomo,岡山県岡山市北区錦町3-4 山佐ビル 1F,食べログ ピザ 百名店 2025,https://tabelog.com/okayama/A3301/A330101/33011042/,https://tabelog.com/okayama/A3301/A330101/33011042/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=Duomo%20%E5%B2%A1%E5%B1%B1%E7%9C%8C%E5%B2%A1%E5%B1%B1%E5%B8%82%E5%8C%97%E5%8C%BA%E9%8C%A6%E7%94%BA3-4%20%E5%B1%B1%E4%BD%90%E3%83%93%E3%83%AB%201F,34.6638047,133.9218913,2025,ピザ,pizza,発表日：2025年4月9日
ベントエマーレ,東京都品川区西五反田5-26-10 1F,食べログ ピザ 百名店 2025,https://tabelog.com/tokyo/A1317/A131710/13114520/,https://tabelog.com/tokyo/A1317/A131710/13114520/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E3%83%99%E3%83%B3%E3%83%88%E3%82%A8%E3%83%9E%E3%83%BC%E3%83%AC%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%93%81%E5%B7%9D%E5%8C%BA%E8%A5%BF%E4%BA%94%E5%8F%8D%E7%94%B05-26-10%201F,35.6235669,139.7111984,2025,ピザ,pizza,発表日：2025年4月9日
Pizzeria LUMEN,東京都新宿区歌舞伎町2-8-3 最上ビル新宿　１Ｆ,食べログ ピザ 百名店 2025,https://tabelog.com/tokyo/A1304/A130401/13025499/,,https://www.google.com/maps/search/?api=1&query=Pizzeria%20LUMEN%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E6%AD%8C%E8%88%9E%E4%BC%8E%E7%94%BA2-8-3%20%E6%9C%80%E4%B8%8A%E3%83%93%E3%83%AB%E6%96%B0%E5%AE%BF%E3%80%80%EF%BC%91%EF%BC%A6,35.6949824,139.7058050,2025,ピザ,pizza,発表日：2025年4月9日
ピッツェリア カント デッラ テッラ,千葉県市川市南八幡3-7-10,食べログ ピザ 百名店 2025,https://tabelog.com/chiba/A1202/A120202/12042493/,,https://www.google.com/maps/search/?api=1&query=%E3%83%94%E3%83%83%E3%83%84%E3%82%A7%E3%83%AA%E3%82%A2%20%E3%82%AB%E3%83%B3%E3%83%88%20%E3%83%87%E3%83%83%E3%83%A9%20%E3%83%86%E3%83%83%E3%83%A9%20%E5%8D%83%E8%91%89%E7%9C%8C%E5%B8%82%E5%B7%9D%E5%B8%82%E5%8D%97%E5%85%AB%E5%B9%A13-7-10,35.7190414,139.9278647,2025,ピザ,pizza,発表日：2025年4月9日
FermenCo.,静岡県下田市吉佐美348-37,食べログ ピザ 百名店 2025,https://tabelog.com/shizuoka/A2205/A220503/22039192/,,https://www.google.com/maps/search/?api=1&query=FermenCo.%20%E9%9D%99%E5%B2%A1%E7%9C%8C%E4%B8%8B%E7%94%B0%E5%B8%82%E5%90%89%E4%BD%90%E7%BE%8E348-37,34.6580077,138.9252001,2025,ピザ,pizza,発表日：2025年4月9日
Kuwa Monpe,兵庫県丹波篠山市曽地中586-7,食べログ ピザ 百名店 2025,https://tabelog.com/hyogo/A2807/A280702/28027411/,https://tabelog.com/hyogo/A2807/A280702/28027411/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=Kuwa%20Monpe%20%E5%85%B5%E5%BA%AB%E7%9C%8C%E4%B8%B9%E6%B3%A2%E7%AF%A0%E5%B1%B1%E5%B8%82%E6%9B%BD%E5%9C%B0%E4%B8%AD586-7,35.0480008,135.2908878,2025,ピザ,pizza,発表日：2025年4月9日
400℃ PIZZA TOKYO,東京都新宿区若宮町13-1 kif annex 1F,食べログ ピザ 百名店 2025,https://tabelog.com/tokyo/A1309/A130905/13294495/,,https://www.google.com/maps/search/?api=1&query=400%E2%84%83%20PIZZA%20TOKYO%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E8%8B%A5%E5%AE%AE%E7%94%BA13-1%20kif%20annex%201F,35.7002277,139.7393950,2025,ピザ,pizza,発表日：2025年4月9日
ピッツェリア  Tuka,北海道河西郡更別村字更別北1線95-20,食べログ ピザ 百名店 2025,https://tabelog.com/hokkaido/A0111/A011103/1042561/,,https://www.google.com/maps/search/?api=1&query=%E3%83%94%E3%83%83%E3%83%84%E3%82%A7%E3%83%AA%E3%82%A2%20%20Tuka%20%E5%8C%97%E6%B5%B7%E9%81%93%E6%B2%B3%E8%A5%BF%E9%83%A1%E6%9B%B4%E5%88%A5%E6%9D%91%E5%AD%97%E6%9B%B4%E5%88%A5%E5%8C%971%E7%B7%9A95-20,42.6602058,143.1818493,2025,ピザ,pizza,発表日：2025年4月9日
ソローノ,京都府京都市中京区新町姉小路東入ル町頭町90-3,食べログ ピザ 百名店 2025,https://tabelog.com/kyoto/A2601/A260202/26019511/,,https://www.google.com/maps/search/?api=1&query=%E3%82%BD%E3%83%AD%E3%83%BC%E3%83%8E%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E4%B8%AD%E4%BA%AC%E5%8C%BA%E6%96%B0%E7%94%BA%E5%A7%89%E5%B0%8F%E8%B7%AF%E6%9D%B1%E5%85%A5%E3%83%AB%E7%94%BA%E9%A0%AD%E7%94%BA90-3,35.0098103,135.7568129,2025,ピザ,pizza,発表日：2025年4月9日
