Name,Address,Description,Website,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
つけそば 神宮寺,愛知県名古屋市北区若葉通1-25 若葉ビル 1F,食べログ ラーメン AICHI 百名店 2025,https://tabelog.com/aichi/A2301/A230110/23079021/,https://www.google.com/maps/search/?api=1&query=%E3%81%A4%E3%81%91%E3%81%9D%E3%81%B0%20%E7%A5%9E%E5%AE%AE%E5%AF%BA%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E5%8C%97%E5%8C%BA%E8%8B%A5%E8%91%89%E9%80%9A1-25%20%E8%8B%A5%E8%91%89%E3%83%93%E3%83%AB%201F,35.1964759,136.9226778,2025,ラーメン AICHI,ramen_aichi,発表日：2025年12月2日
らぅめん考房 ありがた屋,愛知県春日井市小野町4-123,食べログ ラーメン AICHI 百名店 2025,https://tabelog.com/aichi/A2303/A230301/23001916/,https://www.google.com/maps/search/?api=1&query=%E3%82%89%E3%81%85%E3%82%81%E3%82%93%E8%80%83%E6%88%BF%20%E3%81%82%E3%82%8A%E3%81%8C%E3%81%9F%E5%B1%8B%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E6%98%A5%E6%97%A5%E4%BA%95%E5%B8%82%E5%B0%8F%E9%87%8E%E7%94%BA4-123,35.2293014,136.9643732,2025,ラーメン AICHI,ramen_aichi,発表日：2025年12月2日
サッポロラーメン エゾ麺ロック 新栄店,愛知県名古屋市中区新栄1-1-26 オアシスビル B1F,食べログ ラーメン AICHI 百名店 2025,https://tabelog.com/aichi/A2301/A230104/23059957/,https://www.google.com/maps/search/?api=1&query=%E3%82%B5%E3%83%83%E3%83%9D%E3%83%AD%E3%83%A9%E3%83%BC%E3%83%A1%E3%83%B3%20%E3%82%A8%E3%82%BE%E9%BA%BA%E3%83%AD%E3%83%83%E3%82%AF%20%E6%96%B0%E6%A0%84%E5%BA%97%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E4%B8%AD%E5%8C%BA%E6%96%B0%E6%A0%841-1-26%20%E3%82%AA%E3%82%A2%E3%82%B7%E3%82%B9%E3%83%93%E3%83%AB%20B1F,35.1685722,136.9149910,2025,ラーメン AICHI,ramen_aichi,発表日：2025年12月2日
ORIBE,愛知県豊橋市井原町26-1 ツインピークスA 1F,食べログ ラーメン AICHI 百名店 2025,https://tabelog.com/aichi/A2306/A230601/23062924/,https://www.google.com/maps/search/?api=1&query=ORIBE%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E8%B1%8A%E6%A9%8B%E5%B8%82%E4%BA%95%E5%8E%9F%E7%94%BA26-1%20%E3%83%84%E3%82%A4%E3%83%B3%E3%83%94%E3%83%BC%E3%82%AF%E3%82%B9A%201F,34.7675193,137.4224106,2025,ラーメン AICHI,ramen_aichi,発表日：2025年12月2日
麺家 獅子丸,愛知県名古屋市中村区亀島2-1-1,食べログ ラーメン AICHI 百名店 2025,https://tabelog.com/aichi/A2301/A230101/23060674/,https://www.google.com/maps/search/?api=1&query=%E9%BA%BA%E5%AE%B6%20%E7%8D%85%E5%AD%90%E4%B8%B8%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E4%B8%AD%E6%9D%91%E5%8C%BA%E4%BA%80%E5%B3%B62-1-1,35.1744694,136.8793691,2025,ラーメン AICHI,ramen_aichi,発表日：2025年12月2日
RAMEN ぶろす,愛知県大府市共栄町8-11-10,食べログ ラーメン AICHI 百名店 2025,https://tabelog.com/aichi/A2304/A230401/23078262/,https://www.google.com/maps/search/?api=1&query=RAMEN%20%E3%81%B6%E3%82%8D%E3%81%99%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%A4%A7%E5%BA%9C%E5%B8%82%E5%85%B1%E6%A0%84%E7%94%BA8-11-10,35.0378634,136.9565964,2025,ラーメン AICHI,ramen_aichi,発表日：2025年12月2日
ライトニングファイヤー,愛知県春日井市旭町1-45,食べログ ラーメン AICHI 百名店 2025,https://tabelog.com/aichi/A2303/A230301/23054694/,https://www.google.com/maps/search/?api=1&query=%E3%83%A9%E3%82%A4%E3%83%88%E3%83%8B%E3%83%B3%E3%82%B0%E3%83%95%E3%82%A1%E3%82%A4%E3%83%A4%E3%83%BC%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E6%98%A5%E6%97%A5%E4%BA%95%E5%B8%82%E6%97%AD%E7%94%BA1-45,35.2314786,136.9547047,2025,ラーメン AICHI,ramen_aichi,発表日：2025年12月2日
麺家 半蔵,愛知県名古屋市名東区藤が丘148,食べログ ラーメン AICHI 百名店 2025,https://tabelog.com/aichi/A2301/A230111/23033388/,https://www.google.com/maps/search/?api=1&query=%E9%BA%BA%E5%AE%B6%20%E5%8D%8A%E8%94%B5%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E5%90%8D%E6%9D%B1%E5%8C%BA%E8%97%A4%E3%81%8C%E4%B8%98148,35.1832275,137.0214158,2025,ラーメン AICHI,ramen_aichi,発表日：2025年12月2日
徳川町 如水 西春店,愛知県北名古屋市宇福寺天神140,食べログ ラーメン AICHI 百名店 2025,https://tabelog.com/aichi/A2302/A230201/23049599/,https://www.google.com/maps/search/?api=1&query=%E5%BE%B3%E5%B7%9D%E7%94%BA%20%E5%A6%82%E6%B0%B4%20%E8%A5%BF%E6%98%A5%E5%BA%97%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%8C%97%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E5%AE%87%E7%A6%8F%E5%AF%BA%E5%A4%A9%E7%A5%9E140,35.2497276,136.8447302,2025,ラーメン AICHI,ramen_aichi,発表日：2025年12月2日
ベトコンラーメン 新京 名駅西口店,愛知県名古屋市中村区則武2-1-2 加藤ビル 1F,食べログ ラーメン AICHI 百名店 2025,https://tabelog.com/aichi/A2301/A230101/23076280/,https://www.google.com/maps/search/?api=1&query=%E3%83%99%E3%83%88%E3%82%B3%E3%83%B3%E3%83%A9%E3%83%BC%E3%83%A1%E3%83%B3%20%E6%96%B0%E4%BA%AC%20%E5%90%8D%E9%A7%85%E8%A5%BF%E5%8F%A3%E5%BA%97%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E4%B8%AD%E6%9D%91%E5%8C%BA%E5%89%87%E6%AD%A62-1-2%20%E5%8A%A0%E8%97%A4%E3%83%93%E3%83%AB%201F,35.1716320,136.8784819,2025,ラーメン AICHI,ramen_aichi,発表日：2025年12月2日
