Name,Address,Description,Website,Tabelog Reservation URL,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
らーめん 鶏喰,神奈川県横浜市南区吉野町4-20,食べログ ラーメン KANAGAWA 百名店 2025,https://tabelog.com/kanagawa/A1401/A140306/14048864/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%82%89%E3%83%BC%E3%82%81%E3%82%93%20%E9%B6%8F%E5%96%B0%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E6%A8%AA%E6%B5%9C%E5%B8%82%E5%8D%97%E5%8C%BA%E5%90%89%E9%87%8E%E7%94%BA4-20,35.4351781,139.6184059,2025,ラーメン KANAGAWA,ramen_kanagawa,発表日：2025年12月2日
ラーメン二郎 京急川崎店,神奈川県川崎市川崎区本町2-10,食べログ ラーメン KANAGAWA 百名店 2025,https://tabelog.com/kanagawa/A1405/A140501/14000765/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%83%A9%E3%83%BC%E3%83%A1%E3%83%B3%E4%BA%8C%E9%83%8E%20%E4%BA%AC%E6%80%A5%E5%B7%9D%E5%B4%8E%E5%BA%97%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E5%B7%9D%E5%B4%8E%E5%B8%82%E5%B7%9D%E5%B4%8E%E5%8C%BA%E6%9C%AC%E7%94%BA2-10,35.5349220,139.7051997,2025,ラーメン KANAGAWA,ramen_kanagawa,発表日：2025年12月2日
大勝軒 淵野辺店,神奈川県相模原市中央区淵野辺2-6-24,食べログ ラーメン KANAGAWA 百名店 2025,https://tabelog.com/kanagawa/A1407/A140701/14000842/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E5%A4%A7%E5%8B%9D%E8%BB%92%20%E6%B7%B5%E9%87%8E%E8%BE%BA%E5%BA%97%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E7%9B%B8%E6%A8%A1%E5%8E%9F%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E6%B7%B5%E9%87%8E%E8%BE%BA2-6-24,35.5729073,139.3929485,2025,ラーメン KANAGAWA,ramen_kanagawa,発表日：2025年12月2日
流星軒,神奈川県横浜市南区日枝町4-97-2,食べログ ラーメン KANAGAWA 百名店 2025,https://tabelog.com/kanagawa/A1401/A140306/14000569/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E6%B5%81%E6%98%9F%E8%BB%92%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E6%A8%AA%E6%B5%9C%E5%B8%82%E5%8D%97%E5%8C%BA%E6%97%A5%E6%9E%9D%E7%94%BA4-97-2,35.4370591,139.6174750,2025,ラーメン KANAGAWA,ramen_kanagawa,発表日：2025年12月2日
白河手打中華そば こすが,神奈川県横浜市青葉区新石川1-19-4,食べログ ラーメン KANAGAWA 百名店 2025,https://tabelog.com/kanagawa/A1401/A140201/14085710/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E7%99%BD%E6%B2%B3%E6%89%8B%E6%89%93%E4%B8%AD%E8%8F%AF%E3%81%9D%E3%81%B0%20%E3%81%93%E3%81%99%E3%81%8C%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E6%A8%AA%E6%B5%9C%E5%B8%82%E9%9D%92%E8%91%89%E5%8C%BA%E6%96%B0%E7%9F%B3%E5%B7%9D1-19-4,35.5684562,139.5561121,2025,ラーメン KANAGAWA,ramen_kanagawa,発表日：2025年12月2日
ラーメン 杉田家 本店,神奈川県横浜市磯子区新杉田町3-5,食べログ ラーメン KANAGAWA 百名店 2025,https://tabelog.com/kanagawa/A1401/A140308/14000917/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%83%A9%E3%83%BC%E3%83%A1%E3%83%B3%20%E6%9D%89%E7%94%B0%E5%AE%B6%20%E6%9C%AC%E5%BA%97%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E6%A8%AA%E6%B5%9C%E5%B8%82%E7%A3%AF%E5%AD%90%E5%8C%BA%E6%96%B0%E6%9D%89%E7%94%B0%E7%94%BA3-5,35.3881725,139.6182234,2025,ラーメン KANAGAWA,ramen_kanagawa,発表日：2025年12月2日
支那そばや 本店,神奈川県横浜市戸塚区戸塚町4081-1,食べログ ラーメン KANAGAWA 百名店 2025,https://tabelog.com/kanagawa/A1401/A140305/14014445/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E6%94%AF%E9%82%A3%E3%81%9D%E3%81%B0%E3%82%84%20%E6%9C%AC%E5%BA%97%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E6%A8%AA%E6%B5%9C%E5%B8%82%E6%88%B8%E5%A1%9A%E5%8C%BA%E6%88%B8%E5%A1%9A%E7%94%BA4081-1,35.4014080,139.5318283,2025,ラーメン KANAGAWA,ramen_kanagawa,発表日：2025年12月2日
らぁめん鴇,神奈川県高座郡寒川町岡田5-16-3-3,食べログ ラーメン KANAGAWA 百名店 2025,https://tabelog.com/kanagawa/A1404/A140406/14099204/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%82%89%E3%81%81%E3%82%81%E3%82%93%E9%B4%87%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E9%AB%98%E5%BA%A7%E9%83%A1%E5%AF%92%E5%B7%9D%E7%94%BA%E5%B2%A1%E7%94%B05-16-3-3,35.3729398,139.3956140,2025,ラーメン KANAGAWA,ramen_kanagawa,発表日：2025年12月2日
家系総本山 吉村家,神奈川県横浜市西区岡野1-6-4,食べログ ラーメン KANAGAWA 百名店 2025,https://tabelog.com/kanagawa/A1401/A140102/14090328/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E5%AE%B6%E7%B3%BB%E7%B7%8F%E6%9C%AC%E5%B1%B1%20%E5%90%89%E6%9D%91%E5%AE%B6%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E6%A8%AA%E6%B5%9C%E5%B8%82%E8%A5%BF%E5%8C%BA%E5%B2%A1%E9%87%8E1-6-4,35.4630268,139.6150827,2025,ラーメン KANAGAWA,ramen_kanagawa,発表日：2025年12月2日
ラーメン二郎 中山駅前店,神奈川県横浜市緑区台村町309-1 土井ビル 1F,食べログ ラーメン KANAGAWA 百名店 2025,https://tabelog.com/kanagawa/A1401/A140207/14038422/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%83%A9%E3%83%BC%E3%83%A1%E3%83%B3%E4%BA%8C%E9%83%8E%20%E4%B8%AD%E5%B1%B1%E9%A7%85%E5%89%8D%E5%BA%97%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E6%A8%AA%E6%B5%9C%E5%B8%82%E7%B7%91%E5%8C%BA%E5%8F%B0%E6%9D%91%E7%94%BA309-1%20%E5%9C%9F%E4%BA%95%E3%83%93%E3%83%AB%201F,35.5130773,139.5386580,2025,ラーメン KANAGAWA,ramen_kanagawa,発表日：2025年12月2日
