Name,Address,Description,Website,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
つけそば 神田 勝本,東京都千代田区神田猿楽町1-2-4,食べログ ラーメン TOKYO 百名店 2025,https://tabelog.com/tokyo/A1310/A131003/13192433/,https://www.google.com/maps/search/?api=1&query=%E3%81%A4%E3%81%91%E3%81%9D%E3%81%B0%20%E7%A5%9E%E7%94%B0%20%E5%8B%9D%E6%9C%AC%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%8D%83%E4%BB%A3%E7%94%B0%E5%8C%BA%E7%A5%9E%E7%94%B0%E7%8C%BF%E6%A5%BD%E7%94%BA1-2-4,35.6974963,139.7595724,2025,ラーメン TOKYO,ramen_tokyo,発表日：2025年12月2日
Homemade Ramen 麦苗,東京都品川区南大井6-11-10,食べログ ラーメン TOKYO 百名店 2025,https://tabelog.com/tokyo/A1315/A131502/13194812/,https://www.google.com/maps/search/?api=1&query=Homemade%20Ramen%20%E9%BA%A6%E8%8B%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%93%81%E5%B7%9D%E5%8C%BA%E5%8D%97%E5%A4%A7%E4%BA%956-11-10,35.5907851,139.7328123,2025,ラーメン TOKYO,ramen_tokyo,発表日：2025年12月2日
there is ramen,東京都杉並区天沼3-10-16,食べログ ラーメン TOKYO 百名店 2025,https://tabelog.com/tokyo/A1319/A131906/13277729/,https://www.google.com/maps/search/?api=1&query=there%20is%20ramen%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%9D%89%E4%B8%A6%E5%8C%BA%E5%A4%A9%E6%B2%BC3-10-16,35.7074173,139.6183611,2025,ラーメン TOKYO,ramen_tokyo,発表日：2025年12月2日
煮干鰮らーめん 圓 八王子本店,東京都八王子市横山町21-21,食べログ ラーメン TOKYO 百名店 2025,https://tabelog.com/tokyo/A1329/A132904/13091258/,https://www.google.com/maps/search/?api=1&query=%E7%85%AE%E5%B9%B2%E9%B0%AE%E3%82%89%E3%83%BC%E3%82%81%E3%82%93%20%E5%9C%93%20%E5%85%AB%E7%8E%8B%E5%AD%90%E6%9C%AC%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%85%AB%E7%8E%8B%E5%AD%90%E5%B8%82%E6%A8%AA%E5%B1%B1%E7%94%BA21-21,35.6603327,139.3384319,2025,ラーメン TOKYO,ramen_tokyo,発表日：2025年12月2日
創作麺 ひとすじ,東京都杉並区方南2-18-6,食べログ ラーメン TOKYO 百名店 2025,https://tabelog.com/tokyo/A1319/A131903/13305924/,https://www.google.com/maps/search/?api=1&query=%E5%89%B5%E4%BD%9C%E9%BA%BA%20%E3%81%B2%E3%81%A8%E3%81%99%E3%81%98%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%9D%89%E4%B8%A6%E5%8C%BA%E6%96%B9%E5%8D%972-18-6,35.6839331,139.6592362,2025,ラーメン TOKYO,ramen_tokyo,発表日：2025年12月2日
えーちゃん食堂,東京都目黒区下目黒3-4-6 サンライズ目黒 1Ｆ,食べログ ラーメン TOKYO 百名店 2025,https://tabelog.com/tokyo/A1316/A131601/13284505/,https://www.google.com/maps/search/?api=1&query=%E3%81%88%E3%83%BC%E3%81%A1%E3%82%83%E3%82%93%E9%A3%9F%E5%A0%82%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E7%9B%AE%E9%BB%92%E5%8C%BA%E4%B8%8B%E7%9B%AE%E9%BB%923-4-6%20%E3%82%B5%E3%83%B3%E3%83%A9%E3%82%A4%E3%82%BA%E7%9B%AE%E9%BB%92%201%EF%BC%A6,35.6305455,139.7095555,2025,ラーメン TOKYO,ramen_tokyo,発表日：2025年12月2日
Japanese Soba Noodles 蔦,東京都渋谷区西原3-2-4 フロンティア代々木上原 B1F,食べログ ラーメン TOKYO 百名店 2025,https://tabelog.com/tokyo/A1318/A131811/13241560/,https://www.google.com/maps/search/?api=1&query=Japanese%20Soba%20Noodles%20%E8%94%A6%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E8%A5%BF%E5%8E%9F3-2-4%20%E3%83%95%E3%83%AD%E3%83%B3%E3%83%86%E3%82%A3%E3%82%A2%E4%BB%A3%E3%80%85%E6%9C%A8%E4%B8%8A%E5%8E%9F%20B1F,35.6704056,139.6824837,2025,ラーメン TOKYO,ramen_tokyo,発表日：2025年12月2日
創作麺工房 鳴龍,東京都豊島区南大塚2-34-4 SKY南大塚 1F,食べログ ラーメン TOKYO 百名店 2025,https://tabelog.com/tokyo/A1323/A132302/13141302/,https://www.google.com/maps/search/?api=1&query=%E5%89%B5%E4%BD%9C%E9%BA%BA%E5%B7%A5%E6%88%BF%20%E9%B3%B4%E9%BE%8D%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E8%B1%8A%E5%B3%B6%E5%8C%BA%E5%8D%97%E5%A4%A7%E5%A1%9A2-34-4%20SKY%E5%8D%97%E5%A4%A7%E5%A1%9A%201F,35.7286843,139.7303508,2025,ラーメン TOKYO,ramen_tokyo,発表日：2025年12月2日
寿製麺 よしかわ 西台駅前店,東京都板橋区蓮根3-8-14,食べログ ラーメン TOKYO 百名店 2025,https://tabelog.com/tokyo/A1322/A132205/13228611/,https://www.google.com/maps/search/?api=1&query=%E5%AF%BF%E8%A3%BD%E9%BA%BA%20%E3%82%88%E3%81%97%E3%81%8B%E3%82%8F%20%E8%A5%BF%E5%8F%B0%E9%A7%85%E5%89%8D%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%9D%BF%E6%A9%8B%E5%8C%BA%E8%93%AE%E6%A0%B93-8-14,35.7859170,139.6747347,2025,ラーメン TOKYO,ramen_tokyo,発表日：2025年12月2日
手打ち 陰日向,東京都府中市美好町3-9-10,食べログ ラーメン TOKYO 百名店 2025,https://tabelog.com/tokyo/A1326/A132602/13297403/,https://www.google.com/maps/search/?api=1&query=%E6%89%8B%E6%89%93%E3%81%A1%20%E9%99%B0%E6%97%A5%E5%90%91%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%B8%AD%E5%B8%82%E7%BE%8E%E5%A5%BD%E7%94%BA3-9-10,35.6716485,139.4670786,2025,ラーメン TOKYO,ramen_tokyo,発表日：2025年12月2日
一条流がんこ総本家分家四谷荒木町,東京都新宿区舟町4-1 メゾンド四谷 106,食べログ ラーメン TOKYO 百名店 2025,https://tabelog.com/tokyo/A1309/A130903/13126058/,https://www.google.com/maps/search/?api=1&query=%E4%B8%80%E6%9D%A1%E6%B5%81%E3%81%8C%E3%82%93%E3%81%93%E7%B7%8F%E6%9C%AC%E5%AE%B6%E5%88%86%E5%AE%B6%E5%9B%9B%E8%B0%B7%E8%8D%92%E6%9C%A8%E7%94%BA%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E8%88%9F%E7%94%BA4-1%20%E3%83%A1%E3%82%BE%E3%83%B3%E3%83%89%E5%9B%9B%E8%B0%B7%20106,35.6892677,139.7215066,2025,ラーメン TOKYO,ramen_tokyo,発表日：2025年12月2日
麺屋鈴春,東京都文京区本郷2-26-1 福重ビル 1F,食べログ ラーメン TOKYO 百名店 2025,https://tabelog.com/tokyo/A1310/A131004/13250293/,https://www.google.com/maps/search/?api=1&query=%E9%BA%BA%E5%B1%8B%E9%88%B4%E6%98%A5%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%87%E4%BA%AC%E5%8C%BA%E6%9C%AC%E9%83%B72-26-1%20%E7%A6%8F%E9%87%8D%E3%83%93%E3%83%AB%201F,35.7048835,139.7608247,2025,ラーメン TOKYO,ramen_tokyo,発表日：2025年12月2日
純手打ち だるま,東京都杉並区和田1-18-3,食べログ ラーメン TOKYO 百名店 2025,https://tabelog.com/tokyo/A1319/A131903/13218715/,https://www.google.com/maps/search/?api=1&query=%E7%B4%94%E6%89%8B%E6%89%93%E3%81%A1%20%E3%81%A0%E3%82%8B%E3%81%BE%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%9D%89%E4%B8%A6%E5%8C%BA%E5%92%8C%E7%94%B01-18-3,35.6909510,139.6665315,2025,ラーメン TOKYO,ramen_tokyo,発表日：2025年12月2日
中華そば 多賀野,東京都品川区中延2-15-10,食べログ ラーメン TOKYO 百名店 2025,https://tabelog.com/tokyo/A1317/A131712/13003421/,https://www.google.com/maps/search/?api=1&query=%E4%B8%AD%E8%8F%AF%E3%81%9D%E3%81%B0%20%E5%A4%9A%E8%B3%80%E9%87%8E%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%93%81%E5%B7%9D%E5%8C%BA%E4%B8%AD%E5%BB%B62-15-10,35.6097235,139.7115685,2025,ラーメン TOKYO,ramen_tokyo,発表日：2025年12月2日
六厘舎 東京駅東京ラーメンストリート,東京都千代田区丸の内1-9-1 東京駅一番街 B1F 東京ラーメンストリート内,食べログ ラーメン TOKYO 百名店 2025,https://tabelog.com/tokyo/A1302/A130201/13093047/,https://www.google.com/maps/search/?api=1&query=%E5%85%AD%E5%8E%98%E8%88%8E%20%E6%9D%B1%E4%BA%AC%E9%A7%85%E6%9D%B1%E4%BA%AC%E3%83%A9%E3%83%BC%E3%83%A1%E3%83%B3%E3%82%B9%E3%83%88%E3%83%AA%E3%83%BC%E3%83%88%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%8D%83%E4%BB%A3%E7%94%B0%E5%8C%BA%E4%B8%B8%E3%81%AE%E5%86%851-9-1%20%E6%9D%B1%E4%BA%AC%E9%A7%85%E4%B8%80%E7%95%AA%E8%A1%97%20B1F%20%E6%9D%B1%E4%BA%AC%E3%83%A9%E3%83%BC%E3%83%A1%E3%83%B3%E3%82%B9%E3%83%88%E3%83%AA%E3%83%BC%E3%83%88%E5%86%85,35.6800613,139.7678543,2025,ラーメン TOKYO,ramen_tokyo,発表日：2025年12月2日
一番いちばん,東京都町田市中町1-28-24 大成ビル　１Ｆ,食べログ ラーメン TOKYO 百名店 2025,https://tabelog.com/tokyo/A1327/A132701/13001469/,https://www.google.com/maps/search/?api=1&query=%E4%B8%80%E7%95%AA%E3%81%84%E3%81%A1%E3%81%B0%E3%82%93%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E7%94%BA%E7%94%B0%E5%B8%82%E4%B8%AD%E7%94%BA1-28-24%20%E5%A4%A7%E6%88%90%E3%83%93%E3%83%AB%E3%80%80%EF%BC%91%EF%BC%A6,35.5493985,139.4469977,2025,ラーメン TOKYO,ramen_tokyo,発表日：2025年12月2日
手打ち 蓮,東京都墨田区千歳3-16-2,食べログ ラーメン TOKYO 百名店 2025,https://tabelog.com/tokyo/A1312/A131201/13278390/,https://www.google.com/maps/search/?api=1&query=%E6%89%8B%E6%89%93%E3%81%A1%20%E8%93%AE%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%A2%A8%E7%94%B0%E5%8C%BA%E5%8D%83%E6%AD%B33-16-2,35.6914631,139.7959167,2025,ラーメン TOKYO,ramen_tokyo,発表日：2025年12月2日
