Name,Address,Description,Website,Tabelog Reservation URL,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
千寿 竹やぶ,東京都足立区千住河原町7-12,食べログ そば EAST 百名店 2025,https://tabelog.com/tokyo/A1324/A132402/13003773/,,https://www.google.com/maps/search/?api=1&query=%E5%8D%83%E5%AF%BF%20%E7%AB%B9%E3%82%84%E3%81%B6%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E8%B6%B3%E7%AB%8B%E5%8C%BA%E5%8D%83%E4%BD%8F%E6%B2%B3%E5%8E%9F%E7%94%BA7-12,35.7444787,139.7973076,2025,そば EAST,soba_east,発表日：2025年7月23日
玉笑,東京都渋谷区神宮前5-23-3,食べログ そば EAST 百名店 2025,https://tabelog.com/tokyo/A1306/A130601/13129390/,,https://www.google.com/maps/search/?api=1&query=%E7%8E%89%E7%AC%91%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%A5%9E%E5%AE%AE%E5%89%8D5-23-3,35.6644489,139.7046843,2025,そば EAST,soba_east,発表日：2025年7月23日
蕎麦切 森の,東京都文京区本郷2-25-1 ムトウビル　１Ｆ,食べログ そば EAST 百名店 2025,https://tabelog.com/tokyo/A1310/A131004/13018364/,,https://www.google.com/maps/search/?api=1&query=%E8%95%8E%E9%BA%A6%E5%88%87%20%E6%A3%AE%E3%81%AE%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%87%E4%BA%AC%E5%8C%BA%E6%9C%AC%E9%83%B72-25-1%20%E3%83%A0%E3%83%88%E3%82%A6%E3%83%93%E3%83%AB%E3%80%80%EF%BC%91%EF%BC%A6,35.7048002,139.7605157,2025,そば EAST,soba_east,発表日：2025年7月23日
オリベ,神奈川県中郡二宮町百合が丘1-1-2,食べログ そば EAST 百名店 2025,https://tabelog.com/kanagawa/A1404/A140408/14007619/,,https://www.google.com/maps/search/?api=1&query=%E3%82%AA%E3%83%AA%E3%83%99%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E4%B8%AD%E9%83%A1%E4%BA%8C%E5%AE%AE%E7%94%BA%E7%99%BE%E5%90%88%E3%81%8C%E4%B8%981-1-2,35.3080785,139.2426729,2025,そば EAST,soba_east,発表日：2025年7月23日
木挽町 湯津上屋,東京都中央区銀座1-22-14,食べログ そば EAST 百名店 2025,https://tabelog.com/tokyo/A1313/A131301/13019153/,,https://www.google.com/maps/search/?api=1&query=%E6%9C%A8%E6%8C%BD%E7%94%BA%20%E6%B9%AF%E6%B4%A5%E4%B8%8A%E5%B1%8B%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%8A%80%E5%BA%A71-22-14,35.6720369,139.7709573,2025,そば EAST,soba_east,発表日：2025年7月23日
流山 すず季,千葉県流山市西初石3-1-17,食べログ そば EAST 百名店 2025,https://tabelog.com/chiba/A1203/A120305/12003116/,,https://www.google.com/maps/search/?api=1&query=%E6%B5%81%E5%B1%B1%20%E3%81%99%E3%81%9A%E5%AD%A3%20%E5%8D%83%E8%91%89%E7%9C%8C%E6%B5%81%E5%B1%B1%E5%B8%82%E8%A5%BF%E5%88%9D%E7%9F%B33-1-17,35.8841248,139.9118036,2025,そば EAST,soba_east,発表日：2025年7月23日
甜蕎屋 源平,栃木県日光市木和田島2505-4,食べログ そば EAST 百名店 2025,https://tabelog.com/tochigi/A0903/A090302/9000065/,,https://www.google.com/maps/search/?api=1&query=%E7%94%9C%E8%95%8E%E5%B1%8B%20%E6%BA%90%E5%B9%B3%20%E6%A0%83%E6%9C%A8%E7%9C%8C%E6%97%A5%E5%85%89%E5%B8%82%E6%9C%A8%E5%92%8C%E7%94%B0%E5%B3%B62505-4,36.6789835,139.7593801,2025,そば EAST,soba_east,発表日：2025年7月23日
凡味 そばきり,群馬県高崎市問屋町西1-8-6,食べログ そば EAST 百名店 2025,https://tabelog.com/gunma/A1001/A100102/10000142/,,https://www.google.com/maps/search/?api=1&query=%E5%87%A1%E5%91%B3%20%E3%81%9D%E3%81%B0%E3%81%8D%E3%82%8A%20%E7%BE%A4%E9%A6%AC%E7%9C%8C%E9%AB%98%E5%B4%8E%E5%B8%82%E5%95%8F%E5%B1%8B%E7%94%BA%E8%A5%BF1-8-6,36.3504447,139.0069608,2025,そば EAST,soba_east,発表日：2025年7月23日
いな穂,秋田県北秋田市材木町6-41,食べログ そば EAST 百名店 2025,https://tabelog.com/akita/A0502/A050202/5007367/,,https://www.google.com/maps/search/?api=1&query=%E3%81%84%E3%81%AA%E7%A9%82%20%E7%A7%8B%E7%94%B0%E7%9C%8C%E5%8C%97%E7%A7%8B%E7%94%B0%E5%B8%82%E6%9D%90%E6%9C%A8%E7%94%BA6-41,40.2311132,140.3713051,2025,そば EAST,soba_east,発表日：2025年7月23日
蕎麦 ふじおか,長野県-長野市上ヶ屋2471-2066,食べログ そば EAST 百名店 2025,https://tabelog.com/nagano/A2001/A200101/20000415/,,https://www.google.com/maps/search/?api=1&query=%E8%95%8E%E9%BA%A6%20%E3%81%B5%E3%81%98%E3%81%8A%E3%81%8B%20%E9%95%B7%E9%87%8E%E7%9C%8C-%E9%95%B7%E9%87%8E%E5%B8%82%E4%B8%8A%E3%83%B6%E5%B1%8B2471-2066,36.7163893,138.1296009,2025,そば EAST,soba_east,発表日：2025年7月23日
