Name,Address,Description,Website,Google Maps URL,Year,Genre,Genre Slug,Release Date
うるしや,福井県越前市京町1-4-26,食べログ そば WEST 百名店 2025,https://tabelog.com/fukui/A1802/A180202/18007966/,https://www.google.com/maps/search/?api=1&query=%E3%81%86%E3%82%8B%E3%81%97%E3%82%84%20%E7%A6%8F%E4%BA%95%E7%9C%8C%E8%B6%8A%E5%89%8D%E5%B8%82%E4%BA%AC%E7%94%BA1-4-26,2025,そば WEST,soba_west,発表日：2025年7月23日
まき埜,大阪府大阪市福島区福島6-11-13 シャトー西梅田 1F,食べログ そば WEST 百名店 2025,https://tabelog.com/osaka/A2701/A270108/27002682/,https://www.google.com/maps/search/?api=1&query=%E3%81%BE%E3%81%8D%E5%9F%9C%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E7%A6%8F%E5%B3%B6%E5%8C%BA%E7%A6%8F%E5%B3%B66-11-13%20%E3%82%B7%E3%83%A3%E3%83%88%E3%83%BC%E8%A5%BF%E6%A2%85%E7%94%B0%201F,2025,そば WEST,soba_west,発表日：2025年7月23日
けんぞう蕎麦,福井県吉田郡永平寺町松岡春日3-26,食べログ そば WEST 百名店 2025,https://tabelog.com/fukui/A1801/A180103/18000030/,https://www.google.com/maps/search/?api=1&query=%E3%81%91%E3%82%93%E3%81%9E%E3%81%86%E8%95%8E%E9%BA%A6%20%E7%A6%8F%E4%BA%95%E7%9C%8C%E5%90%89%E7%94%B0%E9%83%A1%E6%B0%B8%E5%B9%B3%E5%AF%BA%E7%94%BA%E6%9D%BE%E5%B2%A1%E6%98%A5%E6%97%A53-26,2025,そば WEST,soba_west,発表日：2025年7月23日
くちいわ,富山県富山市東岩瀬町135,食べログ そば WEST 百名店 2025,https://tabelog.com/toyama/A1601/A160101/16010455/,https://www.google.com/maps/search/?api=1&query=%E3%81%8F%E3%81%A1%E3%81%84%E3%82%8F%20%E5%AF%8C%E5%B1%B1%E7%9C%8C%E5%AF%8C%E5%B1%B1%E5%B8%82%E6%9D%B1%E5%B2%A9%E7%80%AC%E7%94%BA135,2025,そば WEST,soba_west,発表日：2025年7月23日
蕎麦 やすたけ,福井県福井市文京7-9-35,食べログ そば WEST 百名店 2025,https://tabelog.com/fukui/A1801/A180101/18000999/,https://www.google.com/maps/search/?api=1&query=%E8%95%8E%E9%BA%A6%20%E3%82%84%E3%81%99%E3%81%9F%E3%81%91%20%E7%A6%8F%E4%BA%95%E7%9C%8C%E7%A6%8F%E4%BA%95%E5%B8%82%E6%96%87%E4%BA%AC7-9-35,2025,そば WEST,soba_west,発表日：2025年7月23日
蕎麦きり吟,広島県広島市南区段原1-7-18,食べログ そば WEST 百名店 2025,https://tabelog.com/hiroshima/A3401/A340123/34014468/,https://www.google.com/maps/search/?api=1&query=%E8%95%8E%E9%BA%A6%E3%81%8D%E3%82%8A%E5%90%9F%20%E5%BA%83%E5%B3%B6%E7%9C%8C%E5%BA%83%E5%B3%B6%E5%B8%82%E5%8D%97%E5%8C%BA%E6%AE%B5%E5%8E%9F1-7-18,2025,そば WEST,soba_west,発表日：2025年7月23日
草庵,石川県白山市鶴来日吉町ロ32,食べログ そば WEST 百名店 2025,https://tabelog.com/ishikawa/A1702/A170203/17001320/,https://www.google.com/maps/search/?api=1&query=%E8%8D%89%E5%BA%B5%20%E7%9F%B3%E5%B7%9D%E7%9C%8C%E7%99%BD%E5%B1%B1%E5%B8%82%E9%B6%B4%E6%9D%A5%E6%97%A5%E5%90%89%E7%94%BA%E3%83%AD32,2025,そば WEST,soba_west,発表日：2025年7月23日
更科藤井,石川県金沢市柿木畠3-3,食べログ そば WEST 百名店 2025,https://tabelog.com/ishikawa/A1701/A170101/17006763/,https://www.google.com/maps/search/?api=1&query=%E6%9B%B4%E7%A7%91%E8%97%A4%E4%BA%95%20%E7%9F%B3%E5%B7%9D%E7%9C%8C%E9%87%91%E6%B2%A2%E5%B8%82%E6%9F%BF%E6%9C%A8%E7%95%A03-3,2025,そば WEST,soba_west,発表日：2025年7月23日
まつもと,京都府京都市中京区中之町577,食べログ そば WEST 百名店 2025,https://tabelog.com/kyoto/A2601/A260201/26022778/,https://www.google.com/maps/search/?api=1&query=%E3%81%BE%E3%81%A4%E3%82%82%E3%81%A8%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E4%B8%AD%E4%BA%AC%E5%8C%BA%E4%B8%AD%E4%B9%8B%E7%94%BA577,2025,そば WEST,soba_west,発表日：2025年7月23日
手打ちそば 花もも,京都府京都市中京区丸太町麩屋町西入ル昆布屋町398,食べログ そば WEST 百名店 2025,https://tabelog.com/kyoto/A2601/A260202/26016470/,https://www.google.com/maps/search/?api=1&query=%E6%89%8B%E6%89%93%E3%81%A1%E3%81%9D%E3%81%B0%20%E8%8A%B1%E3%82%82%E3%82%82%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E4%B8%AD%E4%BA%AC%E5%8C%BA%E4%B8%B8%E5%A4%AA%E7%94%BA%E9%BA%A9%E5%B1%8B%E7%94%BA%E8%A5%BF%E5%85%A5%E3%83%AB%E6%98%86%E5%B8%83%E5%B1%8B%E7%94%BA398,2025,そば WEST,soba_west,発表日：2025年7月23日
手打ちそば 遊山,徳島県徳島市八万町上長谷102-1,食べログ そば WEST 百名店 2025,https://tabelog.com/tokushima/A3601/A360101/36006466/,https://www.google.com/maps/search/?api=1&query=%E6%89%8B%E6%89%93%E3%81%A1%E3%81%9D%E3%81%B0%20%E9%81%8A%E5%B1%B1%20%E5%BE%B3%E5%B3%B6%E7%9C%8C%E5%BE%B3%E5%B3%B6%E5%B8%82%E5%85%AB%E4%B8%87%E7%94%BA%E4%B8%8A%E9%95%B7%E8%B0%B7102-1,2025,そば WEST,soba_west,発表日：2025年7月23日
乾,大阪府羽曳野市野々上2-23-1,食べログ そば WEST 百名店 2025,https://tabelog.com/osaka/A2708/A270801/27019556/,https://www.google.com/maps/search/?api=1&query=%E4%B9%BE%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E7%BE%BD%E6%9B%B3%E9%87%8E%E5%B8%82%E9%87%8E%E3%80%85%E4%B8%8A2-23-1,2025,そば WEST,soba_west,発表日：2025年7月23日
蕎麦切り かんべえ,福岡県福岡市中央区梅光園1-1-1,食べログ そば WEST 百名店 2025,https://tabelog.com/fukuoka/A4001/A400105/40036259/,https://www.google.com/maps/search/?api=1&query=%E8%95%8E%E9%BA%A6%E5%88%87%E3%82%8A%20%E3%81%8B%E3%82%93%E3%81%B9%E3%81%88%20%E7%A6%8F%E5%B2%A1%E7%9C%8C%E7%A6%8F%E5%B2%A1%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E6%A2%85%E5%85%89%E5%9C%921-1-1,2025,そば WEST,soba_west,発表日：2025年7月23日
鴨と醸し 鼓道,大阪府吹田市千里山西4-37-3 1F,食べログ そば WEST 百名店 2025,https://tabelog.com/osaka/A2706/A270601/27098528/,https://www.google.com/maps/search/?api=1&query=%E9%B4%A8%E3%81%A8%E9%86%B8%E3%81%97%20%E9%BC%93%E9%81%93%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%90%B9%E7%94%B0%E5%B8%82%E5%8D%83%E9%87%8C%E5%B1%B1%E8%A5%BF4-37-3%201F,2025,そば WEST,soba_west,発表日：2025年7月23日
蕎麦切り大城,大阪府大阪市阿倍野区西田辺町2-6-13,食べログ そば WEST 百名店 2025,https://tabelog.com/osaka/A2701/A270203/27051719/,https://www.google.com/maps/search/?api=1&query=%E8%95%8E%E9%BA%A6%E5%88%87%E3%82%8A%E5%A4%A7%E5%9F%8E%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E9%98%BF%E5%80%8D%E9%87%8E%E5%8C%BA%E8%A5%BF%E7%94%B0%E8%BE%BA%E7%94%BA2-6-13,2025,そば WEST,soba_west,発表日：2025年7月23日
一如庵,奈良県宇陀市榛原自明1362,食べログ そば WEST 百名店 2025,https://tabelog.com/nara/A2904/A290403/29000815/,https://www.google.com/maps/search/?api=1&query=%E4%B8%80%E5%A6%82%E5%BA%B5%20%E5%A5%88%E8%89%AF%E7%9C%8C%E5%AE%87%E9%99%80%E5%B8%82%E6%A6%9B%E5%8E%9F%E8%87%AA%E6%98%8E1362,2025,そば WEST,soba_west,発表日：2025年7月23日
手打ち蕎麦 蕎麦屋すみ蔵,滋賀県大津市石山寺1-3-17,食べログ そば WEST 百名店 2025,https://tabelog.com/shiga/A2501/A250101/25008216/,https://www.google.com/maps/search/?api=1&query=%E6%89%8B%E6%89%93%E3%81%A1%E8%95%8E%E9%BA%A6%20%E8%95%8E%E9%BA%A6%E5%B1%8B%E3%81%99%E3%81%BF%E8%94%B5%20%E6%BB%8B%E8%B3%80%E7%9C%8C%E5%A4%A7%E6%B4%A5%E5%B8%82%E7%9F%B3%E5%B1%B1%E5%AF%BA1-3-17,2025,そば WEST,soba_west,発表日：2025年7月23日
手取川 竹やぶ,石川県能美市三ツ屋町イ12,食べログ そば WEST 百名店 2025,https://tabelog.com/ishikawa/A1702/A170203/17001500/,https://www.google.com/maps/search/?api=1&query=%E6%89%8B%E5%8F%96%E5%B7%9D%20%E7%AB%B9%E3%82%84%E3%81%B6%20%E7%9F%B3%E5%B7%9D%E7%9C%8C%E8%83%BD%E7%BE%8E%E5%B8%82%E4%B8%89%E3%83%84%E5%B1%8B%E7%94%BA%E3%82%A412,2025,そば WEST,soba_west,発表日：2025年7月23日
蕎麦屋 にこら,京都府京都市上京区五辻町69-3,食べログ そば WEST 百名店 2025,https://tabelog.com/kyoto/A2601/A260202/26000514/,https://www.google.com/maps/search/?api=1&query=%E8%95%8E%E9%BA%A6%E5%B1%8B%20%E3%81%AB%E3%81%93%E3%82%89%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E4%B8%8A%E4%BA%AC%E5%8C%BA%E4%BA%94%E8%BE%BB%E7%94%BA69-3,2025,そば WEST,soba_west,発表日：2025年7月23日
手打ち蕎麦・鮨 いまふく,京都府京都市伏見区深草町通町26,食べログ そば WEST 百名店 2025,https://tabelog.com/kyoto/A2601/A260601/26024211/,https://www.google.com/maps/search/?api=1&query=%E6%89%8B%E6%89%93%E3%81%A1%E8%95%8E%E9%BA%A6%E3%83%BB%E9%AE%A8%20%E3%81%84%E3%81%BE%E3%81%B5%E3%81%8F%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E4%BC%8F%E8%A6%8B%E5%8C%BA%E6%B7%B1%E8%8D%89%E7%94%BA%E9%80%9A%E7%94%BA26,2025,そば WEST,soba_west,発表日：2025年7月23日
蕎麦 ろうじな,京都府京都市中京区丸屋町691,食べログ そば WEST 百名店 2025,https://tabelog.com/kyoto/A2601/A260202/26023992/,https://www.google.com/maps/search/?api=1&query=%E8%95%8E%E9%BA%A6%20%E3%82%8D%E3%81%86%E3%81%98%E3%81%AA%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E4%B8%AD%E4%BA%AC%E5%8C%BA%E4%B8%B8%E5%B1%8B%E7%94%BA691,2025,そば WEST,soba_west,発表日：2025年7月23日
