Name,Address,Description,Website,Tabelog Reservation URL,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
碧 国際通り松尾店,沖縄県那覇市松尾1-2-9,食べログ ステーキ・鉄板焼き WEST 百名店 2025,https://tabelog.com/okinawa/A4701/A470101/47000141/,https://tabelog.com/okinawa/A4701/A470101/47000141/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E7%A2%A7%20%E5%9B%BD%E9%9A%9B%E9%80%9A%E3%82%8A%E6%9D%BE%E5%B0%BE%E5%BA%97%20%E6%B2%96%E7%B8%84%E7%9C%8C%E9%82%A3%E8%A6%87%E5%B8%82%E6%9D%BE%E5%B0%BE1-2-9,26.2139624,127.6819195,2025,ステーキ・鉄板焼き WEST,steak_west,発表日：2025年8月19日
近江牛専門店 れすとらん 松喜屋 本店,滋賀県大津市唐橋町14-17,食べログ ステーキ・鉄板焼き WEST 百名店 2025,https://tabelog.com/shiga/A2501/A250101/25000784/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E8%BF%91%E6%B1%9F%E7%89%9B%E5%B0%82%E9%96%80%E5%BA%97%20%E3%82%8C%E3%81%99%E3%81%A8%E3%82%89%E3%82%93%20%E6%9D%BE%E5%96%9C%E5%B1%8B%20%E6%9C%AC%E5%BA%97%20%E6%BB%8B%E8%B3%80%E7%9C%8C%E5%A4%A7%E6%B4%A5%E5%B8%82%E5%94%90%E6%A9%8B%E7%94%BA14-17,34.9740673,135.9027657,2025,ステーキ・鉄板焼き WEST,steak_west,発表日：2025年8月19日
ビフテキのカワムラ 三宮本店,兵庫県神戸市中央区加納町4-5-13 ヌーバスピリットビル　１Ｆ,食べログ ステーキ・鉄板焼き WEST 百名店 2025,https://tabelog.com/hyogo/A2801/A280101/28002105/,https://tabelog.com/hyogo/A2801/A280101/28002105/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E3%83%93%E3%83%95%E3%83%86%E3%82%AD%E3%81%AE%E3%82%AB%E3%83%AF%E3%83%A0%E3%83%A9%20%E4%B8%89%E5%AE%AE%E6%9C%AC%E5%BA%97%20%E5%85%B5%E5%BA%AB%E7%9C%8C%E7%A5%9E%E6%88%B8%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%8A%A0%E7%B4%8D%E7%94%BA4-5-13%20%E3%83%8C%E3%83%BC%E3%83%90%E3%82%B9%E3%83%94%E3%83%AA%E3%83%83%E3%83%88%E3%83%93%E3%83%AB%E3%80%80%EF%BC%91%EF%BC%A6,34.6953236,135.1932619,2025,ステーキ・鉄板焼き WEST,steak_west,発表日：2025年8月19日
キャラバン,佐賀県唐津市中町1845,食べログ ステーキ・鉄板焼き WEST 百名店 2025,https://tabelog.com/saga/A4102/A410201/41002233/,https://tabelog.com/saga/A4102/A410201/41002233/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E3%82%AD%E3%83%A3%E3%83%A9%E3%83%90%E3%83%B3%20%E4%BD%90%E8%B3%80%E7%9C%8C%E5%94%90%E6%B4%A5%E5%B8%82%E4%B8%AD%E7%94%BA1845,33.4479308,129.9696145,2025,ステーキ・鉄板焼き WEST,steak_west,発表日：2025年8月19日
六角堂,石川県金沢市観音町3-4-42,食べログ ステーキ・鉄板焼き WEST 百名店 2025,https://tabelog.com/ishikawa/A1701/A170101/17000063/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E5%85%AD%E8%A7%92%E5%A0%82%20%E7%9F%B3%E5%B7%9D%E7%9C%8C%E9%87%91%E6%B2%A2%E5%B8%82%E8%A6%B3%E9%9F%B3%E7%94%BA3-4-42,36.5700684,136.6698989,2025,ステーキ・鉄板焼き WEST,steak_west,発表日：2025年8月19日
喜瀬,沖縄県名護市喜瀬1343-1 ザ・リッツカールトン沖縄 3Ｆ,食べログ ステーキ・鉄板焼き WEST 百名店 2025,https://tabelog.com/okinawa/A4702/A470201/47011807/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E5%96%9C%E7%80%AC%20%E6%B2%96%E7%B8%84%E7%9C%8C%E5%90%8D%E8%AD%B7%E5%B8%82%E5%96%9C%E7%80%AC1343-1%20%E3%82%B6%E3%83%BB%E3%83%AA%E3%83%83%E3%83%84%E3%82%AB%E3%83%BC%E3%83%AB%E3%83%88%E3%83%B3%E6%B2%96%E7%B8%84%203%EF%BC%A6,26.5282307,127.9399801,2025,ステーキ・鉄板焼き WEST,steak_west,発表日：2025年8月19日
鉄板焼 ふかみ,宮崎県宮崎市山崎町浜山 フェニックス・シーガイア・オーシャン・タワー 1F,食べログ ステーキ・鉄板焼き WEST 百名店 2025,https://tabelog.com/miyazaki/A4501/A450101/45000017/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E9%89%84%E6%9D%BF%E7%84%BC%20%E3%81%B5%E3%81%8B%E3%81%BF%20%E5%AE%AE%E5%B4%8E%E7%9C%8C%E5%AE%AE%E5%B4%8E%E5%B8%82%E5%B1%B1%E5%B4%8E%E7%94%BA%E6%B5%9C%E5%B1%B1%20%E3%83%95%E3%82%A7%E3%83%8B%E3%83%83%E3%82%AF%E3%82%B9%E3%83%BB%E3%82%B7%E3%83%BC%E3%82%AC%E3%82%A4%E3%82%A2%E3%83%BB%E3%82%AA%E3%83%BC%E3%82%B7%E3%83%A3%E3%83%B3%E3%83%BB%E3%82%BF%E3%83%AF%E3%83%BC%201F,31.9588441,131.4699764,2025,ステーキ・鉄板焼き WEST,steak_west,発表日：2025年8月19日
鉄板焼 十河,兵庫県神戸市中央区加納町4-8-13 高橋ビルB1F,食べログ ステーキ・鉄板焼き WEST 百名店 2025,https://tabelog.com/hyogo/A2801/A280101/28027029/,https://tabelog.com/hyogo/A2801/A280101/28027029/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E9%89%84%E6%9D%BF%E7%84%BC%20%E5%8D%81%E6%B2%B3%20%E5%85%B5%E5%BA%AB%E7%9C%8C%E7%A5%9E%E6%88%B8%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%8A%A0%E7%B4%8D%E7%94%BA4-8-13%20%E9%AB%98%E6%A9%8B%E3%83%93%E3%83%ABB1F,34.6966052,135.1925798,2025,ステーキ・鉄板焼き WEST,steak_west,発表日：2025年8月19日
窯焼きステーキ 福田,大阪府大阪市北区曽根崎新地1-2-10 北新地鈴木第3ビル 2F,食べログ ステーキ・鉄板焼き WEST 百名店 2025,https://tabelog.com/osaka/A2701/A270101/27095105/,https://tabelog.com/osaka/A2701/A270101/27095105/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E7%AA%AF%E7%84%BC%E3%81%8D%E3%82%B9%E3%83%86%E3%83%BC%E3%82%AD%20%E7%A6%8F%E7%94%B0%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E5%8C%97%E5%8C%BA%E6%9B%BD%E6%A0%B9%E5%B4%8E%E6%96%B0%E5%9C%B01-2-10%20%E5%8C%97%E6%96%B0%E5%9C%B0%E9%88%B4%E6%9C%A8%E7%AC%AC3%E3%83%93%E3%83%AB%202F,34.6971348,135.4976638,2025,ステーキ・鉄板焼き WEST,steak_west,発表日：2025年8月19日
ベンジャミンステーキハウス 京都,京都府京都市中京区阪東屋町660-1 1・2F,食べログ ステーキ・鉄板焼き WEST 百名店 2025,https://tabelog.com/kyoto/A2601/A260201/26031586/,https://tabelog.com/kyoto/A2601/A260201/26031586/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E3%83%99%E3%83%B3%E3%82%B8%E3%83%A3%E3%83%9F%E3%83%B3%E3%82%B9%E3%83%86%E3%83%BC%E3%82%AD%E3%83%8F%E3%82%A6%E3%82%B9%20%E4%BA%AC%E9%83%BD%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E4%B8%AD%E4%BA%AC%E5%8C%BA%E9%98%AA%E6%9D%B1%E5%B1%8B%E7%94%BA660-1%201%E3%83%BB2F,35.0045898,135.7608481,2025,ステーキ・鉄板焼き WEST,steak_west,発表日：2025年8月19日
