Name,Address,Description,Website,Google Maps URL,Year,Genre,Genre Slug,Release Date
さき田,東京都三鷹市下連雀1-9-17 Kビル 1F,食べログ 寿司 TOKYO 百名店 2025,https://tabelog.com/tokyo/A1320/A132001/13216828/,https://www.google.com/maps/search/?api=1&query=%E3%81%95%E3%81%8D%E7%94%B0%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%89%E9%B7%B9%E5%B8%82%E4%B8%8B%E9%80%A3%E9%9B%801-9-17%20K%E3%83%93%E3%83%AB%201F,2025,寿司 TOKYO,sushi_tokyo,発表日：2025年2月26日
すが弥,東京都港区東麻布1-29-15 東麻布296ビル 1F,食べログ 寿司 TOKYO 百名店 2025,https://tabelog.com/tokyo/A1314/A131401/13228776/,https://www.google.com/maps/search/?api=1&query=%E3%81%99%E3%81%8C%E5%BC%A5%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E6%9D%B1%E9%BA%BB%E5%B8%831-29-15%20%E6%9D%B1%E9%BA%BB%E5%B8%83296%E3%83%93%E3%83%AB%201F,2025,寿司 TOKYO,sushi_tokyo,発表日：2025年2月26日
鮨 竜介,東京都中央区銀座7-3-13 銀座第四金井ビル B1F,食べログ 寿司 TOKYO 百名店 2025,https://tabelog.com/tokyo/A1301/A130101/13185503/,https://www.google.com/maps/search/?api=1&query=%E9%AE%A8%20%E7%AB%9C%E4%BB%8B%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%8A%80%E5%BA%A77-3-13%20%E9%8A%80%E5%BA%A7%E7%AC%AC%E5%9B%9B%E9%87%91%E4%BA%95%E3%83%93%E3%83%AB%20B1F,2025,寿司 TOKYO,sushi_tokyo,発表日：2025年2月26日
鮨 さえ喜,東京都中央区銀座6-3-18 La.La.Grande GINZA 2F,食べログ 寿司 TOKYO 百名店 2025,https://tabelog.com/tokyo/A1301/A130101/13239506/,https://www.google.com/maps/search/?api=1&query=%E9%AE%A8%20%E3%81%95%E3%81%88%E5%96%9C%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%8A%80%E5%BA%A76-3-18%20La.La.Grande%20GINZA%202F,2025,寿司 TOKYO,sushi_tokyo,発表日：2025年2月26日
島津,東京都港区白金1-29-13 白金ヴィレッジ 1F,食べログ 寿司 TOKYO 百名店 2025,https://tabelog.com/tokyo/A1316/A131602/13252991/,https://www.google.com/maps/search/?api=1&query=%E5%B3%B6%E6%B4%A5%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E7%99%BD%E9%87%911-29-13%20%E7%99%BD%E9%87%91%E3%83%B4%E3%82%A3%E3%83%AC%E3%83%83%E3%82%B8%201F,2025,寿司 TOKYO,sushi_tokyo,発表日：2025年2月26日
高柿の鮨,東京都中央区日本橋蛎殻町1-30-2,食べログ 寿司 TOKYO 百名店 2025,https://tabelog.com/tokyo/A1302/A130204/13231297/,https://www.google.com/maps/search/?api=1&query=%E9%AB%98%E6%9F%BF%E3%81%AE%E9%AE%A8%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E6%97%A5%E6%9C%AC%E6%A9%8B%E8%9B%8E%E6%AE%BB%E7%94%BA1-30-2,2025,寿司 TOKYO,sushi_tokyo,発表日：2025年2月26日
鮨 あらい,東京都中央区銀座8-10-2 ルアンビル B1F 2F,食べログ 寿司 TOKYO 百名店 2025,https://tabelog.com/tokyo/A1301/A130101/13188186/,https://www.google.com/maps/search/?api=1&query=%E9%AE%A8%20%E3%81%82%E3%82%89%E3%81%84%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%8A%80%E5%BA%A78-10-2%20%E3%83%AB%E3%82%A2%E3%83%B3%E3%83%93%E3%83%AB%20B1F%202F,2025,寿司 TOKYO,sushi_tokyo,発表日：2025年2月26日
青空,東京都中央区銀座8-3-1 銀座時傳ビル 6F,食べログ 寿司 TOKYO 百名店 2025,https://tabelog.com/tokyo/A1301/A130103/13032283/,https://www.google.com/maps/search/?api=1&query=%E9%9D%92%E7%A9%BA%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%8A%80%E5%BA%A78-3-1%20%E9%8A%80%E5%BA%A7%E6%99%82%E5%82%B3%E3%83%93%E3%83%AB%206F,2025,寿司 TOKYO,sushi_tokyo,発表日：2025年2月26日
日本橋蛎殻町 すぎた,東京都中央区日本橋蛎殻町1-33-6 ビューハイツ日本橋 B1F,食べログ 寿司 TOKYO 百名店 2025,https://tabelog.com/tokyo/A1302/A130204/13018162/,https://www.google.com/maps/search/?api=1&query=%E6%97%A5%E6%9C%AC%E6%A9%8B%E8%9B%8E%E6%AE%BB%E7%94%BA%20%E3%81%99%E3%81%8E%E3%81%9F%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E6%97%A5%E6%9C%AC%E6%A9%8B%E8%9B%8E%E6%AE%BB%E7%94%BA1-33-6%20%E3%83%93%E3%83%A5%E3%83%BC%E3%83%8F%E3%82%A4%E3%83%84%E6%97%A5%E6%9C%AC%E6%A9%8B%20B1F,2025,寿司 TOKYO,sushi_tokyo,発表日：2025年2月26日
不動前 すし 岩澤,東京都品川区西五反田5-6-11 NSVビル 1F,食べログ 寿司 TOKYO 百名店 2025,https://tabelog.com/tokyo/A1317/A131710/13193460/,https://www.google.com/maps/search/?api=1&query=%E4%B8%8D%E5%8B%95%E5%89%8D%20%E3%81%99%E3%81%97%20%E5%B2%A9%E6%BE%A4%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%93%81%E5%B7%9D%E5%8C%BA%E8%A5%BF%E4%BA%94%E5%8F%8D%E7%94%B05-6-11%20NSV%E3%83%93%E3%83%AB%201F,2025,寿司 TOKYO,sushi_tokyo,発表日：2025年2月26日
