Name,Address,Description,Website,Tabelog Reservation URL,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
天婦羅 みやしろ,東京都目黒区上目黒2-18-11,食べログ 天ぷら 百名店 2025,https://tabelog.com/tokyo/A1317/A131701/13220479/,https://tabelog.com/tokyo/A1317/A131701/13220479/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E5%A4%A9%E5%A9%A6%E7%BE%85%20%E3%81%BF%E3%82%84%E3%81%97%E3%82%8D%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E7%9B%AE%E9%BB%92%E5%8C%BA%E4%B8%8A%E7%9B%AE%E9%BB%922-18-11,35.6415555,139.6972948,2025,天ぷら,tempura,発表日：2025年3月11日
京・富小路 天ぷら吉川,京都府京都市中京区富小路通御池下ル松下町135 料理旅館・天ぷら　吉川,食べログ 天ぷら 百名店 2025,https://tabelog.com/kyoto/A2601/A260202/26001150/,https://tabelog.com/kyoto/A2601/A260202/26001150/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E4%BA%AC%E3%83%BB%E5%AF%8C%E5%B0%8F%E8%B7%AF%20%E5%A4%A9%E3%81%B7%E3%82%89%E5%90%89%E5%B7%9D%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E4%B8%AD%E4%BA%AC%E5%8C%BA%E5%AF%8C%E5%B0%8F%E8%B7%AF%E9%80%9A%E5%BE%A1%E6%B1%A0%E4%B8%8B%E3%83%AB%E6%9D%BE%E4%B8%8B%E7%94%BA135%20%E6%96%99%E7%90%86%E6%97%85%E9%A4%A8%E3%83%BB%E5%A4%A9%E3%81%B7%E3%82%89%E3%80%80%E5%90%89%E5%B7%9D,35.0103212,135.7648070,2025,天ぷら,tempura,発表日：2025年3月11日
てんぷら 千の種,岡山県岡山市北区野田屋町1-10-20,食べログ 天ぷら 百名店 2025,https://tabelog.com/okayama/A3301/A330101/33016549/,,https://www.google.com/maps/search/?api=1&query=%E3%81%A6%E3%82%93%E3%81%B7%E3%82%89%20%E5%8D%83%E3%81%AE%E7%A8%AE%20%E5%B2%A1%E5%B1%B1%E7%9C%8C%E5%B2%A1%E5%B1%B1%E5%B8%82%E5%8C%97%E5%8C%BA%E9%87%8E%E7%94%B0%E5%B1%8B%E7%94%BA1-10-20,34.6666727,133.9257195,2025,天ぷら,tempura,発表日：2025年3月11日
天麩羅 安藤,大阪府大阪市中央区宗右衛門町5-2 TM-33ビル B1F,食べログ 天ぷら 百名店 2025,https://tabelog.com/osaka/A2701/A270202/27123561/,https://tabelog.com/osaka/A2701/A270202/27123561/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E5%A4%A9%E9%BA%A9%E7%BE%85%20%E5%AE%89%E8%97%A4%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%AE%97%E5%8F%B3%E8%A1%9B%E9%96%80%E7%94%BA5-2%20TM-33%E3%83%93%E3%83%AB%20B1F,34.6701523,135.5042080,2025,天ぷら,tempura,発表日：2025年3月11日
天ぷら 逢坂,東京都港区西新橋2-13-16 多田ビル　１Ｆ,食べログ 天ぷら 百名店 2025,https://tabelog.com/tokyo/A1308/A130802/13007533/,https://tabelog.com/tokyo/A1308/A130802/13007533/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E5%A4%A9%E3%81%B7%E3%82%89%20%E9%80%A2%E5%9D%82%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E8%A5%BF%E6%96%B0%E6%A9%8B2-13-16%20%E5%A4%9A%E7%94%B0%E3%83%93%E3%83%AB%E3%80%80%EF%BC%91%EF%BC%A6,35.6671356,139.7515154,2025,天ぷら,tempura,発表日：2025年3月11日
天ぷら 元吉,東京都渋谷区恵比寿西2-8-11 グランベル恵比寿Ⅳ 3F,食べログ 天ぷら 百名店 2025,https://tabelog.com/tokyo/A1303/A130302/13270939/,,https://www.google.com/maps/search/?api=1&query=%E5%A4%A9%E3%81%B7%E3%82%89%20%E5%85%83%E5%90%89%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E6%81%B5%E6%AF%94%E5%AF%BF%E8%A5%BF2-8-11%20%E3%82%B0%E3%83%A9%E3%83%B3%E3%83%99%E3%83%AB%E6%81%B5%E6%AF%94%E5%AF%BF%E2%85%A3%203F,35.6495443,139.7075607,2025,天ぷら,tempura,発表日：2025年3月11日
好し智,静岡県浜松市中央区田町325-6 小島屋ビル 1F,食べログ 天ぷら 百名店 2025,https://tabelog.com/shizuoka/A2202/A220201/22040235/,,https://www.google.com/maps/search/?api=1&query=%E5%A5%BD%E3%81%97%E6%99%BA%20%E9%9D%99%E5%B2%A1%E7%9C%8C%E6%B5%9C%E6%9D%BE%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E7%94%B0%E7%94%BA325-6%20%E5%B0%8F%E5%B3%B6%E5%B1%8B%E3%83%93%E3%83%AB%201F,34.7079021,137.7301407,2025,天ぷら,tempura,発表日：2025年3月11日
一宝 本店,大阪府大阪市西区江戸堀1-18-35 肥後橋ＩＰビル　１Ｆ・２Ｆ,食べログ 天ぷら 百名店 2025,https://tabelog.com/osaka/A2701/A270102/27000267/,,https://www.google.com/maps/search/?api=1&query=%E4%B8%80%E5%AE%9D%20%E6%9C%AC%E5%BA%97%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E8%A5%BF%E5%8C%BA%E6%B1%9F%E6%88%B8%E5%A0%801-18-35%20%E8%82%A5%E5%BE%8C%E6%A9%8B%EF%BC%A9%EF%BC%B0%E3%83%93%E3%83%AB%E3%80%80%EF%BC%91%EF%BC%A6%E3%83%BB%EF%BC%92%EF%BC%A6,34.6904930,135.4946621,2025,天ぷら,tempura,発表日：2025年3月11日
たきや,東京都港区麻布十番2-8-6 ラベイユ麻布十番 2F,食べログ 天ぷら 百名店 2025,https://tabelog.com/tokyo/A1307/A130702/13185763/,,https://www.google.com/maps/search/?api=1&query=%E3%81%9F%E3%81%8D%E3%82%84%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E9%BA%BB%E5%B8%83%E5%8D%81%E7%95%AA2-8-6%20%E3%83%A9%E3%83%99%E3%82%A4%E3%83%A6%E9%BA%BB%E5%B8%83%E5%8D%81%E7%95%AA%202F,35.6556018,139.7347766,2025,天ぷら,tempura,発表日：2025年3月11日
まつむら,栃木県足利市有楽町834-27,食べログ 天ぷら 百名店 2025,https://tabelog.com/tochigi/A0902/A090202/9004726/,,https://www.google.com/maps/search/?api=1&query=%E3%81%BE%E3%81%A4%E3%82%80%E3%82%89%20%E6%A0%83%E6%9C%A8%E7%9C%8C%E8%B6%B3%E5%88%A9%E5%B8%82%E6%9C%89%E6%A5%BD%E7%94%BA834-27,36.3410457,139.4585932,2025,天ぷら,tempura,発表日：2025年3月11日
