Name,Address,Description,Website,Tabelog Reservation URL,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
焼鳥 梵讃,兵庫県神戸市中央区加納町4-7-1 ウッディタウンビル 3F,食べログ 焼き鳥 WEST 百名店 2025,https://tabelog.com/hyogo/A2801/A280101/28045860/,,https://www.google.com/maps/search/?api=1&query=%E7%84%BC%E9%B3%A5%20%E6%A2%B5%E8%AE%83%20%E5%85%B5%E5%BA%AB%E7%9C%8C%E7%A5%9E%E6%88%B8%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%8A%A0%E7%B4%8D%E7%94%BA4-7-1%20%E3%82%A6%E3%83%83%E3%83%87%E3%82%A3%E3%82%BF%E3%82%A6%E3%83%B3%E3%83%93%E3%83%AB%203F,34.6956418,135.1929294,2025,焼き鳥 WEST,yakitori_west,発表日：2025年11月11日
鳥さき,京都府京都市中京区押小路通室町東入蛸薬師町292-1,食べログ 焼き鳥 WEST 百名店 2025,https://tabelog.com/kyoto/A2601/A260202/26033122/,,https://www.google.com/maps/search/?api=1&query=%E9%B3%A5%E3%81%95%E3%81%8D%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E4%B8%AD%E4%BA%AC%E5%8C%BA%E6%8A%BC%E5%B0%8F%E8%B7%AF%E9%80%9A%E5%AE%A4%E7%94%BA%E6%9D%B1%E5%85%A5%E8%9B%B8%E8%96%AC%E5%B8%AB%E7%94%BA292-1,35.0123415,135.7583827,2025,焼き鳥 WEST,yakitori_west,発表日：2025年11月11日
やきとり松里,大阪府大阪市北区堂島2-2-33 RESビル堂島ビル 1F 東,食べログ 焼き鳥 WEST 百名店 2025,https://tabelog.com/osaka/A2701/A270101/27119656/,https://tabelog.com/osaka/A2701/A270101/27119656/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E3%82%84%E3%81%8D%E3%81%A8%E3%82%8A%E6%9D%BE%E9%87%8C%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E5%8C%97%E5%8C%BA%E5%A0%82%E5%B3%B62-2-33%20RES%E3%83%93%E3%83%AB%E5%A0%82%E5%B3%B6%E3%83%93%E3%83%AB%201F%20%E6%9D%B1,34.6973029,135.4949513,2025,焼き鳥 WEST,yakitori_west,発表日：2025年11月11日
鳥かご,京都府京都市中京区壬生坊城町8-24,食べログ 焼き鳥 WEST 百名店 2025,https://tabelog.com/kyoto/A2601/A260203/26039593/,https://tabelog.com/kyoto/A2601/A260203/26039593/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E9%B3%A5%E3%81%8B%E3%81%94%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E4%B8%AD%E4%BA%AC%E5%8C%BA%E5%A3%AC%E7%94%9F%E5%9D%8A%E5%9F%8E%E7%94%BA8-24,35.0044487,135.7470824,2025,焼き鳥 WEST,yakitori_west,発表日：2025年11月11日
焼鳥 行雲,鹿児島県鹿児島市樋之口町10-45,食べログ 焼き鳥 WEST 百名店 2025,https://tabelog.com/kagoshima/A4601/A460101/46009853/,,https://www.google.com/maps/search/?api=1&query=%E7%84%BC%E9%B3%A5%20%E8%A1%8C%E9%9B%B2%20%E9%B9%BF%E5%85%90%E5%B3%B6%E7%9C%8C%E9%B9%BF%E5%85%90%E5%B3%B6%E5%B8%82%E6%A8%8B%E4%B9%8B%E5%8F%A3%E7%94%BA10-45,31.5867932,130.5542242,2025,焼き鳥 WEST,yakitori_west,発表日：2025年11月11日
にし野,京都府京都市右京区西院北矢掛町36-16,食べログ 焼き鳥 WEST 百名店 2025,https://tabelog.com/kyoto/A2601/A260401/26025184/,,https://www.google.com/maps/search/?api=1&query=%E3%81%AB%E3%81%97%E9%87%8E%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E5%8F%B3%E4%BA%AC%E5%8C%BA%E8%A5%BF%E9%99%A2%E5%8C%97%E7%9F%A2%E6%8E%9B%E7%94%BA36-16,35.0026577,135.7301131,2025,焼き鳥 WEST,yakitori_west,発表日：2025年11月11日
炭匠きしもと,大阪府大阪市阿倍野区昭和町1-8-2,食べログ 焼き鳥 WEST 百名店 2025,https://tabelog.com/osaka/A2701/A270203/27047194/,,https://www.google.com/maps/search/?api=1&query=%E7%82%AD%E5%8C%A0%E3%81%8D%E3%81%97%E3%82%82%E3%81%A8%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E9%98%BF%E5%80%8D%E9%87%8E%E5%8C%BA%E6%98%AD%E5%92%8C%E7%94%BA1-8-2,34.6344896,135.5173989,2025,焼き鳥 WEST,yakitori_west,発表日：2025年11月11日
とり やまもと,広島県広島市中区胡町2-25 アクロス1ビル 2F,食べログ 焼き鳥 WEST 百名店 2025,https://tabelog.com/hiroshima/A3401/A340110/34031543/,https://tabelog.com/hiroshima/A3401/A340110/34031543/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E3%81%A8%E3%82%8A%20%E3%82%84%E3%81%BE%E3%82%82%E3%81%A8%20%E5%BA%83%E5%B3%B6%E7%9C%8C%E5%BA%83%E5%B3%B6%E5%B8%82%E4%B8%AD%E5%8C%BA%E8%83%A1%E7%94%BA2-25%20%E3%82%A2%E3%82%AF%E3%83%AD%E3%82%B91%E3%83%93%E3%83%AB%202F,34.3924625,132.4665691,2025,焼き鳥 WEST,yakitori_west,発表日：2025年11月11日
CHIKICHIKI 阪神梅田店,大阪府大阪市北区梅田1-13-13 阪神百貨店梅田本店 B2F,食べログ 焼き鳥 WEST 百名店 2025,https://tabelog.com/osaka/A2701/A270101/27125526/,https://tabelog.com/osaka/A2701/A270101/27125526/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=CHIKICHIKI%20%E9%98%AA%E7%A5%9E%E6%A2%85%E7%94%B0%E5%BA%97%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E5%8C%97%E5%8C%BA%E6%A2%85%E7%94%B01-13-13%20%E9%98%AA%E7%A5%9E%E7%99%BE%E8%B2%A8%E5%BA%97%E6%A2%85%E7%94%B0%E6%9C%AC%E5%BA%97%20B2F,34.7014300,135.4982400,2025,焼き鳥 WEST,yakitori_west,発表日：2025年11月11日
炭火焼鳥とり央,大阪府大阪市福島区福島2-7-17 1F,食べログ 焼き鳥 WEST 百名店 2025,https://tabelog.com/osaka/A2701/A270108/27103401/,,https://www.google.com/maps/search/?api=1&query=%E7%82%AD%E7%81%AB%E7%84%BC%E9%B3%A5%E3%81%A8%E3%82%8A%E5%A4%AE%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E7%A6%8F%E5%B3%B6%E5%8C%BA%E7%A6%8F%E5%B3%B62-7-17%201F,34.6943983,135.4869779,2025,焼き鳥 WEST,yakitori_west,発表日：2025年11月11日
とり常,広島県福山市御門町2-9-14,食べログ 焼き鳥 WEST 百名店 2025,https://tabelog.com/hiroshima/A3403/A340308/34000083/,,https://www.google.com/maps/search/?api=1&query=%E3%81%A8%E3%82%8A%E5%B8%B8%20%E5%BA%83%E5%B3%B6%E7%9C%8C%E7%A6%8F%E5%B1%B1%E5%B8%82%E5%BE%A1%E9%96%80%E7%94%BA2-9-14,34.4794767,133.3715254,2025,焼き鳥 WEST,yakitori_west,発表日：2025年11月11日
ぽんず,徳島県徳島市南内町2-5-1,食べログ 焼き鳥 WEST 百名店 2025,https://tabelog.com/tokushima/A3601/A360101/36005708/,,https://www.google.com/maps/search/?api=1&query=%E3%81%BD%E3%82%93%E3%81%9A%20%E5%BE%B3%E5%B3%B6%E7%9C%8C%E5%BE%B3%E5%B3%B6%E5%B8%82%E5%8D%97%E5%86%85%E7%94%BA2-5-1,34.0695881,134.5507655,2025,焼き鳥 WEST,yakitori_west,発表日：2025年11月11日
