Name,Address,Description,Website,Google Maps URL,Year,Genre,Genre Slug,Release Date
ハワイアンパンケーキハウス パニラニ,沖縄県国頭郡恩納村瀬良垣698,食べログ カフェ WEST 百名店 2025,https://tabelog.com/okinawa/A4703/A470303/47011309/,https://www.google.com/maps/search/?api=1&query=%E3%83%8F%E3%83%AF%E3%82%A4%E3%82%A2%E3%83%B3%E3%83%91%E3%83%B3%E3%82%B1%E3%83%BC%E3%82%AD%E3%83%8F%E3%82%A6%E3%82%B9%20%E3%83%91%E3%83%8B%E3%83%A9%E3%83%8B%20%E6%B2%96%E7%B8%84%E7%9C%8C%E5%9B%BD%E9%A0%AD%E9%83%A1%E6%81%A9%E7%B4%8D%E6%9D%91%E7%80%AC%E8%89%AF%E5%9E%A3698,2025,カフェ WEST,cafe_west,発表日：2025年7月8日
天文館むじゃき アミュプラザ店,鹿児島県鹿児島市中央町1-1 アミュプラザ鹿児島 B1F,食べログ カフェ WEST 百名店 2025,https://tabelog.com/kagoshima/A4601/A460101/46000962/,https://www.google.com/maps/search/?api=1&query=%E5%A4%A9%E6%96%87%E9%A4%A8%E3%82%80%E3%81%98%E3%82%83%E3%81%8D%20%E3%82%A2%E3%83%9F%E3%83%A5%E3%83%97%E3%83%A9%E3%82%B6%E5%BA%97%20%E9%B9%BF%E5%85%90%E5%B3%B6%E7%9C%8C%E9%B9%BF%E5%85%90%E5%B3%B6%E5%B8%82%E4%B8%AD%E5%A4%AE%E7%94%BA1-1%20%E3%82%A2%E3%83%9F%E3%83%A5%E3%83%97%E3%83%A9%E3%82%B6%E9%B9%BF%E5%85%90%E5%B3%B6%20B1F,2025,カフェ WEST,cafe_west,発表日：2025年7月8日
町家喫茶 三宅商店,岡山県倉敷市本町3-11,食べログ カフェ WEST 百名店 2025,https://tabelog.com/okayama/A3302/A330201/33000295/,https://www.google.com/maps/search/?api=1&query=%E7%94%BA%E5%AE%B6%E5%96%AB%E8%8C%B6%20%E4%B8%89%E5%AE%85%E5%95%86%E5%BA%97%20%E5%B2%A1%E5%B1%B1%E7%9C%8C%E5%80%89%E6%95%B7%E5%B8%82%E6%9C%AC%E7%94%BA3-11,2025,カフェ WEST,cafe_west,発表日：2025年7月8日
I’m donut? 福岡店,福岡県福岡市中央区渡辺通5-24-30 東カン福岡第一ビル 1F,食べログ カフェ WEST 百名店 2025,https://tabelog.com/fukuoka/A4001/A400103/40062177/,https://www.google.com/maps/search/?api=1&query=I%E2%80%99m%20donut%3F%20%E7%A6%8F%E5%B2%A1%E5%BA%97%20%E7%A6%8F%E5%B2%A1%E7%9C%8C%E7%A6%8F%E5%B2%A1%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E6%B8%A1%E8%BE%BA%E9%80%9A5-24-30%20%E6%9D%B1%E3%82%AB%E3%83%B3%E7%A6%8F%E5%B2%A1%E7%AC%AC%E4%B8%80%E3%83%93%E3%83%AB%201F,2025,カフェ WEST,cafe_west,発表日：2025年7月8日
自由亭喫茶室,長崎県長崎市南山手町8-1 グラバー園内,食べログ カフェ WEST 百名店 2025,https://tabelog.com/nagasaki/A4201/A420101/42000058/,https://www.google.com/maps/search/?api=1&query=%E8%87%AA%E7%94%B1%E4%BA%AD%E5%96%AB%E8%8C%B6%E5%AE%A4%20%E9%95%B7%E5%B4%8E%E7%9C%8C%E9%95%B7%E5%B4%8E%E5%B8%82%E5%8D%97%E5%B1%B1%E6%89%8B%E7%94%BA8-1%20%E3%82%B0%E3%83%A9%E3%83%90%E3%83%BC%E5%9C%92%E5%86%85,2025,カフェ WEST,cafe_west,発表日：2025年7月8日
カフェくるくま,沖縄県南城市知念字知念1190,食べログ カフェ WEST 百名店 2025,https://tabelog.com/okinawa/A4704/A470403/47000018/,https://www.google.com/maps/search/?api=1&query=%E3%82%AB%E3%83%95%E3%82%A7%E3%81%8F%E3%82%8B%E3%81%8F%E3%81%BE%20%E6%B2%96%E7%B8%84%E7%9C%8C%E5%8D%97%E5%9F%8E%E5%B8%82%E7%9F%A5%E5%BF%B5%E5%AD%97%E7%9F%A5%E5%BF%B51190,2025,カフェ WEST,cafe_west,発表日：2025年7月8日
神椿,香川県仲多度郡琴平町892-1 金刀比羅宮内,食べログ カフェ WEST 百名店 2025,https://tabelog.com/kagawa/A3703/A370302/37000763/,https://www.google.com/maps/search/?api=1&query=%E7%A5%9E%E6%A4%BF%20%E9%A6%99%E5%B7%9D%E7%9C%8C%E4%BB%B2%E5%A4%9A%E5%BA%A6%E9%83%A1%E7%90%B4%E5%B9%B3%E7%94%BA892-1%20%E9%87%91%E5%88%80%E6%AF%94%E7%BE%85%E5%AE%AE%E5%86%85,2025,カフェ WEST,cafe_west,発表日：2025年7月8日
カフェ オスピターレ,福岡県福岡市博多区博多駅中央街1-1 マイング博多,食べログ カフェ WEST 百名店 2025,https://tabelog.com/fukuoka/A4001/A400101/40040797/,https://www.google.com/maps/search/?api=1&query=%E3%82%AB%E3%83%95%E3%82%A7%20%E3%82%AA%E3%82%B9%E3%83%94%E3%82%BF%E3%83%BC%E3%83%AC%20%E7%A6%8F%E5%B2%A1%E7%9C%8C%E7%A6%8F%E5%B2%A1%E5%B8%82%E5%8D%9A%E5%A4%9A%E5%8C%BA%E5%8D%9A%E5%A4%9A%E9%A7%85%E4%B8%AD%E5%A4%AE%E8%A1%971-1%20%E3%83%9E%E3%82%A4%E3%83%B3%E3%82%B0%E5%8D%9A%E5%A4%9A,2025,カフェ WEST,cafe_west,発表日：2025年7月8日
キャンベル・アーリー,福岡県福岡市博多区博多駅中央街1-1 JR博多シティ 9F,食べログ カフェ WEST 百名店 2025,https://tabelog.com/fukuoka/A4001/A400101/40026335/,https://www.google.com/maps/search/?api=1&query=%E3%82%AD%E3%83%A3%E3%83%B3%E3%83%99%E3%83%AB%E3%83%BB%E3%82%A2%E3%83%BC%E3%83%AA%E3%83%BC%20%E7%A6%8F%E5%B2%A1%E7%9C%8C%E7%A6%8F%E5%B2%A1%E5%B8%82%E5%8D%9A%E5%A4%9A%E5%8C%BA%E5%8D%9A%E5%A4%9A%E9%A7%85%E4%B8%AD%E5%A4%AE%E8%A1%971-1%20JR%E5%8D%9A%E5%A4%9A%E3%82%B7%E3%83%86%E3%82%A3%209F,2025,カフェ WEST,cafe_west,発表日：2025年7月8日
白熊菓琲,鹿児島県鹿児島市千日町5-8 天文館むじゃきビル 1F,食べログ カフェ WEST 百名店 2025,https://tabelog.com/kagoshima/A4601/A460101/46000044/,https://www.google.com/maps/search/?api=1&query=%E7%99%BD%E7%86%8A%E8%8F%93%E7%90%B2%20%E9%B9%BF%E5%85%90%E5%B3%B6%E7%9C%8C%E9%B9%BF%E5%85%90%E5%B3%B6%E5%B8%82%E5%8D%83%E6%97%A5%E7%94%BA5-8%20%E5%A4%A9%E6%96%87%E9%A4%A8%E3%82%80%E3%81%98%E3%82%83%E3%81%8D%E3%83%93%E3%83%AB%201F,2025,カフェ WEST,cafe_west,発表日：2025年7月8日
