Name,Address,Description,Website,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
ザ・ロビーラウンジ ザ・リッツ・カールトン京都,京都府京都市中京区鴨川二条大橋畔 ザ・リッツ・カールトン京都 1F,食べログ カフェ WEST 百名店 2025,https://tabelog.com/kyoto/A2601/A260202/26023312/,https://www.google.com/maps/search/?api=1&query=%E3%82%B6%E3%83%BB%E3%83%AD%E3%83%93%E3%83%BC%E3%83%A9%E3%82%A6%E3%83%B3%E3%82%B8%20%E3%82%B6%E3%83%BB%E3%83%AA%E3%83%83%E3%83%84%E3%83%BB%E3%82%AB%E3%83%BC%E3%83%AB%E3%83%88%E3%83%B3%E4%BA%AC%E9%83%BD%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E4%B8%AD%E4%BA%AC%E5%8C%BA%E9%B4%A8%E5%B7%9D%E4%BA%8C%E6%9D%A1%E5%A4%A7%E6%A9%8B%E7%95%94%20%E3%82%B6%E3%83%BB%E3%83%AA%E3%83%83%E3%83%84%E3%83%BB%E3%82%AB%E3%83%BC%E3%83%AB%E3%83%88%E3%83%B3%E4%BA%AC%E9%83%BD%201F,35.0137646,135.7709696,2025,カフェ WEST,cafe_west,発表日：2025年7月8日
スイーツ カフェ キョウト ケイゾー,京都府京都市中京区御供町293,食べログ カフェ WEST 百名店 2025,https://tabelog.com/kyoto/A2601/A260203/26027246/,https://www.google.com/maps/search/?api=1&query=%E3%82%B9%E3%82%A4%E3%83%BC%E3%83%84%20%E3%82%AB%E3%83%95%E3%82%A7%20%E3%82%AD%E3%83%A7%E3%82%A6%E3%83%88%20%E3%82%B1%E3%82%A4%E3%82%BE%E3%83%BC%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E4%B8%AD%E4%BA%AC%E5%8C%BA%E5%BE%A1%E4%BE%9B%E7%94%BA293,35.0086268,135.7498145,2025,カフェ WEST,cafe_west,発表日：2025年7月8日
OGAWA COFFEE  京都駅店,京都府京都市下京区東塩小路町地下鉄京都駅 コトチカ京都,食べログ カフェ WEST 百名店 2025,https://tabelog.com/kyoto/A2601/A260101/26021764/,https://www.google.com/maps/search/?api=1&query=OGAWA%20COFFEE%20%20%E4%BA%AC%E9%83%BD%E9%A7%85%E5%BA%97%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E4%B8%8B%E4%BA%AC%E5%8C%BA%E6%9D%B1%E5%A1%A9%E5%B0%8F%E8%B7%AF%E7%94%BA%E5%9C%B0%E4%B8%8B%E9%89%84%E4%BA%AC%E9%83%BD%E9%A7%85%20%E3%82%B3%E3%83%88%E3%83%81%E3%82%AB%E4%BA%AC%E9%83%BD,34.9864092,135.7599984,2025,カフェ WEST,cafe_west,発表日：2025年7月8日
吉祥菓寮 祇園本店,京都府京都市東山区石橋町306,食べログ カフェ WEST 百名店 2025,https://tabelog.com/kyoto/A2601/A260301/26025412/,https://www.google.com/maps/search/?api=1&query=%E5%90%89%E7%A5%A5%E8%8F%93%E5%AF%AE%20%E7%A5%87%E5%9C%92%E6%9C%AC%E5%BA%97%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E6%9D%B1%E5%B1%B1%E5%8C%BA%E7%9F%B3%E6%A9%8B%E7%94%BA306,35.0067436,135.7780159,2025,カフェ WEST,cafe_west,発表日：2025年7月8日
ミスリム,京都府京都市上京区河原町丸太町下ル伊勢屋町400,食べログ カフェ WEST 百名店 2025,https://tabelog.com/kyoto/A2601/A260202/26017496/,https://www.google.com/maps/search/?api=1&query=%E3%83%9F%E3%82%B9%E3%83%AA%E3%83%A0%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E4%B8%8A%E4%BA%AC%E5%8C%BA%E6%B2%B3%E5%8E%9F%E7%94%BA%E4%B8%B8%E5%A4%AA%E7%94%BA%E4%B8%8B%E3%83%AB%E4%BC%8A%E5%8B%A2%E5%B1%8B%E7%94%BA400,35.0169684,135.7688020,2025,カフェ WEST,cafe_west,発表日：2025年7月8日
みやけ 旧鴻池邸表屋,奈良県奈良市鳥見町1-5-1,食べログ カフェ WEST 百名店 2025,https://tabelog.com/nara/A2901/A290102/29004637/,https://www.google.com/maps/search/?api=1&query=%E3%81%BF%E3%82%84%E3%81%91%20%E6%97%A7%E9%B4%BB%E6%B1%A0%E9%82%B8%E8%A1%A8%E5%B1%8B%20%E5%A5%88%E8%89%AF%E7%9C%8C%E5%A5%88%E8%89%AF%E5%B8%82%E9%B3%A5%E8%A6%8B%E7%94%BA1-5-1,34.6922430,135.7293124,2025,カフェ WEST,cafe_west,発表日：2025年7月8日
カフェ 火裏蓮花,京都府京都市中京区柳馬場通姉小路上ル柳八幡町74-4,食べログ カフェ WEST 百名店 2025,https://tabelog.com/kyoto/A2601/A260202/26004189/,https://www.google.com/maps/search/?api=1&query=%E3%82%AB%E3%83%95%E3%82%A7%20%E7%81%AB%E8%A3%8F%E8%93%AE%E8%8A%B1%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E4%B8%AD%E4%BA%AC%E5%8C%BA%E6%9F%B3%E9%A6%AC%E5%A0%B4%E9%80%9A%E5%A7%89%E5%B0%8F%E8%B7%AF%E4%B8%8A%E3%83%AB%E6%9F%B3%E5%85%AB%E5%B9%A1%E7%94%BA74-4,35.0101551,135.7642817,2025,カフェ WEST,cafe_west,発表日：2025年7月8日
モトコーヒー,大阪府大阪市中央区北浜2-1-1 北浜ライオンビル,食べログ カフェ WEST 百名店 2025,https://tabelog.com/osaka/A2701/A270102/27049833/,https://www.google.com/maps/search/?api=1&query=%E3%83%A2%E3%83%88%E3%82%B3%E3%83%BC%E3%83%92%E3%83%BC%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%8C%97%E6%B5%9C2-1-1%20%E5%8C%97%E6%B5%9C%E3%83%A9%E3%82%A4%E3%82%AA%E3%83%B3%E3%83%93%E3%83%AB,34.6920823,135.5064772,2025,カフェ WEST,cafe_west,発表日：2025年7月8日
cocoo cafe,大阪府大阪市西区靭本町2-2-23 靭交番前ビル402,食べログ カフェ WEST 百名店 2025,https://tabelog.com/osaka/A2701/A270106/27031667/,https://www.google.com/maps/search/?api=1&query=cocoo%20cafe%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E8%A5%BF%E5%8C%BA%E9%9D%AD%E6%9C%AC%E7%94%BA2-2-23%20%E9%9D%AD%E4%BA%A4%E7%95%AA%E5%89%8D%E3%83%93%E3%83%AB402,34.6840694,135.4925585,2025,カフェ WEST,cafe_west,発表日：2025年7月8日
Année,京都府京都市中京区姉小路室町西入ル突抜町139 プリモフィオーレ 1F,食べログ カフェ WEST 百名店 2025,https://tabelog.com/kyoto/A2601/A260202/26024070/,https://www.google.com/maps/search/?api=1&query=Ann%C3%A9e%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E4%B8%AD%E4%BA%AC%E5%8C%BA%E5%A7%89%E5%B0%8F%E8%B7%AF%E5%AE%A4%E7%94%BA%E8%A5%BF%E5%85%A5%E3%83%AB%E7%AA%81%E6%8A%9C%E7%94%BA139%20%E3%83%97%E3%83%AA%E3%83%A2%E3%83%95%E3%82%A3%E3%82%AA%E3%83%BC%E3%83%AC%201F,35.0097812,135.7576498,2025,カフェ WEST,cafe_west,発表日：2025年7月8日
