Name,Address,Description,Website,Tabelog Reservation URL,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
カフェ フェイト,大阪府大阪市北区本庄東1-6-16 メゾン・コンフォート 1F,食べログ 百名店: 2019 | 2020 | 2025 / スイーツ 百名店 WEST 2019 | スイーツ WEST | カフェ WEST,https://tabelog.com/osaka/A2701/A270103/27076635/,,https://www.google.com/maps/search/?api=1&query=%E3%82%AB%E3%83%95%E3%82%A7%20%E3%83%95%E3%82%A7%E3%82%A4%E3%83%88%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E5%8C%97%E5%8C%BA%E6%9C%AC%E5%BA%84%E6%9D%B11-6-16%20%E3%83%A1%E3%82%BE%E3%83%B3%E3%83%BB%E3%82%B3%E3%83%B3%E3%83%95%E3%82%A9%E3%83%BC%E3%83%88%201F,34.7122145,135.5102157,2019 | 2020 | 2025,スイーツ 百名店 WEST 2019 | スイーツ WEST | カフェ WEST,sweets_west | cafe_west,発表日：2025年7月8日
かしや,京都府京都市左京区吉永町270-3,食べログ 百名店: 2019 | 2020 | 2025 / スイーツ 百名店 WEST 2019 | スイーツ WEST | カフェ WEST,https://tabelog.com/kyoto/A2601/A260301/26024343/,,https://www.google.com/maps/search/?api=1&query=%E3%81%8B%E3%81%97%E3%82%84%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E5%B7%A6%E4%BA%AC%E5%8C%BA%E5%90%89%E6%B0%B8%E7%94%BA270-3,35.0137818,135.7748973,2019 | 2020 | 2025,スイーツ 百名店 WEST 2019 | スイーツ WEST | カフェ WEST,sweets_west | cafe_west,発表日：2025年7月8日
一笑,石川県金沢市東山1-26-13,食べログ 百名店: 2019 | 2025 / スイーツ 百名店 WEST 2019 | カフェ WEST,https://tabelog.com/ishikawa/A1701/A170101/17000060/,,https://www.google.com/maps/search/?api=1&query=%E4%B8%80%E7%AC%91%20%E7%9F%B3%E5%B7%9D%E7%9C%8C%E9%87%91%E6%B2%A2%E5%B8%82%E6%9D%B1%E5%B1%B11-26-13,36.5723785,136.6678001,2019 | 2025,スイーツ 百名店 WEST 2019 | カフェ WEST,sweets_west | cafe_west,発表日：2025年7月8日
白熊菓琲,鹿児島県鹿児島市千日町5-8 天文館むじゃきビル 1F,食べログ 百名店: 2019 | 2020 | 2025 / スイーツ 百名店 WEST 2019 | スイーツ WEST | カフェ WEST,https://tabelog.com/kagoshima/A4601/A460101/46000044/,,https://www.google.com/maps/search/?api=1&query=%E7%99%BD%E7%86%8A%E8%8F%93%E7%90%B2%20%E9%B9%BF%E5%85%90%E5%B3%B6%E7%9C%8C%E9%B9%BF%E5%85%90%E5%B3%B6%E5%B8%82%E5%8D%83%E6%97%A5%E7%94%BA5-8%20%E5%A4%A9%E6%96%87%E9%A4%A8%E3%82%80%E3%81%98%E3%82%83%E3%81%8D%E3%83%93%E3%83%AB%201F,31.5892006,130.5559768,2019 | 2020 | 2025,スイーツ 百名店 WEST 2019 | スイーツ WEST | カフェ WEST,sweets_west | cafe_west,発表日：2025年7月8日
ゼンカフェ,京都府京都市東山区祇園町南側570-210,食べログ 百名店: 2019 | 2020 | 2025 / スイーツ 百名店 WEST 2019 | スイーツ WEST | カフェ WEST,https://tabelog.com/kyoto/A2601/A260301/26021305/,,https://www.google.com/maps/search/?api=1&query=%E3%82%BC%E3%83%B3%E3%82%AB%E3%83%95%E3%82%A7%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E6%9D%B1%E5%B1%B1%E5%8C%BA%E7%A5%87%E5%9C%92%E7%94%BA%E5%8D%97%E5%81%B4570-210,35.0030520,135.7735706,2019 | 2020 | 2025,スイーツ 百名店 WEST 2019 | スイーツ WEST | カフェ WEST,sweets_west | cafe_west,発表日：2025年7月8日
ティーハウスマユール 宮崎台店,神奈川県川崎市宮前区宮崎2-3-12-103,食べログ 百名店: 2020 | 2025 / スイーツ EAST | カフェ EAST,https://tabelog.com/kanagawa/A1405/A140507/14009451/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%83%86%E3%82%A3%E3%83%BC%E3%83%8F%E3%82%A6%E3%82%B9%E3%83%9E%E3%83%A6%E3%83%BC%E3%83%AB%20%E5%AE%AE%E5%B4%8E%E5%8F%B0%E5%BA%97%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E5%B7%9D%E5%B4%8E%E5%B8%82%E5%AE%AE%E5%89%8D%E5%8C%BA%E5%AE%AE%E5%B4%8E2-3-12-103,35.5886651,139.5922311,2020 | 2025,スイーツ EAST | カフェ EAST,sweets_east | cafe_east,発表日：2025年7月8日
こちかぜ,大阪府大阪市天王寺区空清町2-22,食べログ 百名店: 2020 | 2025 / スイーツ WEST | カフェ WEST,https://tabelog.com/osaka/A2701/A270204/27009604/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%81%93%E3%81%A1%E3%81%8B%E3%81%9C%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E5%A4%A9%E7%8E%8B%E5%AF%BA%E5%8C%BA%E7%A9%BA%E6%B8%85%E7%94%BA2-22,34.6729765,135.5248277,2020 | 2025,スイーツ WEST | カフェ WEST,sweets_west | cafe_west,発表日：2025年7月8日
cocoo cafe,大阪府大阪市西区靭本町2-2-23 靭交番前ビル402,食べログ 百名店: 2020 | 2025 / スイーツ WEST | カフェ WEST,https://tabelog.com/osaka/A2701/A270106/27031667/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=cocoo%20cafe%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E8%A5%BF%E5%8C%BA%E9%9D%AD%E6%9C%AC%E7%94%BA2-2-23%20%E9%9D%AD%E4%BA%A4%E7%95%AA%E5%89%8D%E3%83%93%E3%83%AB402,34.6840694,135.4925585,2020 | 2025,スイーツ WEST | カフェ WEST,sweets_west | cafe_west,発表日：2025年7月8日
みやけ 旧鴻池邸表屋,奈良県奈良市鳥見町1-5-1,食べログ 百名店: 2020 | 2025 / スイーツ WEST | カフェ WEST,https://tabelog.com/nara/A2901/A290102/29004637/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%81%BF%E3%82%84%E3%81%91%20%E6%97%A7%E9%B4%BB%E6%B1%A0%E9%82%B8%E8%A1%A8%E5%B1%8B%20%E5%A5%88%E8%89%AF%E7%9C%8C%E5%A5%88%E8%89%AF%E5%B8%82%E9%B3%A5%E8%A6%8B%E7%94%BA1-5-1,34.6922430,135.7293124,2020 | 2025,スイーツ WEST | カフェ WEST,sweets_west | cafe_west,発表日：2025年7月8日
市川屋珈琲,京都府京都市東山区鐘鋳町396-2,食べログ 百名店: 2021 | 2025 / 喫茶店 | カフェ WEST,https://tabelog.com/kyoto/A2601/A260301/26026585/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E5%B8%82%E5%B7%9D%E5%B1%8B%E7%8F%88%E7%90%B2%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E6%9D%B1%E5%B1%B1%E5%8C%BA%E9%90%98%E9%8B%B3%E7%94%BA396-2,34.9931674,135.7742089,2021 | 2025,喫茶店 | カフェ WEST,kissaten | cafe_west,発表日：2021年6月29日 | 発表日：2025年7月8日
