Name,Address,Description,Website,Tabelog Reservation URL,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
ベンガルタイガー,千葉県千葉市中央区松波1-14-11,食べログ 百名店: 2020 | 2022 | 2025 / カレー EAST | アジア・エスニック EAST | 創作料理・イノベーティブ,https://tabelog.com/chiba/A1201/A120101/12043752/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%83%99%E3%83%B3%E3%82%AC%E3%83%AB%E3%82%BF%E3%82%A4%E3%82%AC%E3%83%BC%20%E5%8D%83%E8%91%89%E7%9C%8C%E5%8D%83%E8%91%89%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E6%9D%BE%E6%B3%A21-14-11,35.6175617,140.1103782,2020 | 2022 | 2025,カレー EAST | アジア・エスニック EAST | 創作料理・イノベーティブ,curry_east | asia_ethnic_east | creative_innovative,発表日：2022年7月26日 | 発表日：2025年5月27日
sio,東京都渋谷区上原1-35-3,食べログ 百名店: 2021 | 2025 / フレンチ TOKYO | 創作料理・イノベーティブ,https://tabelog.com/tokyo/A1318/A131811/13150395/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=sio%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E4%B8%8A%E5%8E%9F1-35-3,35.6695904,139.6821432,2021 | 2025,フレンチ TOKYO | 創作料理・イノベーティブ,french_tokyo | creative_innovative,発表日：2021年3月22日 | 発表日：2025年5月27日
TTOAHISU,福岡県福岡市中央区大手門3-12-12 BLDG64 1F,食べログ 百名店: 2021 | 2025 / フレンチ WEST | 創作料理・イノベーティブ,https://tabelog.com/fukuoka/A4001/A400105/40042997/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=TTOAHISU%20%E7%A6%8F%E5%B2%A1%E7%9C%8C%E7%A6%8F%E5%B2%A1%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%A4%A7%E6%89%8B%E9%96%803-12-12%20BLDG64%201F,33.5915903,130.3805987,2021 | 2025,フレンチ WEST | 創作料理・イノベーティブ,french_west | creative_innovative,発表日：2021年3月22日 | 発表日：2025年5月27日
SPICE LAB TOKYO,東京都中央区銀座6-4-3 GICROS GINZA GEMS 10F,食べログ 百名店: 2022 | 2023 | 2025 / アジア・エスニック TOKYO | 創作料理・イノベーティブ,https://tabelog.com/tokyo/A1301/A130101/13240579/,https://tabelog.com/tokyo/A1301/A130101/13240579/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=SPICE%20LAB%20TOKYO%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%8A%80%E5%BA%A76-4-3%20GICROS%20GINZA%20GEMS%2010F,35.6716114,139.7619826,2022 | 2023 | 2025,アジア・エスニック TOKYO | 創作料理・イノベーティブ,asia_ethnic_tokyo | creative_innovative,発表日：2022年7月26日 | 発表日：2023年9月26日 | 発表日：2025年5月27日
ラ カンロ,大阪府大阪市北区天神西町3-9 NUI南森町南側,食べログ 百名店: 2023 | 2025 / フレンチ WEST | 創作料理・イノベーティブ,https://tabelog.com/osaka/A2701/A270103/27119203/,https://tabelog.com/osaka/A2701/A270103/27119203/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E3%83%A9%20%E3%82%AB%E3%83%B3%E3%83%AD%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E5%8C%97%E5%8C%BA%E5%A4%A9%E7%A5%9E%E8%A5%BF%E7%94%BA3-9%20NUI%E5%8D%97%E6%A3%AE%E7%94%BA%E5%8D%97%E5%81%B4,34.6946461,135.5098280,2023 | 2025,フレンチ WEST | 創作料理・イノベーティブ,french_west | creative_innovative,発表日：2023年6月12日 | 発表日：2025年5月27日
ア・ニュ Shohei Shimono,東京都渋谷区広尾5-19-4 SR広尾ビル 1F,食べログ 百名店: 2025 / 創作料理・イノベーティブ,https://tabelog.com/tokyo/A1307/A130703/13238000/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%82%A2%E3%83%BB%E3%83%8B%E3%83%A5%20Shohei%20Shimono%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E5%BA%83%E5%B0%BE5-19-4%20SR%E5%BA%83%E5%B0%BE%E3%83%93%E3%83%AB%201F,35.6490735,139.7199694,2025,創作料理・イノベーティブ,creative_innovative,発表日：2025年5月27日
ガストロノミヤ 古賀圭祐,福岡県福岡市中央区舞鶴1-2-10 2F,食べログ 百名店: 2025 / 創作料理・イノベーティブ,https://tabelog.com/fukuoka/A4001/A400104/40054627/,https://tabelog.com/fukuoka/A4001/A400104/40054627/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E3%82%AC%E3%82%B9%E3%83%88%E3%83%AD%E3%83%8E%E3%83%9F%E3%83%A4%20%E5%8F%A4%E8%B3%80%E5%9C%AD%E7%A5%90%20%E7%A6%8F%E5%B2%A1%E7%9C%8C%E7%A6%8F%E5%B2%A1%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E8%88%9E%E9%B6%B41-2-10%202F,33.5910295,130.3930912,2025,創作料理・イノベーティブ,creative_innovative,発表日：2025年5月27日
レストラン スノゥ,福岡県福岡市中央区高砂1-16-17 エスペランサ天神南 1F,食べログ 百名店: 2025 / 創作料理・イノベーティブ,https://tabelog.com/fukuoka/A4001/A400104/40054526/,https://tabelog.com/fukuoka/A4001/A400104/40054526/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%20%E3%82%B9%E3%83%8E%E3%82%A5%20%E7%A6%8F%E5%B2%A1%E7%9C%8C%E7%A6%8F%E5%B2%A1%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%AB%98%E7%A0%821-16-17%20%E3%82%A8%E3%82%B9%E3%83%9A%E3%83%A9%E3%83%B3%E3%82%B5%E5%A4%A9%E7%A5%9E%E5%8D%97%201F,33.5791774,130.4068289,2025,創作料理・イノベーティブ,creative_innovative,発表日：2025年5月27日
傳,東京都渋谷区神宮前2-3-18 建築家会館JIA館,食べログ 百名店: 2025 / 創作料理・イノベーティブ,https://tabelog.com/tokyo/A1306/A130603/13046855/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E5%82%B3%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%A5%9E%E5%AE%AE%E5%89%8D2-3-18%20%E5%BB%BA%E7%AF%89%E5%AE%B6%E4%BC%9A%E9%A4%A8JIA%E9%A4%A8,35.6731846,139.7127294,2025,創作料理・イノベーティブ,creative_innovative,発表日：2025年5月27日
潟潟ヤ,神奈川県川崎市高津区溝口4-8-23 シルクコーポ 1F,食べログ 百名店: 2025 / 創作料理・イノベーティブ,https://tabelog.com/kanagawa/A1405/A140505/14012400/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E6%BD%9F%E6%BD%9F%E3%83%A4%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E5%B7%9D%E5%B4%8E%E5%B8%82%E9%AB%98%E6%B4%A5%E5%8C%BA%E6%BA%9D%E5%8F%A34-8-23%20%E3%82%B7%E3%83%AB%E3%82%AF%E3%82%B3%E3%83%BC%E3%83%9D%201F,35.6042534,139.6161092,2025,創作料理・イノベーティブ,creative_innovative,発表日：2025年5月27日
