Name,Address,Description,Website,Tabelog Reservation URL,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
タイガーカレー,北海道札幌市北区北二十三条西4-2-3 プラザハイツ２４　１Ｆ,食べログ 百名店: 2019 | 2020 | 2023 | 2024 / カレー 百名店 EAST 2019 | カレー EAST,https://tabelog.com/hokkaido/A0101/A010201/1003065/,,https://www.google.com/maps/search/?api=1&query=%E3%82%BF%E3%82%A4%E3%82%AC%E3%83%BC%E3%82%AB%E3%83%AC%E3%83%BC%20%E5%8C%97%E6%B5%B7%E9%81%93%E6%9C%AD%E5%B9%8C%E5%B8%82%E5%8C%97%E5%8C%BA%E5%8C%97%E4%BA%8C%E5%8D%81%E4%B8%89%E6%9D%A1%E8%A5%BF4-2-3%20%E3%83%97%E3%83%A9%E3%82%B6%E3%83%8F%E3%82%A4%E3%83%84%EF%BC%92%EF%BC%94%E3%80%80%EF%BC%91%EF%BC%A6,43.0896285,141.3443555,2019 | 2020 | 2023 | 2024,カレー 百名店 EAST 2019 | カレー EAST,curry_east,発表日：2023年10月10日 | 発表日：2024年8月6日
未来カレー こりす,北海道札幌市中央区南3条西6 ARK36ビル 1F,食べログ 百名店: 2019 | 2020 | 2022 | 2023 | 2024 / カレー 百名店 EAST 2019 | カレー EAST | アジア・エスニック EAST,https://tabelog.com/hokkaido/A0101/A010103/1035490/,,https://www.google.com/maps/search/?api=1&query=%E6%9C%AA%E6%9D%A5%E3%82%AB%E3%83%AC%E3%83%BC%20%E3%81%93%E3%82%8A%E3%81%99%20%E5%8C%97%E6%B5%B7%E9%81%93%E6%9C%AD%E5%B9%8C%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%8D%973%E6%9D%A1%E8%A5%BF6%20ARK36%E3%83%93%E3%83%AB%201F,43.0556068,141.3487607,2019 | 2020 | 2022 | 2023 | 2024,カレー 百名店 EAST 2019 | カレー EAST | アジア・エスニック EAST,curry_east | asia_ethnic_east,発表日：2022年7月26日 | 発表日：2023年9月26日 | 発表日：2024年7月23日
negombo33,埼玉県所沢市星の宮1-9-1,食べログ 百名店: 2019 | 2020 | 2023 | 2024 / カレー 百名店 EAST 2019 | カレー EAST,https://tabelog.com/saitama/A1106/A110601/11015014/,,https://www.google.com/maps/search/?api=1&query=negombo33%20%E5%9F%BC%E7%8E%89%E7%9C%8C%E6%89%80%E6%B2%A2%E5%B8%82%E6%98%9F%E3%81%AE%E5%AE%AE1-9-1,35.7874953,139.4614106,2019 | 2020 | 2023 | 2024,カレー 百名店 EAST 2019 | カレー EAST,curry_east,発表日：2023年10月10日 | 発表日：2024年8月6日
カレー オハナ,北海道札幌市東区北32条東12-1-13,食べログ 百名店: 2019 | 2023 | 2024 / カレー 百名店 EAST 2019 | カレー EAST,https://tabelog.com/hokkaido/A0101/A010202/1003356/,,https://www.google.com/maps/search/?api=1&query=%E3%82%AB%E3%83%AC%E3%83%BC%20%E3%82%AA%E3%83%8F%E3%83%8A%20%E5%8C%97%E6%B5%B7%E9%81%93%E6%9C%AD%E5%B9%8C%E5%B8%82%E6%9D%B1%E5%8C%BA%E5%8C%9732%E6%9D%A1%E6%9D%B112-1-13,43.1018343,141.3638801,2019 | 2023 | 2024,カレー 百名店 EAST 2019 | カレー EAST,curry_east,発表日：2023年10月10日 | 発表日：2024年8月6日
レッドチリ,北海道札幌市中央区北3条西26丁目2-15 第23松井ビル Gクレフ3261F,食べログ 百名店: 2019 | 2020 | 2023 | 2024 / カレー 百名店 EAST 2019 | カレー EAST,https://tabelog.com/hokkaido/A0101/A010105/1003320/,,https://www.google.com/maps/search/?api=1&query=%E3%83%AC%E3%83%83%E3%83%89%E3%83%81%E3%83%AA%20%E5%8C%97%E6%B5%B7%E9%81%93%E6%9C%AD%E5%B9%8C%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%8C%973%E6%9D%A1%E8%A5%BF26%E4%B8%81%E7%9B%AE2-15%20%E7%AC%AC23%E6%9D%BE%E4%BA%95%E3%83%93%E3%83%AB%20G%E3%82%AF%E3%83%AC%E3%83%953261F,43.0606126,141.3175099,2019 | 2020 | 2023 | 2024,カレー 百名店 EAST 2019 | カレー EAST,curry_east,発表日：2023年10月10日 | 発表日：2024年8月6日
カレー気分,北海道札幌市清田区北野6条2-11-4 尾崎ビル 1F,食べログ 百名店: 2019 | 2020 | 2023 | 2024 / カレー 百名店 EAST 2019 | カレー EAST,https://tabelog.com/hokkaido/A0101/A010304/1000874/,,https://www.google.com/maps/search/?api=1&query=%E3%82%AB%E3%83%AC%E3%83%BC%E6%B0%97%E5%88%86%20%E5%8C%97%E6%B5%B7%E9%81%93%E6%9C%AD%E5%B9%8C%E5%B8%82%E6%B8%85%E7%94%B0%E5%8C%BA%E5%8C%97%E9%87%8E6%E6%9D%A12-11-4%20%E5%B0%BE%E5%B4%8E%E3%83%93%E3%83%AB%201F,43.0193075,141.4349540,2019 | 2020 | 2023 | 2024,カレー 百名店 EAST 2019 | カレー EAST,curry_east,発表日：2023年10月10日 | 発表日：2024年8月6日
ひげ男爵,北海道札幌市中央区北一条東2-5-12 ビーンズコート 1Ｆ,食べログ 百名店: 2019 | 2020 | 2023 | 2024 / カレー 百名店 EAST 2019 | カレー EAST,https://tabelog.com/hokkaido/A0101/A010102/1005374/,,https://www.google.com/maps/search/?api=1&query=%E3%81%B2%E3%81%92%E7%94%B7%E7%88%B5%20%E5%8C%97%E6%B5%B7%E9%81%93%E6%9C%AD%E5%B9%8C%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%8C%97%E4%B8%80%E6%9D%A1%E6%9D%B12-5-12%20%E3%83%93%E3%83%BC%E3%83%B3%E3%82%BA%E3%82%B3%E3%83%BC%E3%83%88%201%EF%BC%A6,43.0635185,141.3586085,2019 | 2020 | 2023 | 2024,カレー 百名店 EAST 2019 | カレー EAST,curry_east,発表日：2023年10月10日 | 発表日：2024年8月6日
元祖インドカレー 小いけ,北海道函館市宝来町22-4,食べログ 百名店: 2019 | 2020 | 2023 | 2024 / カレー 百名店 EAST 2019 | カレー EAST,https://tabelog.com/hokkaido/A0105/A010501/1008130/,,https://www.google.com/maps/search/?api=1&query=%E5%85%83%E7%A5%96%E3%82%A4%E3%83%B3%E3%83%89%E3%82%AB%E3%83%AC%E3%83%BC%20%E5%B0%8F%E3%81%84%E3%81%91%20%E5%8C%97%E6%B5%B7%E9%81%93%E5%87%BD%E9%A4%A8%E5%B8%82%E5%AE%9D%E6%9D%A5%E7%94%BA22-4,41.7620874,140.7197762,2019 | 2020 | 2023 | 2024,カレー 百名店 EAST 2019 | カレー EAST,curry_east,発表日：2023年10月10日 | 発表日：2024年8月6日
Rojiura Curry SAMURAI. 平岸総本店,北海道札幌市豊平区平岸3条3-2-3,食べログ 百名店: 2019 | 2020 / カレー 百名店 EAST 2019 | カレー EAST,https://tabelog.com/hokkaido/A0101/A010303/1005698/,,https://www.google.com/maps/search/?api=1&query=Rojiura%20Curry%20SAMURAI.%20%E5%B9%B3%E5%B2%B8%E7%B7%8F%E6%9C%AC%E5%BA%97%20%E5%8C%97%E6%B5%B7%E9%81%93%E6%9C%AD%E5%B9%8C%E5%B8%82%E8%B1%8A%E5%B9%B3%E5%8C%BA%E5%B9%B3%E5%B2%B83%E6%9D%A13-2-3,43.0400537,141.3713209,2019 | 2020,カレー 百名店 EAST 2019 | カレー EAST,curry_east,
アジア金星堂,北海道旭川市東5条11丁目2-1,食べログ 百名店: 2019 | 2023 / カレー 百名店 EAST 2019 | カレー EAST,https://tabelog.com/hokkaido/A0104/A010401/1001167/,,https://www.google.com/maps/search/?api=1&query=%E3%82%A2%E3%82%B8%E3%82%A2%E9%87%91%E6%98%9F%E5%A0%82%20%E5%8C%97%E6%B5%B7%E9%81%93%E6%97%AD%E5%B7%9D%E5%B8%82%E6%9D%B15%E6%9D%A111%E4%B8%81%E7%9B%AE2-1,43.7801047,142.3772754,2019 | 2023,カレー 百名店 EAST 2019 | カレー EAST,curry_east,発表日：2023年10月10日
