Name,Address,Description,Website,Tabelog Reservation URL,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
ぎょうざの店 ひょうたん 三宮店,兵庫県神戸市中央区北長狭通1-31-37,食べログ 百名店: 2019 | 2021 | 2024 / 餃子,https://tabelog.com/hyogo/A2801/A280101/28000495/,,https://www.google.com/maps/search/?api=1&query=%E3%81%8E%E3%82%87%E3%81%86%E3%81%96%E3%81%AE%E5%BA%97%20%E3%81%B2%E3%82%87%E3%81%86%E3%81%9F%E3%82%93%20%E4%B8%89%E5%AE%AE%E5%BA%97%20%E5%85%B5%E5%BA%AB%E7%9C%8C%E7%A5%9E%E6%88%B8%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%8C%97%E9%95%B7%E7%8B%AD%E9%80%9A1-31-37,34.6922587,135.1918661,2019 | 2021 | 2024,餃子,gyoza,発表日：2021年9月8日 | 発表日：2024年6月25日
香蘭,栃木県宇都宮市本町1-24,食べログ 百名店: 2019 | 2021 | 2024 / 餃子,https://tabelog.com/tochigi/A0901/A090101/9010705/,,https://www.google.com/maps/search/?api=1&query=%E9%A6%99%E8%98%AD%20%E6%A0%83%E6%9C%A8%E7%9C%8C%E5%AE%87%E9%83%BD%E5%AE%AE%E5%B8%82%E6%9C%AC%E7%94%BA1-24,36.5626567,139.8824009,2019 | 2021 | 2024,餃子,gyoza,発表日：2021年9月8日 | 発表日：2024年6月25日
正嗣 駒生店,栃木県宇都宮市駒生町1301-8,食べログ 百名店: 2019 | 2021 / 餃子,https://tabelog.com/tochigi/A0901/A090101/9001047/,,https://www.google.com/maps/search/?api=1&query=%E6%AD%A3%E5%97%A3%20%E9%A7%92%E7%94%9F%E5%BA%97%20%E6%A0%83%E6%9C%A8%E7%9C%8C%E5%AE%87%E9%83%BD%E5%AE%AE%E5%B8%82%E9%A7%92%E7%94%9F%E7%94%BA1301-8,36.5784681,139.8442893,2019 | 2021,餃子,gyoza,発表日：2021年9月8日
山東 2号店,神奈川県横浜市中区山下町150-3,食べログ 百名店: 2019 | 2021 / 餃子,https://tabelog.com/kanagawa/A1401/A140105/14000483/,,https://www.google.com/maps/search/?api=1&query=%E5%B1%B1%E6%9D%B1%202%E5%8F%B7%E5%BA%97%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E6%A8%AA%E6%B5%9C%E5%B8%82%E4%B8%AD%E5%8C%BA%E5%B1%B1%E4%B8%8B%E7%94%BA150-3,35.4437552,139.6454068,2019 | 2021,餃子,gyoza,発表日：2021年9月8日
餃子の福包 新宿店,東京都新宿区新宿2-8-6 KDX新宿286ビル 1F,食べログ 百名店: 2019 | 2021 / 餃子,https://tabelog.com/tokyo/A1304/A130402/13050544/,,https://www.google.com/maps/search/?api=1&query=%E9%A4%83%E5%AD%90%E3%81%AE%E7%A6%8F%E5%8C%85%20%E6%96%B0%E5%AE%BF%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E6%96%B0%E5%AE%BF2-8-6%20KDX%E6%96%B0%E5%AE%BF286%E3%83%93%E3%83%AB%201F,35.6891683,139.7089027,2019 | 2021,餃子,gyoza,発表日：2021年9月8日
石松餃子 新東名店,静岡県浜松市浜名区大平36 新東名高速道路NEOPASA浜松上り線,食べログ 百名店: 2019 | 2021 / 餃子,https://tabelog.com/shizuoka/A2202/A220201/22022797/,,https://www.google.com/maps/search/?api=1&query=%E7%9F%B3%E6%9D%BE%E9%A4%83%E5%AD%90%20%E6%96%B0%E6%9D%B1%E5%90%8D%E5%BA%97%20%E9%9D%99%E5%B2%A1%E7%9C%8C%E6%B5%9C%E6%9D%BE%E5%B8%82%E6%B5%9C%E5%90%8D%E5%8C%BA%E5%A4%A7%E5%B9%B336%20%E6%96%B0%E6%9D%B1%E5%90%8D%E9%AB%98%E9%80%9F%E9%81%93%E8%B7%AFNEOPASA%E6%B5%9C%E6%9D%BE%E4%B8%8A%E3%82%8A%E7%B7%9A,34.8433121,137.7504589,2019 | 2021,餃子,gyoza,発表日：2021年9月8日
味噌と餃子 青源  パセオ店,栃木県宇都宮市川向町1-23 宇都宮駅ビルパセオ 1F,食べログ 百名店: 2019 | 2021 / 餃子,https://tabelog.com/tochigi/A0901/A090101/9010290/,,https://www.google.com/maps/search/?api=1&query=%E5%91%B3%E5%99%8C%E3%81%A8%E9%A4%83%E5%AD%90%20%E9%9D%92%E6%BA%90%20%20%E3%83%91%E3%82%BB%E3%82%AA%E5%BA%97%20%E6%A0%83%E6%9C%A8%E7%9C%8C%E5%AE%87%E9%83%BD%E5%AE%AE%E5%B8%82%E5%B7%9D%E5%90%91%E7%94%BA1-23%20%E5%AE%87%E9%83%BD%E5%AE%AE%E9%A7%85%E3%83%93%E3%83%AB%E3%83%91%E3%82%BB%E3%82%AA%201F,36.5604881,139.8982851,2019 | 2021,餃子,gyoza,発表日：2021年9月8日
東京餃子楼 三軒茶屋店,東京都世田谷区太子堂4-4-2 ラウスパレス三軒茶屋,食べログ 百名店: 2019 | 2021 | 2024 / 餃子,https://tabelog.com/tokyo/A1317/A131706/13004530/,https://tabelog.com/tokyo/A1317/A131706/13004530/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%A4%83%E5%AD%90%E6%A5%BC%20%E4%B8%89%E8%BB%92%E8%8C%B6%E5%B1%8B%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%A4%AA%E5%AD%90%E5%A0%824-4-2%20%E3%83%A9%E3%82%A6%E3%82%B9%E3%83%91%E3%83%AC%E3%82%B9%E4%B8%89%E8%BB%92%E8%8C%B6%E5%B1%8B,35.6432199,139.6676392,2019 | 2021 | 2024,餃子,gyoza,発表日：2021年9月8日 | 発表日：2024年6月25日
丸正餃子店 本店,大阪府大東市三住町1-35,食べログ 百名店: 2019 | 2021 | 2024 / 餃子,https://tabelog.com/osaka/A2707/A270704/27003163/,,https://www.google.com/maps/search/?api=1&query=%E4%B8%B8%E6%AD%A3%E9%A4%83%E5%AD%90%E5%BA%97%20%E6%9C%AC%E5%BA%97%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E6%9D%B1%E5%B8%82%E4%B8%89%E4%BD%8F%E7%94%BA1-35,34.7103099,135.6226448,2019 | 2021 | 2024,餃子,gyoza,発表日：2021年9月8日 | 発表日：2024年6月25日
春香園 蒲田店,東京都大田区蒲田5-22-1,食べログ 百名店: 2019 | 2021 / 餃子,https://tabelog.com/tokyo/A1315/A131503/13057671/,,https://www.google.com/maps/search/?api=1&query=%E6%98%A5%E9%A6%99%E5%9C%92%20%E8%92%B2%E7%94%B0%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%A4%A7%E7%94%B0%E5%8C%BA%E8%92%B2%E7%94%B05-22-1,35.5623009,139.7189315,2019 | 2021,餃子,gyoza,発表日：2021年9月8日
