Name,Address,Description,Website,Tabelog Reservation URL,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
ピネキ,千葉県館山市下真倉236-3,食べログ 百名店: 2019 | 2020 | 2022 | 2023 / スイーツ 百名店 EAST 2019 | スイーツ EAST | アイス・ジェラート,https://tabelog.com/chiba/A1207/A120704/12005224/,,https://www.google.com/maps/search/?api=1&query=%E3%83%94%E3%83%8D%E3%82%AD%20%E5%8D%83%E8%91%89%E7%9C%8C%E9%A4%A8%E5%B1%B1%E5%B8%82%E4%B8%8B%E7%9C%9F%E5%80%89236-3,34.9789636,139.8690803,2019 | 2020 | 2022 | 2023,スイーツ 百名店 EAST 2019 | スイーツ EAST | アイス・ジェラート,sweets_east | ice_gelato,発表日：2022年10月20日 | 発表日：2023年8月1日
ジェラテリア・イル・ブリガンテ,神奈川県鎌倉市小町2-9-6 1Ｆ,食べログ 百名店: 2019 | 2020 | 2022 | 2023 / スイーツ 百名店 EAST 2019 | スイーツ EAST | アイス・ジェラート,https://tabelog.com/kanagawa/A1404/A140402/14011873/,,https://www.google.com/maps/search/?api=1&query=%E3%82%B8%E3%82%A7%E3%83%A9%E3%83%86%E3%83%AA%E3%82%A2%E3%83%BB%E3%82%A4%E3%83%AB%E3%83%BB%E3%83%96%E3%83%AA%E3%82%AC%E3%83%B3%E3%83%86%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E9%8E%8C%E5%80%89%E5%B8%82%E5%B0%8F%E7%94%BA2-9-6%201%EF%BC%A6,35.3209076,139.5522328,2019 | 2020 | 2022 | 2023,スイーツ 百名店 EAST 2019 | スイーツ EAST | アイス・ジェラート,sweets_east | ice_gelato,発表日：2022年10月20日 | 発表日：2023年8月1日
ミルク村 SAPPORO本店,北海道札幌市中央区南四条西3-7-1 ニュー北星ビル　６Ｆ,食べログ 百名店: 2019 | 2020 | 2022 | 2023 / スイーツ 百名店 EAST 2019 | スイーツ EAST | アイス・ジェラート,https://tabelog.com/hokkaido/A0101/A010103/1000194/,,https://www.google.com/maps/search/?api=1&query=%E3%83%9F%E3%83%AB%E3%82%AF%E6%9D%91%20SAPPORO%E6%9C%AC%E5%BA%97%20%E5%8C%97%E6%B5%B7%E9%81%93%E6%9C%AD%E5%B9%8C%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%8D%97%E5%9B%9B%E6%9D%A1%E8%A5%BF3-7-1%20%E3%83%8B%E3%83%A5%E3%83%BC%E5%8C%97%E6%98%9F%E3%83%93%E3%83%AB%E3%80%80%EF%BC%96%EF%BC%A6,43.0561277,141.3540255,2019 | 2020 | 2022 | 2023,スイーツ 百名店 EAST 2019 | スイーツ EAST | アイス・ジェラート,sweets_east | ice_gelato,発表日：2022年10月20日 | 発表日：2023年8月1日
ジェラテリア シンチェリータ,東京都杉並区阿佐谷北1-43-7,食べログ 百名店: 2019 | 2020 | 2022 | 2023 / スイーツ 百名店 TOKYO 2019 | スイーツ TOKYO | アイス・ジェラート,https://tabelog.com/tokyo/A1319/A131905/13108556/,,https://www.google.com/maps/search/?api=1&query=%E3%82%B8%E3%82%A7%E3%83%A9%E3%83%86%E3%83%AA%E3%82%A2%20%E3%82%B7%E3%83%B3%E3%83%81%E3%82%A7%E3%83%AA%E3%83%BC%E3%82%BF%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%9D%89%E4%B8%A6%E5%8C%BA%E9%98%BF%E4%BD%90%E8%B0%B7%E5%8C%971-43-7,35.7093238,139.6346771,2019 | 2020 | 2022 | 2023,スイーツ 百名店 TOKYO 2019 | スイーツ TOKYO | アイス・ジェラート,sweets_tokyo | ice_gelato,発表日：2022年10月20日 | 発表日：2023年8月1日
ジェラテリア アクオリーナ,東京都目黒区五本木1-11-10,食べログ 百名店: 2019 | 2020 | 2022 | 2023 / スイーツ 百名店 TOKYO 2019 | スイーツ TOKYO | アイス・ジェラート,https://tabelog.com/tokyo/A1317/A131701/13141364/,,https://www.google.com/maps/search/?api=1&query=%E3%82%B8%E3%82%A7%E3%83%A9%E3%83%86%E3%83%AA%E3%82%A2%20%E3%82%A2%E3%82%AF%E3%82%AA%E3%83%AA%E3%83%BC%E3%83%8A%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E7%9B%AE%E9%BB%92%E5%8C%BA%E4%BA%94%E6%9C%AC%E6%9C%A81-11-10,35.6380155,139.6910507,2019 | 2020 | 2022 | 2023,スイーツ 百名店 TOKYO 2019 | スイーツ TOKYO | アイス・ジェラート,sweets_tokyo | ice_gelato,発表日：2022年10月20日 | 発表日：2023年8月1日
ジェラテリア チルコドーロ,大阪府大阪市中央区谷町7丁目3-4 新谷町第三ビル114,食べログ 百名店: 2019 | 2020 | 2022 | 2023 / スイーツ 百名店 WEST 2019 | スイーツ WEST | アイス・ジェラート,https://tabelog.com/osaka/A2701/A270204/27009531/,,https://www.google.com/maps/search/?api=1&query=%E3%82%B8%E3%82%A7%E3%83%A9%E3%83%86%E3%83%AA%E3%82%A2%20%E3%83%81%E3%83%AB%E3%82%B3%E3%83%89%E3%83%BC%E3%83%AD%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E8%B0%B7%E7%94%BA7%E4%B8%81%E7%9B%AE3-4%20%E6%96%B0%E8%B0%B7%E7%94%BA%E7%AC%AC%E4%B8%89%E3%83%93%E3%83%AB114,34.6720847,135.5164912,2019 | 2020 | 2022 | 2023,スイーツ 百名店 WEST 2019 | スイーツ WEST | アイス・ジェラート,sweets_west | ice_gelato,発表日：2022年10月20日 | 発表日：2023年8月1日
ハーベスト ナガイファーム 軽井沢店,長野県北佐久郡軽井沢町長倉2145-5 ハルニレテラス,食べログ 百名店: 2020 | 2022 | 2023 / スイーツ EAST | アイス・ジェラート,https://tabelog.com/nagano/A2003/A200301/20009286/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%83%8F%E3%83%BC%E3%83%99%E3%82%B9%E3%83%88%20%E3%83%8A%E3%82%AC%E3%82%A4%E3%83%95%E3%82%A1%E3%83%BC%E3%83%A0%20%E8%BB%BD%E4%BA%95%E6%B2%A2%E5%BA%97%20%E9%95%B7%E9%87%8E%E7%9C%8C%E5%8C%97%E4%BD%90%E4%B9%85%E9%83%A1%E8%BB%BD%E4%BA%95%E6%B2%A2%E7%94%BA%E9%95%B7%E5%80%892145-5%20%E3%83%8F%E3%83%AB%E3%83%8B%E3%83%AC%E3%83%86%E3%83%A9%E3%82%B9,36.3592633,138.5905641,2020 | 2022 | 2023,スイーツ EAST | アイス・ジェラート,sweets_east | ice_gelato,発表日：2022年10月20日 | 発表日：2023年8月1日
ザ マーケット エスイーワン,神奈川県藤沢市片瀬海岸1-6-6,食べログ 百名店: 2020 | 2022 | 2023 / スイーツ EAST | アイス・ジェラート,https://tabelog.com/kanagawa/A1404/A140403/14029135/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%82%B6%20%E3%83%9E%E3%83%BC%E3%82%B1%E3%83%83%E3%83%88%20%E3%82%A8%E3%82%B9%E3%82%A4%E3%83%BC%E3%83%AF%E3%83%B3%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E8%97%A4%E6%B2%A2%E5%B8%82%E7%89%87%E7%80%AC%E6%B5%B7%E5%B2%B81-6-6,35.3104786,139.4890766,2020 | 2022 | 2023,スイーツ EAST | アイス・ジェラート,sweets_east | ice_gelato,発表日：2022年10月20日 | 発表日：2023年8月1日
アンティカ ジェラテリア 玉川店,東京都世田谷区玉川3-17-1 玉川タカシマヤ B1F,食べログ 百名店: 2023 / アイス・ジェラート,https://tabelog.com/tokyo/A1317/A131708/13018929/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%82%A2%E3%83%B3%E3%83%86%E3%82%A3%E3%82%AB%20%E3%82%B8%E3%82%A7%E3%83%A9%E3%83%86%E3%83%AA%E3%82%A2%20%E7%8E%89%E5%B7%9D%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E7%8E%89%E5%B7%9D3-17-1%20%E7%8E%89%E5%B7%9D%E3%82%BF%E3%82%AB%E3%82%B7%E3%83%9E%E3%83%A4%20B1F,35.6146352,139.6267379,2023,アイス・ジェラート,ice_gelato,発表日：2023年8月1日
氷菓子屋KOMARU,福岡県北九州市八幡西区八千代町13-5,食べログ 百名店: 2023 / アイス・ジェラート,https://tabelog.com/fukuoka/A4004/A400404/40045843/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E6%B0%B7%E8%8F%93%E5%AD%90%E5%B1%8BKOMARU%20%E7%A6%8F%E5%B2%A1%E7%9C%8C%E5%8C%97%E4%B9%9D%E5%B7%9E%E5%B8%82%E5%85%AB%E5%B9%A1%E8%A5%BF%E5%8C%BA%E5%85%AB%E5%8D%83%E4%BB%A3%E7%94%BA13-5,33.8626982,130.7727523,2023,アイス・ジェラート,ice_gelato,発表日：2023年8月1日
