Name,Address,Description,Website,Tabelog Reservation URL,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
壇太,東京都港区高輪3-7-14,食べログ 百名店: 2019 | 2021 | 2024 / 餃子 | 居酒屋 EAST,https://tabelog.com/tokyo/A1316/A131603/13020500/,,https://www.google.com/maps/search/?api=1&query=%E5%A3%87%E5%A4%AA%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E9%AB%98%E8%BC%AA3-7-14,35.6326874,139.7317012,2019 | 2021 | 2024,餃子 | 居酒屋 EAST,gyoza | izakaya_east,発表日：2021年9月8日 | 発表日：2024年10月8日
菜香餃子房,東京都足立区千住1-39-9,食べログ 百名店: 2019 | 2021 | 2024 | 2025 / 餃子 | 居酒屋 EAST,https://tabelog.com/tokyo/A1324/A132402/13158080/,,https://www.google.com/maps/search/?api=1&query=%E8%8F%9C%E9%A6%99%E9%A4%83%E5%AD%90%E6%88%BF%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E8%B6%B3%E7%AB%8B%E5%8C%BA%E5%8D%83%E4%BD%8F1-39-9,35.7478502,139.8039438,2019 | 2021 | 2024 | 2025,餃子 | 居酒屋 EAST,gyoza | izakaya_east,発表日：2021年9月8日 | 発表日：2024年10月8日 | 発表日：2025年10月1日
はた善,青森県青森市安方2-17-15 ライオンズマンション新町通 1F,食べログ 百名店: 2021 | 2024 | 2025 / 日本料理 EAST | 居酒屋 EAST,https://tabelog.com/aomori/A0201/A020101/2000414/,,https://www.google.com/maps/search/?api=1&query=%E3%81%AF%E3%81%9F%E5%96%84%20%E9%9D%92%E6%A3%AE%E7%9C%8C%E9%9D%92%E6%A3%AE%E5%B8%82%E5%AE%89%E6%96%B92-17-15%20%E3%83%A9%E3%82%A4%E3%82%AA%E3%83%B3%E3%82%BA%E3%83%9E%E3%83%B3%E3%82%B7%E3%83%A7%E3%83%B3%E6%96%B0%E7%94%BA%E9%80%9A%201F,40.8264626,140.7444677,2021 | 2024 | 2025,日本料理 EAST | 居酒屋 EAST,japanese_east | izakaya_east,発表日：2021年4月1日 | 発表日：2024年10月8日 | 発表日：2025年10月1日
阿古,宮城県仙台市青葉区国分町2-11-11,食べログ 百名店: 2021 | 2024 | 2025 / 日本料理 EAST | 居酒屋 EAST,https://tabelog.com/miyagi/A0401/A040101/4006686/,,https://www.google.com/maps/search/?api=1&query=%E9%98%BF%E5%8F%A4%20%E5%AE%AE%E5%9F%8E%E7%9C%8C%E4%BB%99%E5%8F%B0%E5%B8%82%E9%9D%92%E8%91%89%E5%8C%BA%E5%9B%BD%E5%88%86%E7%94%BA2-11-11,38.2650260,140.8697778,2021 | 2024 | 2025,日本料理 EAST | 居酒屋 EAST,japanese_east | izakaya_east,発表日：2021年4月1日 | 発表日：2024年10月8日 | 発表日：2025年10月1日
大どころ,福岡県福岡市中央区今泉2-3-38 ピュア天神 1F,食べログ 百名店: 2021 | 2024 | 2025 / 日本料理 WEST | 居酒屋 WEST,https://tabelog.com/fukuoka/A4001/A400104/40036894/,https://tabelog.com/fukuoka/A4001/A400104/40036894/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E5%A4%A7%E3%81%A9%E3%81%93%E3%82%8D%20%E7%A6%8F%E5%B2%A1%E7%9C%8C%E7%A6%8F%E5%B2%A1%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E4%BB%8A%E6%B3%892-3-38%20%E3%83%94%E3%83%A5%E3%82%A2%E5%A4%A9%E7%A5%9E%201F,33.5833392,130.3974267,2021 | 2024 | 2025,日本料理 WEST | 居酒屋 WEST,japanese_west | izakaya_west,発表日：2021年4月1日 | 発表日：2024年10月8日 | 発表日：2025年10月1日
鉄板酒場 ひとじまん,福岡県北九州市小倉南区下曽根新町5-5 菱興曽根ビル 101,食べログ 百名店: 2022 | 2023 | 2025 / お好み焼き | 居酒屋 WEST,https://tabelog.com/fukuoka/A4004/A400502/40041252/,,https://www.google.com/maps/search/?api=1&query=%E9%89%84%E6%9D%BF%E9%85%92%E5%A0%B4%20%E3%81%B2%E3%81%A8%E3%81%98%E3%81%BE%E3%82%93%20%E7%A6%8F%E5%B2%A1%E7%9C%8C%E5%8C%97%E4%B9%9D%E5%B7%9E%E5%B8%82%E5%B0%8F%E5%80%89%E5%8D%97%E5%8C%BA%E4%B8%8B%E6%9B%BD%E6%A0%B9%E6%96%B0%E7%94%BA5-5%20%E8%8F%B1%E8%88%88%E6%9B%BD%E6%A0%B9%E3%83%93%E3%83%AB%20101,33.8332849,130.9303430,2022 | 2023 | 2025,お好み焼き | 居酒屋 WEST,okonomiyaki | izakaya_west,発表日：2022年4月26日 | 発表日：2023年5月23日 | 発表日：2025年10月1日
久松屋,東京都中央区日本橋久松町13-4 トスパビル　Ｂ１,食べログ 百名店: 2024 / 居酒屋 EAST,https://tabelog.com/tokyo/A1302/A130204/13097387/,https://tabelog.com/tokyo/A1302/A130204/13097387/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E4%B9%85%E6%9D%BE%E5%B1%8B%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E6%97%A5%E6%9C%AC%E6%A9%8B%E4%B9%85%E6%9D%BE%E7%94%BA13-4%20%E3%83%88%E3%82%B9%E3%83%91%E3%83%93%E3%83%AB%E3%80%80%EF%BC%A2%EF%BC%91,35.6905706,139.7843163,2024,居酒屋 EAST,izakaya_east,発表日：2024年10月8日
銀座 いっぱし,東京都中央区銀座8-4-9 奥山ビル B１F,食べログ 百名店: 2024 / 居酒屋 EAST,https://tabelog.com/tokyo/A1301/A130103/13041208/,https://tabelog.com/tokyo/A1301/A130103/13041208/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E9%8A%80%E5%BA%A7%20%E3%81%84%E3%81%A3%E3%81%B1%E3%81%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%8A%80%E5%BA%A78-4-9%20%E5%A5%A5%E5%B1%B1%E3%83%93%E3%83%AB%20B%EF%BC%91F,35.6689655,139.7596946,2024,居酒屋 EAST,izakaya_east,発表日：2024年10月8日
旬菜旬魚 たじま,北海道函館市富岡町3-36-1,食べログ 百名店: 2024 | 2025 / 居酒屋 EAST,https://tabelog.com/hokkaido/A0105/A010501/1073561/,,https://www.google.com/maps/search/?api=1&query=%E6%97%AC%E8%8F%9C%E6%97%AC%E9%AD%9A%20%E3%81%9F%E3%81%98%E3%81%BE%20%E5%8C%97%E6%B5%B7%E9%81%93%E5%87%BD%E9%A4%A8%E5%B8%82%E5%AF%8C%E5%B2%A1%E7%94%BA3-36-1,41.8119258,140.7470659,2024 | 2025,居酒屋 EAST,izakaya_east,発表日：2024年10月8日 | 発表日：2025年10月1日
貴田乃瀬,静岡県浜松市中央区田町231-1,食べログ 百名店: 2024 | 2025 / 居酒屋 EAST,https://tabelog.com/shizuoka/A2202/A220201/22000035/,https://tabelog.com/shizuoka/A2202/A220201/22000035/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E8%B2%B4%E7%94%B0%E4%B9%83%E7%80%AC%20%E9%9D%99%E5%B2%A1%E7%9C%8C%E6%B5%9C%E6%9D%BE%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E7%94%B0%E7%94%BA231-1,34.7091764,137.7319015,2024 | 2025,居酒屋 EAST,izakaya_east,発表日：2024年10月8日 | 発表日：2025年10月1日
