Name,Address,Description,Website,Tabelog Reservation URL,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
すぎ田,東京都台東区寿3-8-3,食べログ 百名店: 2017 / とんかつ,https://tabelog.com/tokyo/A1303/A130302/13003707/,https://tabelog.com/tokyo/A1311/A131103/13003707/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E3%81%99%E3%81%8E%E7%94%B0%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%8F%B0%E6%9D%B1%E5%8C%BA%E5%AF%BF3-8-3,35.7064513,139.7910196,2017,とんかつ,tonkatsu,
かつ平,東京都中央区築地6-12-10,食べログ 百名店: 2017 / とんかつ,https://tabelog.com/tokyo/A1303/A130302/13007635/,,https://www.google.com/maps/search/?api=1&query=%E3%81%8B%E3%81%A4%E5%B9%B3%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E7%AF%89%E5%9C%B06-12-10,35.6650368,139.7740063,2017,とんかつ,tonkatsu,
イマカツ 銀座店,東京都中央区銀座4-13-18 医療ビル 1F,食べログ 百名店: 2017 / とんかつ,https://tabelog.com/tokyo/A1303/A130302/13159038/,,https://www.google.com/maps/search/?api=1&query=%E3%82%A4%E3%83%9E%E3%82%AB%E3%83%84%20%E9%8A%80%E5%BA%A7%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%8A%80%E5%BA%A74-13-18%20%E5%8C%BB%E7%99%82%E3%83%93%E3%83%AB%201F,35.6696011,139.7687536,2017,とんかつ,tonkatsu,
名古屋名物 みそかつ 矢場とん 名古屋駅エスカ店,愛知県名古屋市中村区椿町6-9 エスカ地下街,食べログ 百名店: 2017 / とんかつ,https://tabelog.com/tokyo/A1303/A130302/23000136/,,https://www.google.com/maps/search/?api=1&query=%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%90%8D%E7%89%A9%20%E3%81%BF%E3%81%9D%E3%81%8B%E3%81%A4%20%E7%9F%A2%E5%A0%B4%E3%81%A8%E3%82%93%20%E5%90%8D%E5%8F%A4%E5%B1%8B%E9%A7%85%E3%82%A8%E3%82%B9%E3%82%AB%E5%BA%97%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E4%B8%AD%E6%9D%91%E5%8C%BA%E6%A4%BF%E7%94%BA6-9%20%E3%82%A8%E3%82%B9%E3%82%AB%E5%9C%B0%E4%B8%8B%E8%A1%97,35.1710014,136.8797311,2017,とんかつ,tonkatsu,
とんかつ ひろ喜 徳庵本店,大阪府東大阪市稲田本町3-20-11,食べログ 百名店: 2017 / とんかつ,https://tabelog.com/tokyo/A1303/A130302/27043187/,,https://www.google.com/maps/search/?api=1&query=%E3%81%A8%E3%82%93%E3%81%8B%E3%81%A4%20%E3%81%B2%E3%82%8D%E5%96%9C%20%E5%BE%B3%E5%BA%B5%E6%9C%AC%E5%BA%97%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E6%9D%B1%E5%A4%A7%E9%98%AA%E5%B8%82%E7%A8%B2%E7%94%B0%E6%9C%AC%E7%94%BA3-20-11,34.6879783,135.5815871,2017,とんかつ,tonkatsu,
とん亭,大阪府大阪市天王寺区大道4-1-2,食べログ 百名店: 2017 / とんかつ,https://tabelog.com/tokyo/A1303/A130302/27011174/,,https://www.google.com/maps/search/?api=1&query=%E3%81%A8%E3%82%93%E4%BA%AD%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E5%A4%A9%E7%8E%8B%E5%AF%BA%E5%8C%BA%E5%A4%A7%E9%81%934-1-2,34.6500632,135.5220799,2017,とんかつ,tonkatsu,
名古屋名物 みそかつ 矢場とん 矢場町本店,愛知県名古屋市中区大須3-6-18,食べログ 百名店: 2017 / とんかつ,https://tabelog.com/tokyo/A1303/A130302/23000134/,,https://www.google.com/maps/search/?api=1&query=%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%90%8D%E7%89%A9%20%E3%81%BF%E3%81%9D%E3%81%8B%E3%81%A4%20%E7%9F%A2%E5%A0%B4%E3%81%A8%E3%82%93%20%E7%9F%A2%E5%A0%B4%E7%94%BA%E6%9C%AC%E5%BA%97%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E4%B8%AD%E5%8C%BA%E5%A4%A7%E9%A0%883-6-18,35.1616860,136.9062444,2017,とんかつ,tonkatsu,
とんかつ まさむね,東京都港区赤坂2-8-19,食べログ 百名店: 2017 / とんかつ,https://tabelog.com/tokyo/A1303/A130302/13156833/,,https://www.google.com/maps/search/?api=1&query=%E3%81%A8%E3%82%93%E3%81%8B%E3%81%A4%20%E3%81%BE%E3%81%95%E3%82%80%E3%81%AD%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E8%B5%A4%E5%9D%822-8-19,35.6720702,139.7400244,2017,とんかつ,tonkatsu,
とんかつ やまいち,東京都千代田区神田須田町1-8-4 玉井ビル1F,食べログ 百名店: 2017 / とんかつ,https://tabelog.com/tokyo/A1303/A130302/13042246/,,https://www.google.com/maps/search/?api=1&query=%E3%81%A8%E3%82%93%E3%81%8B%E3%81%A4%20%E3%82%84%E3%81%BE%E3%81%84%E3%81%A1%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%8D%83%E4%BB%A3%E7%94%B0%E5%8C%BA%E7%A5%9E%E7%94%B0%E9%A0%88%E7%94%B0%E7%94%BA1-8-4%20%E7%8E%89%E4%BA%95%E3%83%93%E3%83%AB1F,35.6953702,139.7685813,2017,とんかつ,tonkatsu,
とんかつ 大宝,東京都目黒区目黒1-6-15 1F,食べログ 百名店: 2017 / とんかつ,https://tabelog.com/tokyo/A1303/A130302/13007463/,,https://www.google.com/maps/search/?api=1&query=%E3%81%A8%E3%82%93%E3%81%8B%E3%81%A4%20%E5%A4%A7%E5%AE%9D%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E7%9B%AE%E9%BB%92%E5%8C%BA%E7%9B%AE%E9%BB%921-6-15%201F,35.6344473,139.7117784,2017,とんかつ,tonkatsu,
