Name,Address,Description,Website,Tabelog Reservation URL,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
兎に角 松戸本店,千葉県松戸市根本462 比嘉ビル　1F,食べログ 百名店: 2017 | 2018 / ラーメン 百名店 EAST 2017 | ラーメン 百名店 EAST 2018,https://tabelog.com/tokyo/A1303/A130302/12001198/,,https://www.google.com/maps/search/?api=1&query=%E5%85%8E%E3%81%AB%E8%A7%92%20%E6%9D%BE%E6%88%B8%E6%9C%AC%E5%BA%97%20%E5%8D%83%E8%91%89%E7%9C%8C%E6%9D%BE%E6%88%B8%E5%B8%82%E6%A0%B9%E6%9C%AC462%20%E6%AF%94%E5%98%89%E3%83%93%E3%83%AB%E3%80%801F,35.7858468,139.9017741,2017 | 2018,ラーメン 百名店 EAST 2017 | ラーメン 百名店 EAST 2018,ramen_east,
麺屋 燕 本店,静岡県島田市御仮屋町8770,食べログ 百名店: 2017 / ラーメン 百名店 EAST 2017,https://tabelog.com/tokyo/A1303/A130302/22002424/,,https://www.google.com/maps/search/?api=1&query=%E9%BA%BA%E5%B1%8B%20%E7%87%95%20%E6%9C%AC%E5%BA%97%20%E9%9D%99%E5%B2%A1%E7%9C%8C%E5%B3%B6%E7%94%B0%E5%B8%82%E5%BE%A1%E4%BB%AE%E5%B1%8B%E7%94%BA8770,34.8354429,138.1900662,2017,ラーメン 百名店 EAST 2017,ramen_east,
中華そば 麺や食堂 本店,神奈川県厚木市幸町9-6,食べログ 百名店: 2017 | 2018 / ラーメン 百名店 EAST 2017 | ラーメン 百名店 EAST 2018,https://tabelog.com/tokyo/A1303/A130302/14001610/,,https://www.google.com/maps/search/?api=1&query=%E4%B8%AD%E8%8F%AF%E3%81%9D%E3%81%B0%20%E9%BA%BA%E3%82%84%E9%A3%9F%E5%A0%82%20%E6%9C%AC%E5%BA%97%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E5%8E%9A%E6%9C%A8%E5%B8%82%E5%B9%B8%E7%94%BA9-6,35.4413370,139.3706140,2017 | 2018,ラーメン 百名店 EAST 2017 | ラーメン 百名店 EAST 2018,ramen_east,
麺屋はなび 高畑本店,愛知県名古屋市中川区高畑1-170,食べログ 百名店: 2017 | 2018 / ラーメン 百名店 EAST 2017 | ラーメン 百名店 EAST 2018,https://tabelog.com/tokyo/A1303/A130302/23008839/,,https://www.google.com/maps/search/?api=1&query=%E9%BA%BA%E5%B1%8B%E3%81%AF%E3%81%AA%E3%81%B3%20%E9%AB%98%E7%95%91%E6%9C%AC%E5%BA%97%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E4%B8%AD%E5%B7%9D%E5%8C%BA%E9%AB%98%E7%95%911-170,35.1411761,136.8567545,2017 | 2018,ラーメン 百名店 EAST 2017 | ラーメン 百名店 EAST 2018,ramen_east,
らーめん いのうえ,神奈川県横浜市鶴見区矢向1-7-26,食べログ 百名店: 2017 | 2018 / ラーメン 百名店 EAST 2017 | ラーメン 百名店 EAST 2018,https://tabelog.com/tokyo/A1303/A130302/14054147/,,https://www.google.com/maps/search/?api=1&query=%E3%82%89%E3%83%BC%E3%82%81%E3%82%93%20%E3%81%84%E3%81%AE%E3%81%86%E3%81%88%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E6%A8%AA%E6%B5%9C%E5%B8%82%E9%B6%B4%E8%A6%8B%E5%8C%BA%E7%9F%A2%E5%90%911-7-26,35.5295532,139.6772551,2017 | 2018,ラーメン 百名店 EAST 2017 | ラーメン 百名店 EAST 2018,ramen_east,
麺屋 桐龍 東川口本店,埼玉県川口市戸塚3-36-18,食べログ 百名店: 2017 | 2018 / ラーメン 百名店 EAST 2017 | ラーメン 百名店 EAST 2018,https://tabelog.com/tokyo/A1303/A130302/11028693/,,https://www.google.com/maps/search/?api=1&query=%E9%BA%BA%E5%B1%8B%20%E6%A1%90%E9%BE%8D%20%E6%9D%B1%E5%B7%9D%E5%8F%A3%E6%9C%AC%E5%BA%97%20%E5%9F%BC%E7%8E%89%E7%9C%8C%E5%B7%9D%E5%8F%A3%E5%B8%82%E6%88%B8%E5%A1%9A3-36-18,35.8676933,139.7525265,2017 | 2018,ラーメン 百名店 EAST 2017 | ラーメン 百名店 EAST 2018,ramen_east,
麺屋龍壽,静岡県浜松市中央区天王町1241-1,食べログ 百名店: 2017 | 2018 / ラーメン 百名店 EAST 2017 | ラーメン 百名店 EAST 2018,https://tabelog.com/tokyo/A1303/A130302/22030205/,,https://www.google.com/maps/search/?api=1&query=%E9%BA%BA%E5%B1%8B%E9%BE%8D%E5%A3%BD%20%E9%9D%99%E5%B2%A1%E7%9C%8C%E6%B5%9C%E6%9D%BE%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%A4%A9%E7%8E%8B%E7%94%BA1241-1,34.7373758,137.7727072,2017 | 2018,ラーメン 百名店 EAST 2017 | ラーメン 百名店 EAST 2018,ramen_east,
中華そば処 琴平荘,山形県鶴岡市三瀬己381-46 旅館琴平荘,食べログ 百名店: 2017 | 2018 / ラーメン 百名店 EAST 2017 | ラーメン 百名店 EAST 2018,https://tabelog.com/tokyo/A1303/A130302/6000573/,,https://www.google.com/maps/search/?api=1&query=%E4%B8%AD%E8%8F%AF%E3%81%9D%E3%81%B0%E5%87%A6%20%E7%90%B4%E5%B9%B3%E8%8D%98%20%E5%B1%B1%E5%BD%A2%E7%9C%8C%E9%B6%B4%E5%B2%A1%E5%B8%82%E4%B8%89%E7%80%AC%E5%B7%B1381-46%20%E6%97%85%E9%A4%A8%E7%90%B4%E5%B9%B3%E8%8D%98,38.7062248,139.6620644,2017 | 2018,ラーメン 百名店 EAST 2017 | ラーメン 百名店 EAST 2018,ramen_east,
中華そば よしかわ 上尾店,埼玉県上尾市南97-5,食べログ 百名店: 2017 | 2018 / ラーメン 百名店 EAST 2017 | ラーメン 百名店 EAST 2018,https://tabelog.com/tokyo/A1303/A130302/11036997/,,https://www.google.com/maps/search/?api=1&query=%E4%B8%AD%E8%8F%AF%E3%81%9D%E3%81%B0%20%E3%82%88%E3%81%97%E3%81%8B%E3%82%8F%20%E4%B8%8A%E5%B0%BE%E5%BA%97%20%E5%9F%BC%E7%8E%89%E7%9C%8C%E4%B8%8A%E5%B0%BE%E5%B8%82%E5%8D%9797-5,35.9958312,139.5865741,2017 | 2018,ラーメン 百名店 EAST 2017 | ラーメン 百名店 EAST 2018,ramen_east,
麺や 福一,千葉県成田市花崎町846-15,食べログ 百名店: 2017 / ラーメン 百名店 EAST 2017,https://tabelog.com/tokyo/A1303/A130302/12004272/,,https://www.google.com/maps/search/?api=1&query=%E9%BA%BA%E3%82%84%20%E7%A6%8F%E4%B8%80%20%E5%8D%83%E8%91%89%E7%9C%8C%E6%88%90%E7%94%B0%E5%B8%82%E8%8A%B1%E5%B4%8E%E7%94%BA846-15,35.7792546,140.3148009,2017,ラーメン 百名店 EAST 2017,ramen_east,
