Name,Address,Description,Website,Tabelog Reservation URL,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
とんかつ ひろ喜 徳庵本店,大阪府東大阪市稲田本町3-20-11,食べログ 百名店: 2018 | 2019 | 2021 | 2024 / とんかつ | 食堂,https://tabelog.com/osaka/A2707/A270703/27043187/,,https://www.google.com/maps/search/?api=1&query=%E3%81%A8%E3%82%93%E3%81%8B%E3%81%A4%20%E3%81%B2%E3%82%8D%E5%96%9C%20%E5%BE%B3%E5%BA%B5%E6%9C%AC%E5%BA%97%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E6%9D%B1%E5%A4%A7%E9%98%AA%E5%B8%82%E7%A8%B2%E7%94%B0%E6%9C%AC%E7%94%BA3-20-11,34.6879783,135.5815871,2018 | 2019 | 2021 | 2024,とんかつ | 食堂,tonkatsu | shokudo,発表日：2021年4月13日 | 発表日：2024年9月25日
仁亭,福島県郡山市鶴見坦3-5-2,食べログ 百名店: 2018 | 2019 | 2021 | 2024 / とんかつ | 食堂,https://tabelog.com/fukushima/A0702/A070201/7000028/,,https://www.google.com/maps/search/?api=1&query=%E4%BB%81%E4%BA%AD%20%E7%A6%8F%E5%B3%B6%E7%9C%8C%E9%83%A1%E5%B1%B1%E5%B8%82%E9%B6%B4%E8%A6%8B%E5%9D%A63-5-2,37.3914627,140.3619734,2018 | 2019 | 2021 | 2024,とんかつ | 食堂,tonkatsu | shokudo,発表日：2021年4月13日 | 発表日：2024年9月25日
かっぱ,岡山県倉敷市阿知2-17-2,食べログ 百名店: 2018 | 2019 | 2021 | 2024 / とんかつ | 食堂,https://tabelog.com/okayama/A3302/A330201/33000185/,,https://www.google.com/maps/search/?api=1&query=%E3%81%8B%E3%81%A3%E3%81%B1%20%E5%B2%A1%E5%B1%B1%E7%9C%8C%E5%80%89%E6%95%B7%E5%B8%82%E9%98%BF%E7%9F%A52-17-2,34.5994022,133.7690709,2018 | 2019 | 2021 | 2024,とんかつ | 食堂,tonkatsu | shokudo,発表日：2021年4月13日 | 発表日：2024年9月25日
食堂なまえ,福島県喜多方市字永久7693-3,食べログ 百名店: 2020 | 2021 | 2024 / ラーメン EAST | 食堂,https://tabelog.com/fukushima/A0706/A070601/7000006/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E9%A3%9F%E5%A0%82%E3%81%AA%E3%81%BE%E3%81%88%20%E7%A6%8F%E5%B3%B6%E7%9C%8C%E5%96%9C%E5%A4%9A%E6%96%B9%E5%B8%82%E5%AD%97%E6%B0%B8%E4%B9%857693-3,37.6458027,139.8731472,2020 | 2021 | 2024,ラーメン EAST | 食堂,ramen_east | shokudo,発表日：2021年11月24日 | 発表日：2024年9月25日
炭焼き かどた/お料理すゞ㐂,東京都渋谷区恵比寿西1-1-2 しんみつビル B1F,食べログ 百名店: 2021 | 2024 / 日本料理 TOKYO | 食堂,https://tabelog.com/tokyo/A1303/A130302/13016622/,https://tabelog.com/tokyo/A1303/A130302/13016622/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E7%82%AD%E7%84%BC%E3%81%8D%20%E3%81%8B%E3%81%A9%E3%81%9F/%E3%81%8A%E6%96%99%E7%90%86%E3%81%99%E3%82%9E%E3%90%82%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E6%81%B5%E6%AF%94%E5%AF%BF%E8%A5%BF1-1-2%20%E3%81%97%E3%82%93%E3%81%BF%E3%81%A4%E3%83%93%E3%83%AB%20B1F,35.6479182,139.7092065,2021 | 2024,日本料理 TOKYO | 食堂,japanese_tokyo | shokudo,発表日：2021年4月1日 | 発表日：2024年9月25日
まるやま食堂,東京都大田区蒲田5-2-7 渡辺ビル　1F,食べログ 百名店: 2021 | 2024 / とんかつ | 食堂,https://tabelog.com/tokyo/A1315/A131503/13119166/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%81%BE%E3%82%8B%E3%82%84%E3%81%BE%E9%A3%9F%E5%A0%82%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%A4%A7%E7%94%B0%E5%8C%BA%E8%92%B2%E7%94%B05-2-7%20%E6%B8%A1%E8%BE%BA%E3%83%93%E3%83%AB%E3%80%801F,35.5639549,139.7171302,2021 | 2024,とんかつ | 食堂,tonkatsu | shokudo,発表日：2021年4月13日 | 発表日：2024年9月25日
定食 めし屋,北海道札幌市中央区北11条西22-1-26 卸売りセンター 1F,食べログ 百名店: 2024 / 食堂,https://tabelog.com/hokkaido/A0101/A010105/1009451/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E5%AE%9A%E9%A3%9F%20%E3%82%81%E3%81%97%E5%B1%8B%20%E5%8C%97%E6%B5%B7%E9%81%93%E6%9C%AD%E5%B9%8C%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%8C%9711%E6%9D%A1%E8%A5%BF22-1-26%20%E5%8D%B8%E5%A3%B2%E3%82%8A%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%201F,43.0704961,141.3203258,2024,食堂,shokudo,発表日：2024年9月25日
くしろ港町 釧ちゃん食堂 くしろ水産センター店,北海道釧路市浜町3-18 くしろ水産センター 1F,食べログ 百名店: 2024 / 食堂,https://tabelog.com/hokkaido/A0112/A011201/1051822/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%81%8F%E3%81%97%E3%82%8D%E6%B8%AF%E7%94%BA%20%E9%87%A7%E3%81%A1%E3%82%83%E3%82%93%E9%A3%9F%E5%A0%82%20%E3%81%8F%E3%81%97%E3%82%8D%E6%B0%B4%E7%94%A3%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%E5%BA%97%20%E5%8C%97%E6%B5%B7%E9%81%93%E9%87%A7%E8%B7%AF%E5%B8%82%E6%B5%9C%E7%94%BA3-18%20%E3%81%8F%E3%81%97%E3%82%8D%E6%B0%B4%E7%94%A3%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%201F,42.9897965,144.3648116,2024,食堂,shokudo,発表日：2024年9月25日
菱田屋,東京都目黒区駒場1-27-12,食べログ 百名店: 2024 / 食堂,https://tabelog.com/tokyo/A1318/A131801/13010480/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E8%8F%B1%E7%94%B0%E5%B1%8B%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E7%9B%AE%E9%BB%92%E5%8C%BA%E9%A7%92%E5%A0%B41-27-12,35.6576359,139.6858636,2024,食堂,shokudo,発表日：2024年9月25日
いまきん食堂,熊本県阿蘇市内牧366-2,食べログ 百名店: 2024 / 食堂,https://tabelog.com/kumamoto/A4302/A430201/43004788/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%81%84%E3%81%BE%E3%81%8D%E3%82%93%E9%A3%9F%E5%A0%82%20%E7%86%8A%E6%9C%AC%E7%9C%8C%E9%98%BF%E8%98%87%E5%B8%82%E5%86%85%E7%89%A7366-2,32.9749350,131.0392031,2024,食堂,shokudo,発表日：2024年9月25日
