Name,Address,Description,Website,Tabelog Reservation URL,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
玉笑,東京都渋谷区神宮前5-23-3,食べログ 百名店: 2024 | 2025 / そば EAST,https://tabelog.com/tokyo/A1306/A130601/13129390/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E7%8E%89%E7%AC%91%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%A5%9E%E5%AE%AE%E5%89%8D5-23-3,35.6644489,139.7046843,2024 | 2025,そば EAST,soba_east,発表日：2024年4月9日 | 発表日：2025年7月23日
おそばの甲賀,東京都港区西麻布2-14-5,食べログ 百名店: 2024 | 2025 / そば EAST,https://tabelog.com/tokyo/A1307/A130701/13047594/,https://tabelog.com/tokyo/A1307/A130701/13047594/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E3%81%8A%E3%81%9D%E3%81%B0%E3%81%AE%E7%94%B2%E8%B3%80%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E8%A5%BF%E9%BA%BB%E5%B8%832-14-5,35.6600511,139.7227797,2024 | 2025,そば EAST,soba_east,発表日：2024年4月9日 | 発表日：2025年7月23日
西荻窪 鞍馬,東京都杉並区西荻南3-10-1,食べログ 百名店: 2024 / そば EAST,https://tabelog.com/tokyo/A1319/A131907/13000716/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E8%A5%BF%E8%8D%BB%E7%AA%AA%20%E9%9E%8D%E9%A6%AC%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%9D%89%E4%B8%A6%E5%8C%BA%E8%A5%BF%E8%8D%BB%E5%8D%973-10-1,35.7030140,139.5997085,2024,そば EAST,soba_east,発表日：2024年4月9日
玄水,愛知県名古屋市中区錦3-11-15 錦101ビル 1F,食べログ 百名店: 2024 | 2025 / そば EAST,https://tabelog.com/aichi/A2301/A230103/23074368/,https://tabelog.com/aichi/A2301/A230103/23074368/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E7%8E%84%E6%B0%B4%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E4%B8%AD%E5%8C%BA%E9%8C%A63-11-15%20%E9%8C%A6101%E3%83%93%E3%83%AB%201F,35.1709018,136.9029649,2024 | 2025,そば EAST,soba_east,発表日：2024年4月9日 | 発表日：2025年7月23日
蕎麦彩膳 隆仙坊,福島県郡山市清水台2-6-5,食べログ 百名店: 2024 | 2025 / そば EAST,https://tabelog.com/fukushima/A0702/A070201/7001027/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E8%95%8E%E9%BA%A6%E5%BD%A9%E8%86%B3%20%E9%9A%86%E4%BB%99%E5%9D%8A%20%E7%A6%8F%E5%B3%B6%E7%9C%8C%E9%83%A1%E5%B1%B1%E5%B8%82%E6%B8%85%E6%B0%B4%E5%8F%B02-6-5,37.4001569,140.3813301,2024 | 2025,そば EAST,soba_east,発表日：2024年4月9日 | 発表日：2025年7月23日
慈久庵,茨城県常陸太田市天下野町2162,食べログ 百名店: 2024 | 2025 / そば EAST,https://tabelog.com/ibaraki/A0805/A080502/8000227/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E6%85%88%E4%B9%85%E5%BA%B5%20%E8%8C%A8%E5%9F%8E%E7%9C%8C%E5%B8%B8%E9%99%B8%E5%A4%AA%E7%94%B0%E5%B8%82%E5%A4%A9%E4%B8%8B%E9%87%8E%E7%94%BA2162,36.6823334,140.4706056,2024 | 2025,そば EAST,soba_east,発表日：2024年4月9日 | 発表日：2025年7月23日
軽井沢 川上庵 本店,長野県北佐久郡軽井沢町軽井沢6-10,食べログ 百名店: 2024 | 2025 / そば EAST,https://tabelog.com/nagano/A2003/A200301/20000161/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E8%BB%BD%E4%BA%95%E6%B2%A2%20%E5%B7%9D%E4%B8%8A%E5%BA%B5%20%E6%9C%AC%E5%BA%97%20%E9%95%B7%E9%87%8E%E7%9C%8C%E5%8C%97%E4%BD%90%E4%B9%85%E9%83%A1%E8%BB%BD%E4%BA%95%E6%B2%A2%E7%94%BA%E8%BB%BD%E4%BA%95%E6%B2%A26-10,36.3562699,138.6338256,2024 | 2025,そば EAST,soba_east,発表日：2024年4月9日 | 発表日：2025年7月23日
木挽庵,茨城県ひたちなか市東石川3069-14,食べログ 百名店: 2024 | 2025 / そば EAST,https://tabelog.com/ibaraki/A0801/A080102/8000290/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E6%9C%A8%E6%8C%BD%E5%BA%B5%20%E8%8C%A8%E5%9F%8E%E7%9C%8C%E3%81%B2%E3%81%9F%E3%81%A1%E3%81%AA%E3%81%8B%E5%B8%82%E6%9D%B1%E7%9F%B3%E5%B7%9D3069-14,36.4149166,140.5293093,2024 | 2025,そば EAST,soba_east,発表日：2024年4月9日 | 発表日：2025年7月23日
そばの実,長野県長野市戸隠3510-25,食べログ 百名店: 2024 | 2025 / そば EAST,https://tabelog.com/nagano/A2001/A200101/20001575/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%81%9D%E3%81%B0%E3%81%AE%E5%AE%9F%20%E9%95%B7%E9%87%8E%E7%9C%8C%E9%95%B7%E9%87%8E%E5%B8%82%E6%88%B8%E9%9A%A03510-25,36.7471439,138.0774323,2024 | 2025,そば EAST,soba_east,発表日：2024年4月9日 | 発表日：2025年7月23日
竹やぶ 箱根店,神奈川県足柄下郡箱根町元箱根160-80,食べログ 百名店: 2024 | 2025 / そば EAST,https://tabelog.com/kanagawa/A1410/A141001/14001257/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E7%AB%B9%E3%82%84%E3%81%B6%20%E7%AE%B1%E6%A0%B9%E5%BA%97%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E8%B6%B3%E6%9F%84%E4%B8%8B%E9%83%A1%E7%AE%B1%E6%A0%B9%E7%94%BA%E5%85%83%E7%AE%B1%E6%A0%B9160-80,35.2419178,139.0041729,2024 | 2025,そば EAST,soba_east,発表日：2024年4月9日 | 発表日：2025年7月23日
