Name,Address,Description,Website,Tabelog Reservation URL,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
鮨庵さいとう 本店,静岡県沼津市春日町47-2,食べログ 百名店: 2021 / 寿司 EAST,https://tabelog.com/shizuoka/A2205/A220501/22007587/,,https://www.google.com/maps/search/?api=1&query=%E9%AE%A8%E5%BA%B5%E3%81%95%E3%81%84%E3%81%A8%E3%81%86%20%E6%9C%AC%E5%BA%97%20%E9%9D%99%E5%B2%A1%E7%9C%8C%E6%B2%BC%E6%B4%A5%E5%B8%82%E6%98%A5%E6%97%A5%E7%94%BA47-2,35.0834392,138.8587264,2021,寿司 EAST,sushi_east,発表日：2021年6月3日
鮨 田なべ,北海道札幌市中央区北4条西6丁目3-3 六花亭ビル 9F,食べログ 百名店: 2021 / 寿司 EAST,https://tabelog.com/hokkaido/A0101/A010101/1049393/,,https://www.google.com/maps/search/?api=1&query=%E9%AE%A8%20%E7%94%B0%E3%81%AA%E3%81%B9%20%E5%8C%97%E6%B5%B7%E9%81%93%E6%9C%AD%E5%B9%8C%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%8C%974%E6%9D%A1%E8%A5%BF6%E4%B8%81%E7%9B%AE3-3%20%E5%85%AD%E8%8A%B1%E4%BA%AD%E3%83%93%E3%83%AB%209F,43.0660091,141.3466444,2021,寿司 EAST,sushi_east,発表日：2021年6月3日
鎌倉 以ず美 鎌倉店,神奈川県鎌倉市長谷2-17-18,食べログ 百名店: 2021 / 寿司 EAST,https://tabelog.com/kanagawa/A1404/A140402/14000211/,https://tabelog.com/kanagawa/A1404/A140402/14000211/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E9%8E%8C%E5%80%89%20%E4%BB%A5%E3%81%9A%E7%BE%8E%20%E9%8E%8C%E5%80%89%E5%BA%97%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E9%8E%8C%E5%80%89%E5%B8%82%E9%95%B7%E8%B0%B72-17-18,35.3104181,139.5360908,2021,寿司 EAST,sushi_east,発表日：2021年6月3日
伊勢鮨,北海道小樽市稲穂3-15-3,食べログ 百名店: 2021 | 2025 / 寿司 EAST,https://tabelog.com/hokkaido/A0106/A010601/1000008/,,https://www.google.com/maps/search/?api=1&query=%E4%BC%8A%E5%8B%A2%E9%AE%A8%20%E5%8C%97%E6%B5%B7%E9%81%93%E5%B0%8F%E6%A8%BD%E5%B8%82%E7%A8%B2%E7%A9%823-15-3,43.2006405,140.9954090,2021 | 2025,寿司 EAST,sushi_east,発表日：2021年6月3日 | 発表日：2025年2月26日
おたる政寿司 本店,北海道小樽市花園1-1-1,食べログ 百名店: 2021 / 寿司 EAST,https://tabelog.com/hokkaido/A0106/A010601/1000209/,https://tabelog.com/hokkaido/A0106/A010601/1000209/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E3%81%8A%E3%81%9F%E3%82%8B%E6%94%BF%E5%AF%BF%E5%8F%B8%20%E6%9C%AC%E5%BA%97%20%E5%8C%97%E6%B5%B7%E9%81%93%E5%B0%8F%E6%A8%BD%E5%B8%82%E8%8A%B1%E5%9C%921-1-1,43.1942819,141.0001230,2021,寿司 EAST,sushi_east,発表日：2021年6月3日
すし匠,秋田県秋田市大町3-2-36 赤れんが郷土館前,食べログ 百名店: 2021 | 2022 | 2025 / 寿司 EAST,https://tabelog.com/akita/A0501/A050101/5007025/,,https://www.google.com/maps/search/?api=1&query=%E3%81%99%E3%81%97%E5%8C%A0%20%E7%A7%8B%E7%94%B0%E7%9C%8C%E7%A7%8B%E7%94%B0%E5%B8%82%E5%A4%A7%E7%94%BA3-2-36%20%E8%B5%A4%E3%82%8C%E3%82%93%E3%81%8C%E9%83%B7%E5%9C%9F%E9%A4%A8%E5%89%8D,39.7164938,140.1161950,2021 | 2022 | 2025,寿司 EAST,sushi_east,発表日：2021年6月3日 | 発表日：2022年6月28日 | 発表日：2025年2月26日
すし宮川,北海道札幌市中央区南一条西24-1-30 円山OCT BLD 1F,食べログ 百名店: 2021 | 2022 / 寿司 EAST,https://tabelog.com/hokkaido/A0101/A010105/1046463/,,https://www.google.com/maps/search/?api=1&query=%E3%81%99%E3%81%97%E5%AE%AE%E5%B7%9D%20%E5%8C%97%E6%B5%B7%E9%81%93%E6%9C%AD%E5%B9%8C%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%8D%97%E4%B8%80%E6%9D%A1%E8%A5%BF24-1-30%20%E5%86%86%E5%B1%B1OCT%20BLD%201F,43.0557479,141.3212315,2021 | 2022,寿司 EAST,sushi_east,発表日：2021年6月3日 | 発表日：2022年6月28日
寿司英,愛知県名古屋市港区港楽3-5-21,食べログ 百名店: 2021 / 寿司 EAST,https://tabelog.com/aichi/A2301/A230112/23014395/,https://tabelog.com/aichi/A2301/A230112/23014395/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E5%AF%BF%E5%8F%B8%E8%8B%B1%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E6%B8%AF%E5%8C%BA%E6%B8%AF%E6%A5%BD3-5-21,35.1006858,136.8842954,2021,寿司 EAST,sushi_east,発表日：2021年6月3日
小判寿司,宮城県仙台市青葉区一番町2-3-41 文化横丁,食べログ 百名店: 2021 | 2022 | 2025 / 寿司 EAST,https://tabelog.com/miyagi/A0401/A040101/4000197/,,https://www.google.com/maps/search/?api=1&query=%E5%B0%8F%E5%88%A4%E5%AF%BF%E5%8F%B8%20%E5%AE%AE%E5%9F%8E%E7%9C%8C%E4%BB%99%E5%8F%B0%E5%B8%82%E9%9D%92%E8%91%89%E5%8C%BA%E4%B8%80%E7%95%AA%E7%94%BA2-3-41%20%E6%96%87%E5%8C%96%E6%A8%AA%E4%B8%81,38.2591576,140.8734866,2021 | 2022 | 2025,寿司 EAST,sushi_east,発表日：2021年6月3日 | 発表日：2022年6月28日 | 発表日：2025年2月26日
鮨駒,秋田県由利本荘市桶屋町120,食べログ 百名店: 2021 | 2022 | 2025 / 寿司 EAST,https://tabelog.com/akita/A0506/A050601/5006041/,,https://www.google.com/maps/search/?api=1&query=%E9%AE%A8%E9%A7%92%20%E7%A7%8B%E7%94%B0%E7%9C%8C%E7%94%B1%E5%88%A9%E6%9C%AC%E8%8D%98%E5%B8%82%E6%A1%B6%E5%B1%8B%E7%94%BA120,39.3927228,140.0475617,2021 | 2022 | 2025,寿司 EAST,sushi_east,発表日：2021年6月3日 | 発表日：2022年6月28日 | 発表日：2025年2月26日
