Name,Address,Description,Website,Tabelog Reservation URL,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
横浜野田岩,神奈川県横浜市西区北幸2-13-9,食べログ 百名店: 2018 | 2019 / うなぎ,https://tabelog.com/kanagawa/A1401/A140101/14000651/,,https://www.google.com/maps/search/?api=1&query=%E6%A8%AA%E6%B5%9C%E9%87%8E%E7%94%B0%E5%B2%A9%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E6%A8%AA%E6%B5%9C%E5%B8%82%E8%A5%BF%E5%8C%BA%E5%8C%97%E5%B9%B82-13-9,35.4650649,139.6140223,2018 | 2019,うなぎ,unagi,
若松屋,福岡県柳川市沖端町26,食べログ 百名店: 2018 | 2019 / うなぎ,https://tabelog.com/fukuoka/A4008/A400806/40000145/,,https://www.google.com/maps/search/?api=1&query=%E8%8B%A5%E6%9D%BE%E5%B1%8B%20%E7%A6%8F%E5%B2%A1%E7%9C%8C%E6%9F%B3%E5%B7%9D%E5%B8%82%E6%B2%96%E7%AB%AF%E7%94%BA26,33.1584538,130.3960695,2018 | 2019,うなぎ,unagi,
辻屋,岐阜県関市本町5-14,食べログ 百名店: 2018 | 2019 | 2022 | 2024 / うなぎ,https://tabelog.com/gifu/A2102/A210204/21000002/,,https://www.google.com/maps/search/?api=1&query=%E8%BE%BB%E5%B1%8B%20%E5%B2%90%E9%98%9C%E7%9C%8C%E9%96%A2%E5%B8%82%E6%9C%AC%E7%94%BA5-14,35.4861356,136.9154952,2018 | 2019 | 2022 | 2024,うなぎ,unagi,発表日：2022年7月12日 | 発表日：2024年7月9日
かん吉 清水店,静岡県静岡市清水区御門台3-10,食べログ 百名店: 2018 | 2019 / うなぎ,https://tabelog.com/shizuoka/A2201/A220102/22015652/,,https://www.google.com/maps/search/?api=1&query=%E3%81%8B%E3%82%93%E5%90%89%20%E6%B8%85%E6%B0%B4%E5%BA%97%20%E9%9D%99%E5%B2%A1%E7%9C%8C%E9%9D%99%E5%B2%A1%E5%B8%82%E6%B8%85%E6%B0%B4%E5%8C%BA%E5%BE%A1%E9%96%80%E5%8F%B03-10,35.0069793,138.4559529,2018 | 2019,うなぎ,unagi,
五代目 野田岩 麻布飯倉本店,東京都港区東麻布1-5-4,食べログ 百名店: 2018 | 2019 | 2022 | 2024 / うなぎ,https://tabelog.com/tokyo/A1314/A131401/13002789/,,https://www.google.com/maps/search/?api=1&query=%E4%BA%94%E4%BB%A3%E7%9B%AE%20%E9%87%8E%E7%94%B0%E5%B2%A9%20%E9%BA%BB%E5%B8%83%E9%A3%AF%E5%80%89%E6%9C%AC%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E6%9D%B1%E9%BA%BB%E5%B8%831-5-4,35.6581323,139.7433803,2018 | 2019 | 2022 | 2024,うなぎ,unagi,発表日：2022年7月12日 | 発表日：2024年7月9日
黒崎 田舎庵 日日屋,福岡県北九州市八幡西区黒崎4丁目1-22,食べログ 百名店: 2018 | 2019 | 2022 | 2024 / うなぎ,https://tabelog.com/fukuoka/A4004/A400404/40001099/,,https://www.google.com/maps/search/?api=1&query=%E9%BB%92%E5%B4%8E%20%E7%94%B0%E8%88%8E%E5%BA%B5%20%E6%97%A5%E6%97%A5%E5%B1%8B%20%E7%A6%8F%E5%B2%A1%E7%9C%8C%E5%8C%97%E4%B9%9D%E5%B7%9E%E5%B8%82%E5%85%AB%E5%B9%A1%E8%A5%BF%E5%8C%BA%E9%BB%92%E5%B4%8E4%E4%B8%81%E7%9B%AE1-22,33.8642525,130.7655593,2018 | 2019 | 2022 | 2024,うなぎ,unagi,発表日：2022年7月12日 | 発表日：2024年7月9日
さくめ,静岡県浜松市浜名区三ケ日町佐久米724-1,食べログ 百名店: 2018 | 2019 | 2022 | 2024 / うなぎ,https://tabelog.com/shizuoka/A2202/A220201/22011080/,,https://www.google.com/maps/search/?api=1&query=%E3%81%95%E3%81%8F%E3%82%81%20%E9%9D%99%E5%B2%A1%E7%9C%8C%E6%B5%9C%E6%9D%BE%E5%B8%82%E6%B5%9C%E5%90%8D%E5%8C%BA%E4%B8%89%E3%82%B1%E6%97%A5%E7%94%BA%E4%BD%90%E4%B9%85%E7%B1%B3724-1,34.7896069,137.5996069,2018 | 2019 | 2022 | 2024,うなぎ,unagi,発表日：2022年7月12日 | 発表日：2024年7月9日
稲毛屋,東京都文京区千駄木3-49-4,食べログ 百名店: 2018 | 2019 / うなぎ,https://tabelog.com/tokyo/A1311/A131105/13024475/,https://tabelog.com/tokyo/A1311/A131105/13024475/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E7%A8%B2%E6%AF%9B%E5%B1%8B%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%87%E4%BA%AC%E5%8C%BA%E5%8D%83%E9%A7%84%E6%9C%A83-49-4,35.7302772,139.7620398,2018 | 2019,うなぎ,unagi,
駿河屋,千葉県成田市仲町359,食べログ 百名店: 2018 | 2019 | 2022 | 2024 / うなぎ,https://tabelog.com/chiba/A1204/A120401/12006496/,,https://www.google.com/maps/search/?api=1&query=%E9%A7%BF%E6%B2%B3%E5%B1%8B%20%E5%8D%83%E8%91%89%E7%9C%8C%E6%88%90%E7%94%B0%E5%B8%82%E4%BB%B2%E7%94%BA359,35.7846345,140.3172932,2018 | 2019 | 2022 | 2024,うなぎ,unagi,発表日：2022年7月12日 | 発表日：2024年7月9日
田舎庵 小倉本店,福岡県北九州市小倉北区鍛冶町1-1-13,食べログ 百名店: 2018 | 2019 | 2022 | 2024 / うなぎ,https://tabelog.com/fukuoka/A4004/A400401/40000419/,,https://www.google.com/maps/search/?api=1&query=%E7%94%B0%E8%88%8E%E5%BA%B5%20%E5%B0%8F%E5%80%89%E6%9C%AC%E5%BA%97%20%E7%A6%8F%E5%B2%A1%E7%9C%8C%E5%8C%97%E4%B9%9D%E5%B7%9E%E5%B8%82%E5%B0%8F%E5%80%89%E5%8C%97%E5%8C%BA%E9%8D%9B%E5%86%B6%E7%94%BA1-1-13,33.8835175,130.8817781,2018 | 2019 | 2022 | 2024,うなぎ,unagi,発表日：2022年7月12日 | 発表日：2024年7月9日
川豊 本店,千葉県成田市仲町386,食べログ 百名店: 2018 / うなぎ,https://tabelog.com/chiba/A1204/A120401/12000709/,,https://www.google.com/maps/search/?api=1&query=%E5%B7%9D%E8%B1%8A%20%E6%9C%AC%E5%BA%97%20%E5%8D%83%E8%91%89%E7%9C%8C%E6%88%90%E7%94%B0%E5%B8%82%E4%BB%B2%E7%94%BA386,35.7833971,140.3167339,2018,うなぎ,unagi,
炭焼うなぎ 加茂,静岡県浜松市浜名区三ヶ日町都筑791-8,食べログ 百名店: 2018 | 2019 | 2022 | 2024 / うなぎ,https://tabelog.com/shizuoka/A2202/A220201/22008615/,,https://www.google.com/maps/search/?api=1&query=%E7%82%AD%E7%84%BC%E3%81%86%E3%81%AA%E3%81%8E%20%E5%8A%A0%E8%8C%82%20%E9%9D%99%E5%B2%A1%E7%9C%8C%E6%B5%9C%E6%9D%BE%E5%B8%82%E6%B5%9C%E5%90%8D%E5%8C%BA%E4%B8%89%E3%83%B6%E6%97%A5%E7%94%BA%E9%83%BD%E7%AD%91791-8,34.7911566,137.5848141,2018 | 2019 | 2022 | 2024,うなぎ,unagi,発表日：2022年7月12日 | 発表日：2024年7月9日
わらじや,京都府京都市東山区西之門町555,食べログ 百名店: 2018 | 2019 | 2024 / うなぎ,https://tabelog.com/kyoto/A2601/A260304/26000406/,https://tabelog.com/kyoto/A2601/A260304/26000406/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E3%82%8F%E3%82%89%E3%81%98%E3%82%84%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E6%9D%B1%E5%B1%B1%E5%8C%BA%E8%A5%BF%E4%B9%8B%E9%96%80%E7%94%BA555,34.9893677,135.7705214,2018 | 2019 | 2024,うなぎ,unagi,発表日：2024年7月9日
しげ吉,岐阜県関市山王通1-3-29,食べログ 百名店: 2018 | 2019 | 2022 | 2024 / うなぎ,https://tabelog.com/gifu/A2102/A210204/21000054/,,https://www.google.com/maps/search/?api=1&query=%E3%81%97%E3%81%92%E5%90%89%20%E5%B2%90%E9%98%9C%E7%9C%8C%E9%96%A2%E5%B8%82%E5%B1%B1%E7%8E%8B%E9%80%9A1-3-29,35.4873620,136.8987114,2018 | 2019 | 2022 | 2024,うなぎ,unagi,発表日：2022年7月12日 | 発表日：2024年7月9日
鰻 川淀,福岡県北九州市小倉北区魚町1-4-16,食べログ 百名店: 2018 | 2019 | 2022 / うなぎ,https://tabelog.com/fukuoka/A4004/A400401/40012535/,,https://www.google.com/maps/search/?api=1&query=%E9%B0%BB%20%E5%B7%9D%E6%B7%80%20%E7%A6%8F%E5%B2%A1%E7%9C%8C%E5%8C%97%E4%B9%9D%E5%B7%9E%E5%B8%82%E5%B0%8F%E5%80%89%E5%8C%97%E5%8C%BA%E9%AD%9A%E7%94%BA1-4-16,33.8846854,130.8806223,2018 | 2019 | 2022,うなぎ,unagi,発表日：2022年7月12日
清月,愛知県名古屋市東区徳川町2502 マルカネエクセレンス 1F,食べログ 百名店: 2018 | 2019 | 2022 | 2024 / うなぎ,https://tabelog.com/aichi/A2301/A230110/23050355/,,https://www.google.com/maps/search/?api=1&query=%E6%B8%85%E6%9C%88%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E6%9D%B1%E5%8C%BA%E5%BE%B3%E5%B7%9D%E7%94%BA2502%20%E3%83%9E%E3%83%AB%E3%82%AB%E3%83%8D%E3%82%A8%E3%82%AF%E3%82%BB%E3%83%AC%E3%83%B3%E3%82%B9%201F,35.1857601,136.9349554,2018 | 2019 | 2022 | 2024,うなぎ,unagi,発表日：2022年7月12日 | 発表日：2024年7月9日
うなぎ屋酒坊・画荘 越後屋,埼玉県所沢市小手指町4-21-22,食べログ 百名店: 2018 | 2019 | 2022 | 2024 / うなぎ,https://tabelog.com/saitama/A1106/A110601/11002889/,,https://www.google.com/maps/search/?api=1&query=%E3%81%86%E3%81%AA%E3%81%8E%E5%B1%8B%E9%85%92%E5%9D%8A%E3%83%BB%E7%94%BB%E8%8D%98%20%E8%B6%8A%E5%BE%8C%E5%B1%8B%20%E5%9F%BC%E7%8E%89%E7%9C%8C%E6%89%80%E6%B2%A2%E5%B8%82%E5%B0%8F%E6%89%8B%E6%8C%87%E7%94%BA4-21-22,35.7976739,139.4364412,2018 | 2019 | 2022 | 2024,うなぎ,unagi,発表日：2022年7月12日 | 発表日：2024年7月9日
祇をん う桶や う,京都府京都市東山区祇園西花見小路四条下ル,食べログ 百名店: 2018 | 2019 | 2022 / うなぎ,https://tabelog.com/kyoto/A2601/A260301/26001387/,,https://www.google.com/maps/search/?api=1&query=%E7%A5%87%E3%82%92%E3%82%93%20%E3%81%86%E6%A1%B6%E3%82%84%20%E3%81%86%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E6%9D%B1%E5%B1%B1%E5%8C%BA%E7%A5%87%E5%9C%92%E8%A5%BF%E8%8A%B1%E8%A6%8B%E5%B0%8F%E8%B7%AF%E5%9B%9B%E6%9D%A1%E4%B8%8B%E3%83%AB,35.0020976,135.7743708,2018 | 2019 | 2022,うなぎ,unagi,発表日：2022年7月12日
