Name,Address,Description,Website,Tabelog Reservation URL,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
あきたくらす,秋田県秋田市中通7-1-2 秋田駅ビル トピコ 2F,食べログ 百名店: 2025 / 立ち飲み,https://tabelog.com/akita/A0501/A050101/5008033/,,https://www.google.com/maps/search/?api=1&query=%E3%81%82%E3%81%8D%E3%81%9F%E3%81%8F%E3%82%89%E3%81%99%20%E7%A7%8B%E7%94%B0%E7%9C%8C%E7%A7%8B%E7%94%B0%E5%B8%82%E4%B8%AD%E9%80%9A7-1-2%20%E7%A7%8B%E7%94%B0%E9%A7%85%E3%83%93%E3%83%AB%20%E3%83%88%E3%83%94%E3%82%B3%202F,39.7168252,140.1293271,2025,立ち飲み,tachinomi,発表日：2025年9月17日
utage dotonbori,大阪府大阪市中央区道頓堀1-2-12 近松家ビル 1F,食べログ 百名店: 2025 / 立ち飲み,https://tabelog.com/osaka/A2701/A270202/27118722/,,https://www.google.com/maps/search/?api=1&query=utage%20dotonbori%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%81%93%E9%A0%93%E5%A0%801-2-12%20%E8%BF%91%E6%9D%BE%E5%AE%B6%E3%83%93%E3%83%AB%201F,34.6683598,135.5053659,2025,立ち飲み,tachinomi,発表日：2025年9月17日
三ツ屋スタンド,福岡県久留米市東町38-20,食べログ 百名店: 2025 / 立ち飲み,https://tabelog.com/fukuoka/A4008/A400801/40067575/,,https://www.google.com/maps/search/?api=1&query=%E4%B8%89%E3%83%84%E5%B1%8B%E3%82%B9%E3%82%BF%E3%83%B3%E3%83%89%20%E7%A6%8F%E5%B2%A1%E7%9C%8C%E4%B9%85%E7%95%99%E7%B1%B3%E5%B8%82%E6%9D%B1%E7%94%BA38-20,33.3129400,130.5205317,2025,立ち飲み,tachinomi,発表日：2025年9月17日
立ち飲み テッケン,大阪府大阪市浪速区難波中2-8-92,食べログ 百名店: 2025 / 立ち飲み,https://tabelog.com/osaka/A2701/A270202/27132839/,,https://www.google.com/maps/search/?api=1&query=%E7%AB%8B%E3%81%A1%E9%A3%B2%E3%81%BF%20%E3%83%86%E3%83%83%E3%82%B1%E3%83%B3%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E6%B5%AA%E9%80%9F%E5%8C%BA%E9%9B%A3%E6%B3%A2%E4%B8%AD2-8-92,34.6621781,135.5007166,2025,立ち飲み,tachinomi,発表日：2025年9月17日
アネロスタンド,大阪府大阪市北区天神橋5-8-9,食べログ 百名店: 2025 / 立ち飲み,https://tabelog.com/osaka/A2701/A270103/27132809/,,https://www.google.com/maps/search/?api=1&query=%E3%82%A2%E3%83%8D%E3%83%AD%E3%82%B9%E3%82%BF%E3%83%B3%E3%83%89%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E5%8C%97%E5%8C%BA%E5%A4%A9%E7%A5%9E%E6%A9%8B5-8-9,34.7082270,135.5110500,2025,立ち飲み,tachinomi,発表日：2025年9月17日
スタンド クラシック,兵庫県神戸市中央区北長狭通1-31-33,食べログ 百名店: 2025 / 立ち飲み,https://tabelog.com/hyogo/A2801/A280101/28048536/,,https://www.google.com/maps/search/?api=1&query=%E3%82%B9%E3%82%BF%E3%83%B3%E3%83%89%20%E3%82%AF%E3%83%A9%E3%82%B7%E3%83%83%E3%82%AF%20%E5%85%B5%E5%BA%AB%E7%9C%8C%E7%A5%9E%E6%88%B8%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%8C%97%E9%95%B7%E7%8B%AD%E9%80%9A1-31-33,34.6923860,135.1919803,2025,立ち飲み,tachinomi,発表日：2025年9月17日
スタンド 流転,大阪府大阪市北区浪花町3-6,食べログ 百名店: 2025 / 立ち飲み,https://tabelog.com/osaka/A2701/A270103/27145129/,https://tabelog.com/osaka/A2701/A270103/27145129/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E3%82%B9%E3%82%BF%E3%83%B3%E3%83%89%20%E6%B5%81%E8%BB%A2%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E5%8C%97%E5%8C%BA%E6%B5%AA%E8%8A%B1%E7%94%BA3-6,34.7071407,135.5103526,2025,立ち飲み,tachinomi,発表日：2025年9月17日
もつ焼き独歩 天満店,大阪府大阪市北区錦町3-12 アウロラBLD 1F,食べログ 百名店: 2025 / 立ち飲み,https://tabelog.com/osaka/A2701/A270103/27088273/,,https://www.google.com/maps/search/?api=1&query=%E3%82%82%E3%81%A4%E7%84%BC%E3%81%8D%E7%8B%AC%E6%AD%A9%20%E5%A4%A9%E6%BA%80%E5%BA%97%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E5%8C%97%E5%8C%BA%E9%8C%A6%E7%94%BA3-12%20%E3%82%A2%E3%82%A6%E3%83%AD%E3%83%A9BLD%201F,34.7051786,135.5121481,2025,立ち飲み,tachinomi,発表日：2025年9月17日
ヨコボリ,大阪府大阪市中央区東高麗橋5-3 高麗橋双葉ビル 1F,食べログ 百名店: 2025 / 立ち飲み,https://tabelog.com/osaka/A2701/A270102/27121081/,,https://www.google.com/maps/search/?api=1&query=%E3%83%A8%E3%82%B3%E3%83%9C%E3%83%AA%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E6%9D%B1%E9%AB%98%E9%BA%97%E6%A9%8B5-3%20%E9%AB%98%E9%BA%97%E6%A9%8B%E5%8F%8C%E8%91%89%E3%83%93%E3%83%AB%201F,34.6890641,135.5100491,2025,立ち飲み,tachinomi,発表日：2025年9月17日
高田揚揚,大阪府大阪市中央区難波千日前4-35,食べログ 百名店: 2025 / 立ち飲み,https://tabelog.com/osaka/A2701/A270202/27141657/,,https://www.google.com/maps/search/?api=1&query=%E9%AB%98%E7%94%B0%E6%8F%9A%E6%8F%9A%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%9B%A3%E6%B3%A2%E5%8D%83%E6%97%A5%E5%89%8D4-35,34.6644256,135.5051420,2025,立ち飲み,tachinomi,発表日：2025年9月17日
