Name,Address,Description,Website,Tabelog Reservation URL,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
てんぷら前平,東京都港区麻布十番2-8-16 ISIビル 4F,食べログ 百名店: 2022 | 2023 | 2025 / 天ぷら,https://tabelog.com/tokyo/A1307/A130702/13212060/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%81%A6%E3%82%93%E3%81%B7%E3%82%89%E5%89%8D%E5%B9%B3%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E9%BA%BB%E5%B8%83%E5%8D%81%E7%95%AA2-8-16%20ISI%E3%83%93%E3%83%AB%204F,35.6556345,139.7339052,2022 | 2023 | 2025,天ぷら,tempura,発表日：2022年4月12日 | 発表日：2023年5月10日 | 発表日：2025年3月11日
天ぷら 小泉,石川県金沢市池田町4-34,食べログ 百名店: 2022 | 2023 | 2025 / 天ぷら,https://tabelog.com/ishikawa/A1701/A170101/17009514/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E5%A4%A9%E3%81%B7%E3%82%89%20%E5%B0%8F%E6%B3%89%20%E7%9F%B3%E5%B7%9D%E7%9C%8C%E9%87%91%E6%B2%A2%E5%B8%82%E6%B1%A0%E7%94%B0%E7%94%BA4-34,36.5577697,136.6527680,2022 | 2023 | 2025,天ぷら,tempura,発表日：2022年4月12日 | 発表日：2023年5月10日 | 発表日：2025年3月11日
天ぷら 京星,京都府京都市東山区花見小路末吉町東入ル 双葉ビル 1F,食べログ 百名店: 2022 | 2023 | 2025 / 天ぷら,https://tabelog.com/kyoto/A2601/A260301/26006057/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E5%A4%A9%E3%81%B7%E3%82%89%20%E4%BA%AC%E6%98%9F%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E6%9D%B1%E5%B1%B1%E5%8C%BA%E8%8A%B1%E8%A6%8B%E5%B0%8F%E8%B7%AF%E6%9C%AB%E5%90%89%E7%94%BA%E6%9D%B1%E5%85%A5%E3%83%AB%20%E5%8F%8C%E8%91%89%E3%83%93%E3%83%AB%201F,35.0051289,135.7756621,2022 | 2023 | 2025,天ぷら,tempura,発表日：2022年4月12日 | 発表日：2023年5月10日 | 発表日：2025年3月11日
天ぷら　酒菜　醍醐,秋田県秋田市大町5丁目4-15 フェニックスビル1階,食べログ 百名店: 2022 / 天ぷら,https://tabelog.com/akita/A0501/A050101/5000837/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E5%A4%A9%E3%81%B7%E3%82%89%E3%80%80%E9%85%92%E8%8F%9C%E3%80%80%E9%86%8D%E9%86%90%20%E7%A7%8B%E7%94%B0%E7%9C%8C%E7%A7%8B%E7%94%B0%E5%B8%82%E5%A4%A7%E7%94%BA5%E4%B8%81%E7%9B%AE4-15%20%E3%83%95%E3%82%A7%E3%83%8B%E3%83%83%E3%82%AF%E3%82%B9%E3%83%93%E3%83%AB1%E9%9A%8E,39.7146429,140.1151825,2022,天ぷら,tempura,発表日：2022年4月12日
たきや,東京都港区麻布十番2-8-6 ラベイユ麻布十番 2F,食べログ 百名店: 2022 | 2023 | 2025 / 天ぷら,https://tabelog.com/tokyo/A1307/A130702/13185763/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%81%9F%E3%81%8D%E3%82%84%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E9%BA%BB%E5%B8%83%E5%8D%81%E7%95%AA2-8-6%20%E3%83%A9%E3%83%99%E3%82%A4%E3%83%A6%E9%BA%BB%E5%B8%83%E5%8D%81%E7%95%AA%202F,35.6556018,139.7347766,2022 | 2023 | 2025,天ぷら,tempura,発表日：2022年4月12日 | 発表日：2023年5月10日 | 発表日：2025年3月11日
天秀,東京都新宿区西新宿7-12-21,食べログ 百名店: 2022 / 天ぷら,https://tabelog.com/tokyo/A1304/A130401/13017455/,https://tabelog.com/tokyo/A1304/A130401/13017455/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E5%A4%A9%E7%A7%80%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E8%A5%BF%E6%96%B0%E5%AE%BF7-12-21,35.6940071,139.6971445,2022,天ぷら,tempura,発表日：2022年4月12日
にい留,愛知県名古屋市東区泉2-19-11 キャストビル泉 2F,食べログ 百名店: 2022 / 天ぷら,https://tabelog.com/aichi/A2301/A230104/23050337/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%81%AB%E3%81%84%E7%95%99%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E6%9D%B1%E5%8C%BA%E6%B3%892-19-11%20%E3%82%AD%E3%83%A3%E3%82%B9%E3%83%88%E3%83%93%E3%83%AB%E6%B3%89%202F,35.1762044,136.9175119,2022,天ぷら,tempura,発表日：2022年4月12日
てんぷら黒川,東京都中央区築地6-21-8,食べログ 百名店: 2022 | 2025 / 天ぷら,https://tabelog.com/tokyo/A1313/A131301/13002365/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%81%A6%E3%82%93%E3%81%B7%E3%82%89%E9%BB%92%E5%B7%9D%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E7%AF%89%E5%9C%B06-21-8,35.6646871,139.7720315,2022 | 2025,天ぷら,tempura,発表日：2022年4月12日 | 発表日：2025年3月11日
天婦羅処 京林泉,京都府京都市下京区烏丸通塩小路下ル JR京都駅中央口 ホテルグランヴィア京都 M3F,食べログ 百名店: 2022 | 2023 | 2025 / 天ぷら,https://tabelog.com/kyoto/A2601/A260101/26000484/,https://tabelog.com/kyoto/A2601/A260101/26000484/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E5%A4%A9%E5%A9%A6%E7%BE%85%E5%87%A6%20%E4%BA%AC%E6%9E%97%E6%B3%89%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E4%B8%8B%E4%BA%AC%E5%8C%BA%E7%83%8F%E4%B8%B8%E9%80%9A%E5%A1%A9%E5%B0%8F%E8%B7%AF%E4%B8%8B%E3%83%AB%20JR%E4%BA%AC%E9%83%BD%E9%A7%85%E4%B8%AD%E5%A4%AE%E5%8F%A3%20%E3%83%9B%E3%83%86%E3%83%AB%E3%82%B0%E3%83%A9%E3%83%B3%E3%83%B4%E3%82%A3%E3%82%A2%E4%BA%AC%E9%83%BD%20M3F,34.9858103,135.7593556,2022 | 2023 | 2025,天ぷら,tempura,発表日：2022年4月12日 | 発表日：2023年5月10日 | 発表日：2025年3月11日
天ぷら　安住,宮城県仙台市青葉区国分町2-12-20 都ビル 1Ｆ,食べログ 百名店: 2022 | 2023 | 2025 / 天ぷら,https://tabelog.com/miyagi/A0401/A040101/4010809/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E5%A4%A9%E3%81%B7%E3%82%89%E3%80%80%E5%AE%89%E4%BD%8F%20%E5%AE%AE%E5%9F%8E%E7%9C%8C%E4%BB%99%E5%8F%B0%E5%B8%82%E9%9D%92%E8%91%89%E5%8C%BA%E5%9B%BD%E5%88%86%E7%94%BA2-12-20%20%E9%83%BD%E3%83%93%E3%83%AB%201%EF%BC%A6,38.2647947,140.8681329,2022 | 2023 | 2025,天ぷら,tempura,発表日：2022年4月12日 | 発表日：2023年5月10日 | 発表日：2025年3月11日
