Name,Address,Description,Website,Tabelog Reservation URL,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
うなぎ 魚政,東京都葛飾区東四ツ木4-14-4,食べログ 百名店: 2018 | 2019 | 2022 | 2024 / うなぎ,https://tabelog.com/tokyo/A1324/A132403/13035339/,https://tabelog.com/tokyo/A1324/A132403/13035339/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E3%81%86%E3%81%AA%E3%81%8E%20%E9%AD%9A%E6%94%BF%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E8%91%9B%E9%A3%BE%E5%8C%BA%E6%9D%B1%E5%9B%9B%E3%83%84%E6%9C%A84-14-4,35.7320863,139.8355548,2018 | 2019 | 2022 | 2024,うなぎ,unagi,発表日：2022年7月12日 | 発表日：2024年7月9日
うなぎ処 鰻楽,宮崎県宮崎市塩路2300,食べログ 百名店: 2018 | 2022 / うなぎ,https://tabelog.com/miyazaki/A4501/A450101/45000830/,,https://www.google.com/maps/search/?api=1&query=%E3%81%86%E3%81%AA%E3%81%8E%E5%87%A6%20%E9%B0%BB%E6%A5%BD%20%E5%AE%AE%E5%B4%8E%E7%9C%8C%E5%AE%AE%E5%B4%8E%E5%B8%82%E5%A1%A9%E8%B7%AF2300,31.9894126,131.4729786,2018 | 2022,うなぎ,unagi,発表日：2022年7月12日
うなぎ 善,岩手県盛岡市菜園1-1-2,食べログ 百名店: 2018 | 2019 / うなぎ,https://tabelog.com/iwate/A0301/A030101/3000297/,,https://www.google.com/maps/search/?api=1&query=%E3%81%86%E3%81%AA%E3%81%8E%20%E5%96%84%20%E5%B2%A9%E6%89%8B%E7%9C%8C%E7%9B%9B%E5%B2%A1%E5%B8%82%E8%8F%9C%E5%9C%921-1-2,39.7005053,141.1492254,2018 | 2019,うなぎ,unagi,
御食事処 スズキ,神奈川県横浜市港北区篠原町2803,食べログ 百名店: 2018 | 2019 / うなぎ,https://tabelog.com/kanagawa/A1401/A140206/14010819/,,https://www.google.com/maps/search/?api=1&query=%E5%BE%A1%E9%A3%9F%E4%BA%8B%E5%87%A6%20%E3%82%B9%E3%82%BA%E3%82%AD%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E6%A8%AA%E6%B5%9C%E5%B8%82%E6%B8%AF%E5%8C%97%E5%8C%BA%E7%AF%A0%E5%8E%9F%E7%94%BA2803,35.5070852,139.6215557,2018 | 2019,うなぎ,unagi,
川よし,青森県青森市本町3-2-4,食べログ 百名店: 2018 | 2019 / うなぎ,https://tabelog.com/aomori/A0201/A020101/2000112/,,https://www.google.com/maps/search/?api=1&query=%E5%B7%9D%E3%82%88%E3%81%97%20%E9%9D%92%E6%A3%AE%E7%9C%8C%E9%9D%92%E6%A3%AE%E5%B8%82%E6%9C%AC%E7%94%BA3-2-4,40.8286279,140.7465820,2018 | 2019,うなぎ,unagi,
横浜野田岩,神奈川県横浜市西区北幸2-13-9,食べログ 百名店: 2018 | 2019 / うなぎ,https://tabelog.com/kanagawa/A1401/A140101/14000651/,,https://www.google.com/maps/search/?api=1&query=%E6%A8%AA%E6%B5%9C%E9%87%8E%E7%94%B0%E5%B2%A9%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E6%A8%AA%E6%B5%9C%E5%B8%82%E8%A5%BF%E5%8C%BA%E5%8C%97%E5%B9%B82-13-9,35.4650649,139.6140223,2018 | 2019,うなぎ,unagi,
しげ吉,岐阜県関市山王通1-3-29,食べログ 百名店: 2018 | 2019 | 2022 | 2024 / うなぎ,https://tabelog.com/gifu/A2102/A210204/21000054/,,https://www.google.com/maps/search/?api=1&query=%E3%81%97%E3%81%92%E5%90%89%20%E5%B2%90%E9%98%9C%E7%9C%8C%E9%96%A2%E5%B8%82%E5%B1%B1%E7%8E%8B%E9%80%9A1-3-29,35.4873620,136.8987114,2018 | 2019 | 2022 | 2024,うなぎ,unagi,発表日：2022年7月12日 | 発表日：2024年7月9日
入船,宮崎県西都市南方3316-3,食べログ 百名店: 2018 | 2019 | 2022 / うなぎ,https://tabelog.com/miyazaki/A4504/A450401/45000054/,,https://www.google.com/maps/search/?api=1&query=%E5%85%A5%E8%88%B9%20%E5%AE%AE%E5%B4%8E%E7%9C%8C%E8%A5%BF%E9%83%BD%E5%B8%82%E5%8D%97%E6%96%B93316-3,32.1304190,131.3940167,2018 | 2019 | 2022,うなぎ,unagi,発表日：2022年7月12日
小川家,静岡県下田市2-8-14,食べログ 百名店: 2018 | 2019 | 2022 / うなぎ,https://tabelog.com/shizuoka/A2205/A220503/22000059/,,https://www.google.com/maps/search/?api=1&query=%E5%B0%8F%E5%B7%9D%E5%AE%B6%20%E9%9D%99%E5%B2%A1%E7%9C%8C%E4%B8%8B%E7%94%B0%E5%B8%822-8-14,34.6726612,138.9449556,2018 | 2019 | 2022,うなぎ,unagi,発表日：2022年7月12日
一二三本店,東京都世田谷区若林4-24-15,食べログ 百名店: 2018 | 2019 | 2022 / うなぎ,https://tabelog.com/tokyo/A1317/A131709/13013099/,,https://www.google.com/maps/search/?api=1&query=%E4%B8%80%E4%BA%8C%E4%B8%89%E6%9C%AC%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E8%8B%A5%E6%9E%974-24-15,35.6452285,139.6553717,2018 | 2019 | 2022,うなぎ,unagi,発表日：2022年7月12日
はし本,東京都文京区水道2-5-7,食べログ 百名店: 2018 | 2019 | 2022 | 2024 / うなぎ,https://tabelog.com/tokyo/A1309/A130905/13018616/,,https://www.google.com/maps/search/?api=1&query=%E3%81%AF%E3%81%97%E6%9C%AC%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%87%E4%BA%AC%E5%8C%BA%E6%B0%B4%E9%81%932-5-7,35.7093662,139.7363541,2018 | 2019 | 2022 | 2024,うなぎ,unagi,発表日：2022年7月12日 | 発表日：2024年7月9日
上村うなぎ屋,熊本県人吉市紺屋町129,食べログ 百名店: 2018 | 2019 | 2022 | 2024 / うなぎ,https://tabelog.com/kumamoto/A4304/A430403/43000195/,,https://www.google.com/maps/search/?api=1&query=%E4%B8%8A%E6%9D%91%E3%81%86%E3%81%AA%E3%81%8E%E5%B1%8B%20%E7%86%8A%E6%9C%AC%E7%9C%8C%E4%BA%BA%E5%90%89%E5%B8%82%E7%B4%BA%E5%B1%8B%E7%94%BA129,32.2154112,130.7596697,2018 | 2019 | 2022 | 2024,うなぎ,unagi,発表日：2022年7月12日 | 発表日：2024年7月9日
駿河屋,千葉県成田市仲町359,食べログ 百名店: 2018 | 2019 | 2022 | 2024 / うなぎ,https://tabelog.com/chiba/A1204/A120401/12006496/,,https://www.google.com/maps/search/?api=1&query=%E9%A7%BF%E6%B2%B3%E5%B1%8B%20%E5%8D%83%E8%91%89%E7%9C%8C%E6%88%90%E7%94%B0%E5%B8%82%E4%BB%B2%E7%94%BA359,35.7846345,140.3172932,2018 | 2019 | 2022 | 2024,うなぎ,unagi,発表日：2022年7月12日 | 発表日：2024年7月9日
うな藤,東京都杉並区今川4-8-7 グリーンパレス,食べログ 百名店: 2018 | 2019 / うなぎ,https://tabelog.com/tokyo/A1321/A132105/13001126/,https://tabelog.com/tokyo/A1321/A132105/13001126/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E3%81%86%E3%81%AA%E8%97%A4%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%9D%89%E4%B8%A6%E5%8C%BA%E4%BB%8A%E5%B7%9D4-8-7%20%E3%82%B0%E3%83%AA%E3%83%BC%E3%83%B3%E3%83%91%E3%83%AC%E3%82%B9,35.7152906,139.5983102,2018 | 2019,うなぎ,unagi,
小満津,東京都杉並区和田3-62-3 １Ｆ,食べログ 百名店: 2018 | 2019 | 2022 | 2024 / うなぎ,https://tabelog.com/tokyo/A1319/A131904/13001079/,,https://www.google.com/maps/search/?api=1&query=%E5%B0%8F%E6%BA%80%E6%B4%A5%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%9D%89%E4%B8%A6%E5%8C%BA%E5%92%8C%E7%94%B03-62-3%20%EF%BC%91%EF%BC%A6,35.6973304,139.6614366,2018 | 2019 | 2022 | 2024,うなぎ,unagi,発表日：2022年7月12日 | 発表日：2024年7月9日
かぶと,東京都豊島区池袋2-53-2 池袋ESビル 1F,食べログ 百名店: 2018 | 2019 | 2022 | 2024 / うなぎ,https://tabelog.com/tokyo/A1305/A130501/13016660/,,https://www.google.com/maps/search/?api=1&query=%E3%81%8B%E3%81%B6%E3%81%A8%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E8%B1%8A%E5%B3%B6%E5%8C%BA%E6%B1%A0%E8%A2%8B2-53-2%20%E6%B1%A0%E8%A2%8BES%E3%83%93%E3%83%AB%201F,35.7337640,139.7090415,2018 | 2019 | 2022 | 2024,うなぎ,unagi,発表日：2022年7月12日 | 発表日：2024年7月9日
黒崎 田舎庵 日日屋,福岡県北九州市八幡西区黒崎4丁目1-22,食べログ 百名店: 2018 | 2019 | 2022 | 2024 / うなぎ,https://tabelog.com/fukuoka/A4004/A400404/40001099/,,https://www.google.com/maps/search/?api=1&query=%E9%BB%92%E5%B4%8E%20%E7%94%B0%E8%88%8E%E5%BA%B5%20%E6%97%A5%E6%97%A5%E5%B1%8B%20%E7%A6%8F%E5%B2%A1%E7%9C%8C%E5%8C%97%E4%B9%9D%E5%B7%9E%E5%B8%82%E5%85%AB%E5%B9%A1%E8%A5%BF%E5%8C%BA%E9%BB%92%E5%B4%8E4%E4%B8%81%E7%9B%AE1-22,33.8642525,130.7655593,2018 | 2019 | 2022 | 2024,うなぎ,unagi,発表日：2022年7月12日 | 発表日：2024年7月9日
あつた蓬莱軒 神宮店,愛知県名古屋市熱田区神宮2-10-26,食べログ 百名店: 2018 | 2019 | 2024 / うなぎ,https://tabelog.com/aichi/A2301/A230112/23000109/,,https://www.google.com/maps/search/?api=1&query=%E3%81%82%E3%81%A4%E3%81%9F%E8%93%AC%E8%8E%B1%E8%BB%92%20%E7%A5%9E%E5%AE%AE%E5%BA%97%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E7%86%B1%E7%94%B0%E5%8C%BA%E7%A5%9E%E5%AE%AE2-10-26,35.1222786,136.9085734,2018 | 2019 | 2024,うなぎ,unagi,発表日：2024年7月9日
