Name,Address,Description,Website,Tabelog Reservation URL,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
沼の家,北海道亀田郡七飯町字大沼町145,食べログ 百名店: 2019 | 2023 / スイーツ 百名店 EAST 2019 | 和菓子・甘味処 EAST,https://tabelog.com/hokkaido/A0105/A010502/1007020/,,https://www.google.com/maps/search/?api=1&query=%E6%B2%BC%E3%81%AE%E5%AE%B6%20%E5%8C%97%E6%B5%B7%E9%81%93%E4%BA%80%E7%94%B0%E9%83%A1%E4%B8%83%E9%A3%AF%E7%94%BA%E5%AD%97%E5%A4%A7%E6%B2%BC%E7%94%BA145,41.9816197,140.6706558,2019 | 2023,スイーツ 百名店 EAST 2019 | 和菓子・甘味処 EAST,sweets_east | wagashi_east,発表日：2023年8月29日
七福,岐阜県中津川市中津川3022-18,食べログ 百名店: 2019 | 2020 | 2022 | 2023 / スイーツ 百名店 EAST 2019 | スイーツ EAST | 和菓子・甘味処 EAST,https://tabelog.com/gifu/A2103/A210303/21000992/,,https://www.google.com/maps/search/?api=1&query=%E4%B8%83%E7%A6%8F%20%E5%B2%90%E9%98%9C%E7%9C%8C%E4%B8%AD%E6%B4%A5%E5%B7%9D%E5%B8%82%E4%B8%AD%E6%B4%A5%E5%B7%9D3022-18,35.4879052,137.5017983,2019 | 2020 | 2022 | 2023,スイーツ 百名店 EAST 2019 | スイーツ EAST | 和菓子・甘味処 EAST,sweets_east | wagashi_east,発表日：2022年10月20日 | 発表日：2023年8月29日
すや 西木,岐阜県中津川市中津川1296-1,食べログ 百名店: 2019 | 2020 | 2022 | 2023 / スイーツ 百名店 EAST 2019 | スイーツ EAST | 和菓子・甘味処 EAST,https://tabelog.com/gifu/A2103/A210303/21000352/,,https://www.google.com/maps/search/?api=1&query=%E3%81%99%E3%82%84%20%E8%A5%BF%E6%9C%A8%20%E5%B2%90%E9%98%9C%E7%9C%8C%E4%B8%AD%E6%B4%A5%E5%B7%9D%E5%B8%82%E4%B8%AD%E6%B4%A5%E5%B7%9D1296-1,35.4981501,137.5133698,2019 | 2020 | 2022 | 2023,スイーツ 百名店 EAST 2019 | スイーツ EAST | 和菓子・甘味処 EAST,sweets_east | wagashi_east,発表日：2022年10月20日 | 発表日：2023年8月29日
とらや工房,静岡県御殿場市東山1022-1,食べログ 百名店: 2019 | 2020 | 2022 | 2023 / スイーツ 百名店 EAST 2019 | スイーツ EAST | 和菓子・甘味処 EAST,https://tabelog.com/shizuoka/A2204/A220402/22004106/,,https://www.google.com/maps/search/?api=1&query=%E3%81%A8%E3%82%89%E3%82%84%E5%B7%A5%E6%88%BF%20%E9%9D%99%E5%B2%A1%E7%9C%8C%E5%BE%A1%E6%AE%BF%E5%A0%B4%E5%B8%82%E6%9D%B1%E5%B1%B11022-1,35.2953834,138.9599111,2019 | 2020 | 2022 | 2023,スイーツ 百名店 EAST 2019 | スイーツ EAST | 和菓子・甘味処 EAST,sweets_east | wagashi_east,発表日：2022年10月20日 | 発表日：2023年8月29日
腰掛庵,山形県天童市北目1-6-11,食べログ 百名店: 2019 | 2020 | 2022 | 2023 / スイーツ 百名店 EAST 2019 | スイーツ EAST | 和菓子・甘味処 EAST,https://tabelog.com/yamagata/A0605/A060501/6000084/,,https://www.google.com/maps/search/?api=1&query=%E8%85%B0%E6%8E%9B%E5%BA%B5%20%E5%B1%B1%E5%BD%A2%E7%9C%8C%E5%A4%A9%E7%AB%A5%E5%B8%82%E5%8C%97%E7%9B%AE1-6-11,38.3500289,140.3726954,2019 | 2020 | 2022 | 2023,スイーツ 百名店 EAST 2019 | スイーツ EAST | 和菓子・甘味処 EAST,sweets_east | wagashi_east,発表日：2022年10月20日 | 発表日：2023年8月29日
桔梗屋 本社,山梨県笛吹市一宮町坪井1928,食べログ 百名店: 2019 | 2020 | 2023 / スイーツ 百名店 EAST 2019 | スイーツ EAST | 和菓子・甘味処 EAST,https://tabelog.com/yamanashi/A1901/A190103/19000866/,,https://www.google.com/maps/search/?api=1&query=%E6%A1%94%E6%A2%97%E5%B1%8B%20%E6%9C%AC%E7%A4%BE%20%E5%B1%B1%E6%A2%A8%E7%9C%8C%E7%AC%9B%E5%90%B9%E5%B8%82%E4%B8%80%E5%AE%AE%E7%94%BA%E5%9D%AA%E4%BA%951928,35.6479270,138.6633646,2019 | 2020 | 2023,スイーツ 百名店 EAST 2019 | スイーツ EAST | 和菓子・甘味処 EAST,sweets_east | wagashi_east,発表日：2023年8月29日
覚王山 吉芋 名古屋駅店,愛知県名古屋市中村区名駅1-2-1 名鉄百貨店本店 B1F,食べログ 百名店: 2019 | 2020 | 2022 | 2023 / スイーツ 百名店 EAST 2019 | スイーツ EAST | 和菓子・甘味処 EAST,https://tabelog.com/aichi/A2301/A230101/23031418/,,https://www.google.com/maps/search/?api=1&query=%E8%A6%9A%E7%8E%8B%E5%B1%B1%20%E5%90%89%E8%8A%8B%20%E5%90%8D%E5%8F%A4%E5%B1%8B%E9%A7%85%E5%BA%97%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E4%B8%AD%E6%9D%91%E5%8C%BA%E5%90%8D%E9%A7%851-2-1%20%E5%90%8D%E9%89%84%E7%99%BE%E8%B2%A8%E5%BA%97%E6%9C%AC%E5%BA%97%20B1F,35.1696164,136.8840936,2019 | 2020 | 2022 | 2023,スイーツ 百名店 EAST 2019 | スイーツ EAST | 和菓子・甘味処 EAST,sweets_east | wagashi_east,発表日：2022年10月20日 | 発表日：2023年8月29日
納言志るこ店,神奈川県鎌倉市小町1-5-10,食べログ 百名店: 2019 | 2020 | 2022 | 2023 / スイーツ 百名店 EAST 2019 | スイーツ EAST | 和菓子・甘味処 EAST,https://tabelog.com/kanagawa/A1404/A140402/14001525/,,https://www.google.com/maps/search/?api=1&query=%E7%B4%8D%E8%A8%80%E5%BF%97%E3%82%8B%E3%81%93%E5%BA%97%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E9%8E%8C%E5%80%89%E5%B8%82%E5%B0%8F%E7%94%BA1-5-10,35.3196817,139.5516668,2019 | 2020 | 2022 | 2023,スイーツ 百名店 EAST 2019 | スイーツ EAST | 和菓子・甘味処 EAST,sweets_east | wagashi_east,発表日：2022年10月20日 | 発表日：2023年8月29日
ちもと 駅前通り店,神奈川県足柄下郡箱根町湯本690,食べログ 百名店: 2019 | 2020 | 2022 | 2023 / スイーツ 百名店 EAST 2019 | スイーツ EAST | 和菓子・甘味処 EAST,https://tabelog.com/kanagawa/A1410/A141001/14011112/,,https://www.google.com/maps/search/?api=1&query=%E3%81%A1%E3%82%82%E3%81%A8%20%E9%A7%85%E5%89%8D%E9%80%9A%E3%82%8A%E5%BA%97%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E8%B6%B3%E6%9F%84%E4%B8%8B%E9%83%A1%E7%AE%B1%E6%A0%B9%E7%94%BA%E6%B9%AF%E6%9C%AC690,35.2315625,139.1007160,2019 | 2020 | 2022 | 2023,スイーツ 百名店 EAST 2019 | スイーツ EAST | 和菓子・甘味処 EAST,sweets_east | wagashi_east,発表日：2022年10月20日 | 発表日：2023年8月29日
川上屋 本店,岐阜県中津川市本町3-1-8,食べログ 百名店: 2019 | 2020 | 2022 | 2023 / スイーツ 百名店 EAST 2019 | スイーツ EAST | 和菓子・甘味処 EAST,https://tabelog.com/gifu/A2103/A210303/21000034/,,https://www.google.com/maps/search/?api=1&query=%E5%B7%9D%E4%B8%8A%E5%B1%8B%20%E6%9C%AC%E5%BA%97%20%E5%B2%90%E9%98%9C%E7%9C%8C%E4%B8%AD%E6%B4%A5%E5%B7%9D%E5%B8%82%E6%9C%AC%E7%94%BA3-1-8,35.4945607,137.5007643,2019 | 2020 | 2022 | 2023,スイーツ 百名店 EAST 2019 | スイーツ EAST | 和菓子・甘味処 EAST,sweets_east | wagashi_east,発表日：2022年10月20日 | 発表日：2023年8月29日
