Name,Address,Description,Website,Tabelog Reservation URL,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
パルテノペ 恵比寿店,東京都渋谷区恵比寿1-22-20 恵比寿幸和ビル 1F,食べログ 百名店: 2017 | 2018 | 2019 | 2021 | 2025 / ピザ | イタリアン TOKYO,https://tabelog.com/tokyo/A1303/A130302/13005480/,https://tabelog.com/tokyo/A1303/A130302/13005480/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E3%83%91%E3%83%AB%E3%83%86%E3%83%8E%E3%83%9A%20%E6%81%B5%E6%AF%94%E5%AF%BF%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E6%81%B5%E6%AF%94%E5%AF%BF1-22-20%20%E6%81%B5%E6%AF%94%E5%AF%BF%E5%B9%B8%E5%92%8C%E3%83%93%E3%83%AB%201F,35.6461690,139.7139842,2017 | 2018 | 2019 | 2021 | 2025,ピザ | イタリアン TOKYO,pizza | italian_tokyo,発表日：2021年6月15日 | 発表日：2025年4月22日
トラットリア エ ピッツェリア アミーチ,茨城県つくば市手代木286-1,食べログ 百名店: 2018 | 2019 | 2021 | 2023 | 2025 / ピザ | イタリアン EAST,https://tabelog.com/ibaraki/A0802/A080201/8000842/,,https://www.google.com/maps/search/?api=1&query=%E3%83%88%E3%83%A9%E3%83%83%E3%83%88%E3%83%AA%E3%82%A2%20%E3%82%A8%20%E3%83%94%E3%83%83%E3%83%84%E3%82%A7%E3%83%AA%E3%82%A2%20%E3%82%A2%E3%83%9F%E3%83%BC%E3%83%81%20%E8%8C%A8%E5%9F%8E%E7%9C%8C%E3%81%A4%E3%81%8F%E3%81%B0%E5%B8%82%E6%89%8B%E4%BB%A3%E6%9C%A8286-1,36.0600676,140.1087196,2018 | 2019 | 2021 | 2023 | 2025,ピザ | イタリアン EAST,pizza | italian_east,発表日：2021年6月15日 | 発表日：2023年4月11日 | 発表日：2025年4月22日
ラ・バルカッチャ,大阪府大阪市北区豊崎3-5-17 1階,食べログ 百名店: 2018 | 2019 | 2021 | 2025 / ピザ | イタリアン WEST,https://tabelog.com/osaka/A2701/A270101/27054558/,,https://www.google.com/maps/search/?api=1&query=%E3%83%A9%E3%83%BB%E3%83%90%E3%83%AB%E3%82%AB%E3%83%83%E3%83%81%E3%83%A3%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E5%8C%97%E5%8C%BA%E8%B1%8A%E5%B4%8E3-5-17%201%E9%9A%8E,34.7111425,135.4994297,2018 | 2019 | 2021 | 2025,ピザ | イタリアン WEST,pizza | italian_west,発表日：2021年6月15日 | 発表日：2025年4月22日
ラ・ピッコラ・ターヴォラ,東京都杉並区永福4-2-4,食べログ 百名店: 2018 | 2019 | 2021 | 2023 | 2025 / ピザ | イタリアン TOKYO,https://tabelog.com/tokyo/A1318/A131805/13005575/,,https://www.google.com/maps/search/?api=1&query=%E3%83%A9%E3%83%BB%E3%83%94%E3%83%83%E3%82%B3%E3%83%A9%E3%83%BB%E3%82%BF%E3%83%BC%E3%83%B4%E3%82%A9%E3%83%A9%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%9D%89%E4%B8%A6%E5%8C%BA%E6%B0%B8%E7%A6%8F4-2-4,35.6769134,139.6435660,2018 | 2019 | 2021 | 2023 | 2025,ピザ | イタリアン TOKYO,pizza | italian_tokyo,発表日：2021年6月15日 | 発表日：2023年4月11日 | 発表日：2025年4月22日
トラットリア ピッツェリア ラルテ,東京都世田谷区三軒茶屋1-35-17 1Ｆ,食べログ 百名店: 2018 | 2019 | 2021 | 2023 | 2025 / ピザ | イタリアン TOKYO,https://tabelog.com/tokyo/A1317/A131706/13128533/,,https://www.google.com/maps/search/?api=1&query=%E3%83%88%E3%83%A9%E3%83%83%E3%83%88%E3%83%AA%E3%82%A2%20%E3%83%94%E3%83%83%E3%83%84%E3%82%A7%E3%83%AA%E3%82%A2%20%E3%83%A9%E3%83%AB%E3%83%86%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E4%B8%89%E8%BB%92%E8%8C%B6%E5%B1%8B1-35-17%201%EF%BC%A6,35.6430539,139.6724289,2018 | 2019 | 2021 | 2023 | 2025,ピザ | イタリアン TOKYO,pizza | italian_tokyo,発表日：2021年6月15日 | 発表日：2023年4月11日 | 発表日：2025年4月22日
タランテッラ ダ ルイジ,東京都港区白金3-22-2-1F,食べログ 百名店: 2018 | 2019 | 2021 | 2025 / ピザ | イタリアン TOKYO,https://tabelog.com/tokyo/A1316/A131602/13122166/,,https://www.google.com/maps/search/?api=1&query=%E3%82%BF%E3%83%A9%E3%83%B3%E3%83%86%E3%83%83%E3%83%A9%20%E3%83%80%20%E3%83%AB%E3%82%A4%E3%82%B8%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E7%99%BD%E9%87%913-22-2-1F,35.6446552,139.7312709,2018 | 2019 | 2021 | 2025,ピザ | イタリアン TOKYO,pizza | italian_tokyo,発表日：2021年6月15日 | 発表日：2025年4月22日
ヨーロッパ軒 総本店,福井県福井市順化1-7-4,食べログ 百名店: 2018 | 2025 / とんかつ | 洋食 WEST,https://tabelog.com/fukui/A1801/A180101/18000015/,,https://www.google.com/maps/search/?api=1&query=%E3%83%A8%E3%83%BC%E3%83%AD%E3%83%83%E3%83%91%E8%BB%92%20%E7%B7%8F%E6%9C%AC%E5%BA%97%20%E7%A6%8F%E4%BA%95%E7%9C%8C%E7%A6%8F%E4%BA%95%E5%B8%82%E9%A0%86%E5%8C%961-7-4,36.0640817,136.2147898,2018 | 2025,とんかつ | 洋食 WEST,tonkatsu | yoshoku_west,発表日：2025年6月24日
すゞ家 赤門店,愛知県名古屋市中区大須3-11-17,食べログ 百名店: 2018 | 2019 | 2021 | 2025 / とんかつ | 洋食 EAST,https://tabelog.com/aichi/A2301/A230105/23000039/,,https://www.google.com/maps/search/?api=1&query=%E3%81%99%E3%82%9E%E5%AE%B6%20%E8%B5%A4%E9%96%80%E5%BA%97%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E4%B8%AD%E5%8C%BA%E5%A4%A7%E9%A0%883-11-17,35.1606713,136.9051553,2018 | 2019 | 2021 | 2025,とんかつ | 洋食 EAST,tonkatsu | yoshoku_east,発表日：2021年4月13日 | 発表日：2025年6月24日
ぽん多本家,東京都台東区上野3-23-3,食べログ 百名店: 2018 | 2019 | 2021 | 2025 / とんかつ | 洋食 EAST,https://tabelog.com/tokyo/A1311/A131101/13003587/,,https://www.google.com/maps/search/?api=1&query=%E3%81%BD%E3%82%93%E5%A4%9A%E6%9C%AC%E5%AE%B6%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%8F%B0%E6%9D%B1%E5%8C%BA%E4%B8%8A%E9%87%8E3-23-3,35.7063511,139.7730123,2018 | 2019 | 2021 | 2025,とんかつ | 洋食 EAST,tonkatsu | yoshoku_east,発表日：2021年4月13日 | 発表日：2025年6月24日
IL PAPPALARDO,京都府京都市東山区妙法院前側町451-1,食べログ 百名店: 2019 | 2021 | 2025 / ピザ | イタリアン WEST,https://tabelog.com/kyoto/A2601/A260304/26001638/,,https://www.google.com/maps/search/?api=1&query=IL%20PAPPALARDO%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E6%9D%B1%E5%B1%B1%E5%8C%BA%E5%A6%99%E6%B3%95%E9%99%A2%E5%89%8D%E5%81%B4%E7%94%BA451-1,34.9894616,135.7753508,2019 | 2021 | 2025,ピザ | イタリアン WEST,pizza | italian_west,発表日：2021年6月15日 | 発表日：2025年4月22日
