Name,Address,Description,Website,Tabelog Reservation URL,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
益子,東京都港区新橋2-10-8 関口ビル　１Ｆ,食べログ 百名店: 2023 / 焼き鳥 EAST,https://tabelog.com/tokyo/A1301/A130103/13002213/,,https://www.google.com/maps/search/?api=1&query=%E7%9B%8A%E5%AD%90%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E6%96%B0%E6%A9%8B2-10-8%20%E9%96%A2%E5%8F%A3%E3%83%93%E3%83%AB%E3%80%80%EF%BC%91%EF%BC%A6,35.6670633,139.7555873,2023,焼き鳥 EAST,yakitori_east,発表日：2023年7月18日
串焼とこころ 克,新潟県新潟市中央区春日町7-21,食べログ 百名店: 2023 / 焼き鳥 EAST,https://tabelog.com/niigata/A1501/A150101/15002706/,,https://www.google.com/maps/search/?api=1&query=%E4%B8%B2%E7%84%BC%E3%81%A8%E3%81%93%E3%81%93%E3%82%8D%20%E5%85%8B%20%E6%96%B0%E6%BD%9F%E7%9C%8C%E6%96%B0%E6%BD%9F%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E6%98%A5%E6%97%A5%E7%94%BA7-21,37.9120722,139.0531463,2023,焼き鳥 EAST,yakitori_east,発表日：2023年7月18日
焼鳥・居酒屋 とり,岩手県盛岡市大通2-6-6 京藤ビル　Ｂ１Ｆ,食べログ 百名店: 2023 / 焼き鳥 EAST,https://tabelog.com/iwate/A0301/A030101/3000435/,,https://www.google.com/maps/search/?api=1&query=%E7%84%BC%E9%B3%A5%E3%83%BB%E5%B1%85%E9%85%92%E5%B1%8B%20%E3%81%A8%E3%82%8A%20%E5%B2%A9%E6%89%8B%E7%9C%8C%E7%9B%9B%E5%B2%A1%E5%B8%82%E5%A4%A7%E9%80%9A2-6-6%20%E4%BA%AC%E8%97%A4%E3%83%93%E3%83%AB%E3%80%80%EF%BC%A2%EF%BC%91%EF%BC%A6,39.7035321,141.1458088,2023,焼き鳥 EAST,yakitori_east,発表日：2023年7月18日
根津 焼鳥 照隅,東京都文京区根津1-1-21,食べログ 百名店: 2023 | 2024 | 2025 / 焼き鳥 EAST,https://tabelog.com/tokyo/A1311/A131106/13182104/,,https://www.google.com/maps/search/?api=1&query=%E6%A0%B9%E6%B4%A5%20%E7%84%BC%E9%B3%A5%20%E7%85%A7%E9%9A%85%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%87%E4%BA%AC%E5%8C%BA%E6%A0%B9%E6%B4%A51-1-21,35.7169500,139.7659637,2023 | 2024 | 2025,焼き鳥 EAST,yakitori_east,発表日：2023年7月18日 | 発表日：2024年11月6日 | 発表日：2025年11月11日
陽風水,福島県福島市大町2-18 石屋小路ビル　１Ｆ,食べログ 百名店: 2023 / 焼き鳥 EAST,https://tabelog.com/fukushima/A0701/A070101/7000600/,,https://www.google.com/maps/search/?api=1&query=%E9%99%BD%E9%A2%A8%E6%B0%B4%20%E7%A6%8F%E5%B3%B6%E7%9C%8C%E7%A6%8F%E5%B3%B6%E5%B8%82%E5%A4%A7%E7%94%BA2-18%20%E7%9F%B3%E5%B1%8B%E5%B0%8F%E8%B7%AF%E3%83%93%E3%83%AB%E3%80%80%EF%BC%91%EF%BC%A6,37.7549307,140.4670180,2023,焼き鳥 EAST,yakitori_east,発表日：2023年7月18日
鳥つる,愛知県名古屋市中村区那古野1-46-15,食べログ 百名店: 2023 | 2024 / 焼き鳥 EAST,https://tabelog.com/aichi/A2301/A230101/23059160/,,https://www.google.com/maps/search/?api=1&query=%E9%B3%A5%E3%81%A4%E3%82%8B%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E4%B8%AD%E6%9D%91%E5%8C%BA%E9%82%A3%E5%8F%A4%E9%87%8E1-46-15,35.1738874,136.8901364,2023 | 2024,焼き鳥 EAST,yakitori_east,発表日：2023年7月18日 | 発表日：2024年11月6日
練馬 鳥長 新潟,新潟県新潟市中央区東大通2-1-7 松屋ビル 2F,食べログ 百名店: 2023 | 2024 | 2025 / 焼き鳥 EAST,https://tabelog.com/niigata/A1501/A150101/15020003/,https://tabelog.com/niigata/A1501/A150101/15020003/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E7%B7%B4%E9%A6%AC%20%E9%B3%A5%E9%95%B7%20%E6%96%B0%E6%BD%9F%20%E6%96%B0%E6%BD%9F%E7%9C%8C%E6%96%B0%E6%BD%9F%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E6%9D%B1%E5%A4%A7%E9%80%9A2-1-7%20%E6%9D%BE%E5%B1%8B%E3%83%93%E3%83%AB%202F,37.9148442,139.0591654,2023 | 2024 | 2025,焼き鳥 EAST,yakitori_east,発表日：2023年7月18日 | 発表日：2024年11月6日 | 発表日：2025年11月11日
焼鳥 コの字,群馬県高崎市田町106-5,食べログ 百名店: 2023 | 2024 | 2025 / 焼き鳥 EAST,https://tabelog.com/gunma/A1001/A100102/10014200/,,https://www.google.com/maps/search/?api=1&query=%E7%84%BC%E9%B3%A5%20%E3%82%B3%E3%81%AE%E5%AD%97%20%E7%BE%A4%E9%A6%AC%E7%9C%8C%E9%AB%98%E5%B4%8E%E5%B8%82%E7%94%B0%E7%94%BA106-5,36.3281244,139.0069807,2023 | 2024 | 2025,焼き鳥 EAST,yakitori_east,発表日：2023年7月18日 | 発表日：2024年11月6日 | 発表日：2025年11月11日
地鶏と酒肴　音音,茨城県つくば市二の宮1-1-10 101,食べログ 百名店: 2023 / 焼き鳥 EAST,https://tabelog.com/ibaraki/A0802/A080201/8008741/,,https://www.google.com/maps/search/?api=1&query=%E5%9C%B0%E9%B6%8F%E3%81%A8%E9%85%92%E8%82%B4%E3%80%80%E9%9F%B3%E9%9F%B3%20%E8%8C%A8%E5%9F%8E%E7%9C%8C%E3%81%A4%E3%81%8F%E3%81%B0%E5%B8%82%E4%BA%8C%E3%81%AE%E5%AE%AE1-1-10%20101,36.0704133,140.1151760,2023,焼き鳥 EAST,yakitori_east,発表日：2023年7月18日
焼鳥 みかど,東京都新宿区新宿3-31-1 大伸第2ビル 9F,食べログ 百名店: 2023 / 焼き鳥 EAST,https://tabelog.com/tokyo/A1304/A130401/13254421/,https://tabelog.com/tokyo/A1304/A130401/13254421/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E7%84%BC%E9%B3%A5%20%E3%81%BF%E3%81%8B%E3%81%A9%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E6%96%B0%E5%AE%BF3-31-1%20%E5%A4%A7%E4%BC%B8%E7%AC%AC2%E3%83%93%E3%83%AB%209F,35.6905588,139.7043328,2023,焼き鳥 EAST,yakitori_east,発表日：2023年7月18日
