Name,Address,Description,Website,Tabelog Reservation URL,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
サカエパン,岐阜県岐阜市加納栄町通1-9,食べログ 百名店: 2020 | 2022 / パン EAST,https://tabelog.com/gifu/A2101/A210101/21000648/,,https://www.google.com/maps/search/?api=1&query=%E3%82%B5%E3%82%AB%E3%82%A8%E3%83%91%E3%83%B3%20%E5%B2%90%E9%98%9C%E7%9C%8C%E5%B2%90%E9%98%9C%E5%B8%82%E5%8A%A0%E7%B4%8D%E6%A0%84%E7%94%BA%E9%80%9A1-9,35.4080974,136.7564237,2020 | 2022,パン EAST,bread_east,発表日：2022年10月11日
クーネルベーカリー,埼玉県さいたま市浦和区東高砂町9号20番 岸ビル1F,食べログ 百名店: 2020 | 2022 / パン EAST,https://tabelog.com/saitama/A1101/A110102/11028957/,,https://www.google.com/maps/search/?api=1&query=%E3%82%AF%E3%83%BC%E3%83%8D%E3%83%AB%E3%83%99%E3%83%BC%E3%82%AB%E3%83%AA%E3%83%BC%20%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E6%B5%A6%E5%92%8C%E5%8C%BA%E6%9D%B1%E9%AB%98%E7%A0%82%E7%94%BA9%E5%8F%B720%E7%95%AA%20%E5%B2%B8%E3%83%93%E3%83%AB1F,35.8573981,139.6588826,2020 | 2022,パン EAST,bread_east,発表日：2022年10月11日
ぱん吉,北海道札幌市北区北八条西4-18,食べログ 百名店: 2020 | 2022 / パン EAST,https://tabelog.com/hokkaido/A0101/A010101/1001468/,,https://www.google.com/maps/search/?api=1&query=%E3%81%B1%E3%82%93%E5%90%89%20%E5%8C%97%E6%B5%B7%E9%81%93%E6%9C%AD%E5%B9%8C%E5%B8%82%E5%8C%97%E5%8C%BA%E5%8C%97%E5%85%AB%E6%9D%A1%E8%A5%BF4-18,43.0710880,141.3485624,2020 | 2022,パン EAST,bread_east,発表日：2022年10月11日
ベッカライ徳多朗 Yotsubako,神奈川県横浜市都筑区中川中央1-1-5 Yotsubako 1Ｆ,食べログ 百名店: 2020 / パン EAST,https://tabelog.com/kanagawa/A1401/A140203/14043497/,,https://www.google.com/maps/search/?api=1&query=%E3%83%99%E3%83%83%E3%82%AB%E3%83%A9%E3%82%A4%E5%BE%B3%E5%A4%9A%E6%9C%97%20Yotsubako%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E6%A8%AA%E6%B5%9C%E5%B8%82%E9%83%BD%E7%AD%91%E5%8C%BA%E4%B8%AD%E5%B7%9D%E4%B8%AD%E5%A4%AE1-1-5%20Yotsubako%201%EF%BC%A6,35.5536181,139.5790149,2020,パン EAST,bread_east,
福田パン 長田町本店,岩手県盛岡市長田町12-11,食べログ 百名店: 2020 | 2022 / パン EAST,https://tabelog.com/iwate/A0301/A030101/3001022/,,https://www.google.com/maps/search/?api=1&query=%E7%A6%8F%E7%94%B0%E3%83%91%E3%83%B3%20%E9%95%B7%E7%94%B0%E7%94%BA%E6%9C%AC%E5%BA%97%20%E5%B2%A9%E6%89%8B%E7%9C%8C%E7%9B%9B%E5%B2%A1%E5%B8%82%E9%95%B7%E7%94%B0%E7%94%BA12-11,39.7082379,141.1420974,2020 | 2022,パン EAST,bread_east,発表日：2022年10月11日
ル・フィヤージュ,静岡県伊東市八幡野1305-75,食べログ 百名店: 2020 | 2022 / パン EAST,https://tabelog.com/shizuoka/A2205/A220503/22003252/,,https://www.google.com/maps/search/?api=1&query=%E3%83%AB%E3%83%BB%E3%83%95%E3%82%A3%E3%83%A4%E3%83%BC%E3%82%B8%E3%83%A5%20%E9%9D%99%E5%B2%A1%E7%9C%8C%E4%BC%8A%E6%9D%B1%E5%B8%82%E5%85%AB%E5%B9%A1%E9%87%8E1305-75,34.8843548,139.1037753,2020 | 2022,パン EAST,bread_east,発表日：2022年10月11日
美瑛選果 新千歳空港店,北海道千歳市美々 新千歳空港 国内線ターミナルビル 2F,食べログ 百名店: 2020 | 2022 / パン EAST,https://tabelog.com/hokkaido/A0107/A010701/1034722/,,https://www.google.com/maps/search/?api=1&query=%E7%BE%8E%E7%91%9B%E9%81%B8%E6%9E%9C%20%E6%96%B0%E5%8D%83%E6%AD%B3%E7%A9%BA%E6%B8%AF%E5%BA%97%20%E5%8C%97%E6%B5%B7%E9%81%93%E5%8D%83%E6%AD%B3%E5%B8%82%E7%BE%8E%E3%80%85%20%E6%96%B0%E5%8D%83%E6%AD%B3%E7%A9%BA%E6%B8%AF%20%E5%9B%BD%E5%86%85%E7%B7%9A%E3%82%BF%E3%83%BC%E3%83%9F%E3%83%8A%E3%83%AB%E3%83%93%E3%83%AB%202F,42.7877658,141.6803536,2020 | 2022,パン EAST,bread_east,発表日：2022年10月11日
ルヴァン 信州上田店,長野県上田市中央4-7-31,食べログ 百名店: 2020 | 2022 / パン EAST,https://tabelog.com/nagano/A2004/A200401/20000537/,,https://www.google.com/maps/search/?api=1&query=%E3%83%AB%E3%83%B4%E3%82%A1%E3%83%B3%20%E4%BF%A1%E5%B7%9E%E4%B8%8A%E7%94%B0%E5%BA%97%20%E9%95%B7%E9%87%8E%E7%9C%8C%E4%B8%8A%E7%94%B0%E5%B8%82%E4%B8%AD%E5%A4%AE4-7-31,36.4056762,138.2530509,2020 | 2022,パン EAST,bread_east,発表日：2022年10月11日
テーラ・テール,愛知県名古屋市東区泉3-28-3,食べログ 百名店: 2020 | 2022 / パン EAST,https://tabelog.com/aichi/A2301/A230104/23050735/,,https://www.google.com/maps/search/?api=1&query=%E3%83%86%E3%83%BC%E3%83%A9%E3%83%BB%E3%83%86%E3%83%BC%E3%83%AB%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E6%9D%B1%E5%8C%BA%E6%B3%893-28-3,35.1748806,136.9191496,2020 | 2022,パン EAST,bread_east,発表日：2022年10月11日
渡邊ベーカリー,神奈川県足柄下郡箱根町宮ノ下343-3,食べログ 百名店: 2020 | 2022 / パン EAST,https://tabelog.com/kanagawa/A1410/A141001/14003548/,,https://www.google.com/maps/search/?api=1&query=%E6%B8%A1%E9%82%8A%E3%83%99%E3%83%BC%E3%82%AB%E3%83%AA%E3%83%BC%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E8%B6%B3%E6%9F%84%E4%B8%8B%E9%83%A1%E7%AE%B1%E6%A0%B9%E7%94%BA%E5%AE%AE%E3%83%8E%E4%B8%8B343-3,35.2445967,139.0584004,2020 | 2022,パン EAST,bread_east,発表日：2022年10月11日
