Name,Address,Description,Website,Tabelog Reservation URL,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
七福,岐阜県中津川市中津川3022-18,食べログ 百名店: 2018 / スイーツ 百名店 EAST 2018,https://tabelog.com/tokyo/A1303/A130302/21000992/,,https://www.google.com/maps/search/?api=1&query=%E4%B8%83%E7%A6%8F%20%E5%B2%90%E9%98%9C%E7%9C%8C%E4%B8%AD%E6%B4%A5%E5%B7%9D%E5%B8%82%E4%B8%AD%E6%B4%A5%E5%B7%9D3022-18,35.4879052,137.5017983,2018,スイーツ 百名店 EAST 2018,sweets_east,
ミルク&パフェ よつ葉ホワイトコージ 札幌パセオ店,北海道札幌市北区北六条西4-3-1 札幌パセオ　Ｂ１Ｆ,食べログ 百名店: 2018 / スイーツ 百名店 EAST 2018,https://tabelog.com/tokyo/A1303/A130302/1001108/,,https://www.google.com/maps/search/?api=1&query=%E3%83%9F%E3%83%AB%E3%82%AF%26%E3%83%91%E3%83%95%E3%82%A7%20%E3%82%88%E3%81%A4%E8%91%89%E3%83%9B%E3%83%AF%E3%82%A4%E3%83%88%E3%82%B3%E3%83%BC%E3%82%B8%20%E6%9C%AD%E5%B9%8C%E3%83%91%E3%82%BB%E3%82%AA%E5%BA%97%20%E5%8C%97%E6%B5%B7%E9%81%93%E6%9C%AD%E5%B9%8C%E5%B8%82%E5%8C%97%E5%8C%BA%E5%8C%97%E5%85%AD%E6%9D%A1%E8%A5%BF4-3-1%20%E6%9C%AD%E5%B9%8C%E3%83%91%E3%82%BB%E3%82%AA%E3%80%80%EF%BC%A2%EF%BC%91%EF%BC%A6,43.0684136,141.3508934,2018,スイーツ 百名店 EAST 2018,sweets_east,
バニラビーンズ みなとみらい本店,神奈川県横浜市中区海岸通5-25-2 シャレール海岸通 1F,食べログ 百名店: 2018 / スイーツ 百名店 EAST 2018,https://tabelog.com/tokyo/A1303/A130302/14053382/,,https://www.google.com/maps/search/?api=1&query=%E3%83%90%E3%83%8B%E3%83%A9%E3%83%93%E3%83%BC%E3%83%B3%E3%82%BA%20%E3%81%BF%E3%81%AA%E3%81%A8%E3%81%BF%E3%82%89%E3%81%84%E6%9C%AC%E5%BA%97%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E6%A8%AA%E6%B5%9C%E5%B8%82%E4%B8%AD%E5%8C%BA%E6%B5%B7%E5%B2%B8%E9%80%9A5-25-2%20%E3%82%B7%E3%83%A3%E3%83%AC%E3%83%BC%E3%83%AB%E6%B5%B7%E5%B2%B8%E9%80%9A%201F,35.4513609,139.6382768,2018,スイーツ 百名店 EAST 2018,sweets_east,
ハウス オブ フレーバーズ,神奈川県鎌倉市鎌倉山3-2-10,食べログ 百名店: 2018 / スイーツ 百名店 EAST 2018,https://tabelog.com/tokyo/A1303/A130302/14001208/,,https://www.google.com/maps/search/?api=1&query=%E3%83%8F%E3%82%A6%E3%82%B9%20%E3%82%AA%E3%83%96%20%E3%83%95%E3%83%AC%E3%83%BC%E3%83%90%E3%83%BC%E3%82%BA%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E9%8E%8C%E5%80%89%E5%B8%82%E9%8E%8C%E5%80%89%E5%B1%B13-2-10,35.3179252,139.5139296,2018,スイーツ 百名店 EAST 2018,sweets_east,
パティスリーシイヤ,北海道札幌市中央区北5条西21-1-15,食べログ 百名店: 2018 / スイーツ 百名店 EAST 2018,https://tabelog.com/tokyo/A1303/A130302/1000154/,,https://www.google.com/maps/search/?api=1&query=%E3%83%91%E3%83%86%E3%82%A3%E3%82%B9%E3%83%AA%E3%83%BC%E3%82%B7%E3%82%A4%E3%83%A4%20%E5%8C%97%E6%B5%B7%E9%81%93%E6%9C%AD%E5%B9%8C%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%8C%975%E6%9D%A1%E8%A5%BF21-1-15,43.0634440,141.3237632,2018,スイーツ 百名店 EAST 2018,sweets_east,
Patisserie 雪乃下  鎌倉本店,神奈川県鎌倉市小町2-7-27 Maison de 雪乃下,食べログ 百名店: 2018 / スイーツ 百名店 EAST 2018,https://tabelog.com/tokyo/A1303/A130302/14007483/,,https://www.google.com/maps/search/?api=1&query=Patisserie%20%E9%9B%AA%E4%B9%83%E4%B8%8B%20%20%E9%8E%8C%E5%80%89%E6%9C%AC%E5%BA%97%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E9%8E%8C%E5%80%89%E5%B8%82%E5%B0%8F%E7%94%BA2-7-27%20Maison%20de%20%E9%9B%AA%E4%B9%83%E4%B8%8B,35.3218918,139.5523222,2018,スイーツ 百名店 EAST 2018,sweets_east,
パティスリー・ヴィヴィエンヌ,愛知県名古屋市昭和区山手通2-13 クレス1F,食べログ 百名店: 2018 / スイーツ 百名店 EAST 2018,https://tabelog.com/tokyo/A1303/A130302/23042818/,,https://www.google.com/maps/search/?api=1&query=%E3%83%91%E3%83%86%E3%82%A3%E3%82%B9%E3%83%AA%E3%83%BC%E3%83%BB%E3%83%B4%E3%82%A3%E3%83%B4%E3%82%A3%E3%82%A8%E3%83%B3%E3%83%8C%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E6%98%AD%E5%92%8C%E5%8C%BA%E5%B1%B1%E6%89%8B%E9%80%9A2-13%20%E3%82%AF%E3%83%AC%E3%82%B91F,35.1484097,136.9654652,2018,スイーツ 百名店 EAST 2018,sweets_east,
フランス焼菓子 シャンドゥリエ,愛知県名古屋市西区那古野1丁目34-14,食べログ 百名店: 2018 / スイーツ 百名店 EAST 2018,https://tabelog.com/tokyo/A1303/A130302/23037600/,,https://www.google.com/maps/search/?api=1&query=%E3%83%95%E3%83%A9%E3%83%B3%E3%82%B9%E7%84%BC%E8%8F%93%E5%AD%90%20%E3%82%B7%E3%83%A3%E3%83%B3%E3%83%89%E3%82%A5%E3%83%AA%E3%82%A8%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E8%A5%BF%E5%8C%BA%E9%82%A3%E5%8F%A4%E9%87%8E1%E4%B8%81%E7%9B%AE34-14,35.1753909,136.8919624,2018,スイーツ 百名店 EAST 2018,sweets_east,
ピエールプレシュウズ 本店,愛知県名古屋市千種区丸山町3-83 メナージュマルヤマ,食べログ 百名店: 2018 / スイーツ 百名店 EAST 2018,https://tabelog.com/tokyo/A1303/A130302/23052549/,,https://www.google.com/maps/search/?api=1&query=%E3%83%94%E3%82%A8%E3%83%BC%E3%83%AB%E3%83%97%E3%83%AC%E3%82%B7%E3%83%A5%E3%82%A6%E3%82%BA%20%E6%9C%AC%E5%BA%97%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E5%8D%83%E7%A8%AE%E5%8C%BA%E4%B8%B8%E5%B1%B1%E7%94%BA3-83%20%E3%83%A1%E3%83%8A%E3%83%BC%E3%82%B8%E3%83%A5%E3%83%9E%E3%83%AB%E3%83%A4%E3%83%9E,35.1610109,136.9477512,2018,スイーツ 百名店 EAST 2018,sweets_east,
サロン・ド・テ ロザージュ,神奈川県足柄下郡箱根町元箱根80 山のホテル,食べログ 百名店: 2018 / スイーツ 百名店 EAST 2018,https://tabelog.com/tokyo/A1303/A130302/14002271/,,https://www.google.com/maps/search/?api=1&query=%E3%82%B5%E3%83%AD%E3%83%B3%E3%83%BB%E3%83%89%E3%83%BB%E3%83%86%20%E3%83%AD%E3%82%B6%E3%83%BC%E3%82%B8%E3%83%A5%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E8%B6%B3%E6%9F%84%E4%B8%8B%E9%83%A1%E7%AE%B1%E6%A0%B9%E7%94%BA%E5%85%83%E7%AE%B1%E6%A0%B980%20%E5%B1%B1%E3%81%AE%E3%83%9B%E3%83%86%E3%83%AB,35.2034940,139.0226851,2018,スイーツ 百名店 EAST 2018,sweets_east,
パティスリーグラム,愛知県名古屋市千種区猫洞通2-5 1F,食べログ 百名店: 2018 / スイーツ 百名店 EAST 2018,https://tabelog.com/tokyo/A1303/A130302/23042366/,,https://www.google.com/maps/search/?api=1&query=%E3%83%91%E3%83%86%E3%82%A3%E3%82%B9%E3%83%AA%E3%83%BC%E3%82%B0%E3%83%A9%E3%83%A0%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E5%8D%83%E7%A8%AE%E5%8C%BA%E7%8C%AB%E6%B4%9E%E9%80%9A2-5%201F,35.1687189,136.9730844,2018,スイーツ 百名店 EAST 2018,sweets_east,
ツバメヤ 大名古屋ビルヂング店,愛知県名古屋市中村区名駅3-28-12 大名古屋ビルヂング B1F,食べログ 百名店: 2018 / スイーツ 百名店 EAST 2018,https://tabelog.com/tokyo/A1303/A130302/23059315/,,https://www.google.com/maps/search/?api=1&query=%E3%83%84%E3%83%90%E3%83%A1%E3%83%A4%20%E5%A4%A7%E5%90%8D%E5%8F%A4%E5%B1%8B%E3%83%93%E3%83%AB%E3%83%82%E3%83%B3%E3%82%B0%E5%BA%97%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E4%B8%AD%E6%9D%91%E5%8C%BA%E5%90%8D%E9%A7%853-28-12%20%E5%A4%A7%E5%90%8D%E5%8F%A4%E5%B1%8B%E3%83%93%E3%83%AB%E3%83%82%E3%83%B3%E3%82%B0%20B1F,35.1718587,136.8845325,2018,スイーツ 百名店 EAST 2018,sweets_east,
