Name,Address,Description,Website,Tabelog Reservation URL,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
藤店うどん,埼玉県さいたま市西区三橋6-14-7,食べログ 百名店: 2020 | 2022 | 2024 / うどん EAST,https://tabelog.com/saitama/A1101/A110103/11000476/,,https://www.google.com/maps/search/?api=1&query=%E8%97%A4%E5%BA%97%E3%81%86%E3%81%A9%E3%82%93%20%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E8%A5%BF%E5%8C%BA%E4%B8%89%E6%A9%8B6-14-7,35.9106474,139.5904488,2020 | 2022 | 2024,うどん EAST,udon_east,発表日：2022年3月15日 | 発表日：2024年2月27日
みうらうどん,山梨県富士吉田市下吉田1-22-5,食べログ 百名店: 2020 | 2022 | 2024 / うどん EAST,https://tabelog.com/yamanashi/A1903/A190301/19000359/,,https://www.google.com/maps/search/?api=1&query=%E3%81%BF%E3%81%86%E3%82%89%E3%81%86%E3%81%A9%E3%82%93%20%E5%B1%B1%E6%A2%A8%E7%9C%8C%E5%AF%8C%E5%A3%AB%E5%90%89%E7%94%B0%E5%B8%82%E4%B8%8B%E5%90%89%E7%94%B01-22-5,35.4945580,138.8089608,2020 | 2022 | 2024,うどん EAST,udon_east,発表日：2022年3月15日 | 発表日：2024年2月27日
うどん 有田,埼玉県上尾市中妻3-7-4 ヤマフジ中妻店　敷地内,食べログ 百名店: 2020 / うどん EAST,https://tabelog.com/saitama/A1104/A110401/11009188/,,https://www.google.com/maps/search/?api=1&query=%E3%81%86%E3%81%A9%E3%82%93%20%E6%9C%89%E7%94%B0%20%E5%9F%BC%E7%8E%89%E7%9C%8C%E4%B8%8A%E5%B0%BE%E5%B8%82%E4%B8%AD%E5%A6%BB3-7-4%20%E3%83%A4%E3%83%9E%E3%83%95%E3%82%B8%E4%B8%AD%E5%A6%BB%E5%BA%97%E3%80%80%E6%95%B7%E5%9C%B0%E5%86%85,35.9860604,139.5686107,2020,うどん EAST,udon_east,
ぶつをのうどん,栃木県宇都宮市松が峰2-9-3,食べログ 百名店: 2020 | 2022 | 2024 / うどん EAST,https://tabelog.com/tochigi/A0901/A090101/9003113/,,https://www.google.com/maps/search/?api=1&query=%E3%81%B6%E3%81%A4%E3%82%92%E3%81%AE%E3%81%86%E3%81%A9%E3%82%93%20%E6%A0%83%E6%9C%A8%E7%9C%8C%E5%AE%87%E9%83%BD%E5%AE%AE%E5%B8%82%E6%9D%BE%E3%81%8C%E5%B3%B02-9-3,36.5557538,139.8818463,2020 | 2022 | 2024,うどん EAST,udon_east,発表日：2022年3月15日 | 発表日：2024年2月27日
武蔵野 伝統の味 涼太郎,埼玉県所沢市くすのき台3-14-4,食べログ 百名店: 2020 | 2022 | 2024 / うどん EAST,https://tabelog.com/saitama/A1106/A110601/11000460/,,https://www.google.com/maps/search/?api=1&query=%E6%AD%A6%E8%94%B5%E9%87%8E%20%E4%BC%9D%E7%B5%B1%E3%81%AE%E5%91%B3%20%E6%B6%BC%E5%A4%AA%E9%83%8E%20%E5%9F%BC%E7%8E%89%E7%9C%8C%E6%89%80%E6%B2%A2%E5%B8%82%E3%81%8F%E3%81%99%E3%81%AE%E3%81%8D%E5%8F%B03-14-4,35.7871099,139.4773830,2020 | 2022 | 2024,うどん EAST,udon_east,発表日：2022年3月15日 | 発表日：2024年2月27日
饂飩頑陣 本店,神奈川県横浜市中区住吉町6-74 A102,食べログ 百名店: 2020 / うどん EAST,https://tabelog.com/kanagawa/A1401/A140104/14055488/,,https://www.google.com/maps/search/?api=1&query=%E9%A5%82%E9%A3%A9%E9%A0%91%E9%99%A3%20%E6%9C%AC%E5%BA%97%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E6%A8%AA%E6%B5%9C%E5%B8%82%E4%B8%AD%E5%8C%BA%E4%BD%8F%E5%90%89%E7%94%BA6-74%20A102,35.4478634,139.6343996,2020,うどん EAST,udon_east,
藤店うどん 川越店,埼玉県川越市新宿町4-1-5,食べログ 百名店: 2020 | 2022 | 2024 / うどん EAST,https://tabelog.com/saitama/A1103/A110303/11004070/,,https://www.google.com/maps/search/?api=1&query=%E8%97%A4%E5%BA%97%E3%81%86%E3%81%A9%E3%82%93%20%E5%B7%9D%E8%B6%8A%E5%BA%97%20%E5%9F%BC%E7%8E%89%E7%9C%8C%E5%B7%9D%E8%B6%8A%E5%B8%82%E6%96%B0%E5%AE%BF%E7%94%BA4-1-5,35.8980124,139.4807104,2020 | 2022 | 2024,うどん EAST,udon_east,発表日：2022年3月15日 | 発表日：2024年2月27日
手打ちうどん　 いしづか,埼玉県桶川市南1-7-5,食べログ 百名店: 2020 | 2022 | 2024 / うどん EAST,https://tabelog.com/saitama/A1104/A110401/11005554/,,https://www.google.com/maps/search/?api=1&query=%E6%89%8B%E6%89%93%E3%81%A1%E3%81%86%E3%81%A9%E3%82%93%E3%80%80%20%E3%81%84%E3%81%97%E3%81%A5%E3%81%8B%20%E5%9F%BC%E7%8E%89%E7%9C%8C%E6%A1%B6%E5%B7%9D%E5%B8%82%E5%8D%971-7-5,35.9999835,139.5663808,2020 | 2022 | 2024,うどん EAST,udon_east,発表日：2022年3月15日 | 発表日：2024年2月27日
太門,愛知県名古屋市千種区今池5-9-18 衣笠ビル 1F,食べログ 百名店: 2020 / うどん EAST,https://tabelog.com/aichi/A2301/A230106/23045911/,,https://www.google.com/maps/search/?api=1&query=%E5%A4%AA%E9%96%80%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E5%8D%83%E7%A8%AE%E5%8C%BA%E4%BB%8A%E6%B1%A05-9-18%20%E8%A1%A3%E7%AC%A0%E3%83%93%E3%83%AB%201F,35.1682354,136.9376601,2020,うどん EAST,udon_east,
きしや,愛知県名古屋市千種区仲田2-17-7 池下タワーズ1F,食べログ 百名店: 2020 | 2022 | 2024 / うどん EAST,https://tabelog.com/aichi/A2301/A230106/23001708/,,https://www.google.com/maps/search/?api=1&query=%E3%81%8D%E3%81%97%E3%82%84%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E5%8D%83%E7%A8%AE%E5%8C%BA%E4%BB%B2%E7%94%B02-17-7%20%E6%B1%A0%E4%B8%8B%E3%82%BF%E3%83%AF%E3%83%BC%E3%82%BA1F,35.1686335,136.9424949,2020 | 2022 | 2024,うどん EAST,udon_east,発表日：2022年3月15日 | 発表日：2024年2月27日
