Name,Address,Description,Website,Tabelog Reservation URL,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
ヨーロッパ軒 総本店,福井県福井市順化1-7-4,食べログ 百名店: 2018 | 2025 / とんかつ | 洋食 WEST,https://tabelog.com/fukui/A1801/A180101/18000015/,,https://www.google.com/maps/search/?api=1&query=%E3%83%A8%E3%83%BC%E3%83%AD%E3%83%83%E3%83%91%E8%BB%92%20%E7%B7%8F%E6%9C%AC%E5%BA%97%20%E7%A6%8F%E4%BA%95%E7%9C%8C%E7%A6%8F%E4%BA%95%E5%B8%82%E9%A0%86%E5%8C%961-7-4,36.0640817,136.2147898,2018 | 2025,とんかつ | 洋食 WEST,tonkatsu | yoshoku_west,発表日：2025年6月24日
すゞ家 赤門店,愛知県名古屋市中区大須3-11-17,食べログ 百名店: 2018 | 2019 | 2021 | 2025 / とんかつ | 洋食 EAST,https://tabelog.com/aichi/A2301/A230105/23000039/,,https://www.google.com/maps/search/?api=1&query=%E3%81%99%E3%82%9E%E5%AE%B6%20%E8%B5%A4%E9%96%80%E5%BA%97%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E4%B8%AD%E5%8C%BA%E5%A4%A7%E9%A0%883-11-17,35.1606713,136.9051553,2018 | 2019 | 2021 | 2025,とんかつ | 洋食 EAST,tonkatsu | yoshoku_east,発表日：2021年4月13日 | 発表日：2025年6月24日
ぽん多本家,東京都台東区上野3-23-3,食べログ 百名店: 2018 | 2019 | 2021 | 2025 / とんかつ | 洋食 EAST,https://tabelog.com/tokyo/A1311/A131101/13003587/,,https://www.google.com/maps/search/?api=1&query=%E3%81%BD%E3%82%93%E5%A4%9A%E6%9C%AC%E5%AE%B6%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%8F%B0%E6%9D%B1%E5%8C%BA%E4%B8%8A%E9%87%8E3-23-3,35.7063511,139.7730123,2018 | 2019 | 2021 | 2025,とんかつ | 洋食 EAST,tonkatsu | yoshoku_east,発表日：2021年4月13日 | 発表日：2025年6月24日
いずみバーグ,大阪府大阪市西区千代崎2-8-9,食べログ 百名店: 2020 | 2025 / カレー WEST | 洋食 WEST,https://tabelog.com/osaka/A2701/A270401/27013033/,,https://www.google.com/maps/search/?api=1&query=%E3%81%84%E3%81%9A%E3%81%BF%E3%83%90%E3%83%BC%E3%82%B0%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E8%A5%BF%E5%8C%BA%E5%8D%83%E4%BB%A3%E5%B4%8E2-8-9,34.6740842,135.4776573,2020 | 2025,カレー WEST | 洋食 WEST,curry_west | yoshoku_west,発表日：2025年6月24日
赤れんが,岐阜県岐阜市河渡3-120-1,食べログ 百名店: 2025 / 洋食 EAST,https://tabelog.com/gifu/A2101/A210105/21007327/,,https://www.google.com/maps/search/?api=1&query=%E8%B5%A4%E3%82%8C%E3%82%93%E3%81%8C%20%E5%B2%90%E9%98%9C%E7%9C%8C%E5%B2%90%E9%98%9C%E5%B8%82%E6%B2%B3%E6%B8%A13-120-1,35.4109570,136.7016677,2025,洋食 EAST,yoshoku_east,発表日：2025年6月24日
レストラン クインベル,東京都墨田区石原1-25-5,食べログ 百名店: 2025 / 洋食 EAST,https://tabelog.com/tokyo/A1312/A131201/13017962/,,https://www.google.com/maps/search/?api=1&query=%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%20%E3%82%AF%E3%82%A4%E3%83%B3%E3%83%99%E3%83%AB%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%A2%A8%E7%94%B0%E5%8C%BA%E7%9F%B3%E5%8E%9F1-25-5,35.7001865,139.7981659,2025,洋食 EAST,yoshoku_east,発表日：2025年6月24日
スコット（新館）,静岡県熱海市渚町10-13,食べログ 百名店: 2025 / 洋食 EAST,https://tabelog.com/shizuoka/A2205/A220502/22003041/,,https://www.google.com/maps/search/?api=1&query=%E3%82%B9%E3%82%B3%E3%83%83%E3%83%88%EF%BC%88%E6%96%B0%E9%A4%A8%EF%BC%89%20%E9%9D%99%E5%B2%A1%E7%9C%8C%E7%86%B1%E6%B5%B7%E5%B8%82%E6%B8%9A%E7%94%BA10-13,35.0955931,139.0750029,2025,洋食 EAST,yoshoku_east,発表日：2025年6月24日
グリルK 駒込本店,東京都豊島区駒込1-2-6,食べログ 百名店: 2025 / 洋食 EAST,https://tabelog.com/tokyo/A1323/A132301/13283187/,,https://www.google.com/maps/search/?api=1&query=%E3%82%B0%E3%83%AA%E3%83%ABK%20%E9%A7%92%E8%BE%BC%E6%9C%AC%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E8%B1%8A%E5%B3%B6%E5%8C%BA%E9%A7%92%E8%BE%BC1-2-6,35.7338273,139.7486269,2025,洋食 EAST,yoshoku_east,発表日：2025年6月24日
洋食バル ウルトラ,東京都世田谷区経堂1-19-2 松菱ビル 1F,食べログ 百名店: 2025 / 洋食 EAST,https://tabelog.com/tokyo/A1318/A131813/13137110/,,https://www.google.com/maps/search/?api=1&query=%E6%B4%8B%E9%A3%9F%E3%83%90%E3%83%AB%20%E3%82%A6%E3%83%AB%E3%83%88%E3%83%A9%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E7%B5%8C%E5%A0%821-19-2%20%E6%9D%BE%E8%8F%B1%E3%83%93%E3%83%AB%201F,35.6505298,139.6375517,2025,洋食 EAST,yoshoku_east,発表日：2025年6月24日
グラシア,東京都台東区浅草橋2-27-5,食べログ 百名店: 2025 / 洋食 EAST,https://tabelog.com/tokyo/A1311/A131103/13130729/,,https://www.google.com/maps/search/?api=1&query=%E3%82%B0%E3%83%A9%E3%82%B7%E3%82%A2%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%8F%B0%E6%9D%B1%E5%8C%BA%E6%B5%85%E8%8D%89%E6%A9%8B2-27-5,35.6997514,139.7861194,2025,洋食 EAST,yoshoku_east,発表日：2025年6月24日
