Name,Address,Description,Website,Tabelog Reservation URL,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
祇園サンボア,京都府京都市東山区祇園町南側570-186,食べログ 百名店: 2022 / バー,https://tabelog.com/kyoto/A2601/A260301/26001401/,,https://www.google.com/maps/search/?api=1&query=%E7%A5%87%E5%9C%92%E3%82%B5%E3%83%B3%E3%83%9C%E3%82%A2%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E6%9D%B1%E5%B1%B1%E5%8C%BA%E7%A5%87%E5%9C%92%E7%94%BA%E5%8D%97%E5%81%B4570-186,35.0026555,135.7765465,2022,バー,bar,発表日：2022年11月1日
カサブランカ片野酒類販売,神奈川県横浜市中区太田町2-31-3 2F,食べログ 百名店: 2022 / バー,https://tabelog.com/kanagawa/A1401/A140104/14036644/,,https://www.google.com/maps/search/?api=1&query=%E3%82%AB%E3%82%B5%E3%83%96%E3%83%A9%E3%83%B3%E3%82%AB%E7%89%87%E9%87%8E%E9%85%92%E9%A1%9E%E8%B2%A9%E5%A3%B2%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E6%A8%AA%E6%B5%9C%E5%B8%82%E4%B8%AD%E5%8C%BA%E5%A4%AA%E7%94%B0%E7%94%BA2-31-3%202F,35.4468190,139.6386349,2022,バー,bar,発表日：2022年11月1日
スクリュードライバー,東京都武蔵野市吉祥寺本町1-20-15 東永ビル 4F,食べログ 百名店: 2022 / バー,https://tabelog.com/tokyo/A1320/A132001/13015885/,,https://www.google.com/maps/search/?api=1&query=%E3%82%B9%E3%82%AF%E3%83%AA%E3%83%A5%E3%83%BC%E3%83%89%E3%83%A9%E3%82%A4%E3%83%90%E3%83%BC%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%AD%A6%E8%94%B5%E9%87%8E%E5%B8%82%E5%90%89%E7%A5%A5%E5%AF%BA%E6%9C%AC%E7%94%BA1-20-15%20%E6%9D%B1%E6%B0%B8%E3%83%93%E3%83%AB%204F,35.7051156,139.5818977,2022,バー,bar,発表日：2022年11月1日
BAR 鶴亀,東京都中央区日本橋人形町1-12-11  リガーレ日本橋人形町 １Ｆ,食べログ 百名店: 2022 / バー,https://tabelog.com/tokyo/A1302/A130204/13118284/,,https://www.google.com/maps/search/?api=1&query=BAR%20%E9%B6%B4%E4%BA%80%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E6%97%A5%E6%9C%AC%E6%A9%8B%E4%BA%BA%E5%BD%A2%E7%94%BA1-12-11%20%20%E3%83%AA%E3%82%AC%E3%83%BC%E3%83%AC%E6%97%A5%E6%9C%AC%E6%A9%8B%E4%BA%BA%E5%BD%A2%E7%94%BA%20%EF%BC%91%EF%BC%A6,35.6835020,139.7833251,2022,バー,bar,発表日：2022年11月1日
北サンボア,大阪府大阪市北区曽根崎2-2-12,食べログ 百名店: 2022 / バー,https://tabelog.com/osaka/A2701/A270101/27001894/,,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E3%82%B5%E3%83%B3%E3%83%9C%E3%82%A2%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E5%8C%97%E5%8C%BA%E6%9B%BD%E6%A0%B9%E5%B4%8E2-2-12,34.6992342,135.5015499,2022,バー,bar,発表日：2022年11月1日
Bar P.M.9,東京都港区新橋2-15-13,食べログ 百名店: 2022 / バー,https://tabelog.com/tokyo/A1301/A130103/13122052/,,https://www.google.com/maps/search/?api=1&query=Bar%20P.M.9%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E6%96%B0%E6%A9%8B2-15-13,35.6665416,139.7564146,2022,バー,bar,発表日：2022年11月1日
バー・プルーフ,北海道札幌市中央区南三条西3 都ビル　５Ｆ,食べログ 百名店: 2022 / バー,https://tabelog.com/hokkaido/A0101/A010103/1000004/,https://tabelog.com/hokkaido/A0101/A010103/1000004/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E3%83%90%E3%83%BC%E3%83%BB%E3%83%97%E3%83%AB%E3%83%BC%E3%83%95%20%E5%8C%97%E6%B5%B7%E9%81%93%E6%9C%AD%E5%B9%8C%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%8D%97%E4%B8%89%E6%9D%A1%E8%A5%BF3%20%E9%83%BD%E3%83%93%E3%83%AB%E3%80%80%EF%BC%95%EF%BC%A6,43.0564352,141.3540264,2022,バー,bar,発表日：2022年11月1日
BAR 酒仙堂,東京都中央区銀座6-12-17 錦光ビル　Ｂ１Ｆ,食べログ 百名店: 2022 / バー,https://tabelog.com/tokyo/A1301/A130101/13014392/,,https://www.google.com/maps/search/?api=1&query=BAR%20%E9%85%92%E4%BB%99%E5%A0%82%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%8A%80%E5%BA%A76-12-17%20%E9%8C%A6%E5%85%89%E3%83%93%E3%83%AB%E3%80%80%EF%BC%A2%EF%BC%91%EF%BC%A6,35.6694766,139.7649587,2022,バー,bar,発表日：2022年11月1日
スタア・バー・ギンザ,東京都中央区銀座1-5-13 MODERNS GINZA B1F,食べログ 百名店: 2022 / バー,https://tabelog.com/tokyo/A1301/A130101/13002270/,https://tabelog.com/tokyo/A1301/A130101/13002270/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E3%82%B9%E3%82%BF%E3%82%A2%E3%83%BB%E3%83%90%E3%83%BC%E3%83%BB%E3%82%AE%E3%83%B3%E3%82%B6%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%8A%80%E5%BA%A71-5-13%20MODERNS%20GINZA%20B1F,35.6747628,139.7669139,2022,バー,bar,発表日：2022年11月1日
bar K家 本館,京都府京都市中京区六角通御幸町西入ル八百屋町103,食べログ 百名店: 2022 / バー,https://tabelog.com/kyoto/A2601/A260201/26001147/,,https://www.google.com/maps/search/?api=1&query=bar%20K%E5%AE%B6%20%E6%9C%AC%E9%A4%A8%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E4%B8%AD%E4%BA%AC%E5%8C%BA%E5%85%AD%E8%A7%92%E9%80%9A%E5%BE%A1%E5%B9%B8%E7%94%BA%E8%A5%BF%E5%85%A5%E3%83%AB%E5%85%AB%E7%99%BE%E5%B1%8B%E7%94%BA103,35.0072999,135.7658548,2022,バー,bar,発表日：2022年11月1日
ムーンシャイン,秋田県秋田市大町4丁目2-2-1F,食べログ 百名店: 2022 / バー,https://tabelog.com/akita/A0501/A050101/5003692/,,https://www.google.com/maps/search/?api=1&query=%E3%83%A0%E3%83%BC%E3%83%B3%E3%82%B7%E3%83%A3%E3%82%A4%E3%83%B3%20%E7%A7%8B%E7%94%B0%E7%9C%8C%E7%A7%8B%E7%94%B0%E5%B8%82%E5%A4%A7%E7%94%BA4%E4%B8%81%E7%9B%AE2-2-1F,39.7162959,140.1161498,2022,バー,bar,発表日：2022年11月1日
BAR オーパ 門前仲町店,東京都江東区富岡1-25-4 ニックハイム八幡　２Ｆ,食べログ 百名店: 2022 / バー,https://tabelog.com/tokyo/A1313/A131303/13004091/,https://tabelog.com/tokyo/A1313/A131303/13004091/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=BAR%20%E3%82%AA%E3%83%BC%E3%83%91%20%E9%96%80%E5%89%8D%E4%BB%B2%E7%94%BA%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B1%9F%E6%9D%B1%E5%8C%BA%E5%AF%8C%E5%B2%A11-25-4%20%E3%83%8B%E3%83%83%E3%82%AF%E3%83%8F%E3%82%A4%E3%83%A0%E5%85%AB%E5%B9%A1%E3%80%80%EF%BC%92%EF%BC%A6,35.6702832,139.7989369,2022,バー,bar,発表日：2022年11月1日
石の華,東京都渋谷区渋谷3-6-2 第二矢木ビル　Ｂ１Ｆ,食べログ 百名店: 2022 / バー,https://tabelog.com/tokyo/A1303/A130301/13004802/,,https://www.google.com/maps/search/?api=1&query=%E7%9F%B3%E3%81%AE%E8%8F%AF%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E6%B8%8B%E8%B0%B73-6-2%20%E7%AC%AC%E4%BA%8C%E7%9F%A2%E6%9C%A8%E3%83%93%E3%83%AB%E3%80%80%EF%BC%A2%EF%BC%91%EF%BC%A6,35.6579890,139.7050030,2022,バー,bar,発表日：2022年11月1日
MORI BAR,東京都中央区銀座7-5-4 ラヴィアーレ銀座ビル 7F,食べログ 百名店: 2022 / バー,https://tabelog.com/tokyo/A1301/A130101/13283340/,,https://www.google.com/maps/search/?api=1&query=MORI%20BAR%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%8A%80%E5%BA%A77-5-4%20%E3%83%A9%E3%83%B4%E3%82%A3%E3%82%A2%E3%83%BC%E3%83%AC%E9%8A%80%E5%BA%A7%E3%83%93%E3%83%AB%207F,35.6700867,139.7617027,2022,バー,bar,発表日：2022年11月1日
バー カプリ,東京都千代田区紀尾井町4-1 ホテルニューオータニ東京 ロビィ階,食べログ 百名店: 2022 / バー,https://tabelog.com/tokyo/A1308/A130803/13019043/,,https://www.google.com/maps/search/?api=1&query=%E3%83%90%E3%83%BC%20%E3%82%AB%E3%83%97%E3%83%AA%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%8D%83%E4%BB%A3%E7%94%B0%E5%8C%BA%E7%B4%80%E5%B0%BE%E4%BA%95%E7%94%BA4-1%20%E3%83%9B%E3%83%86%E3%83%AB%E3%83%8B%E3%83%A5%E3%83%BC%E3%82%AA%E3%83%BC%E3%82%BF%E3%83%8B%E6%9D%B1%E4%BA%AC%20%E3%83%AD%E3%83%93%E3%82%A3%E9%9A%8E,35.6808000,139.7343174,2022,バー,bar,発表日：2022年11月1日
