Name,Address,Description,Website,Tabelog Reservation URL,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
時分時,大阪府大阪市中央区南久宝寺町4-5-11 ライオンズマンション御堂本町 1F,食べログ 百名店: 2018 | 2019 | 2024 | 2025 / お好み焼き | ステーキ・鉄板焼き WEST,https://tabelog.com/osaka/A2701/A270106/27001808/,,https://www.google.com/maps/search/?api=1&query=%E6%99%82%E5%88%86%E6%99%82%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%8D%97%E4%B9%85%E5%AE%9D%E5%AF%BA%E7%94%BA4-5-11%20%E3%83%A9%E3%82%A4%E3%82%AA%E3%83%B3%E3%82%BA%E3%83%9E%E3%83%B3%E3%82%B7%E3%83%A7%E3%83%B3%E5%BE%A1%E5%A0%82%E6%9C%AC%E7%94%BA%201F,34.6794295,135.4982678,2018 | 2019 | 2024 | 2025,お好み焼き | ステーキ・鉄板焼き WEST,okonomiyaki | steak_west,発表日：2024年4月23日 | 発表日：2025年8月19日
五日市 八昌,広島県広島市佐伯区五日市中央1-3-33,食べログ 百名店: 2018 / お好み焼き,https://tabelog.com/hiroshima/A3401/A340106/34002563/,,https://www.google.com/maps/search/?api=1&query=%E4%BA%94%E6%97%A5%E5%B8%82%20%E5%85%AB%E6%98%8C%20%E5%BA%83%E5%B3%B6%E7%9C%8C%E5%BA%83%E5%B3%B6%E5%B8%82%E4%BD%90%E4%BC%AF%E5%8C%BA%E4%BA%94%E6%97%A5%E5%B8%82%E4%B8%AD%E5%A4%AE1-3-33,34.3675893,132.3523326,2018,お好み焼き,okonomiyaki,
ねぎ焼やまもと 梅田エスト店,大阪府大阪市北区角田町3番25号 エストＥ27　East Area 1F,食べログ 百名店: 2018 | 2019 | 2022 | 2023 | 2024 / お好み焼き,https://tabelog.com/osaka/A2701/A270101/27003858/,,https://www.google.com/maps/search/?api=1&query=%E3%81%AD%E3%81%8E%E7%84%BC%E3%82%84%E3%81%BE%E3%82%82%E3%81%A8%20%E6%A2%85%E7%94%B0%E3%82%A8%E3%82%B9%E3%83%88%E5%BA%97%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E5%8C%97%E5%8C%BA%E8%A7%92%E7%94%B0%E7%94%BA3%E7%95%AA25%E5%8F%B7%20%E3%82%A8%E3%82%B9%E3%83%88%EF%BC%A527%E3%80%80East%20Area%201F,34.7046699,135.5010606,2018 | 2019 | 2022 | 2023 | 2024,お好み焼き,okonomiyaki,発表日：2022年4月26日 | 発表日：2023年5月23日 | 発表日：2024年5月28日
Vin樹亭,大阪府大阪市北区曾根崎新地1-2-24 ニューウメダビル１Ｆ,食べログ 百名店: 2018 | 2019 | 2024 / お好み焼き | ステーキ・鉄板焼き WEST,https://tabelog.com/osaka/A2701/A270101/27043237/,,https://www.google.com/maps/search/?api=1&query=Vin%E6%A8%B9%E4%BA%AD%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E5%8C%97%E5%8C%BA%E6%9B%BE%E6%A0%B9%E5%B4%8E%E6%96%B0%E5%9C%B01-2-24%20%E3%83%8B%E3%83%A5%E3%83%BC%E3%82%A6%E3%83%A1%E3%83%80%E3%83%93%E3%83%AB%EF%BC%91%EF%BC%A6,34.6973451,135.4980525,2018 | 2019 | 2024,お好み焼き | ステーキ・鉄板焼き WEST,okonomiyaki | steak_west,発表日：2024年4月23日
電光石火 東京駅店,東京都千代田区丸の内1-9-1 東京駅一番街 B1F,食べログ 百名店: 2018 | 2019 | 2024 / お好み焼き,https://tabelog.com/tokyo/A1302/A130201/13206700/,,https://www.google.com/maps/search/?api=1&query=%E9%9B%BB%E5%85%89%E7%9F%B3%E7%81%AB%20%E6%9D%B1%E4%BA%AC%E9%A7%85%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%8D%83%E4%BB%A3%E7%94%B0%E5%8C%BA%E4%B8%B8%E3%81%AE%E5%86%851-9-1%20%E6%9D%B1%E4%BA%AC%E9%A7%85%E4%B8%80%E7%95%AA%E8%A1%97%20B1F,35.6804459,139.7678435,2018 | 2019 | 2024,お好み焼き,okonomiyaki,発表日：2024年5月28日
お好み焼 長田屋,広島県広島市中区大手町1-7-19 １Ｆ,食べログ 百名店: 2018 / お好み焼き,https://tabelog.com/hiroshima/A3401/A340101/34010875/,,https://www.google.com/maps/search/?api=1&query=%E3%81%8A%E5%A5%BD%E3%81%BF%E7%84%BC%20%E9%95%B7%E7%94%B0%E5%B1%8B%20%E5%BA%83%E5%B3%B6%E7%9C%8C%E5%BA%83%E5%B3%B6%E5%B8%82%E4%B8%AD%E5%8C%BA%E5%A4%A7%E6%89%8B%E7%94%BA1-7-19%20%EF%BC%91%EF%BC%A6,34.3942246,132.4544939,2018,お好み焼き,okonomiyaki,
お好み焼きもみじ,大阪府大阪市天王寺区生玉町9-19,食べログ 百名店: 2018 | 2019 | 2022 | 2023 | 2024 | 2025 / お好み焼き,https://tabelog.com/osaka/A2701/A270205/27040855/,,https://www.google.com/maps/search/?api=1&query=%E3%81%8A%E5%A5%BD%E3%81%BF%E7%84%BC%E3%81%8D%E3%82%82%E3%81%BF%E3%81%98%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E5%A4%A9%E7%8E%8B%E5%AF%BA%E5%8C%BA%E7%94%9F%E7%8E%89%E7%94%BA9-19,34.6664716,135.5139542,2018 | 2019 | 2022 | 2023 | 2024 | 2025,お好み焼き,okonomiyaki,発表日：2022年4月26日 | 発表日：2023年5月23日 | 発表日：2024年5月28日 | 発表日：2025年9月2日
夢屋,京都府京都市左京区川端通二条通上ル孫橋町1,食べログ 百名店: 2018 | 2019 | 2022 | 2023 | 2024 / お好み焼き,https://tabelog.com/kyoto/A2601/A260302/26005094/,,https://www.google.com/maps/search/?api=1&query=%E5%A4%A2%E5%B1%8B%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E5%B7%A6%E4%BA%AC%E5%8C%BA%E5%B7%9D%E7%AB%AF%E9%80%9A%E4%BA%8C%E6%9D%A1%E9%80%9A%E4%B8%8A%E3%83%AB%E5%AD%AB%E6%A9%8B%E7%94%BA1,35.0136063,135.7725451,2018 | 2019 | 2022 | 2023 | 2024,お好み焼き,okonomiyaki,発表日：2022年4月26日 | 発表日：2023年5月23日 | 発表日：2024年5月28日
広島お好み焼き おこたろう,東京都葛飾区亀有3-31-8,食べログ 百名店: 2018 | 2019 | 2022 | 2023 | 2024 | 2025 / お好み焼き,https://tabelog.com/tokyo/A1324/A132403/13061247/,,https://www.google.com/maps/search/?api=1&query=%E5%BA%83%E5%B3%B6%E3%81%8A%E5%A5%BD%E3%81%BF%E7%84%BC%E3%81%8D%20%E3%81%8A%E3%81%93%E3%81%9F%E3%82%8D%E3%81%86%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E8%91%9B%E9%A3%BE%E5%8C%BA%E4%BA%80%E6%9C%893-31-8,35.7653554,139.8488467,2018 | 2019 | 2022 | 2023 | 2024 | 2025,お好み焼き,okonomiyaki,発表日：2022年4月26日 | 発表日：2023年5月23日 | 発表日：2024年5月28日 | 発表日：2025年9月2日
広島風お好み焼 大福,広島県広島市南区大須賀町12-7,食べログ 百名店: 2018 / お好み焼き,https://tabelog.com/hiroshima/A3401/A340102/34007431/,,https://www.google.com/maps/search/?api=1&query=%E5%BA%83%E5%B3%B6%E9%A2%A8%E3%81%8A%E5%A5%BD%E3%81%BF%E7%84%BC%20%E5%A4%A7%E7%A6%8F%20%E5%BA%83%E5%B3%B6%E7%9C%8C%E5%BA%83%E5%B3%B6%E5%B8%82%E5%8D%97%E5%8C%BA%E5%A4%A7%E9%A0%88%E8%B3%80%E7%94%BA12-7,34.3984125,132.4723358,2018,お好み焼き,okonomiyaki,
