Name,Address,Description,Website,Tabelog Reservation URL,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
ギリガンズ アイランド,北海道虻田郡洞爺湖町清水336 ザ・ウィンザーホテル洞爺リゾート＆スパ 2F,食べログ 百名店: 2021 / フレンチ EAST,https://tabelog.com/hokkaido/A0108/A010801/1000139/,,https://www.google.com/maps/search/?api=1&query=%E3%82%AE%E3%83%AA%E3%82%AC%E3%83%B3%E3%82%BA%20%E3%82%A2%E3%82%A4%E3%83%A9%E3%83%B3%E3%83%89%20%E5%8C%97%E6%B5%B7%E9%81%93%E8%99%BB%E7%94%B0%E9%83%A1%E6%B4%9E%E7%88%BA%E6%B9%96%E7%94%BA%E6%B8%85%E6%B0%B4336%20%E3%82%B6%E3%83%BB%E3%82%A6%E3%82%A3%E3%83%B3%E3%82%B6%E3%83%BC%E3%83%9B%E3%83%86%E3%83%AB%E6%B4%9E%E7%88%BA%E3%83%AA%E3%82%BE%E3%83%BC%E3%83%88%EF%BC%86%E3%82%B9%E3%83%91%202F,42.5936566,140.7596624,2021,フレンチ EAST,french_east,発表日：2021年3月22日
フランス料理 ル・クール,千葉県千葉市中央区新田町23-17,食べログ 百名店: 2021 | 2023 | 2025 / フレンチ EAST,https://tabelog.com/chiba/A1201/A120101/12030737/,,https://www.google.com/maps/search/?api=1&query=%E3%83%95%E3%83%A9%E3%83%B3%E3%82%B9%E6%96%99%E7%90%86%20%E3%83%AB%E3%83%BB%E3%82%AF%E3%83%BC%E3%83%AB%20%E5%8D%83%E8%91%89%E7%9C%8C%E5%8D%83%E8%91%89%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E6%96%B0%E7%94%B0%E7%94%BA23-17,35.6088943,140.1101410,2021 | 2023 | 2025,フレンチ EAST,french_east,発表日：2021年3月22日 | 発表日：2023年6月12日 | 発表日：2025年6月10日
エッサンス,秋田県秋田市手形西谷地704-1 センティースマンション 105,食べログ 百名店: 2021 | 2023 | 2025 / フレンチ EAST,https://tabelog.com/akita/A0501/A050101/5006735/,,https://www.google.com/maps/search/?api=1&query=%E3%82%A8%E3%83%83%E3%82%B5%E3%83%B3%E3%82%B9%20%E7%A7%8B%E7%94%B0%E7%9C%8C%E7%A7%8B%E7%94%B0%E5%B8%82%E6%89%8B%E5%BD%A2%E8%A5%BF%E8%B0%B7%E5%9C%B0704-1%20%E3%82%BB%E3%83%B3%E3%83%86%E3%82%A3%E3%83%BC%E3%82%B9%E3%83%9E%E3%83%B3%E3%82%B7%E3%83%A7%E3%83%B3%20105,39.7173699,140.1343380,2021 | 2023 | 2025,フレンチ EAST,french_east,発表日：2021年3月22日 | 発表日：2023年6月12日 | 発表日：2025年6月10日
ル・ジャンティオム,北海道札幌市中央区南四条西8-2-1 サンプラ－ザ札幌　１Ｆ,食べログ 百名店: 2021 / フレンチ EAST,https://tabelog.com/hokkaido/A0101/A010103/1000009/,,https://www.google.com/maps/search/?api=1&query=%E3%83%AB%E3%83%BB%E3%82%B8%E3%83%A3%E3%83%B3%E3%83%86%E3%82%A3%E3%82%AA%E3%83%A0%20%E5%8C%97%E6%B5%B7%E9%81%93%E6%9C%AD%E5%B9%8C%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%8D%97%E5%9B%9B%E6%9D%A1%E8%A5%BF8-2-1%20%E3%82%B5%E3%83%B3%E3%83%97%E3%83%A9%EF%BC%8D%E3%82%B6%E6%9C%AD%E5%B9%8C%E3%80%80%EF%BC%91%EF%BC%A6,43.0544861,141.3465009,2021,フレンチ EAST,french_east,発表日：2021年3月22日
レストラン オオツ,茨城県水戸市白梅1-5-4,食べログ 百名店: 2021 | 2023 | 2025 / フレンチ EAST,https://tabelog.com/ibaraki/A0801/A080101/8000180/,,https://www.google.com/maps/search/?api=1&query=%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%20%E3%82%AA%E3%82%AA%E3%83%84%20%E8%8C%A8%E5%9F%8E%E7%9C%8C%E6%B0%B4%E6%88%B8%E5%B8%82%E7%99%BD%E6%A2%851-5-4,36.3637806,140.4746639,2021 | 2023 | 2025,フレンチ EAST,french_east,発表日：2021年3月22日 | 発表日：2023年6月12日 | 発表日：2025年6月10日
HAGI,福島県いわき市内郷御台境町鬼越171-10,食べログ 百名店: 2021 | 2023 | 2025 / フレンチ EAST,https://tabelog.com/fukushima/A0704/A070401/7008647/,,https://www.google.com/maps/search/?api=1&query=HAGI%20%E7%A6%8F%E5%B3%B6%E7%9C%8C%E3%81%84%E3%82%8F%E3%81%8D%E5%B8%82%E5%86%85%E9%83%B7%E5%BE%A1%E5%8F%B0%E5%A2%83%E7%94%BA%E9%AC%BC%E8%B6%8A171-10,37.0524474,140.8653798,2021 | 2023 | 2025,フレンチ EAST,french_east,発表日：2021年3月22日 | 発表日：2023年6月12日 | 発表日：2025年6月10日
古我邸,神奈川県鎌倉市扇ガ谷1-7-23,食べログ 百名店: 2021 | 2023 / フレンチ EAST,https://tabelog.com/kanagawa/A1404/A140402/14058520/,,https://www.google.com/maps/search/?api=1&query=%E5%8F%A4%E6%88%91%E9%82%B8%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E9%8E%8C%E5%80%89%E5%B8%82%E6%89%87%E3%82%AC%E8%B0%B71-7-23,35.3219664,139.5487732,2021 | 2023,フレンチ EAST,french_east,発表日：2021年3月22日 | 発表日：2023年6月12日
ル　ピニョン,愛知県名古屋市東区徳川町2406,食べログ 百名店: 2021 | 2023 | 2025 / フレンチ EAST,https://tabelog.com/aichi/A2301/A230110/23008902/,https://tabelog.com/aichi/A2301/A230110/23008902/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E3%83%AB%E3%80%80%E3%83%94%E3%83%8B%E3%83%A7%E3%83%B3%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E6%9D%B1%E5%8C%BA%E5%BE%B3%E5%B7%9D%E7%94%BA2406,35.1859059,136.9337082,2021 | 2023 | 2025,フレンチ EAST,french_east,発表日：2021年3月22日 | 発表日：2023年6月12日 | 発表日：2025年6月10日
saveur,北海道札幌市中央区南3条西3丁目 TM-24BUILDING 2F,食べログ 百名店: 2021 / フレンチ EAST,https://tabelog.com/hokkaido/A0101/A010103/1037772/,,https://www.google.com/maps/search/?api=1&query=saveur%20%E5%8C%97%E6%B5%B7%E9%81%93%E6%9C%AD%E5%B9%8C%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%8D%973%E6%9D%A1%E8%A5%BF3%E4%B8%81%E7%9B%AE%20TM-24BUILDING%202F,43.0563544,141.3538868,2021,フレンチ EAST,french_east,発表日：2021年3月22日
サラマンジェ ド ヨシノ,神奈川県鎌倉市御成町20-45,食べログ 百名店: 2021 | 2023 | 2025 / フレンチ EAST,https://tabelog.com/kanagawa/A1404/A140402/14058250/,,https://www.google.com/maps/search/?api=1&query=%E3%82%B5%E3%83%A9%E3%83%9E%E3%83%B3%E3%82%B8%E3%82%A7%20%E3%83%89%20%E3%83%A8%E3%82%B7%E3%83%8E%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E9%8E%8C%E5%80%89%E5%B8%82%E5%BE%A1%E6%88%90%E7%94%BA20-45,35.3176061,139.5471266,2021 | 2023 | 2025,フレンチ EAST,french_east,発表日：2021年3月22日 | 発表日：2023年6月12日 | 発表日：2025年6月10日
