Name,Address,Description,Website,Tabelog Reservation URL,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
とんかつ ひろ喜 徳庵本店,大阪府東大阪市稲田本町3-20-11,食べログ 百名店: 2018 | 2019 | 2021 | 2024 / とんかつ | 食堂,https://tabelog.com/osaka/A2707/A270703/27043187/,,https://www.google.com/maps/search/?api=1&query=%E3%81%A8%E3%82%93%E3%81%8B%E3%81%A4%20%E3%81%B2%E3%82%8D%E5%96%9C%20%E5%BE%B3%E5%BA%B5%E6%9C%AC%E5%BA%97%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E6%9D%B1%E5%A4%A7%E9%98%AA%E5%B8%82%E7%A8%B2%E7%94%B0%E6%9C%AC%E7%94%BA3-20-11,34.6879783,135.5815871,2018 | 2019 | 2021 | 2024,とんかつ | 食堂,tonkatsu | shokudo,発表日：2021年4月13日 | 発表日：2024年9月25日
仁亭,福島県郡山市鶴見坦3-5-2,食べログ 百名店: 2018 | 2019 | 2021 | 2024 / とんかつ | 食堂,https://tabelog.com/fukushima/A0702/A070201/7000028/,,https://www.google.com/maps/search/?api=1&query=%E4%BB%81%E4%BA%AD%20%E7%A6%8F%E5%B3%B6%E7%9C%8C%E9%83%A1%E5%B1%B1%E5%B8%82%E9%B6%B4%E8%A6%8B%E5%9D%A63-5-2,37.3914627,140.3619734,2018 | 2019 | 2021 | 2024,とんかつ | 食堂,tonkatsu | shokudo,発表日：2021年4月13日 | 発表日：2024年9月25日
かっぱ,岡山県倉敷市阿知2-17-2,食べログ 百名店: 2018 | 2019 | 2021 | 2024 / とんかつ | 食堂,https://tabelog.com/okayama/A3302/A330201/33000185/,,https://www.google.com/maps/search/?api=1&query=%E3%81%8B%E3%81%A3%E3%81%B1%20%E5%B2%A1%E5%B1%B1%E7%9C%8C%E5%80%89%E6%95%B7%E5%B8%82%E9%98%BF%E7%9F%A52-17-2,34.5994022,133.7690709,2018 | 2019 | 2021 | 2024,とんかつ | 食堂,tonkatsu | shokudo,発表日：2021年4月13日 | 発表日：2024年9月25日
食堂なまえ,福島県喜多方市字永久7693-3,食べログ 百名店: 2020 | 2021 | 2024 / ラーメン EAST | 食堂,https://tabelog.com/fukushima/A0706/A070601/7000006/,,https://www.google.com/maps/search/?api=1&query=%E9%A3%9F%E5%A0%82%E3%81%AA%E3%81%BE%E3%81%88%20%E7%A6%8F%E5%B3%B6%E7%9C%8C%E5%96%9C%E5%A4%9A%E6%96%B9%E5%B8%82%E5%AD%97%E6%B0%B8%E4%B9%857693-3,37.6458027,139.8731472,2020 | 2021 | 2024,ラーメン EAST | 食堂,ramen_east | shokudo,発表日：2021年11月24日 | 発表日：2024年9月25日
一平,神奈川県鎌倉市由比ガ浜1-3-7,食べログ 百名店: 2021 | 2023 / 日本料理 EAST,https://tabelog.com/kanagawa/A1404/A140402/14050450/,,https://www.google.com/maps/search/?api=1&query=%E4%B8%80%E5%B9%B3%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E9%8E%8C%E5%80%89%E5%B8%82%E7%94%B1%E6%AF%94%E3%82%AC%E6%B5%9C1-3-7,35.3155056,139.5467666,2021 | 2023,日本料理 EAST,japanese_east,発表日：2021年4月1日 | 発表日：2023年3月2日
梶川,愛知県名古屋市千種区高見1-26-4 タカミ光ビル　１Ｆ,食べログ 百名店: 2021 | 2023 | 2025 / 日本料理 EAST,https://tabelog.com/aichi/A2301/A230106/23000897/,,https://www.google.com/maps/search/?api=1&query=%E6%A2%B6%E5%B7%9D%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E5%8D%83%E7%A8%AE%E5%8C%BA%E9%AB%98%E8%A6%8B1-26-4%20%E3%82%BF%E3%82%AB%E3%83%9F%E5%85%89%E3%83%93%E3%83%AB%E3%80%80%EF%BC%91%EF%BC%A6,35.1717014,136.9476377,2021 | 2023 | 2025,日本料理 EAST,japanese_east,発表日：2021年4月1日 | 発表日：2023年3月2日 | 発表日：2025年3月25日
うなぎと季節料理とらや,北海道札幌市中央区大通西28-4-14,食べログ 百名店: 2021 / 日本料理 EAST,https://tabelog.com/hokkaido/A0101/A010105/1004035/,,https://www.google.com/maps/search/?api=1&query=%E3%81%86%E3%81%AA%E3%81%8E%E3%81%A8%E5%AD%A3%E7%AF%80%E6%96%99%E7%90%86%E3%81%A8%E3%82%89%E3%82%84%20%E5%8C%97%E6%B5%B7%E9%81%93%E6%9C%AD%E5%B9%8C%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%A4%A7%E9%80%9A%E8%A5%BF28-4-14,43.0564506,141.3154540,2021,日本料理 EAST,japanese_east,発表日：2021年4月1日
輪久,愛知県名古屋市中区大須4-6-15 荘苑南久屋202,食べログ 百名店: 2021 | 2023 | 2025 / 日本料理 EAST,https://tabelog.com/aichi/A2301/A230105/23059429/,https://tabelog.com/aichi/A2301/A230105/23059429/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E8%BC%AA%E4%B9%85%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E4%B8%AD%E5%8C%BA%E5%A4%A7%E9%A0%884-6-15%20%E8%8D%98%E8%8B%91%E5%8D%97%E4%B9%85%E5%B1%8B202,35.1584460,136.9095810,2021 | 2023 | 2025,日本料理 EAST,japanese_east,発表日：2021年4月1日 | 発表日：2023年3月2日 | 発表日：2025年3月25日
樋山,埼玉県川口市東川口2-6-8,食べログ 百名店: 2021 | 2023 | 2025 / 日本料理 EAST,https://tabelog.com/saitama/A1102/A110201/11010989/,https://tabelog.com/saitama/A1102/A110201/11010989/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E6%A8%8B%E5%B1%B1%20%E5%9F%BC%E7%8E%89%E7%9C%8C%E5%B7%9D%E5%8F%A3%E5%B8%82%E6%9D%B1%E5%B7%9D%E5%8F%A32-6-8,35.8765486,139.7468509,2021 | 2023 | 2025,日本料理 EAST,japanese_east,発表日：2021年4月1日 | 発表日：2023年3月2日 | 発表日：2025年3月25日
和創ふんりんかん ぎり,愛知県名古屋市中区千代田1-11-26 サンコーポ舞鶴 1F,食べログ 百名店: 2021 | 2023 / 日本料理 EAST,https://tabelog.com/aichi/A2301/A230103/23055371/,https://tabelog.com/aichi/A2301/A230103/23055371/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E5%92%8C%E5%89%B5%E3%81%B5%E3%82%93%E3%82%8A%E3%82%93%E3%81%8B%E3%82%93%20%E3%81%8E%E3%82%8A%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E4%B8%AD%E5%8C%BA%E5%8D%83%E4%BB%A3%E7%94%B01-11-26%20%E3%82%B5%E3%83%B3%E3%82%B3%E3%83%BC%E3%83%9D%E8%88%9E%E9%B6%B4%201F,35.1596922,136.9107299,2021 | 2023,日本料理 EAST,japanese_east,発表日：2021年4月1日 | 発表日：2023年3月2日
