Name,Address,Description,Website,Tabelog Reservation URL,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
くれちうどん,山梨県富士吉田市上暮地1-18-22,食べログ 百名店: 2020 / うどん EAST,https://tabelog.com/yamanashi/A1903/A190301/19004114/,,https://www.google.com/maps/search/?api=1&query=%E3%81%8F%E3%82%8C%E3%81%A1%E3%81%86%E3%81%A9%E3%82%93%20%E5%B1%B1%E6%A2%A8%E7%9C%8C%E5%AF%8C%E5%A3%AB%E5%90%89%E7%94%B0%E5%B8%82%E4%B8%8A%E6%9A%AE%E5%9C%B01-18-22,35.5098578,138.8280390,2020,うどん EAST,udon_east,
白須うどん,山梨県富士吉田市上吉田東6-1-44,食べログ 百名店: 2020 / うどん EAST,https://tabelog.com/yamanashi/A1903/A190301/19000055/,,https://www.google.com/maps/search/?api=1&query=%E7%99%BD%E9%A0%88%E3%81%86%E3%81%A9%E3%82%93%20%E5%B1%B1%E6%A2%A8%E7%9C%8C%E5%AF%8C%E5%A3%AB%E5%90%89%E7%94%B0%E5%B8%82%E4%B8%8A%E5%90%89%E7%94%B0%E6%9D%B16-1-44,35.4789464,138.8096763,2020,うどん EAST,udon_east,
たらいうどん椛や,茨城県水戸市有賀町1021,食べログ 百名店: 2020 | 2022 / うどん EAST,https://tabelog.com/ibaraki/A0801/A080101/8001852/,,https://www.google.com/maps/search/?api=1&query=%E3%81%9F%E3%82%89%E3%81%84%E3%81%86%E3%81%A9%E3%82%93%E6%A4%9B%E3%82%84%20%E8%8C%A8%E5%9F%8E%E7%9C%8C%E6%B0%B4%E6%88%B8%E5%B8%82%E6%9C%89%E8%B3%80%E7%94%BA1021,36.3876911,140.3576066,2020 | 2022,うどん EAST,udon_east,発表日：2022年3月15日
本手打ちうどん庄司,埼玉県比企郡川島町上伊草743-9,食べログ 百名店: 2020 | 2022 | 2024 / うどん EAST,https://tabelog.com/saitama/A1105/A110502/11001574/,,https://www.google.com/maps/search/?api=1&query=%E6%9C%AC%E6%89%8B%E6%89%93%E3%81%A1%E3%81%86%E3%81%A9%E3%82%93%E5%BA%84%E5%8F%B8%20%E5%9F%BC%E7%8E%89%E7%9C%8C%E6%AF%94%E4%BC%81%E9%83%A1%E5%B7%9D%E5%B3%B6%E7%94%BA%E4%B8%8A%E4%BC%8A%E8%8D%89743-9,35.9728004,139.4620962,2020 | 2022 | 2024,うどん EAST,udon_east,発表日：2022年3月15日 | 発表日：2024年2月27日
鈴や,千葉県印西市山田1783-8 いんば農産物直売所「グリーブ」内,食べログ 百名店: 2020 / うどん EAST,https://tabelog.com/chiba/A1204/A120402/12006332/,,https://www.google.com/maps/search/?api=1&query=%E9%88%B4%E3%82%84%20%E5%8D%83%E8%91%89%E7%9C%8C%E5%8D%B0%E8%A5%BF%E5%B8%82%E5%B1%B1%E7%94%B01783-8%20%E3%81%84%E3%82%93%E3%81%B0%E8%BE%B2%E7%94%A3%E7%89%A9%E7%9B%B4%E5%A3%B2%E6%89%80%E3%80%8C%E3%82%B0%E3%83%AA%E3%83%BC%E3%83%96%E3%80%8D%E5%86%85,35.7722930,140.2299000,2020,うどん EAST,udon_east,
きしや,愛知県名古屋市千種区仲田2-17-7 池下タワーズ1F,食べログ 百名店: 2020 | 2022 | 2024 / うどん EAST,https://tabelog.com/aichi/A2301/A230106/23001708/,,https://www.google.com/maps/search/?api=1&query=%E3%81%8D%E3%81%97%E3%82%84%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E5%8D%83%E7%A8%AE%E5%8C%BA%E4%BB%B2%E7%94%B02-17-7%20%E6%B1%A0%E4%B8%8B%E3%82%BF%E3%83%AF%E3%83%BC%E3%82%BA1F,35.1686335,136.9424949,2020 | 2022 | 2024,うどん EAST,udon_east,発表日：2022年3月15日 | 発表日：2024年2月27日
桜井うどん,山梨県富士吉田市下吉田5-1-33,食べログ 百名店: 2020 | 2022 | 2024 / うどん EAST,https://tabelog.com/yamanashi/A1903/A190301/19000357/,,https://www.google.com/maps/search/?api=1&query=%E6%A1%9C%E4%BA%95%E3%81%86%E3%81%A9%E3%82%93%20%E5%B1%B1%E6%A2%A8%E7%9C%8C%E5%AF%8C%E5%A3%AB%E5%90%89%E7%94%B0%E5%B8%82%E4%B8%8B%E5%90%89%E7%94%B05-1-33,35.4890902,138.8021542,2020 | 2022 | 2024,うどん EAST,udon_east,発表日：2022年3月15日 | 発表日：2024年2月27日
手打ちうどんZ,千葉県大網白里市季美の森南1-8-15,食べログ 百名店: 2020 / うどん EAST,https://tabelog.com/chiba/A1205/A120503/12005569/,,https://www.google.com/maps/search/?api=1&query=%E6%89%8B%E6%89%93%E3%81%A1%E3%81%86%E3%81%A9%E3%82%93Z%20%E5%8D%83%E8%91%89%E7%9C%8C%E5%A4%A7%E7%B6%B2%E7%99%BD%E9%87%8C%E5%B8%82%E5%AD%A3%E7%BE%8E%E3%81%AE%E6%A3%AE%E5%8D%971-8-15,35.5472763,140.2996377,2020,うどん EAST,udon_east,
手打うどん 松屋,埼玉県桶川市寿1-11-18,食べログ 百名店: 2020 | 2022 | 2024 / うどん EAST,https://tabelog.com/saitama/A1104/A110401/11004724/,,https://www.google.com/maps/search/?api=1&query=%E6%89%8B%E6%89%93%E3%81%86%E3%81%A9%E3%82%93%20%E6%9D%BE%E5%B1%8B%20%E5%9F%BC%E7%8E%89%E7%9C%8C%E6%A1%B6%E5%B7%9D%E5%B8%82%E5%AF%BF1-11-18,36.0021057,139.5643410,2020 | 2022 | 2024,うどん EAST,udon_east,発表日：2022年3月15日 | 発表日：2024年2月27日
田舎打ち 麺蔵,埼玉県川越市大字小堤16-10,食べログ 百名店: 2020 / うどん EAST,https://tabelog.com/saitama/A1103/A110304/11000974/,,https://www.google.com/maps/search/?api=1&query=%E7%94%B0%E8%88%8E%E6%89%93%E3%81%A1%20%E9%BA%BA%E8%94%B5%20%E5%9F%BC%E7%8E%89%E7%9C%8C%E5%B7%9D%E8%B6%8A%E5%B8%82%E5%A4%A7%E5%AD%97%E5%B0%8F%E5%A0%A416-10,35.9374360,139.4380359,2020,うどん EAST,udon_east,
